,0
2015-05-01,16000.0
2015-05-02,16000.0
2015-05-03,16000.0
2015-05-04,16000.110165404669
2015-05-05,16000.015514627854
2015-05-06,15999.878081466817
2015-05-07,15999.691517822834
2015-05-08,15999.586710156935
2015-05-09,15999.586710156935
2015-05-10,15999.586710156935
2015-05-11,15999.596022549122
2015-05-12,15999.556412153514
2015-05-13,15999.265718757131
2015-05-14,15999.431761832839
2015-05-15,15999.55474986592
2015-05-16,15999.55474986592
2015-05-17,15999.55474986592
2015-05-18,16163.648114231837
2015-05-19,16567.65262058894
2015-05-20,16567.469708134297
2015-05-21,16567.828544070253
2015-05-22,16567.500106897016
2015-05-23,16567.500106897016
2015-05-24,16567.500106897016
2015-05-25,16567.759820264047
2015-05-26,16567.586536637173
2015-05-27,16567.88766465235
2015-05-28,16567.71490762062
2015-05-29,16567.478302435007
2015-05-30,16567.478302435007
2015-05-31,16567.478302435007
2015-06-01,17379.703222948614
2015-06-02,17507.780801668217
2015-06-03,16620.81464674393
2015-06-04,16810.616847314774
2015-06-05,16966.63266024725
2015-06-06,16966.63266024725
2015-06-07,16966.63266024725
2015-06-08,17056.288002235735
2015-06-09,16943.246304211698
2015-06-10,17053.50829811745
2015-06-11,16981.03407271909
2015-06-12,16880.510536382888
2015-06-13,16880.510536382888
2015-06-14,16880.510536382888
2015-06-15,16824.910668938566
2015-06-16,16763.27427616159
2015-06-17,16795.80762773426
2015-06-18,16859.740069442792
2015-06-19,17106.236311801145
2015-06-20,17106.236311801145
2015-06-21,17106.236311801145
2015-06-22,17192.163396620064
2015-06-23,17082.704741305868
2015-06-24,17219.693661066864
2015-06-25,17182.11508681547
2015-06-26,17018.552327637277
2015-06-27,17018.552327637277
2015-06-28,17018.552327637277
2015-06-29,16935.98416595666
2015-06-30,17285.947092171125
2015-07-01,17001.823584440805
2015-07-02,17555.81309322404
2015-07-03,17518.63590135376
2015-07-04,17518.63590135376
2015-07-05,17518.63590135376
2015-07-06,17597.517336191613
2015-07-07,19589.26043520253
2015-07-08,19710.875705399398
2015-07-09,20354.974545420002
2015-07-10,20827.123432556433
2015-07-11,20827.123432556433
2015-07-12,20827.123432556433
2015-07-13,20679.553512953742
2015-07-14,20204.73255661544
2015-07-15,20310.01997265801
2015-07-16,21338.16140764265
2015-07-17,21403.61960888425
2015-07-18,21403.61960888425
2015-07-19,21403.61960888425
2015-07-20,21540.37003640014
2015-07-21,21492.44489951655
2015-07-22,20911.050458663183
2015-07-23,21223.694370341575
2015-07-24,22016.341034211997
2015-07-25,22016.341034211997
2015-07-26,22016.341034211997
2015-07-27,22467.912624276745
2015-07-28,21966.56048427627
2015-07-29,22316.71892510204
2015-07-30,22412.63749763852
2015-07-31,22220.364050132077
2015-08-01,22220.364050132077
2015-08-02,22220.364050132077
2015-08-03,21713.307038582258
2015-08-04,21666.70913305317
2015-08-05,23119.91273593407
2015-08-06,22836.022927430175
2015-08-07,22717.886420687028
2015-08-08,22717.886420687028
2015-08-09,22717.886420687028
2015-08-10,22475.89472742904
2015-08-11,22702.37983773299
2015-08-12,21198.589074612166
2015-08-13,20224.593138359247
2015-08-14,20295.76946350455
2015-08-15,20295.76946350455
2015-08-16,20295.76946350455
2015-08-17,20698.006875887077
2015-08-18,19862.610876816914
2015-08-19,19836.3656145618
2015-08-20,20214.977481891387
2015-08-21,19517.266538987787
2015-08-22,19517.266538987787
2015-08-23,19517.266538987787
2015-08-24,17957.939677244947
2015-08-25,18075.2526327955
2015-08-26,18349.589272933306
2015-08-27,19077.707777514945
2015-08-28,19349.71387878577
2015-08-29,19349.71387878577
2015-08-30,19349.71387878577
2015-08-31,19312.741374022702
2015-09-01,20548.48979453111
2015-09-02,21563.973076155242
2015-09-03,21078.92067412341
2015-09-04,19459.612109394933
2015-09-05,19459.612109394933
2015-09-06,19459.612109394933
2015-09-07,19247.108695633855
2015-09-08,18807.013701625194
2015-09-09,18803.18754994902
2015-09-10,18033.414209330753
2015-09-11,18917.029325697717
2015-09-12,18917.029325697717
2015-09-13,18917.029325697717
2015-09-14,18896.296170933063
2015-09-15,18711.6937012176
2015-09-16,18955.54778238245
2015-09-17,18955.54778238245
2015-09-18,18774.064505257
2015-09-19,18774.064505257
2015-09-20,18774.064505257
2015-09-21,19244.009775359707
2015-09-22,19394.608897774466
2015-09-23,18843.882004794526
2015-09-24,19320.88000316743
2015-09-25,19320.88000316743
2015-09-26,19320.88000316743
2015-09-27,19320.88000316743
2015-09-28,19320.20659826207
2015-09-29,18541.583179352318
2015-09-30,18536.507088547594
2015-10-01,18635.73397289079
2015-10-02,18635.73397289079
2015-10-03,18635.73397289079
2015-10-04,18635.73397289079
2015-10-05,18569.950986431293
2015-10-06,18611.424826040755
2015-10-07,18980.62452991448
2015-10-08,18866.396640829567
2015-10-09,18808.90170908368
2015-10-10,18808.90170908368
2015-10-11,18808.90170908368
2015-10-12,19161.816183385843
2015-10-13,19040.413870992845
2015-10-14,19032.803777527362
2015-10-15,19582.873266658135
2015-10-16,19423.805827334967
2015-10-17,19423.805827334967
2015-10-18,19423.805827334967
2015-10-19,19411.37113267414
2015-10-20,19388.32705340067
2015-10-21,19305.72043231733
2015-10-22,19305.72043231733
2015-10-23,19251.611196393438
2015-10-24,19251.611196393438
2015-10-25,19251.611196393438
2015-10-26,19265.79935644423
2015-10-27,19408.04410144741
2015-10-28,19196.02802096751
2015-10-29,19402.51978477256
2015-10-30,19263.574803658463
2015-10-31,19263.574803658463
2015-11-01,19263.574803658463
2015-11-02,19107.268499609796
2015-11-03,19131.99916338703
2015-11-04,18858.10573857554
2015-11-05,18991.353096012856
2015-11-06,18931.135280994
2015-11-07,18931.135280994
2015-11-08,18931.135280994
2015-11-09,18854.80948666374
2015-11-10,18784.553384813855
2015-11-11,18784.553384813855
2015-11-12,18784.553384813855
2015-11-13,18650.373549464435
2015-11-14,18650.373549464435
2015-11-15,18650.373549464435
2015-11-16,18616.700923634577
2015-11-17,18831.809542543902
2015-11-18,18619.824414411098
2015-11-19,18819.430846962263
2015-11-20,18797.705734259493
2015-11-21,18797.705734259493
2015-11-22,18797.705734259493
