,0
2015-04-01,8342.429873968385
2015-04-02,8342.429873968385
2015-04-03,8342.429873968385
2015-04-04,8342.429873968385
2015-04-05,8342.429873968385
2015-04-06,8448.080044333476
2015-04-07,8480.050785881902
2015-04-08,8627.335693115816
2015-04-09,8789.182426484313
2015-04-10,8872.682394898475
2015-04-11,8872.682394898475
2015-04-12,8872.682394898475
2015-04-13,8910.690826344717
2015-04-14,8910.690826344717
2015-04-15,8894.772884899518
2015-04-16,8865.14791625875
2015-04-17,8760.227559078914
2015-04-18,8760.227559078914
2015-04-19,8760.227559078914
2015-04-20,8691.187986076156
2015-04-21,8628.977095838933
2015-04-22,8602.701467675044
2015-04-23,8721.698785537066
2015-04-24,8398.01874742461
2015-04-25,8398.01874742461
2015-04-26,8398.01874742461
2015-04-27,8343.870764927338
2015-04-28,8469.850336492256
2015-04-29,8224.520971268867
2015-04-30,8224.520971268867
2015-05-01,8224.520971268867
2015-05-02,8224.520971268867
2015-05-03,8224.520971268867
2015-05-04,8316.54939246785
2015-05-05,8210.04605622205
2015-05-06,8165.6799879047185
2015-05-07,8062.265130641107
2015-05-08,8217.825891634751
2015-05-09,8217.825891634751
2015-05-10,8217.825891634751
2015-05-11,8247.033675697041
2015-05-12,8155.235511088755
2015-05-13,8125.303105435669
2015-05-14,8176.015380719342
2015-05-15,8232.887572178337
2015-05-16,8232.887572178337
2015-05-17,8232.887572178337
2015-05-18,8384.533443542765
2015-05-19,8392.007777913082
2015-05-20,8462.05010019815
2015-05-21,8611.168630302387
2015-05-22,8622.580651999197
2015-05-23,8622.580651999197
2015-05-24,8622.580651999197
2015-05-25,8533.129194028203
2015-05-26,8540.865365669872
2015-05-27,8484.681133496388
2015-05-28,8447.488773004598
2015-05-29,8657.64953472209
2015-05-30,8657.64953472209
2015-05-31,8657.64953472209
2015-06-01,8774.497507647357
2015-06-02,8359.89148197132
2015-06-03,8055.072986966895
2015-06-04,8249.935782116932
2015-06-05,8186.6758403325275
2015-06-06,8186.6758403325275
2015-06-07,8186.6758403325275
2015-06-08,7849.855220652625
2015-06-09,7885.002244348689
2015-06-10,8161.307595672514
2015-06-11,7887.568901318452
2015-06-12,7862.502011316923
2015-06-13,7862.502011316923
2015-06-14,7862.502011316923
2015-06-15,7902.246037866572
2015-06-16,8068.632533639493
2015-06-17,8220.709412630822
2015-06-18,8312.399049849007
2015-06-19,8338.284654329369
2015-06-20,8338.284654329369
2015-06-21,8338.284654329369
2015-06-22,8552.724767006635
2015-06-23,8521.320050017768
2015-06-24,8591.838650256122
2015-06-25,8466.29406114627
2015-06-26,8502.16956185922
2015-06-27,8502.16956185922
2015-06-28,8502.16956185922
2015-06-29,8244.910907004029
2015-06-30,8244.910907004029
2015-07-01,8322.468829371388
2015-07-02,8573.535819696455
2015-07-03,8488.193263278468
2015-07-04,8488.193263278468
2015-07-05,8488.193263278468
2015-07-06,8531.525292372093
2015-07-07,8546.804285407281
2015-07-08,8450.418330279796
2015-07-09,8386.126613023995
2015-07-10,8576.882308412172
2015-07-11,8576.882308412172
2015-07-12,8576.882308412172
2015-07-13,8636.27173165706
2015-07-14,8802.43754436478
2015-07-15,9181.673045659707
2015-07-16,9309.28195496465
2015-07-17,9355.142144816835
2015-07-18,9355.142144816835
2015-07-19,9355.142144816835
2015-07-20,9431.567657349431
2015-07-21,9434.235134103788
2015-07-22,10027.609369740658
2015-07-23,9887.443616230708
2015-07-24,9886.314327463113
2015-07-25,9886.314327463113
2015-07-26,9886.314327463113
2015-07-27,9818.31064678209
2015-07-28,10070.953035116869
2015-07-29,9971.839710023583
2015-07-30,10484.279148959326
2015-07-31,10484.279148959326
2015-08-01,10484.27914895933
2015-08-02,10484.27914895933
2015-08-03,10560.154386487162
2015-08-04,10638.66130027619
2015-08-05,10526.125065888618
2015-08-06,11137.913582506702
2015-08-07,10929.090568364796
2015-08-08,10929.090568364796
2015-08-09,10929.090568364796
2015-08-10,10747.962727917069
2015-08-11,10688.697921677496
2015-08-12,10330.169447135135
2015-08-13,9958.10561245331
2015-08-14,11100.10151450226
2015-08-15,11100.10151450226
2015-08-16,11100.10151450226
2015-08-17,12229.972106698186
2015-08-18,12661.597276893766
2015-08-19,12515.762644135082
2015-08-20,12155.73663496332
2015-08-21,11941.532053840028
2015-08-22,11941.532053840028
2015-08-23,11941.532053840028
2015-08-24,10325.66579355955
2015-08-25,10206.421730165755
2015-08-26,10154.787269803834
2015-08-27,10620.676480600612
2015-08-28,10730.12621476064
2015-08-29,10730.12621476064
2015-08-30,10730.12621476064
2015-08-31,10730.12621476064
2015-09-01,10487.384706554347
2015-09-02,10461.059601363502
2015-09-03,10639.682175826296
2015-09-04,10209.329875484209
2015-09-05,10209.329875484209
2015-09-06,10209.329875484209
2015-09-07,9929.3731091332
2015-09-08,10255.066654369817
2015-09-09,10537.29365202614
2015-09-10,10790.707241005304
2015-09-11,11064.90310710938
2015-09-12,11064.90310710938
2015-09-13,11064.90310710938
2015-09-14,11404.767102593587
2015-09-15,11544.03879238201
2015-09-16,11506.503667108724
2015-09-17,11506.503667108724
2015-09-18,11508.113545046996
2015-09-19,11508.113545046996
2015-09-20,11508.113545046996
2015-09-21,11564.533434538505
2015-09-22,11237.82375199898
2015-09-23,11398.31414270499
2015-09-24,11223.240091455387
2015-09-25,11223.240091455387
2015-09-26,11223.240091455387
2015-09-27,11223.240091455387
2015-09-28,11423.948383585277
2015-09-29,11509.91754552632
2015-09-30,11509.91754552632
2015-10-01,11522.421377173057
2015-10-02,11522.421377173057
2015-10-03,11522.421377173057
2015-10-04,11522.421377173057
2015-10-05,11534.85338294479
2015-10-06,11652.558198929079
2015-10-07,11749.708292212914
2015-10-08,12076.510659887956
2015-10-09,12036.89596016142
2015-10-10,12036.89596016142
2015-10-11,12036.89596016142
2015-10-12,12853.527417803007
2015-10-13,12995.300978850926
2015-10-14,12942.51545870819
2015-10-15,13237.095381258796
2015-10-16,13203.544861315095
2015-10-17,13203.544861315095
2015-10-18,13203.544861315095
2015-10-19,13498.397218833592
2015-10-20,13176.048981225635
2015-10-21,13126.175919824798
2015-10-22,13126.175919824798
2015-10-23,13006.128803720543
2015-10-24,13006.128803720543
2015-10-25,13006.128803720543
2015-10-26,12755.050291524942
2015-10-27,12817.913453040619
2015-10-28,12936.171139026803
2015-10-29,13056.286468013946
2015-10-30,13011.763114401274
2015-10-31,13011.763114401274
2015-11-01,13011.763114401272
2015-11-02,13137.933860799574
2015-11-03,12954.187134965576
2015-11-04,12837.21765238696
2015-11-05,12641.619580150245
2015-11-06,12915.474906438558
2015-11-07,12915.474906438558
2015-11-08,12915.474906438558
2015-11-09,13105.001135975834
2015-11-10,13229.72640144269
2015-11-11,13229.72640144269
2015-11-12,13229.72640144269
2015-11-13,13280.859452151963
2015-11-14,13280.859452151963
2015-11-15,13280.859452151963
2015-11-16,13368.111674665157
2015-11-17,13509.894215703896
2015-11-18,13637.796730094604
2015-11-19,13803.483402524931
2015-11-20,14477.56280404221
2015-11-21,14477.56280404221
2015-11-22,14477.56280404221
2015-11-23,14487.226206974125
2015-11-24,14844.212462397936
2015-11-25,14844.212462397936
2015-11-26,14833.363304096438
2015-11-27,14754.72485069633
2015-11-28,14754.72485069633
2015-11-29,14754.72485069633
2015-11-30,14754.72485069633
2015-12-01,14570.823832579625
2015-12-02,14616.953004435905
2015-12-03,14796.303800995971
2015-12-04,14679.091977127613
2015-12-05,14679.091977127613
2015-12-06,14679.091977127613
2015-12-07,14450.438900433574
2015-12-08,14329.64157089079
2015-12-09,13575.570720800153
2015-12-10,13614.710987119053
2015-12-11,13469.598106555348
2015-12-12,13469.598106555348
2015-12-13,13469.598106555348
2015-12-14,13465.726244657448
2015-12-15,13513.583905503801
2015-12-16,13403.983748524348
2015-12-17,14242.550444580284
2015-12-18,14186.608123955268
2015-12-19,14186.608123955268
2015-12-20,14186.608123955268
2015-12-21,14456.913093062514
2015-12-22,14687.90151950582
2015-12-23,15016.654036609963
2015-12-24,14915.691822631283
2015-12-25,14915.691822631283
2015-12-26,14915.691822631283
2015-12-27,14915.691822631283
2015-12-28,14970.248587116606
2015-12-29,15024.611070412831
2015-12-30,15469.260399177963
2015-12-31,15469.260399177963
2016-01-01,15886.547039861349
2016-01-02,15886.547039861349
2016-01-03,15886.547039861349
2016-01-04,15649.412917632184
2016-01-05,16353.724989518223
2016-01-06,17337.958479998393
2016-01-07,17634.786306414306
2016-01-08,18331.645521774502
2016-01-09,18331.645521774502
2016-01-10,18331.645521774502
2016-01-11,18978.9717736955
2016-01-12,18390.090218305013
2016-01-13,17822.15717967164
2016-01-14,17260.411570335003
2016-01-15,16691.820026770416
2016-01-16,16691.820026770416
2016-01-17,16691.820026770416
2016-01-18,16035.503524391694
2016-01-19,15985.867571269822
2016-01-20,15332.51864075872
2016-01-21,15113.454597701008
2016-01-22,15744.38129479578
2016-01-23,15744.38129479578
2016-01-24,15744.38129479578
2016-01-25,16006.28816332291
2016-01-26,16006.28816332291
2016-01-27,16363.878222649428
2016-01-28,16614.35566207763
2016-01-29,17369.353385030307
2016-01-30,17369.353385030307
2016-01-31,17369.353385030307
2016-02-01,16840.645924188073
2016-02-02,16439.64466624578
2016-02-03,15679.134879823281
2016-02-04,14525.690349830029
2016-02-05,14825.763622271556
2016-02-06,14825.763622271556
2016-02-07,14825.763622271556
2016-02-08,14880.739952882412
2016-02-09,14632.641361849084
2016-02-10,14274.07818817177
2016-02-11,13252.781499975594
2016-02-12,12070.624351842776
2016-02-13,12070.624351842776
2016-02-14,12070.624351842776
2016-02-15,12144.638275249192
2016-02-16,12376.935904634987
2016-02-17,12337.144390491245
2016-02-18,12313.858907378273
2016-02-19,12403.383839937016
2016-02-20,12403.383839937016
2016-02-21,12403.383839937016
2016-02-22,12475.231950763311
2016-02-23,12242.369270720264
2016-02-24,12136.853838603083
2016-02-25,12012.048803877866
2016-02-26,12042.69893677568
2016-02-27,12042.69893677568
2016-02-28,12042.69893677568
2016-02-29,12042.69893677568
2016-03-01,12672.046692671438
2016-03-02,13077.143796990695
2016-03-03,12958.813498711048
2016-03-04,13067.354440477136
2016-03-05,13067.354440477136
2016-03-06,13067.354440477136
2016-03-07,13067.354440477136
2016-03-08,12973.064884673739
2016-03-09,13099.307015002647
2016-03-10,13125.581416929866
2016-03-11,13053.748321757083
2016-03-12,13053.748321757083
2016-03-13,13053.748321757083
2016-03-14,13087.556435097113
2016-03-15,13086.3594382425
2016-03-16,12958.66515418413
2016-03-17,13057.883988964168
2016-03-18,13069.723935377113
2016-03-19,13069.723935377113
2016-03-20,13069.723935377113
2016-03-21,13476.191191392807
2016-03-22,13561.635583869112
2016-03-23,13785.369934385477
2016-03-24,13785.369934385477
2016-03-25,13785.369934385477
2016-03-26,13785.369934385477
2016-03-27,13785.369934385477
2016-03-28,13463.169234889632
2016-03-29,13487.786878051777
