,0
2015-05-01,24000.0
2015-05-02,24000.0
2015-05-03,24000.0
2015-05-04,24032.600462555638
2015-05-05,24052.88633514378
2015-05-06,23774.939596968692
2015-05-07,23668.327822724586
2015-05-08,23796.744000741866
2015-05-09,23796.744000741866
2015-05-10,23796.744000741866
2015-05-11,24023.94595223724
2015-05-12,23858.901943881392
2015-05-13,23798.12026717973
2015-05-14,23956.508273174262
2015-05-15,24131.962250264576
2015-05-16,24131.962250264576
2015-05-17,24131.962250264576
2015-05-18,24280.803659071258
2015-05-19,24125.786593276818
2015-05-20,24162.660905569184
2015-05-21,24139.932327219874
2015-05-22,24247.4026685691
2015-05-23,24247.4026685691
2015-05-24,24247.4026685691
2015-05-25,24156.7806323465
2015-05-26,24078.362822597213
2015-05-27,24056.48189588751
2015-05-28,24097.733202106552
2015-05-29,24053.54228510734
2015-05-30,24053.54228510734
2015-05-31,24053.54228510734
2015-06-01,24910.587837809537
2015-06-02,24428.30685452895
2015-06-03,24278.536249091456
2015-06-04,24535.84831794997
2015-06-05,24149.32329852252
2015-06-06,24149.32329852252
2015-06-07,24149.32329852252
2015-06-08,24110.913667056713
2015-06-09,23949.294251300948
2015-06-10,24465.35788725462
2015-06-11,24447.486050806645
2015-06-12,24338.0236444411
2015-06-13,24338.0236444411
2015-06-14,24338.0236444411
2015-06-15,23695.951169452586
2015-06-16,23296.549171299826
2015-06-17,23859.500734647354
2015-06-18,23947.13790384833
2015-06-19,23950.723474340688
2015-06-20,23950.723474340688
2015-06-21,23950.723474340688
2015-06-22,23429.157172491134
2015-06-23,23532.183723407183
2015-06-24,24087.074188319315
2015-06-25,23992.493669844145
2015-06-26,23324.107993208152
2015-06-27,23324.107993208152
2015-06-28,23324.107993208152
2015-06-29,23286.98394982499
2015-06-30,23345.37919825432
2015-07-01,23318.89699302127
2015-07-02,23913.547095540805
2015-07-03,23922.610984864474
2015-07-04,23922.610984864474
2015-07-05,23922.610984864474
2015-07-06,24047.871207198667
2015-07-07,23995.956571742096
2015-07-08,23954.974035180698
2015-07-09,23961.157851128264
2015-07-10,23897.93784659284
2015-07-11,23897.93784659284
2015-07-12,23897.93784659284
2015-07-13,23862.544964536886
2015-07-14,23235.591572455116
2015-07-15,23349.25267665695
2015-07-16,22892.71586683713
2015-07-17,23527.580408314396
2015-07-18,23527.580408314396
2015-07-19,23527.580408314396
2015-07-20,24001.804828676737
2015-07-21,24780.44701283906
2015-07-22,23993.131445186493
2015-07-23,23862.774118634232
2015-07-24,24243.260819527717
2015-07-25,24243.260819527717
2015-07-26,24243.260819527717
2015-07-27,24000.585092155496
2015-07-28,23358.688718728376
2015-07-29,24121.07903134715
2015-07-30,24023.016888036058
2015-07-31,24109.403477677028
2015-08-01,24109.40347767703
2015-08-02,24109.40347767703
2015-08-03,25076.506227083504
2015-08-04,25406.36246283051
2015-08-05,26290.193415268157
2015-08-06,26445.955743881117
2015-08-07,26121.921080729197
2015-08-08,26121.921080729197
2015-08-09,26121.921080729197
2015-08-10,26620.160911320927
2015-08-11,26902.1328655318
2015-08-12,26168.551265808037
2015-08-13,25772.701349348034
2015-08-14,26624.383117494668
2015-08-15,26624.383117494668
2015-08-16,26624.383117494668
2015-08-17,26234.355900612652
2015-08-18,26916.58777397137
2015-08-19,27625.299125753238
2015-08-20,27970.735115149462
2015-08-21,27840.208927516884
2015-08-22,27840.208927516884
2015-08-23,27840.208927516884
2015-08-24,26214.619172922667
2015-08-25,25806.46580375597
2015-08-26,25619.054775145898
2015-08-27,26161.814075177266
2015-08-28,26562.833154559616
2015-08-29,26562.833154559616
2015-08-30,26562.833154559616
2015-08-31,26189.43660770252
2015-09-01,25376.52483318236
2015-09-02,25927.071205995107
2015-09-03,26457.30474268926
2015-09-04,25708.506035382343
2015-09-05,25708.506035382343
2015-09-06,25708.506035382343
2015-09-07,25043.552894828306
2015-09-08,26037.8662723893
2015-09-09,26280.06610321458
2015-09-10,26084.380730957473
2015-09-11,25475.623000080534
2015-09-12,25475.623000080534
2015-09-13,25475.623000080534
2015-09-14,25561.80554496178
2015-09-15,25916.513681605284
2015-09-16,25112.195660879966
2015-09-17,25112.195660879966
2015-09-18,26100.467907131515
2015-09-19,26100.467907131515
2015-09-20,26100.467907131515
2015-09-21,25985.63866555965
2015-09-22,26131.737513508506
2015-09-23,26667.088051867926
2015-09-24,26407.097645766557
2015-09-25,26407.097645766557
2015-09-26,26407.097645766557
2015-09-27,26407.097645766557
2015-09-28,26253.419964790693
2015-09-29,25627.23844648305
2015-09-30,25281.52065050858
2015-10-01,25206.39864139808
2015-10-02,25206.39864139808
2015-10-03,25206.39864139808
2015-10-04,25206.39864139808
2015-10-05,25366.22422649664
2015-10-06,25493.505923975797
2015-10-07,26586.18749197445
2015-10-08,26586.44605899184
2015-10-09,25892.996387806277
2015-10-10,25892.996387806277
2015-10-11,25892.996387806277
2015-10-12,25540.25518178149
2015-10-13,25127.767363790706
2015-10-14,25077.164402363196
2015-10-15,25571.29965676825
2015-10-16,25452.828471879788
2015-10-17,25452.828471879788
2015-10-18,25452.828471879788
2015-10-19,26116.183898487947
2015-10-20,25655.301371459893
2015-10-21,25755.96048186956
2015-10-22,25755.96048186956
2015-10-23,26971.92169705211
2015-10-24,26971.92169705211
2015-10-25,26971.92169705211
2015-10-26,26313.64758202563
2015-10-27,26122.136577542984
2015-10-28,26448.89760978055
2015-10-29,26960.814514209713
2015-10-30,26819.266332844465
2015-10-31,26819.266332844465
2015-11-01,26819.26633284446
