,0
2015-05-01,16000.0
2015-05-02,16000.0
2015-05-03,16000.0
2015-05-04,16183.590988732643
2015-05-05,16249.199543293114
2015-05-06,15898.081522246655
2015-05-07,15725.76428747874
2015-05-08,15964.988053646468
2015-05-09,15964.988053646468
2015-05-10,15964.988053646468
2015-05-11,16155.608992379837
2015-05-12,15820.930706111536
2015-05-13,16227.55626063211
2015-05-14,16324.316432859734
2015-05-15,16325.44409318123
2015-05-16,16325.44409318123
2015-05-17,16325.44409318123
2015-05-18,16579.5098176795
2015-05-19,16600.991508155523
2015-05-20,16644.91827859627
2015-05-21,16632.568459289338
2015-05-22,16709.52100068573
2015-05-23,16709.52100068573
2015-05-24,16709.52100068573
2015-05-25,16694.882747728305
2015-05-26,16786.110347410588
2015-05-27,16765.539994834744
2015-05-28,16331.353925677178
2015-05-29,16178.084720585775
2015-05-30,16178.084720585775
2015-05-31,16178.084720585775
2015-06-01,15268.912829223123
2015-06-02,15113.529449633312
2015-06-03,12271.966536475655
2015-06-04,12640.454252968619
2015-06-05,12843.290935768258
2015-06-06,12843.290935768258
2015-06-07,12843.290935768258
2015-06-08,12080.653202897196
2015-06-09,11923.705457255863
2015-06-10,12107.952840489823
2015-06-11,11837.561587591692
2015-06-12,11747.781140171734
2015-06-13,11747.781140171734
2015-06-14,11747.781140171734
2015-06-15,12117.134303323768
2015-06-16,11911.873260483993
2015-06-17,11949.972670087063
2015-06-18,12143.76836760035
2015-06-19,11974.506898789265
2015-06-20,11974.506898789265
2015-06-21,11974.506898789265
2015-06-22,12070.811705556815
2015-06-23,12329.286082511062
2015-06-24,12218.99975699051
2015-06-25,12356.291835960692
2015-06-26,12502.509236128182
2015-06-27,12502.509236128182
2015-06-28,12502.509236128182
2015-06-29,12264.18717156376
2015-06-30,12276.357251265395
2015-07-01,12301.443406708177
2015-07-02,12485.144353267486
2015-07-03,12519.112868008731
2015-07-04,12519.112868008731
2015-07-05,12519.112868008731
2015-07-06,12698.380915763304
2015-07-07,12684.45671086103
2015-07-08,12491.842413273198
2015-07-09,12634.237840864596
2015-07-10,12613.84344246281
2015-07-11,12613.84344246281
2015-07-12,12613.84344246281
2015-07-13,12860.150749541452
2015-07-14,12878.061138761012
2015-07-15,12929.960109182492
2015-07-16,12979.892027788279
2015-07-17,13279.556043284323
2015-07-18,13279.556043284323
2015-07-19,13279.556043284323
2015-07-20,14528.702837088258
2015-07-21,14408.294796274982
2015-07-22,14645.001179234088
2015-07-23,14598.14366922915
2015-07-24,14340.594934857583
2015-07-25,14340.594934857583
2015-07-26,14340.594934857583
2015-07-27,14151.257232028585
2015-07-28,14323.66227900458
2015-07-29,14645.035187911759
2015-07-30,14802.209459933747
2015-07-31,14825.642018934637
2015-08-01,14825.642018934635
2015-08-02,14825.642018934635
2015-08-03,14928.395941960758
2015-08-04,14781.919107895554
2015-08-05,15105.555242647797
2015-08-06,14899.858774966893
2015-08-07,14577.384358546573
2015-08-08,14577.384358546573
2015-08-09,14577.384358546573
2015-08-10,14614.104983626552
2015-08-11,14353.83991808457
2015-08-12,13619.449402449127
2015-08-13,13453.199070269882
2015-08-14,14036.979836927569
2015-08-15,14036.979836927569
2015-08-16,14036.979836927569
2015-08-17,14695.859946200515
2015-08-18,14362.529364947692
2015-08-19,14282.626211202256
2015-08-20,13585.450425208779
2015-08-21,13548.723604393152
2015-08-22,13548.723604393152
2015-08-23,13548.723604393152
2015-08-24,12159.400808748094
2015-08-25,12478.10856895693
2015-08-26,12460.534274732832
2015-08-27,12967.50357486992
2015-08-28,12759.627866324025
2015-08-29,12759.627866324025
2015-08-30,12759.627866324025
2015-08-31,12690.081839922364
2015-09-01,12230.112815955745
2015-09-02,12154.505747063884
2015-09-03,12325.235089009098
2015-09-04,11751.55516909063
2015-09-05,11751.55516909063
2015-09-06,11751.55516909063
2015-09-07,11255.356135851562
2015-09-08,11480.43601294974
2015-09-09,12008.94543172333
2015-09-10,12027.158804827948
2015-09-11,12121.111811359631
2015-09-12,12121.111811359631
2015-09-13,12121.111811359631
2015-09-14,12292.548114172863
2015-09-15,12483.158053612726
2015-09-16,12494.755683726933
2015-09-17,12494.755683726933
2015-09-18,12690.468817768604
2015-09-19,12690.468817768604
2015-09-20,12690.468817768604
2015-09-21,13041.07852187681
2015-09-22,12623.517334649405
2015-09-23,13211.300748194906
2015-09-24,13283.246958426016
2015-09-25,13283.246958426016
2015-09-26,13283.246958426016
2015-09-27,13283.246958426016
2015-09-28,13043.323435190494
2015-09-29,13308.929300590364
2015-09-30,13326.597860898308
2015-10-01,13254.58386216827
2015-10-02,13254.58386216827
2015-10-03,13254.58386216827
2015-10-04,13254.58386216827
2015-10-05,13503.014730199298
2015-10-06,13656.558431409927
2015-10-07,13769.726769575633
2015-10-08,13925.407851608983
2015-10-09,14182.926293187302
2015-10-10,14182.926293187302
2015-10-11,14182.926293187302
2015-10-12,13834.12631727157
2015-10-13,13800.336415622498
2015-10-14,13729.03635028368
2015-10-15,13669.651277799905
2015-10-16,13694.030272968088
2015-10-17,13694.030272968088
2015-10-18,13694.030272968088
2015-10-19,13981.311523385219
2015-10-20,13800.92483784286
2015-10-21,13991.525671039637
2015-10-22,13991.525671039637
2015-10-23,13830.771647379628
2015-10-24,13830.771647379628
2015-10-25,13830.771647379628
2015-10-26,13592.835280552506
2015-10-27,13442.750694573584
2015-10-28,13364.37029904352
2015-10-29,13346.093831101462
2015-10-30,13322.136789492288
2015-10-31,13322.136789492288
2015-11-01,13322.136789492288
2015-11-02,13233.913766222919
2015-11-03,13090.38452789467
2015-11-04,13013.309514152006
2015-11-05,12660.372662327292
2015-11-06,12553.447897439502
2015-11-07,12553.447897439502
2015-11-08,12553.447897439502
2015-11-09,12688.307848430737
2015-11-10,12490.882306280291
2015-11-11,12490.882306280291
2015-11-12,12490.882306280291
2015-11-13,12683.76404574187
2015-11-14,12683.76404574187
2015-11-15,12683.76404574187
2015-11-16,12794.742288861915
2015-11-17,12864.934352963739
2015-11-18,12785.222767978215
2015-11-19,12950.607580135624
2015-11-20,13135.215533140072
2015-11-21,13135.215533140072
2015-11-22,13135.215533140072
