,0
2015-06-01,8041.119900970739
2015-06-02,7903.449451233239
2015-06-03,7667.360354658752
2015-06-04,7629.193503901607
2015-06-05,7640.188385543078
2015-06-06,7640.188385543078
2015-06-07,7640.188385543078
2015-06-08,7503.433776466139
2015-06-09,7389.404139806041
2015-06-10,7466.3566465120075
2015-06-11,7350.031654063609
2015-06-12,7279.567743046566
2015-06-13,7279.567743046566
2015-06-14,7279.567743046566
2015-06-15,7297.484630370799
2015-06-16,7354.048521434975
2015-06-17,7400.648103551224
2015-06-18,7514.912056887676
2015-06-19,7561.356218138294
2015-06-20,7561.356218138294
2015-06-21,7561.356218138294
2015-06-22,7735.4096052697305
2015-06-23,7712.566774053823
2015-06-24,7660.47952642824
2015-06-25,7650.0095330533995
2015-06-26,7698.022773901773
2015-06-27,7698.022773901773
2015-06-28,7698.022773901773
2015-06-29,7519.338922062426
2015-06-30,7519.338922062426
2015-07-01,7563.65124519275
2015-07-02,7548.784926662355
2015-07-03,8121.684550707987
2015-07-04,8121.684550707987
2015-07-05,8121.684550707987
2015-07-06,8214.669078145582
2015-07-07,8773.482099515464
2015-07-08,8137.227270053009
2015-07-09,7593.423686009033
2015-07-10,7153.239427521263
2015-07-11,7153.239427521263
2015-07-12,7153.239427521263
2015-07-13,7203.721817429922
2015-07-14,6696.528201455692
2015-07-15,7286.617914440605
2015-07-16,7355.470340484841
2015-07-17,7494.983015113778
2015-07-18,7494.983015113778
2015-07-19,7494.983015113778
2015-07-20,8103.04936196171
2015-07-21,8541.892009467438
2015-07-22,9155.083298998896
2015-07-23,9734.587209199994
2015-07-24,10294.744466358912
2015-07-25,10294.744466358912
2015-07-26,10294.744466358912
2015-07-27,9720.6708832787
2015-07-28,10249.11950069266
2015-07-29,10870.91388261547
2015-07-30,10338.68067023737
2015-07-31,10338.68067023737
2015-08-01,10338.680670237369
2015-08-02,10338.680670237369
2015-08-03,10225.597815357929
2015-08-04,10165.84858560513
2015-08-05,10196.136648987174
2015-08-06,10211.925861192429
2015-08-07,10190.68911418804
2015-08-08,10190.68911418804
2015-08-09,10190.68911418804
2015-08-10,10204.05621065605
2015-08-11,10202.590505890767
2015-08-12,9985.411226819164
2015-08-13,9794.539831687205
2015-08-14,9924.166131749129
2015-08-15,9924.166131749129
2015-08-16,9924.166131749129
2015-08-17,9834.587071053264
2015-08-18,10071.327288057295
2015-08-19,10264.232254138426
2015-08-20,9907.047415203864
2015-08-21,9890.987814591392
2015-08-22,9890.987814591392
2015-08-23,9890.987814591392
2015-08-24,9156.99854172772
2015-08-25,9265.47252642711
2015-08-26,9206.868403750894
2015-08-27,9408.196368646577
2015-08-28,9460.413869813605
2015-08-29,9460.413869813605
2015-08-30,9460.413869813605
2015-08-31,9460.413869813605
2015-09-01,9415.533187109126
2015-09-02,9435.669577920546
2015-09-03,9541.382690515551
2015-09-04,9347.879902255132
2015-09-05,9347.879902255132
2015-09-06,9347.879902255132
2015-09-07,8805.862956621802
2015-09-08,8457.172137017677
2015-09-09,8141.483758979264
2015-09-10,8076.199929763758
2015-09-11,8089.212421841781
2015-09-12,8089.212421841781
2015-09-13,8089.212421841781
2015-09-14,8091.705597632996
2015-09-15,8024.918123555217
2015-09-16,8046.23771337375
2015-09-17,8046.23771337375
2015-09-18,8055.9067977708
2015-09-19,8055.9067977708
2015-09-20,8055.9067977708
2015-09-21,8594.620696268134
2015-09-22,8148.6656745471555
2015-09-23,8539.82695342735
2015-09-24,8103.001702606433
2015-09-25,8103.001702606433
2015-09-26,8103.001702606433
2015-09-27,8103.001702606433
2015-09-28,8088.163343317023
2015-09-29,8053.834259889129
2015-09-30,8053.834259889129
