,0
2015-02-02,31905.178935240376
2015-02-03,32039.730522899314
2015-02-04,32106.833581260118
2015-02-05,32011.05130779908
2015-02-06,31852.420424819753
2015-02-07,31852.420424819753
2015-02-08,31852.420424819753
2015-02-09,31699.86251409611
2015-02-10,31202.780392290468
2015-02-11,31352.0856346806
2015-02-12,32040.969640961222
2015-02-13,31633.345566395335
2015-02-14,31633.345566395335
2015-02-15,31633.345566395335
2015-02-16,31104.19069349429
2015-02-17,31104.19069349429
2015-02-18,30909.07510706857
2015-02-19,30934.275913882942
2015-02-20,31917.015526662115
2015-02-21,31917.015526662115
2015-02-22,31917.015526662115
2015-02-23,31025.148294831713
2015-02-24,30942.10091248974
2015-02-25,31166.945003216028
2015-02-26,30806.31954036651
2015-02-27,30900.730303289638
2015-02-28,30900.730303289638
2015-03-01,30900.730303289638
2015-03-02,31054.12541197425
2015-03-03,30184.27579826848
2015-03-04,30155.03251958717
2015-03-05,29971.715691342648
2015-03-06,29971.715691342648
2015-03-07,29971.715691342648
2015-03-08,29971.715691342648
2015-03-09,29767.73227903829
2015-03-10,29933.066352723337
2015-03-11,29993.350517177005
2015-03-12,29125.057346377413
2015-03-13,29402.117305181753
2015-03-14,29402.117305181753
2015-03-15,29402.117305181753
2015-03-16,29310.28464656739
2015-03-17,29478.501850540302
2015-03-18,29555.702651385895
2015-03-19,29229.35940900278
2015-03-20,29330.646715331466
2015-03-21,29330.646715331466
2015-03-22,29330.646715331466
2015-03-23,29272.008313953404
2015-03-24,28991.45869340532
2015-03-25,28966.73976569851
2015-03-26,28970.19764491348
2015-03-27,28704.7400686229
2015-03-28,28704.7400686229
2015-03-29,28704.7400686229
2015-03-30,28987.181444166315
2015-03-31,29065.098612388443
2015-04-01,29092.24147777581
2015-04-02,29092.24147777581
2015-04-03,29092.24147777581
2015-04-04,29092.24147777581
2015-04-05,29092.24147777581
2015-04-06,29431.43986535396
2015-04-07,28989.23366543628
2015-04-08,30249.512180622747
2015-04-09,28923.75695489423
2015-04-10,29320.60900738866
2015-04-11,29320.60900738866
