,0
2015-02-02,23900.89925144247
2015-02-03,24003.616536269932
2015-02-04,24149.30522801879
2015-02-05,24052.161593562076
2015-02-06,23820.47576800541
2015-02-07,23820.47576800541
2015-02-08,23820.47576800541
2015-02-09,23776.946917583504
2015-02-10,23992.638764614174
2015-02-11,24167.667839111622
2015-02-12,24629.217982592232
2015-02-13,24536.549796532046
2015-02-14,24536.549796532046
2015-02-15,24536.549796532046
2015-02-16,23934.41366204833
2015-02-17,23934.41366204833
2015-02-18,24230.31787630201
2015-02-19,24227.9684250326
2015-02-20,24706.716127595937
2015-02-21,24706.716127595937
2015-02-22,24706.716127595937
2015-02-23,23924.178129526415
2015-02-24,24047.042706571687
2015-02-25,24009.515567099876
2015-02-26,23603.663951468632
2015-02-27,24006.26457914723
2015-02-28,24006.26457914723
2015-03-01,24006.26457914723
2015-03-02,24177.836420417476
2015-03-03,23638.318932689195
2015-03-04,23283.316805023518
2015-03-05,23239.82580175872
2015-03-06,23239.82580175872
2015-03-07,23239.82580175872
2015-03-08,23239.82580175872
2015-03-09,23201.700480047097
2015-03-10,23220.73895420153
2015-03-11,23055.243227857405
2015-03-12,22088.196687694923
2015-03-13,22435.83366216588
2015-03-14,22435.83366216588
2015-03-15,22435.83366216588
2015-03-16,22514.689095041405
2015-03-17,22595.51687492973
2015-03-18,22834.21374713073
2015-03-19,22615.448979272107
2015-03-20,22570.726405345224
2015-03-21,22570.726405345224
2015-03-22,22570.726405345224
2015-03-23,22566.610179403495
2015-03-24,22552.279851386622
2015-03-25,22548.970478054274
2015-03-26,22551.698535057538
2015-03-27,22536.413266022733
2015-03-28,22536.413266022733
2015-03-29,22536.413266022733
2015-03-30,22588.03024834274
2015-03-31,22597.523305836807
2015-04-01,22601.333969502906
2015-04-02,22601.333969502906
2015-04-03,22601.333969502906
2015-04-04,22601.333969502906
2015-04-05,22601.333969502906
2015-04-06,22459.664803419648
2015-04-07,22333.68391569905
2015-04-08,22991.980814363706
2015-04-09,22199.63484179704
2015-04-10,22307.08739797395
2015-04-11,22307.08739797395
2015-04-12,22307.08739797395
2015-04-13,22807.803899074803
2015-04-14,22807.803899074803
2015-04-15,23360.70755031173
2015-04-16,23089.120995713965
2015-04-17,23212.169425900654
2015-04-18,23212.169425900654
2015-04-19,23212.169425900654
2015-04-20,22967.152490801633
2015-04-21,22596.556658607853
2015-04-22,22674.494177654648
2015-04-23,22687.87298049788
2015-04-24,22542.647591064582
2015-04-25,22542.647591064582
2015-04-26,22542.647591064582
2015-04-27,22128.76911707911
2015-04-28,22400.697694304607
2015-04-29,22633.429223067462
2015-04-30,22680.26449532887
2015-05-01,22680.26449532887
2015-05-02,22680.26449532887
2015-05-03,22680.26449532887
2015-05-04,22927.86670187242
2015-05-05,22817.834582853826
2015-05-06,22585.57442388389
2015-05-07,22521.27361077115
2015-05-08,22442.63971224718
2015-05-09,22442.63971224718
2015-05-10,22442.63971224718
2015-05-11,22419.650873447084
2015-05-12,22323.143295081063
2015-05-13,22244.975088357245
2015-05-14,22350.012767662236
2015-05-15,22464.43957672338
2015-05-16,22464.43957672338
2015-05-17,22464.43957672338
2015-05-18,22473.696541934274
2015-05-19,22661.066770464127
2015-05-20,22473.291355712212
2015-05-21,22826.005122141505
2015-05-22,22336.98374295886
2015-05-23,22336.98374295886
2015-05-24,22336.98374295886
2015-05-25,22767.79779310844
2015-05-26,22721.53316995374
2015-05-27,23094.43898218107
2015-05-28,22508.72242663138
2015-05-29,22574.48649759798
2015-05-30,22574.48649759798
2015-05-31,22574.48649759798
2015-06-01,23497.492263122807
2015-06-02,23163.180402867187
2015-06-03,22117.016040968923
2015-06-04,22132.938267486184
2015-06-05,22910.921048533346
2015-06-06,22910.921048533346
2015-06-07,22910.921048533346
2015-06-08,23096.838101983107
2015-06-09,22887.935984844946
2015-06-10,22787.851006385776
2015-06-11,22705.453232655716
2015-06-12,22378.30688500462
2015-06-13,22378.30688500462
2015-06-14,22378.30688500462
2015-06-15,22517.34766810439
2015-06-16,22349.26730827632
2015-06-17,22725.941093793474
2015-06-18,22549.998626196666
2015-06-19,23189.447684417813
2015-06-20,23189.447684417813
2015-06-21,23189.447684417813
2015-06-22,23077.91161745542
2015-06-23,23433.842800940976
2015-06-24,23595.844656056583
2015-06-25,23092.942206972748
2015-06-26,22824.05467245122
2015-06-27,22824.05467245122
2015-06-28,22824.05467245122
2015-06-29,22234.1303137602
2015-06-30,22093.855686461433
2015-07-01,22722.64126741629
2015-07-02,23523.92589941438
2015-07-03,23424.00493277944
2015-07-04,23424.00493277944
2015-07-05,23424.00493277944
2015-07-06,23471.215726333365
2015-07-07,27205.834056509353
2015-07-08,27287.26529784207
2015-07-09,27159.21380165076
2015-07-10,26712.018160970914
2015-07-11,26712.018160970914
2015-07-12,26712.018160970914
2015-07-13,26237.86618150481
2015-07-14,26055.921015776315
2015-07-15,26255.382047913998
2015-07-16,27708.602016054792
2015-07-17,27841.862102693714
2015-07-18,27841.862102693714
2015-07-19,27841.862102693714
2015-07-20,27853.137575286695
2015-07-21,27644.526042832018
2015-07-22,27509.684948401416
2015-07-23,27316.167711747272
2015-07-24,27268.22981066895
2015-07-25,27268.22981066895
2015-07-26,27268.22981066895
2015-07-27,27219.366657784245
2015-07-28,27176.64004463864
2015-07-29,27298.25490881609
2015-07-30,26297.632615640596
2015-07-31,26343.752704540628
2015-08-01,26343.752704540628
2015-08-02,26343.752704540628
2015-08-03,26697.92405814084
2015-08-04,26698.66023793543
2015-08-05,26166.532431494627
2015-08-06,25721.743866011857
2015-08-07,26968.835323057865
2015-08-08,26968.835323057865
2015-08-09,26968.835323057865
2015-08-10,25799.525140077923
2015-08-11,24568.19230341365
2015-08-12,23755.202726215768
2015-08-13,24909.223350187793
2015-08-14,24910.7034364415
2015-08-15,24910.7034364415
2015-08-16,24910.7034364415
2015-08-17,24912.629367668655
2015-08-18,25821.582704077613
2015-08-19,25820.617513612327
2015-08-20,25830.385760151206
2015-08-21,26177.16333817388
2015-08-22,26177.16333817388
2015-08-23,26177.16333817388
2015-08-24,26492.083022969382
2015-08-25,26517.904299978403
2015-08-26,26652.187316438474
2015-08-27,27847.733879739706
2015-08-28,27959.5318172137
2015-08-29,27959.5318172137
2015-08-30,27959.5318172137
2015-08-31,27912.08987090378
2015-09-01,28405.20814239791
2015-09-02,29230.827403623465
2015-09-03,28731.22752367975
2015-09-04,27388.308203844485
2015-09-05,27388.308203844485
2015-09-06,27388.308203844485
2015-09-07,27092.308741300476
2015-09-08,26622.7828589012
2015-09-09,26679.97259320821
2015-09-10,25679.379634012865
2015-09-11,26677.781959142987
2015-09-12,26677.781959142987
2015-09-13,26677.781959142987
2015-09-14,26698.6247593695
2015-09-15,26588.216397554697
2015-09-16,26760.955159251058
2015-09-17,26760.955159251058
2015-09-18,26578.826439861914
2015-09-19,26578.826439861914
2015-09-20,26578.826439861914
2015-09-21,26757.99616900705
2015-09-22,26889.263618111872
2015-09-23,26322.27619912818
2015-09-24,26681.4807341844
2015-09-25,26681.4807341844
2015-09-26,26681.4807341844
2015-09-27,26681.4807341844
2015-09-28,26740.16158397726
2015-09-29,26300.42914500402
2015-09-30,26353.06674232884
2015-10-01,26971.404649634453
2015-10-02,26971.404649634453
2015-10-03,26971.404649634453
2015-10-04,26971.404649634453
2015-10-05,26690.385785008002
2015-10-06,26764.398969001883
2015-10-07,27224.682963403953
2015-10-08,27006.58288555727
2015-10-09,26894.67312967967
2015-10-10,26894.67312967967
2015-10-11,26894.67312967967
2015-10-12,27124.74174947282
2015-10-13,26928.69149215382
2015-10-14,26898.820992215668
2015-10-15,27405.08735926781
2015-10-16,27238.962557312127
2015-10-17,27238.962557312127
2015-10-18,27238.962557312127
2015-10-19,27317.84530565907
2015-10-20,27349.57990595615
2015-10-21,27147.741909987148
2015-10-22,27147.741909987148
2015-10-23,27019.795411043662
2015-10-24,27019.795411043662
2015-10-25,27019.795411043662
2015-10-26,26958.92270967637
2015-10-27,27116.220438179887
2015-10-28,26797.23074505275
2015-10-29,26995.607439662926
2015-10-30,26783.534709124266
2015-10-31,26783.534709124266
2015-11-01,26783.534709124266
2015-11-02,26465.9421750322
2015-11-03,26255.69298200196
2015-11-04,26207.705374447964
2015-11-05,25822.083036102893
2015-11-06,25294.74111770983
2015-11-07,25294.74111770983
2015-11-08,25294.74111770983
2015-11-09,25681.390073248804
2015-11-10,25422.1513548024
2015-11-11,25422.1513548024
2015-11-12,25422.1513548024
2015-11-13,25412.30375078488
2015-11-14,25412.30375078488
2015-11-15,25412.30375078488
2015-11-16,25310.67888555556
2015-11-17,25803.024927421266
2015-11-18,25591.35876698669
2015-11-19,25856.113259580452
2015-11-20,26004.114538463575
2015-11-21,26004.114538463575
2015-11-22,26004.114538463575
2015-11-23,26201.327888309184
2015-11-24,26477.085735843066
2015-11-25,26477.085735843066
2015-11-26,26534.446910932733
2015-11-27,26753.499723689085
2015-11-28,26753.499723689085
2015-11-29,26753.499723689085
2015-11-30,26278.398858004315
2015-12-01,26710.678024691228
2015-12-02,26404.757264762855
2015-12-03,27013.225644208746
2015-12-04,27233.3980776789
2015-12-05,27233.3980776789
2015-12-06,27233.3980776789
2015-12-07,27433.398981029397
2015-12-08,27096.021989167155
2015-12-09,26733.255268644338
2015-12-10,26703.843826141136
2015-12-11,26712.846565921573
2015-12-12,26712.846565921573
2015-12-13,26712.846565921573
2015-12-14,26531.04054924853
2015-12-15,26684.742566713147
2015-12-16,26648.50852824188
2015-12-17,27673.73101058234
2015-12-18,27548.611102497936
2015-12-19,27548.611102497936
2015-12-20,27548.611102497936
2015-12-21,27550.52910397944
2015-12-22,27565.91398935883
2015-12-23,27582.316076851752
2015-12-24,27589.549836795803
2015-12-25,27589.549836795803
