,0
2015-01-26,16000.0
2015-01-27,23874.417294937168
2015-01-28,23934.15698062822
2015-01-29,23909.413882457502
2015-01-30,23961.58674958936
2015-01-31,23961.58674958936
2015-02-01,23961.58674958936
2015-02-02,24290.775180181023
2015-02-03,24091.887234616588
2015-02-04,24109.775333238453
2015-02-05,24205.708556957106
2015-02-06,24067.180595033853
2015-02-07,24067.180595033853
2015-02-08,24067.180595033853
2015-02-09,24053.94041063728
2015-02-10,23877.425808425513
2015-02-11,24095.97486547269
2015-02-12,24340.863691976872
2015-02-13,24499.936938171923
2015-02-14,24499.936938171923
2015-02-15,24499.936938171923
2015-02-16,24406.41478657996
2015-02-17,24406.41478657996
2015-02-18,24742.042923169465
2015-02-19,24887.78540569776
2015-02-20,24544.52653000267
2015-02-21,24544.52653000267
2015-02-22,24544.52653000267
2015-02-23,24398.453146215346
2015-02-24,24229.496928546203
2015-02-25,24281.48893079337
2015-02-26,24237.983087096265
2015-02-27,24836.01079849892
2015-02-28,24836.01079849892
2015-03-01,24836.01079849892
2015-03-02,24907.70254406606
2015-03-03,25003.416266777916
2015-03-04,24651.625442390916
2015-03-05,24706.721910431923
2015-03-06,24706.721910431923
2015-03-07,24706.721910431923
2015-03-08,24706.721910431923
2015-03-09,24726.171201307854
2015-03-10,24550.983951147155
2015-03-11,24563.325485728805
2015-03-12,24704.64149635214
2015-03-13,24069.914649903003
2015-03-14,24069.914649903003
2015-03-15,24069.914649903003
2015-03-16,23827.97399486286
2015-03-17,24067.326908718383
2015-03-18,24043.05847368428
2015-03-19,23828.56690403015
2015-03-20,23663.526364586483
2015-03-21,23663.526364586483
2015-03-22,23663.526364586483
2015-03-23,23592.93569092264
2015-03-24,23951.50864050512
2015-03-25,23916.530383754223
2015-03-26,23806.184440829653
2015-03-27,23366.201465778548
2015-03-28,23366.201465778548
2015-03-29,23366.201465778548
2015-03-30,23844.105568713643
2015-03-31,24060.21122842304
2015-04-01,24809.37476724908
2015-04-02,24809.37476724908
2015-04-03,24809.37476724908
2015-04-04,24809.37476724908
2015-04-05,24809.37476724908
2015-04-06,25150.77078400155
2015-04-07,25149.958200368434
2015-04-08,25749.562874461575
2015-04-09,25109.496413764362
2015-04-10,25293.031630495323
2015-04-11,25293.031630495323
2015-04-12,25293.031630495323
2015-04-13,25552.85204588938
2015-04-14,25552.85204588938
2015-04-15,25020.71993958685
2015-04-16,25017.169802314478
2015-04-17,24583.913483241933
2015-04-18,24583.913483241933
2015-04-19,24583.913483241933
2015-04-20,24395.914897135604
2015-04-21,24303.628759528354
2015-04-22,24427.919989500024
2015-04-23,24465.7443086083
2015-04-24,24089.79125078478
2015-04-25,24089.79125078478
2015-04-26,24089.79125078478
2015-04-27,23561.030508370684
2015-04-28,23926.76182671558
2015-04-29,23707.075852752852
2015-04-30,23605.47404889635
2015-05-01,23605.47404889635
2015-05-02,23605.47404889635
2015-05-03,23605.47404889635
2015-05-04,23847.775710777874
2015-05-05,24654.72869775217
2015-05-06,23913.986694847146
2015-05-07,23780.269863695437
2015-05-08,23984.699724461258
2015-05-09,23984.699724461258
2015-05-10,23984.699724461258
2015-05-11,24501.816050306756
2015-05-12,23064.792437476273
2015-05-13,23490.50408604382
2015-05-14,23824.803583997746
2015-05-15,23671.88545316299
2015-05-16,23671.88545316299
2015-05-17,23671.88545316299
2015-05-18,23734.508518524777
2015-05-19,23925.75571991176
2015-05-20,23700.353247848823
2015-05-21,22987.25143197217
2015-05-22,22945.689771027282
2015-05-23,22945.689771027282
2015-05-24,22945.689771027282
2015-05-25,22677.666643533637
2015-05-26,22729.3639738142
2015-05-27,22684.157092087647
2015-05-28,22685.58110898501
2015-05-29,23003.209255632326
2015-05-30,23003.209255632326
2015-05-31,23003.209255632326
2015-06-01,23178.453338862786
2015-06-02,22549.822476073445
2015-06-03,22365.93701355168
2015-06-04,22292.272602670215
2015-06-05,22275.126724657934
2015-06-06,22275.126724657934
2015-06-07,22275.126724657934
2015-06-08,22046.226178587338
2015-06-09,21960.443324270607
2015-06-10,22119.683331879387
2015-06-11,21769.496152060623
2015-06-12,21961.078357194783
2015-06-13,21961.078357194783
2015-06-14,21961.078357194783
2015-06-15,21837.276745184015
2015-06-16,21610.39743726537
2015-06-17,21685.862658496928
2015-06-18,22291.457511748864
2015-06-19,22437.41214276046
2015-06-20,22437.41214276046
2015-06-21,22437.41214276046
2015-06-22,22459.356636107725
2015-06-23,22442.790478557898
2015-06-24,22483.821242683392
2015-06-25,22748.816648184664
2015-06-26,22780.315544073783
2015-06-27,22780.315544073783
2015-06-28,22780.315544073783
2015-06-29,22785.925325692315
2015-06-30,22991.36310816921
2015-07-01,23068.965480207335
2015-07-02,23247.928523514885
2015-07-03,23323.978510474033
2015-07-04,23323.978510474033
2015-07-05,23323.978510474033
2015-07-06,23651.242587336346
2015-07-07,23494.296152557898
2015-07-08,23155.49746436027
2015-07-09,22902.84093149767
2015-07-10,23031.216111284557
2015-07-11,23031.216111284557
2015-07-12,23031.216111284557
2015-07-13,23259.64964354876
2015-07-14,23353.874317678878
2015-07-15,23481.419821656607
2015-07-16,23744.4182687157
2015-07-17,23864.401599358654
2015-07-18,23864.401599358654
2015-07-19,23864.401599358654
2015-07-20,24040.873643700197
2015-07-21,23748.02088776822
2015-07-22,24126.719918949446
2015-07-23,24008.0781589226
2015-07-24,23733.010738872992
2015-07-25,23733.010738872992
2015-07-26,23733.010738872992
2015-07-27,23381.09596457786
2015-07-28,23427.185589900328
2015-07-29,23676.01280281843
2015-07-30,23706.22261382208
2015-07-31,23449.917422277213
2015-08-01,23449.917422277213
2015-08-02,23449.917422277213
2015-08-03,23292.434629581716
2015-08-04,23493.772722570888
2015-08-05,23739.427852203695
2015-08-06,23692.19687734903
2015-08-07,23794.046975252953
2015-08-08,23794.046975252953
2015-08-09,23794.046975252953
2015-08-10,23592.221538536032
2015-08-11,23726.202544896078
2015-08-12,23948.28559078948
2015-08-13,24117.904822732882
2015-08-14,24107.46036507115
2015-08-15,24107.46036507115
2015-08-16,24107.46036507115
2015-08-17,24685.08840764611
2015-08-18,24988.63377888376
2015-08-19,24919.39184253882
2015-08-20,24485.55937869261
2015-08-21,24491.321508515743
2015-08-22,24491.321508515743
2015-08-23,24491.321508515743
2015-08-24,23311.49569574539
2015-08-25,23415.99142917541
2015-08-26,22871.840444308928
2015-08-27,23825.402347518124
2015-08-28,23726.23471064471
2015-08-29,23726.23471064471
2015-08-30,23726.23471064471
2015-08-31,24153.617205324626
2015-09-01,23125.212140740157
2015-09-02,23180.453975421282
2015-09-03,23365.643187336307
2015-09-04,23157.984072439725
2015-09-05,23157.984072439725
2015-09-06,23157.984072439725
2015-09-07,22427.843063895954
2015-09-08,22784.060438000455
2015-09-09,23011.59898343202
2015-09-10,22790.018828892396
2015-09-11,22765.940688998773
2015-09-12,22765.940688998773
2015-09-13,22765.940688998773
2015-09-14,22970.797689659186
2015-09-15,22659.7947543286
2015-09-16,22822.742248625553
2015-09-17,22822.742248625553
2015-09-18,23091.24936358613
2015-09-19,23091.24936358613
2015-09-20,23091.24936358613
2015-09-21,23124.94494392517
2015-09-22,22411.42861064126
2015-09-23,22572.938388302493
2015-09-24,22603.543923979887
2015-09-25,22603.543923979887
2015-09-26,22603.543923979887
2015-09-27,22603.543923979887
2015-09-28,22263.707719527643
2015-09-29,22548.846252488023
2015-09-30,22646.718533451138
2015-10-01,22616.75052507856
2015-10-02,22616.75052507856
2015-10-03,22616.75052507856
2015-10-04,22616.75052507856
2015-10-05,23008.55239487219
2015-10-06,22797.469233017095
2015-10-07,22698.706034473755
2015-10-08,22479.12168087746
2015-10-09,22496.723651008982
2015-10-10,22496.723651008982
2015-10-11,22496.723651008982
2015-10-12,22526.457145409106
2015-10-13,22400.75111010993
2015-10-14,22601.280645337923
2015-10-15,22798.104814826154
2015-10-16,22869.381144769286
2015-10-17,22869.381144769286
2015-10-18,22869.381144769286
2015-10-19,22700.058875948293
2015-10-20,22079.842562859085
2015-10-21,22404.814380094427
2015-10-22,22404.814380094427
2015-10-23,22285.2482054058
2015-10-24,22285.2482054058
2015-10-25,22285.2482054058
2015-10-26,22531.9704272631
2015-10-27,22361.539028171515
2015-10-28,22440.243871057464
2015-10-29,22559.098286505985
2015-10-30,22260.952171939003
2015-10-31,22260.952171939003
2015-11-01,22260.952171939003
2015-11-02,21824.76308673728
2015-11-03,21835.055105357125
2015-11-04,22257.764010615996
2015-11-05,21825.159587238493
2015-11-06,21499.988774768266
2015-11-07,21499.988774768266
2015-11-08,21499.988774768266
2015-11-09,21793.94749979967
2015-11-10,21340.978980501583
2015-11-11,21340.978980501583
2015-11-12,21340.978980501583
2015-11-13,21111.439316878554
2015-11-14,21111.439316878554
2015-11-15,21111.439316878554
2015-11-16,21025.627924312026
2015-11-17,21305.356416947125
2015-11-18,20925.501454209298
2015-11-19,21236.698989135606
2015-11-20,21065.2934963647
2015-11-21,21065.2934963647
2015-11-22,21065.2934963647
2015-11-23,21262.577922636796
2015-11-24,21105.444425085014
2015-11-25,21105.444425085014
2015-11-26,21714.420161300906
2015-11-27,21720.11403606605
2015-11-28,21720.11403606605
2015-11-29,21720.11403606605
2015-11-30,21685.667530508035
2015-12-01,21486.684008145385
2015-12-02,21498.34599132516
2015-12-03,21244.415732863457
2015-12-04,21045.83746290939
2015-12-05,21045.83746290939
2015-12-06,21045.83746290939
2015-12-07,21136.56655395662
2015-12-08,20202.288183042336
2015-12-09,20006.908897879934
2015-12-10,20320.78364398393
2015-12-11,20074.791967889647
2015-12-12,20074.791967889647
2015-12-13,20074.791967889647
2015-12-14,20322.55371167212
2015-12-15,20323.94152634382
2015-12-16,20383.898287860146
2015-12-17,20707.440890911872
2015-12-18,20519.83529709938
2015-12-19,20519.83529709938
2015-12-20,20519.83529709938
2015-12-21,20630.859947034765
2015-12-22,20632.455855171167
2015-12-23,21417.15147483827
2015-12-24,21454.66490547107
2015-12-25,21454.66490547107
