,0
2015-01-26,24000.0
2015-01-27,23828.201660460734
2015-01-28,23979.97760788411
2015-01-29,24525.208944895057
2015-01-30,24447.69212952973
2015-01-31,24447.69212952973
2015-02-01,24447.69212952973
2015-02-02,25178.801628973342
2015-02-03,25196.556035439447
2015-02-04,25229.827087755468
2015-02-05,24964.291108846803
2015-02-06,24946.7934180686
2015-02-07,24946.7934180686
2015-02-08,24946.7934180686
2015-02-09,24584.51761289067
2015-02-10,23238.853633041705
2015-02-11,22849.91369871921
2015-02-12,23759.008631314777
2015-02-13,23854.34881682946
2015-02-14,23854.34881682946
2015-02-15,23854.34881682946
2015-02-16,24172.482803764622
2015-02-17,24172.482803764622
2015-02-18,25031.71308805553
2015-02-19,24464.871107780742
2015-02-20,24419.45716900142
2015-02-21,24419.45716900142
2015-02-22,24419.45716900142
2015-02-23,25037.989724262945
2015-02-24,24404.11684393244
2015-02-25,24353.47332507119
2015-02-26,24721.79632167698
2015-02-27,24667.02238078182
2015-02-28,24667.02238078182
2015-03-01,24667.02238078182
2015-03-02,25538.360902564662
2015-03-03,25922.628691700367
2015-03-04,25176.094688602898
2015-03-05,25175.757023163533
2015-03-06,25175.757023163533
2015-03-07,25175.757023163533
2015-03-08,25175.757023163533
2015-03-09,26059.520723868547
2015-03-10,26806.58335226029
2015-03-11,26375.68862798027
2015-03-12,26848.675456498386
2015-03-13,26144.123799865833
2015-03-14,26144.123799865833
2015-03-15,26144.123799865833
2015-03-16,26620.39871257545
2015-03-17,26891.993792272224
2015-03-18,27420.056276738836
2015-03-19,26789.949671063165
2015-03-20,24977.93787078214
2015-03-21,24977.93787078214
2015-03-22,24977.93787078214
2015-03-23,24723.08828838615
2015-03-24,24257.61078501236
2015-03-25,23543.08007269668
2015-03-26,23035.143166617767
2015-03-27,22630.710040532853
2015-03-28,22630.710040532853
2015-03-29,22630.710040532853
2015-03-30,23840.27402400883
2015-03-31,24455.23391550134
2015-04-01,24688.45087916703
2015-04-02,24688.45087916703
2015-04-03,24688.45087916703
2015-04-04,24688.45087916703
2015-04-05,24688.45087916703
2015-04-06,24889.747904537966
