,0
2018-01-01,7987.211429394299
2018-01-02,8215.407141423253
2018-01-03,8236.845147173746
2018-01-04,8278.59811341405
2018-01-05,8141.307562481661
2018-01-06,8141.307562481661
2018-01-07,8141.307562481661
2018-01-08,8231.016800555904
2018-01-09,8097.677702021065
2018-01-10,7964.703073138883
2018-01-11,7845.785072310868
2018-01-12,8009.038175377642
2018-01-13,8009.038175377642
2018-01-14,8009.038175377642
2018-01-15,8162.082425249801
2018-01-16,8025.80567612301
2018-01-17,7853.354525858836
2018-01-18,7718.949060710727
2018-01-19,7591.2933918420795
2018-01-20,7591.2933918420795
2018-01-21,7591.2933918420795
2018-01-22,7454.898475964364
2018-01-23,7342.455103820572
2018-01-24,7232.81640469532
2018-01-25,7114.170997600122
2018-01-26,7114.170997600122
2018-01-27,7114.170997600122
2018-01-28,7114.170997600122
2018-01-29,7284.760431441038
2018-01-30,7438.511282776467
2018-01-31,7612.23753048582
2018-02-01,7668.968348700295
2018-02-02,7669.846984433087
2018-02-03,7669.846984433087
2018-02-04,7669.846984433087
2018-02-05,7553.309526203564
2018-02-06,7444.88024036783
2018-02-07,7238.294436782909
2018-02-08,7015.058257624776
2018-02-09,6784.189235928027
2018-02-10,6784.189235928027
2018-02-11,6784.189235928027
2018-02-12,6684.568654828061
2018-02-13,6684.568654828061
2018-02-14,6837.920884820289
2018-02-15,6990.987253022737
2018-02-16,7146.095695239235
2018-02-17,7146.095695239235
2018-02-18,7146.095695239235
2018-02-19,7023.937409911421
2018-02-20,7216.181401884792
2018-02-21,7397.312639384775
2018-02-22,7431.904855077837
2018-02-23,7330.1103279683
2018-02-24,7330.1103279683
2018-02-25,7330.1103279683
2018-02-26,7365.1307786378275
2018-02-27,7264.504313734366
2018-02-28,7296.901129269807
2018-03-01,7463.11419182303
2018-03-02,7463.11419182303
2018-03-03,7463.11419182303
2018-03-04,7463.11419182303
2018-03-05,7543.236274110193
2018-03-06,7701.574815795566
2018-03-07,7749.175340104512
2018-03-08,7808.955434136743
2018-03-09,7885.233931810852
2018-03-10,7885.233931810852
2018-03-11,7885.233931810852
2018-03-12,7886.349881359169
2018-03-13,8113.170229412819
2018-03-14,8194.090375802407
2018-03-15,8272.086815927025
2018-03-16,8333.02183063249
2018-03-17,8333.02183063249
2018-03-18,8333.02183063249
2018-03-19,8539.84751881164
2018-03-20,8683.542151620235
2018-03-21,8685.079972490314
2018-03-22,8689.959742088198
2018-03-23,8742.107098478637
2018-03-24,8742.107098478637
2018-03-25,8742.107098478637
2018-03-26,8667.540360100671
2018-03-27,8316.841125923898
2018-03-28,8230.175901631408
2018-03-29,8230.175901631408
2018-03-30,8230.175901631408
2018-03-31,8230.175901631408
2018-04-01,8230.175901631408
2018-04-02,8034.046721434075
2018-04-03,8058.459448739958
2018-04-04,7936.226404763127
2018-04-05,7790.024111361083
2018-04-06,7642.1972724946945
2018-04-07,7642.1972724946945
2018-04-08,7642.1972724946945
2018-04-09,7670.253538133367
2018-04-10,7747.821093389779
2018-04-11,7907.065588914849
2018-04-12,7958.706078803767
2018-04-13,7946.857750480386
2018-04-14,7946.857750480386
2018-04-15,7946.857750480386
2018-04-16,7982.3484546210075
2018-04-17,7802.683908609021
2018-04-18,7510.2500956411095
2018-04-19,7551.214485611223
2018-04-20,7476.587424676222
2018-04-21,7476.587424676222
2018-04-22,7476.587424676222
2018-04-23,7331.711409727495
2018-04-24,7292.176209841931
2018-04-25,7107.959285290832
2018-04-26,7056.569290268841
2018-04-27,7125.101530943328
2018-04-28,7125.101530943328
2018-04-29,7125.101530943328
2018-04-30,7076.678074235018
2018-05-01,7076.678074235018
2018-05-02,7278.578161677692
2018-05-03,7101.624247336955
2018-05-04,6987.591405723244
2018-05-05,6987.591405723244
2018-05-06,6987.591405723244
2018-05-07,6815.1951829325
2018-05-08,6717.484412599325
2018-05-09,6678.450874452236
2018-05-10,6696.854243145469
2018-05-11,6437.668722024961
2018-05-12,6437.668722024961
2018-05-13,6437.668722024961
2018-05-14,6524.7061565996355
2018-05-15,6629.752209696829
2018-05-16,6516.913565516193
2018-05-17,6474.405790348218
2018-05-18,6679.219212406994
2018-05-19,6679.219212406994
2018-05-20,6679.219212406994
2018-05-21,6661.217105590553
2018-05-22,6689.824371306673
2018-05-23,6666.9576954197955
2018-05-24,6760.340488755431
2018-05-25,6992.470956093665
2018-05-26,6992.470956093665
2018-05-27,6992.470956093665
2018-05-28,6974.235131187026
2018-05-29,6854.44463611863
2018-05-30,6904.665164814364
2018-05-31,6819.21310319914
2018-06-01,6597.520407994414
2018-06-02,6597.520407994414
2018-06-03,6597.520407994414
2018-06-04,6485.472854135604
2018-06-05,6330.6689268592345
2018-06-06,6274.946683078534
2018-06-07,6089.475467716932
2018-06-08,6406.563120628084
2018-06-09,6406.563120628084
2018-06-10,6406.563120628084
2018-06-11,6060.860721351051
2018-06-12,5982.7573107441885
2018-06-13,5870.4363630246435
2018-06-14,5835.6060008790555
2018-06-15,5998.581559374523
2018-06-16,5998.581559374523
2018-06-17,5998.581559374523
2018-06-18,5845.069743308797
2018-06-19,5842.792427244135
2018-06-20,5730.366552948085
2018-06-21,5814.1406215778015
2018-06-22,5888.7488653085065
2018-06-23,5888.7488653085065
2018-06-24,5888.7488653085065
2018-06-25,5752.55180695725
2018-06-26,5646.613840739498
2018-06-27,5652.115490957001
2018-06-28,5538.212985688638
