,0
2018-01-01,15997.618141558458
2018-01-02,16145.158433565108
2018-01-03,16392.99977704567
2018-01-04,16564.07037409795
2018-01-05,16766.390347505177
2018-01-06,16766.390347505177
2018-01-07,16766.390347505177
2018-01-08,16687.085334108124
2018-01-09,16457.600761349757
2018-01-10,16465.8898462652
2018-01-11,16760.36742378799
2018-01-12,16887.89442184857
2018-01-13,16887.89442184857
2018-01-14,16887.89442184857
2018-01-15,17000.005767567847
2018-01-16,16862.877462717894
2018-01-17,16848.4240155391
2018-01-18,16617.16725308732
2018-01-19,16429.384237010447
2018-01-20,16429.384237010447
2018-01-21,16429.384237010447
2018-01-22,16153.216618135946
2018-01-23,16002.981539624998
2018-01-24,15699.625012952989
2018-01-25,15502.444252231315
2018-01-26,15502.444252231315
2018-01-27,15502.444252231315
2018-01-28,15502.444252231315
2018-01-29,15193.124260641764
2018-01-30,14995.286846103054
2018-01-31,15128.312300405136
2018-02-01,15139.618349148273
2018-02-02,15208.356912723666
2018-02-03,15208.356912723666
2018-02-04,15208.356912723666
2018-02-05,15036.14235086026
2018-02-06,14942.348789405025
2018-02-07,15082.08019951624
2018-02-08,15433.451194084559
2018-02-09,15281.748500288526
2018-02-10,15281.748500288526
2018-02-11,15281.748500288526
2018-02-12,15303.062398140642
2018-02-13,15303.062398140642
2018-02-14,15479.611970986713
2018-02-15,15347.692301874798
2018-02-16,15032.927986340492
2018-02-17,15032.927986340492
2018-02-18,15032.927986340492
2018-02-19,14830.466837542364
2018-02-20,14631.47746651667
2018-02-21,14799.135956535718
2018-02-22,14621.553130088872
2018-02-23,14782.868517984876
2018-02-24,14782.868517984876
2018-02-25,14782.868517984876
2018-02-26,14835.120550586234
2018-02-27,14908.212437951717
2018-02-28,14893.35705384667
2018-03-01,15063.028333873379
2018-03-02,15063.028333873379
2018-03-03,15063.028333873379
2018-03-04,15063.028333873379
2018-03-05,14738.031804312775
2018-03-06,14512.012121581545
2018-03-07,14298.631840224996
2018-03-08,14116.196483828484
2018-03-09,14215.215742150502
2018-03-10,14215.215742150502
2018-03-11,14215.215742150502
2018-03-12,14107.902338798409
2018-03-13,14128.104922234368
2018-03-14,14457.645605187827
2018-03-15,14440.144350006367
2018-03-16,14279.813511705861
2018-03-17,14279.813511705861
2018-03-18,14279.813511705861
2018-03-19,14067.952212638776
2018-03-20,14010.855229310951
2018-03-21,13882.868868301179
2018-03-22,14036.758975109698
2018-03-23,13994.308895881339
2018-03-24,13994.308895881339
2018-03-25,13994.308895881339
2018-03-26,13813.796106826094
2018-03-27,13664.357354231155
2018-03-28,13817.031164906786
2018-03-29,13817.031164906786
2018-03-30,13817.031164906786
2018-03-31,13817.031164906786
2018-04-01,13817.031164906786
2018-04-02,14034.663697009832
2018-04-03,14258.42049100828
2018-04-04,14406.796616063031
2018-04-05,14611.099102141707
2018-04-06,14980.050243297967
2018-04-07,14980.050243297967
2018-04-08,14980.050243297967
2018-04-09,14809.512234701011
2018-04-10,14805.127490299317
2018-04-11,14613.780058604847
2018-04-12,14424.509951559125
2018-04-13,14231.815963126286
2018-04-14,14231.815963126286
2018-04-15,14231.815963126286
2018-04-16,14437.381648645376
2018-04-17,14430.28460715454
2018-04-18,14043.273942207357
2018-04-19,14125.435706408833
2018-04-20,14204.873093151109
2018-04-21,14204.873093151109
2018-04-22,14204.873093151109
2018-04-23,14033.4768607235
2018-04-24,14194.146036500015
2018-04-25,14151.462090844085
2018-04-26,14037.354585613597
2018-04-27,14030.732110348576
2018-04-28,14030.732110348576
2018-04-29,14030.732110348576
2018-04-30,13934.118057938414
2018-05-01,13934.118057938414
2018-05-02,13911.99913075129
2018-05-03,13736.49463926295
2018-05-04,13714.406162906598
2018-05-05,13714.406162906598
2018-05-06,13714.406162906598
2018-05-07,13736.693201855753
2018-05-08,13599.227282234042
2018-05-09,13577.53304510328
2018-05-10,13404.760771015128
2018-05-11,13538.186536997597
2018-05-12,13538.186536997597
2018-05-13,13538.186536997597
2018-05-14,13700.94737862541
2018-05-15,13528.19753301613
2018-05-16,13646.878376334676
2018-05-17,13353.621338426168
2018-05-18,13268.812330888704
2018-05-19,13268.812330888704
2018-05-20,13268.812330888704
2018-05-21,13223.073834593462
2018-05-22,13084.54351978714
2018-05-23,13356.443549609772
2018-05-24,13264.614988269306
2018-05-25,13474.072662857849
2018-05-26,13474.072662857849
2018-05-27,13474.072662857849
2018-05-28,13487.607464159768
2018-05-29,13601.957891544085
2018-05-30,13605.015409503974
2018-05-31,13795.33032409344
2018-06-01,13992.141486720851
2018-06-02,13992.141486720851
2018-06-03,13992.141486720851
2018-06-04,14284.558090707136
2018-06-05,14188.733290963231
2018-06-06,13897.544980886778
2018-06-07,13727.31383334969
2018-06-08,13597.606742278793
2018-06-09,13597.606742278793
2018-06-10,13597.606742278793
2018-06-11,13732.167253630003
2018-06-12,13814.510529870411
2018-06-13,13823.797266197846
2018-06-14,14164.53312646121
2018-06-15,13860.212239345155
2018-06-16,13860.212239345155
2018-06-17,13860.212239345155
2018-06-18,13661.834667181722
2018-06-19,13811.443407853287
2018-06-20,13938.436623090602
2018-06-21,13596.141794133877
2018-06-22,13764.80351898773
2018-06-23,13764.80351898773
2018-06-24,13764.80351898773
2018-06-25,13741.395704532986
2018-06-26,13583.34027153521
2018-06-27,13504.524648349965
2018-06-28,13469.11148731743
2018-06-29,13330.464976031195
2018-06-30,13330.464976031195
2018-07-01,13330.464976031195
2018-07-02,13310.612177075676
2018-07-03,13510.589575276768
2018-07-04,13513.423532062916
