,0
2019-01-01,32087.958374120553
2019-01-02,32051.182069666924
2019-01-03,31960.714185203193
2019-01-04,31961.806592381654
2019-01-05,31961.806592381654
2019-01-06,31961.806592381654
2019-01-07,31958.88000127177
2019-01-08,32009.309383709136
2019-01-09,31981.48932288233
2019-01-10,32051.773100770086
2019-01-11,32072.633325068906
2019-01-12,32072.633325068906
2019-01-13,32072.633325068906
2019-01-14,31988.20129822246
2019-01-15,32050.698396481013
2019-01-16,31992.364077749462
2019-01-17,31896.5113505194
2019-01-18,31765.360709474655
2019-01-19,31765.360709474655
2019-01-20,31765.360709474655
2019-01-21,31785.499791522583
2019-01-22,31713.027783045694
2019-01-23,31712.596241722822
2019-01-24,31630.99088224179
2019-01-25,31478.573546808755
2019-01-26,31478.573546808755
2019-01-27,31478.573546808755
2019-01-28,31287.87155878607
2019-01-29,31340.97698076854
2019-01-30,31352.824790574297
2019-01-31,31361.030834740268
2019-02-01,31381.96686734319
2019-02-02,31381.96686734319
2019-02-03,31381.96686734319
2019-02-04,31100.609670168215
2019-02-05,30832.2611437751
2019-02-06,30674.489976133846
2019-02-07,30770.791773838584
2019-02-08,30677.938721332153
2019-02-09,30677.938721332153
2019-02-10,30677.938721332153
2019-02-11,30571.19575433216
2019-02-12,30541.155163360625
2019-02-13,30541.155163360625
2019-02-14,30415.988978522037
2019-02-15,30265.72661271366
2019-02-16,30265.72661271366
2019-02-17,30265.72661271366
2019-02-18,30158.602543322297
2019-02-19,30181.281897458313
2019-02-20,30258.113739447836
2019-02-21,30526.216690853988
2019-02-22,30478.78549829244
2019-02-23,30478.78549829244
2019-02-24,30478.78549829244
2019-02-25,30499.315111652355
2019-02-26,30389.52706408283
2019-02-27,30506.86393239494
2019-02-28,30482.39020393297
2019-03-01,30839.784665642313
2019-03-02,30839.784665642313
2019-03-03,30839.784665642313
2019-03-04,30839.784665642313
2019-03-05,31108.916994666586
2019-03-06,31078.00705337737
2019-03-07,31258.587829364555
2019-03-08,31131.380875183073
2019-03-09,31131.380875183073
2019-03-10,31131.380875183073
2019-03-11,31526.64707553886
2019-03-12,31684.315133017844
2019-03-13,31552.128805923185
2019-03-14,31533.994585614782
2019-03-15,31384.492173435785
2019-03-16,31384.492173435785
2019-03-17,31384.492173435785
2019-03-18,31314.050974252612
2019-03-19,31307.243705225665
2019-03-20,31292.014455963934
2019-03-21,31292.014455963934
2019-03-22,31303.1467631374
2019-03-23,31303.1467631374
2019-03-24,31303.1467631374
2019-03-25,31154.417688067282
2019-03-26,31144.54896555156
2019-03-27,31284.878535790413
2019-03-28,31268.379759209518
2019-03-29,31268.379759209518
2019-03-30,31268.379759209518
2019-03-31,31268.379759209518
2019-04-01,31553.026808483846
2019-04-02,31420.20197967441
2019-04-03,31255.5868498853
2019-04-04,31238.096711514263
2019-04-05,31202.867753687977
2019-04-06,31202.867753687977
2019-04-07,31202.867753687977
2019-04-08,31263.082809814077
2019-04-09,31240.39778189842
2019-04-10,31203.716769026218
2019-04-11,31325.69756837562
2019-04-12,31326.892199914735
2019-04-13,31326.892199914735
2019-04-14,31326.892199914735
2019-04-15,31324.498683696256
2019-04-16,31386.03112240022
2019-04-17,31386.03112240022
2019-04-18,31130.446787785535
2019-04-19,31130.446787785535
2019-04-20,31130.446787785535
2019-04-21,31130.446787785535
2019-04-22,31011.22254403028
2019-04-23,30995.319400828586
2019-04-24,30904.487136381074
2019-04-25,30885.53870236012
