,0
2019-01-01,31952.166865006853
2019-01-02,31786.14530308998
2019-01-03,31767.164586877123
2019-01-04,31867.483523030183
2019-01-05,31867.483523030183
2019-01-06,31867.483523030183
2019-01-07,31883.267858551433
2019-01-08,31894.379940048126
2019-01-09,31831.77948562746
2019-01-10,31956.461637728047
2019-01-11,32011.672047633554
2019-01-12,32011.672047633554
2019-01-13,32011.672047633554
2019-01-14,31949.23891852283
2019-01-15,32010.99291982284
2019-01-16,31975.154508922595
2019-01-17,32010.87231834921
2019-01-18,32027.558230676488
2019-01-19,32027.558230676488
2019-01-20,32027.558230676488
2019-01-21,32004.409840051965
2019-01-22,31969.529008671707
2019-01-23,31943.978452403837
2019-01-24,31895.337858042974
2019-01-25,31835.265628368612
2019-01-26,31835.265628368612
2019-01-27,31835.265628368612
2019-01-28,31714.90384130136
2019-01-29,31729.658410855318
2019-01-30,31786.429903287022
2019-01-31,31802.068538934265
2019-02-01,31848.438965354206
2019-02-02,31848.438965354206
2019-02-03,31848.438965354206
2019-02-04,31915.446402707723
2019-02-05,31877.957997514102
2019-02-06,31880.718881419027
2019-02-07,31968.84464053125
2019-02-08,32031.989609334858
2019-02-09,32031.989609334858
2019-02-10,32031.989609334858
2019-02-11,32071.605403767426
2019-02-12,31968.0603191938
2019-02-13,31968.0603191938
2019-02-14,31962.69744800301
2019-02-15,31866.470323725254
2019-02-16,31866.470323725254
2019-02-17,31866.470323725254
2019-02-18,32142.900148262837
2019-02-19,32067.50557900804
2019-02-20,32073.321000671007
2019-02-21,32290.943928429377
2019-02-22,32477.344041586515
2019-02-23,32477.344041586515
2019-02-24,32477.344041586515
2019-02-25,32550.714553774473
2019-02-26,32364.45306197412
2019-02-27,32339.239435025345
2019-02-28,32377.063417628335
2019-03-01,32429.491830413266
2019-03-02,32429.491830413266
2019-03-03,32429.491830413266
2019-03-04,32429.491830413266
2019-03-05,32602.520874161055
2019-03-06,32589.890408809402
2019-03-07,32728.63240115597
2019-03-08,32969.41192825326
2019-03-09,32969.41192825326
2019-03-10,32969.41192825326
2019-03-11,32905.34852783275
2019-03-12,32912.452931882726
2019-03-13,32830.43520958504
2019-03-14,32760.054399885423
2019-03-15,32698.190256460253
2019-03-16,32698.190256460253
2019-03-17,32698.190256460253
2019-03-18,32581.417637576676
2019-03-19,32672.814894017843
2019-03-20,32646.78239031597
2019-03-21,32646.78239031597
2019-03-22,32693.839044670945
2019-03-23,32693.839044670945
2019-03-24,32693.839044670945
2019-03-25,32798.60695241095
2019-03-26,32773.315655887294
2019-03-27,32769.24760130813
2019-03-28,32821.480955432125
2019-03-29,32821.480955432125
2019-03-30,32821.480955432125
2019-03-31,32821.480955432125
2019-04-01,32926.99814967306
2019-04-02,32956.43425732455
2019-04-03,32861.95758784307
2019-04-04,32762.99653419533
2019-04-05,32884.36856656458
2019-04-06,32884.36856656458
2019-04-07,32884.36856656458
2019-04-08,32888.01980226243
2019-04-09,32766.12984349872
2019-04-10,32969.087181190145
2019-04-11,33078.23999544281
2019-04-12,33124.51741119564
2019-04-13,33124.51741119564
2019-04-14,33124.51741119564
2019-04-15,33174.8192095101
2019-04-16,33154.939773505415
2019-04-17,33154.939773505415
2019-04-18,33176.099049241166
2019-04-19,33176.099049241166
2019-04-20,33176.099049241166
2019-04-21,33176.099049241166
2019-04-22,33138.26224031749
2019-04-23,33177.867123229706
2019-04-24,33066.99403435539
2019-04-25,33118.44635814831
2019-04-26,32794.23382168616
2019-04-27,32794.23382168616
2019-04-28,32794.23382168616
2019-04-29,32794.23382168616
2019-04-30,32601.66807493908
2019-05-01,32601.66807493908
2019-05-02,32640.71283785625
2019-05-03,32582.38815551302
2019-05-04,32582.38815551302
