,0
2018-01-01,16128.51826781984
2018-01-02,16204.88644064756
2018-01-03,16392.158234128598
2018-01-04,16491.863646202888
2018-01-05,16526.32090634363
2018-01-06,16526.32090634363
2018-01-07,16526.32090634363
2018-01-08,16448.413800852155
2018-01-09,16260.689861800982
2018-01-10,16216.860251271328
2018-01-11,16368.629570482068
2018-01-12,16330.443113395228
2018-01-13,16330.443113395228
2018-01-14,16330.443113395228
2018-01-15,16247.599651471422
2018-01-16,16008.713263709269
2018-01-17,15971.935893999069
2018-01-18,15691.913383311772
2018-01-19,15700.085533530166
2018-01-20,15700.085533530166
2018-01-21,15700.085533530166
2018-01-22,15840.554311346299
2018-01-23,15810.056749688812
2018-01-24,15598.89383623131
2018-01-25,15497.159593171556
2018-01-26,15497.159593171556
2018-01-27,15497.159593171556
2018-01-28,15497.159593171556
2018-01-29,15346.423102758308
2018-01-30,15190.856731570912
2018-01-31,15217.967091615325
2018-02-01,15215.703355045222
2018-02-02,14911.879638296392
2018-02-03,14911.879638296392
2018-02-04,14911.879638296392
2018-02-05,14904.810503065306
2018-02-06,14768.982612012915
2018-02-07,14912.487039474414
2018-02-08,15128.304338161004
2018-02-09,15105.594832839246
2018-02-10,15105.594832839246
2018-02-11,15105.594832839246
2018-02-12,15140.370838704153
2018-02-13,15140.370838704153
2018-02-14,15198.827582829152
2018-02-15,15005.915393491901
2018-02-16,14841.027733845724
2018-02-17,14841.027733845724
2018-02-18,14841.027733845724
2018-02-19,14836.628684489267
2018-02-20,14885.326668616053
2018-02-21,14848.508507954448
2018-02-22,14793.188944180216
2018-02-23,14947.252285585007
2018-02-24,14947.252285585007
2018-02-25,14947.252285585007
2018-02-26,14975.805594705796
2018-02-27,14971.519528442377
2018-02-28,15011.227782872416
2018-03-01,15021.641447027401
2018-03-02,15021.641447027401
2018-03-03,15021.641447027401
2018-03-04,15021.641447027401
2018-03-05,14853.079528742512
2018-03-06,14716.137649793514
2018-03-07,14546.245162720903
2018-03-08,14466.320578314335
2018-03-09,14349.099965221141
2018-03-10,14349.099965221141
2018-03-11,14349.099965221141
2018-03-12,14408.887067600259
2018-03-13,14557.301135891863
2018-03-14,14562.51323984372
2018-03-15,14570.827971671519
2018-03-16,14441.676356680215
2018-03-17,14441.676356680215
2018-03-18,14441.676356680215
2018-03-19,14268.3168227642
2018-03-20,14210.872112804029
2018-03-21,14197.798302604984
2018-03-22,14066.214431308526
2018-03-23,13946.186390915027
2018-03-24,13946.186390915027
2018-03-25,13946.186390915027
2018-03-26,13973.923005047754
2018-03-27,14170.418709186117
2018-03-28,14091.388812052832
2018-03-29,14091.388812052832
2018-03-30,14091.388812052832
2018-03-31,14091.388812052832
2018-04-01,14091.388812052832
2018-04-02,14273.207305059173
2018-04-03,14336.660644195352
2018-04-04,14234.481633470474
2018-04-05,14388.46449256736
2018-04-06,14396.581870900533
2018-04-07,14396.581870900533
2018-04-08,14396.581870900533
2018-04-09,14423.153533173256
2018-04-10,14352.618536310201
2018-04-11,14373.91150057653
2018-04-12,14322.523617557152
2018-04-13,14530.272706230147
2018-04-14,14530.272706230147
2018-04-15,14530.272706230147
2018-04-16,14578.943031443276
2018-04-17,14595.001778828437
2018-04-18,14581.409140167318
2018-04-19,14579.791971709303
2018-04-20,14588.114666875696
2018-04-21,14588.114666875696
2018-04-22,14588.114666875696
2018-04-23,14645.840050628238
2018-04-24,14552.95552456496
2018-04-25,14423.209933360042
2018-04-26,14397.86379015602
2018-04-27,14406.579702522784
2018-04-28,14406.579702522784
2018-04-29,14406.579702522784
2018-04-30,14407.833130758758
2018-05-01,14407.833130758758
2018-05-02,14317.253305670256
