Date,Capital
2014-12-01,700816.2900939615
2014-12-02,700106.5660592498
2014-12-03,700790.204718682
2014-12-04,700978.4217966709
2014-12-05,699773.6826109895
2014-12-06,699773.6826109895
2014-12-07,699773.6826109895
2014-12-08,700105.1954455816
2014-12-09,700657.6514562003
2014-12-10,700564.4220026608
2014-12-11,700349.2004063941
2014-12-12,700350.1326200697
2014-12-13,700350.1326200697
2014-12-14,700350.1326200697
2014-12-15,699589.8142122314
2014-12-16,698901.7733591674
2014-12-17,699286.4109264675
2014-12-18,698601.2735377686
2014-12-19,697653.2795930783
2014-12-20,697653.2795930783
2014-12-21,697653.2795930783
2014-12-22,698242.3875278358
2014-12-23,698006.1253565932
2014-12-24,698168.9595156348
2014-12-25,698168.9595156348
2014-12-26,699085.5928582691
2014-12-27,699085.5928582691
2014-12-28,699085.5928582691
2014-12-29,699389.6547966327
2014-12-30,700026.5070978047
2014-12-31,701083.764506012
2015-01-01,702715.5813965142
2015-01-02,702512.6848262899
2015-01-03,702512.6848262899
2015-01-04,702512.6848262899
2015-01-05,701386.2056070731
2015-01-06,699678.6492957532
2015-01-07,699678.6542500255
2015-01-08,700350.4994214576
2015-01-09,699735.4529086886
2015-01-10,699735.4529086886
2015-01-11,699735.4529086886
2015-01-12,699223.6184632995
2015-01-13,698554.460987349
2015-01-14,696521.999013542
2015-01-15,696644.4531686567
2015-01-16,696313.8403981689
2015-01-17,696313.8403981689
2015-01-18,696313.8403981689
2015-01-19,697525.6403201674
2015-01-20,697450.3349444207
2015-01-21,696038.9699504334
2015-01-22,695026.4755484655
2015-01-23,693368.1588334877
2015-01-24,693368.1588334877
2015-01-25,693368.1588334877
2015-01-26,693368.1588334877
2015-01-27,692510.326082194
2015-01-28,692480.3344368387
2015-01-29,691939.5229779648
2015-01-30,691998.3417225927
2015-01-31,691998.3417225927
2015-02-01,691998.3417225927
2015-02-02,691925.8006138506
2015-02-03,691929.0748357414
2015-02-04,694081.0931532001
2015-02-05,694494.043859106
2015-02-06,694285.9943734005
2015-02-07,694285.9943734005
2015-02-08,694285.9943734005
2015-02-09,694611.3705776132
2015-02-10,691948.2570192353
2015-02-11,689197.7388699839
2015-02-12,689451.832595571
2015-02-13,689122.9196460523
2015-02-14,689122.9196460523
2015-02-15,689122.9196460523
2015-02-16,694539.8668839326
2015-02-17,694709.7307798265
2015-02-18,701911.5866491512
2015-02-19,703796.3023691392
2015-02-20,702585.5628337772
2015-02-21,702585.5628337772
2015-02-22,702585.5628337772
2015-02-23,701233.9786813208
2015-02-24,701541.4852501705
2015-02-25,703728.4549569511
2015-02-26,701613.2546014513
2015-02-27,703266.8611264079
2015-02-28,703266.8611264079
2015-03-01,703266.8611264079
2015-03-02,703628.8825370241
2015-03-03,702365.441469317
2015-03-04,699847.2495608481
2015-03-05,702929.3901391947
2015-03-06,702929.3901391947
2015-03-07,702929.3901391947
2015-03-08,702929.3901391947
2015-03-09,700760.9833452589
2015-03-10,700226.4724215858
2015-03-11,699775.7893503945
2015-03-12,703246.2964609426
2015-03-13,698766.4591770982
2015-03-14,698766.4591770982
2015-03-15,698766.4591770982
2015-03-16,695892.9700651105
2015-03-17,694554.6592619026
2015-03-18,698245.8905103805
2015-03-19,693341.2724979146
2015-03-20,692165.9790327002
2015-03-21,692165.9790327002
2015-03-22,692165.9790327002
2015-03-23,696123.3168644716
2015-03-24,689462.7338675531
2015-03-25,685998.1146100824
2015-03-26,683749.6287663735
2015-03-27,685938.4134500313
2015-03-28,685938.4134500313
2015-03-29,685938.4134500313
2015-03-30,685976.3444413929
2015-03-31,686701.4769239271
2015-04-01,687051.0326937346
2015-04-02,687051.0326937346
2015-04-03,687051.0326937346
2015-04-04,687051.0326937346
2015-04-05,687051.0326937346
2015-04-06,690495.9764206231
2015-04-07,696651.2793398793
2015-04-08,691273.9061110069
2015-04-09,698521.0049877507
2015-04-10,703627.131906118
2015-04-11,703627.131906118
2015-04-12,703627.131906118
2015-04-13,710257.8283519854
2015-04-14,710257.8283519854
2015-04-15,710852.8104244797
2015-04-16,709222.0071647072
2015-04-17,708031.931662068
2015-04-18,708031.931662068
2015-04-19,708031.931662068
2015-04-20,705598.6905283856
2015-04-21,708234.2274143319
2015-04-22,705245.1275186145
2015-04-23,705196.3388507664
2015-04-24,704340.6510970057
2015-04-25,704340.6510970057
2015-04-26,704340.6510970057
2015-04-27,702945.3812383296
2015-04-28,702513.9264139398
2015-04-29,699644.8861545274
2015-04-30,696530.1081365847
2015-05-01,696530.1081365847
2015-05-02,696530.1081365847
2015-05-03,696530.1081365847
2015-05-04,701257.5019907433
2015-05-05,699142.302465658
2015-05-06,696629.8725062815
2015-05-07,695427.0259065891
2015-05-08,697606.1890024374
2015-05-09,697606.1890024374
2015-05-10,697606.1890024374
2015-05-11,698495.7373829014
2015-05-12,693764.2472143765
2015-05-13,696181.2432250518
2015-05-14,695878.230209141
2015-05-15,698073.6266960611
2015-05-16,698073.6266960611
2015-05-17,698073.6266960611
2015-05-18,702589.0656564074
2015-05-19,704628.2069583461
2015-05-20,702557.292280999
2015-05-21,703824.3095015746
2015-05-22,700302.4066845234
2015-05-23,700302.4066845234
2015-05-24,700302.4066845234
2015-05-25,701200.6069749831
2015-05-26,703892.6554609111
2015-05-27,704578.661464651
2015-05-28,710768.7639315403
2015-05-29,702921.4962368872
2015-05-30,702921.4962368872
2015-05-31,702921.4962368872
2015-06-01,700628.0659759269
2015-06-02,700232.4942865558
2015-06-03,697104.1548657066
2015-06-04,696829.84266398
2015-06-05,702091.2336549312
2015-06-06,702091.2336549312
2015-06-07,702091.2336549312
2015-06-08,705695.0872042893
2015-06-09,703374.2158748588
2015-06-10,700410.1180633612
2015-06-11,705144.2100183963
2015-06-12,703862.7489477869
2015-06-13,703862.7489477869
2015-06-14,703862.7489477869
2015-06-15,700817.7581827953
2015-06-16,703522.4648875429
2015-06-17,705202.0443464479
2015-06-18,711608.3921582142
2015-06-19,709814.4596834917
2015-06-20,709814.4596834917
2015-06-21,709814.4596834917
2015-06-22,711822.9265622962
2015-06-23,711429.5542396841
2015-06-24,708957.0340151392
2015-06-25,712275.778865398
2015-06-26,708960.8000920498
2015-06-27,708960.8000920498
2015-06-28,708960.8000920498
2015-06-29,711077.1432307048
2015-06-30,711823.9122876534
2015-07-01,716376.181700314
2015-07-02,716573.6417342054
2015-07-03,716056.2136268814
2015-07-04,716056.2136268814
2015-07-05,716056.2136268814
2015-07-06,720095.313689744
2015-07-07,723145.7615183068
2015-07-08,722344.0121744472
2015-07-09,725192.2942389239
2015-07-10,728510.8631436625
2015-07-11,728510.8631436625
2015-07-12,728510.8631436625
2015-07-13,729426.7072627502
2015-07-14,731911.7266791788
2015-07-15,731423.1190435418
2015-07-16,728815.7361737848
2015-07-17,731539.1395620648
2015-07-18,731539.1395620648
2015-07-19,731539.1395620648
2015-07-20,728687.131150661
2015-07-21,725439.5467805502
2015-07-22,727672.8124308544
2015-07-23,725777.9499824482
2015-07-24,726413.6625831893
2015-07-25,726413.6625831893
2015-07-26,726413.6625831893
2015-07-27,726275.256147367
2015-07-28,720900.5673432671
2015-07-29,715532.9177055462
2015-07-30,714667.4539911732
2015-07-31,712489.9514581312
2015-08-01,712489.9514581312
2015-08-02,712489.9514581312
2015-08-03,712107.6999597319
2015-08-04,707516.9829219405
2015-08-05,714073.6482072962
2015-08-06,711868.0562264276
2015-08-07,713531.3237034464
2015-08-08,713531.3237034464
2015-08-09,713531.3237034464
2015-08-10,711813.5538281845
2015-08-11,705202.4904778479
2015-08-12,703730.0971364158
2015-08-13,703004.6912426428
2015-08-14,709617.1155060537
2015-08-15,709617.1155060537
2015-08-16,709617.1155060537
2015-08-17,711879.2824654212
2015-08-18,708064.849378217
2015-08-19,698352.2805410548
2015-08-20,699006.2410299287
2015-08-21,700286.4099963678
2015-08-22,700286.4099963678
2015-08-23,700286.4099963678
2015-08-24,691804.9214629824
2015-08-25,700220.6882531706
2015-08-26,704257.8416521748
2015-08-27,706467.75904312
2015-08-28,698561.3589923348
2015-08-29,698561.3589923348
2015-08-30,698561.3589923348
2015-08-31,694681.0831758013
2015-09-01,694361.6212089545
2015-09-02,691478.1146092083
2015-09-03,687513.7651859358
2015-09-04,680596.9009498484
2015-09-05,680596.9009498484
2015-09-06,680596.9009498484
2015-09-07,685373.9163557022
2015-09-08,681987.3829758678
2015-09-09,677879.791350923
2015-09-10,674115.979689644
2015-09-11,669364.2060395394
2015-09-12,669364.2060395394
2015-09-13,669364.2060395394
2015-09-14,669036.0043782286
2015-09-15,668733.0951759564
2015-09-16,664073.4073901975
2015-09-17,664073.4073901975
2015-09-18,669875.1309659405
2015-09-19,669875.1309659405
2015-09-20,669875.1309659405
2015-09-21,674625.4191859764
2015-09-22,667850.9925103728
2015-09-23,664733.4650709805
2015-09-24,657077.4723902956
2015-09-25,657077.4723902956
2015-09-26,657077.4723902956
2015-09-27,657077.4723902956
2015-09-28,655773.0132776452
