Date,Capital
2014-01-13,301088.99250476266
2014-01-14,300998.8347632344
2014-01-15,300726.1075031709
2014-01-16,300633.77218402753
2014-01-17,300493.30472653284
2014-01-18,300493.30472653284
2014-01-19,300493.30472653284
2014-01-20,300703.230274545
2014-01-21,301513.6979814604
2014-01-22,301012.721180895
2014-01-23,300934.96655550256
2014-01-24,301539.1547534269
2014-01-25,301539.1547534269
2014-01-26,301539.1547534269
2014-01-27,301903.92042405985
2014-01-28,303138.71625655604
2014-01-29,302471.294591067
2014-01-30,302039.5788754723
2014-01-31,303776.60151441005
2014-02-01,303776.60151441005
2014-02-02,303776.60151441005
2014-02-03,304255.5813676249
2014-02-04,305388.9410209266
2014-02-05,304713.90681975166
2014-02-06,305248.53298504546
2014-02-07,306008.2385250981
2014-02-08,306008.2385250981
2014-02-09,306008.2385250981
2014-02-10,305256.3329778781
2014-02-11,306113.29586274934
2014-02-12,305063.9770673822
2014-02-13,304492.8574141235
2014-02-14,303936.7281016586
2014-02-15,303936.7281016586
2014-02-16,303936.7281016586
2014-02-17,303286.92339136894
2014-02-18,303707.76654719515
2014-02-19,303484.8275565108
2014-02-20,302729.6474729422
2014-02-21,302572.75949060573
2014-02-22,302572.75949060573
2014-02-23,302572.75949060573
2014-02-24,301143.00712389144
2014-02-25,301516.3046552687
2014-02-26,300904.3819125369
2014-02-27,300904.3819125369
2014-02-28,299058.81801559083
2014-03-01,299058.81801559083
2014-03-02,299058.81801559083
2014-03-03,300936.8983455375
2014-03-04,299439.78861813416
2014-03-05,299878.51457127795
2014-03-06,300544.23247716133
2014-03-07,302259.0446830304
2014-03-08,302259.0446830304
2014-03-09,302259.0446830304
2014-03-10,302297.46610719676
2014-03-11,301977.2677116977
2014-03-12,302223.1053334623
2014-03-13,300875.0407289432
2014-03-14,301811.3085025036
2014-03-15,301811.3085025036
2014-03-16,301811.3085025036
2014-03-17,301811.3085025036
2014-03-18,301166.05632990086
2014-03-19,300855.745283406
2014-03-20,301139.87874073413
2014-03-21,300665.320427365
2014-03-22,300665.320427365
2014-03-23,300665.320427365
2014-03-24,300374.30373244407
2014-03-25,299693.5248458626
2014-03-26,302120.709372386
2014-03-27,301017.80677237344
2014-03-28,300987.1674076659
2014-03-29,300987.1674076659
2014-03-30,300987.1674076659
2014-03-31,301586.22825434245
2014-04-01,302761.34883117315
2014-04-02,303763.32514637173
2014-04-03,304237.36207416875
2014-04-04,303968.55697852926
2014-04-05,303968.55697852926
2014-04-06,303968.55697852926
2014-04-07,304461.6434539768
2014-04-08,304461.6434539768
2014-04-09,303465.88472549105
2014-04-10,304971.77939379564
2014-04-11,305047.336204473
2014-04-12,305047.336204473
2014-04-13,305047.336204473
2014-04-14,305047.336204473
2014-04-15,306561.59694634145
2014-04-16,306661.2961389241
2014-04-17,306283.49400571414
2014-04-18,306283.49400571414
2014-04-19,306283.49400571414
2014-04-20,306283.49400571414
2014-04-21,304878.51402367454
2014-04-22,304953.96707869985
2014-04-23,303918.21878889843
2014-04-24,303918.21878889843
2014-04-25,304372.86791111657
2014-04-26,304372.86791111657
2014-04-27,304372.86791111657
2014-04-28,303321.35249229433
2014-04-29,303858.02088095865
2014-04-30,303256.15468092903
2014-05-01,303256.15468092903
2014-05-02,303923.9235181396
2014-05-03,303923.9235181396
2014-05-04,303923.9235181396
2014-05-05,303394.7758050979
2014-05-06,302560.92266246345
2014-05-07,301784.3396687483
2014-05-08,301116.18053458765
2014-05-09,300677.07494667615
2014-05-10,300677.07494667615
2014-05-11,300677.07494667615
2014-05-12,299476.6388640554
2014-05-13,300448.05301538564
2014-05-14,301163.98578290315
2014-05-15,303290.0352666263
2014-05-16,304103.7812931936
2014-05-17,304103.7812931936
2014-05-18,304103.7812931936
2014-05-19,304636.94646075286
2014-05-20,306416.7435183928
2014-05-21,308102.4334413522
2014-05-22,306343.8642761882
2014-05-23,306185.0982842579
2014-05-24,306185.0982842579
2014-05-25,306185.0982842579
2014-05-26,304281.27278895176
2014-05-27,303705.196920099
2014-05-28,304161.11043130246
2014-05-29,303249.79730124364
2014-05-30,304306.0694630452
2014-05-31,304306.0694630452
2014-06-01,304306.0694630452
2014-06-02,303547.60151578207
2014-06-03,305849.64697812
2014-06-04,303771.7966788587
2014-06-05,303380.9719896339
2014-06-06,303838.3617383655
2014-06-07,303838.3617383655
2014-06-08,303838.3617383655
2014-06-09,303053.6038016487
2014-06-10,302883.67977496574
2014-06-11,302446.54086431727
2014-06-12,301482.83766694996
2014-06-13,303416.1989188894
2014-06-14,303416.1989188894
2014-06-15,303416.1989188894
2014-06-16,304461.9470647317
2014-06-17,306084.31169584556
2014-06-18,309102.3912906691
2014-06-19,308179.9959920362
2014-06-20,308064.5684906738
2014-06-21,308064.5684906738
2014-06-22,308064.5684906738
2014-06-23,307329.4043497906
2014-06-24,308092.19739894883
2014-06-25,308753.62395353115
2014-06-26,309253.0898665815
2014-06-27,309388.54116373736
2014-06-28,309388.54116373736
2014-06-29,309388.54116373736
2014-06-30,309840.6379936568
2014-07-01,308877.1024197936
2014-07-02,309424.45396931557
2014-07-03,309220.1646540584
2014-07-04,308927.1531732534
2014-07-05,308927.1531732534
2014-07-06,308927.1531732534
2014-07-07,308671.0879956559
2014-07-08,306852.2230160583
2014-07-09,306732.09424711653
