Date,Capital
2014-01-04,250000.0
2014-01-05,250000.0
2014-01-06,250589.8127201593
2014-01-07,249875.81330868462
2014-01-08,252001.20120130217
2014-01-09,250983.16267080084
2014-01-10,249594.01783478606
2014-01-11,249594.01783478603
2014-01-12,249594.01783478603
2014-01-13,249850.72818345085
2014-01-14,247828.42999341557
2014-01-15,247195.12816072922
2014-01-16,245581.48400703588
2014-01-17,244230.99074846617
2014-01-18,244230.99074846617
2014-01-19,244230.99074846617
2014-01-20,244393.2101194908
2014-01-21,244910.63056330962
2014-01-22,243902.717384926
2014-01-23,243040.8871205193
2014-01-24,241720.2366388563
2014-01-25,241720.2366388563
2014-01-26,241720.2366388563
2014-01-27,238673.1664601196
2014-01-28,239528.80142893238
2014-01-29,237914.8297235035
2014-01-30,237216.93052393923
2014-01-31,238739.3880964407
2014-02-01,238739.38809644067
2014-02-02,238739.38809644067
2014-02-03,236522.0896274413
2014-02-04,238473.9275477536
2014-02-05,238389.5667299776
2014-02-06,239301.46011475503
2014-02-07,239878.71973779815
2014-02-08,239878.71973779812
2014-02-09,239878.71973779812
2014-02-10,239161.12730503437
2014-02-11,238513.91568142906
2014-02-12,236892.43026259355
2014-02-13,234751.3132790965
2014-02-14,233328.53552833275
2014-02-15,233328.53552833272
2014-02-16,233328.53552833272
2014-02-17,232497.4058014017
2014-02-18,233224.47463169368
2014-02-19,234326.0360648392
2014-02-20,234627.81712154197
2014-02-21,234976.81611767894
2014-02-22,234976.81611767894
2014-02-23,234976.81611767894
2014-02-24,234359.6442698176
2014-02-25,235664.49623361768
2014-02-26,236043.64030367564
2014-02-27,236043.64030367567
2014-02-28,235483.06837526202
2014-03-01,235483.068375262
2014-03-02,235483.068375262
2014-03-03,234035.541243403
2014-03-04,235530.61290077417
2014-03-05,235809.14010937494
2014-03-06,239052.8937676829
2014-03-07,240734.92498115406
2014-03-08,240734.92498115412
2014-03-09,240734.92498115412
2014-03-10,242521.239579782
2014-03-11,242725.46958235092
2014-03-12,242492.47955844784
2014-03-13,242825.87440617254
2014-03-14,241671.57162630215
2014-03-15,241671.5716263022
2014-03-16,241671.5716263022
2014-03-17,241671.5716263022
2014-03-18,243429.49546479518
2014-03-19,243555.4016546731
2014-03-20,243588.55113061893
2014-03-21,248833.40470394067
2014-03-22,248833.40470394067
2014-03-23,248833.40470394067
2014-03-24,250201.8636824711
2014-03-25,248401.5771016741
2014-03-26,250155.56240215967
2014-03-27,252356.33767066654
2014-03-28,254757.02754398732
2014-03-29,254757.02754398732
2014-03-30,254757.02754398732
2014-03-31,258985.16998642898
2014-04-01,261458.79386567374
2014-04-02,262905.22674970725
2014-04-03,263118.4722612983
2014-04-04,262454.8854969945
2014-04-05,262454.8854969945
2014-04-06,262454.8854969945
2014-04-07,261386.71653848546
2014-04-08,261386.71653848546
2014-04-09,263346.61397196597
2014-04-10,263592.66949310433
2014-04-11,262869.1841259062
2014-04-12,262869.18412590615
2014-04-13,262869.18412590615
2014-04-14,262869.18412590615
2014-04-15,262376.19371947995
2014-04-16,258660.546711259
2014-04-17,264160.81280570076
2014-04-18,264160.8128057007
2014-04-19,264160.8128057007
2014-04-20,264160.8128057007
2014-04-21,267445.1165104148
2014-04-22,266558.7341874607
2014-04-23,267371.5934280043
2014-04-24,267371.59342800424
2014-04-25,266277.7604515799
2014-04-26,266277.7604515799
2014-04-27,266277.7604515799
2014-04-28,263762.64617943775
2014-04-29,264142.71693924145
2014-04-30,262775.667402777
2014-05-01,262775.667402777
2014-05-02,262846.72573501174
2014-05-03,262846.7257350117
2014-05-04,262846.7257350117
2014-05-05,260770.62883187018
2014-05-06,260864.30999235145
2014-05-07,260885.1195493998
2014-05-08,260688.5927767136
2014-05-09,263957.61828133406
2014-05-10,263957.61828133406
2014-05-11,263957.61828133406
2014-05-12,265405.2123616971
2014-05-13,267680.63102007465
2014-05-14,271701.5512914921
2014-05-15,269146.39292503597
2014-05-16,273702.84834922594
2014-05-17,273702.84834922594
2014-05-18,273702.84834922594
2014-05-19,284727.5053142414
2014-05-20,293088.43100367015
2014-05-21,295756.12327890226
2014-05-22,302258.7513225425
2014-05-23,306838.4175109812
2014-05-24,306838.4175109812
2014-05-25,306838.4175109812
2014-05-26,301406.23337519396
2014-05-27,303315.94991144753
2014-05-28,305139.90977473836
2014-05-29,307137.64280831476
2014-05-30,312134.4078282003
2014-05-31,312134.4078282003
2014-06-01,312134.4078282003
2014-06-02,320320.8370754301
2014-06-03,321700.6319360126
2014-06-04,326395.0327152941
2014-06-05,330764.97535540315
2014-06-06,333153.18846865173
2014-06-07,333153.1884686517
2014-06-08,333153.1884686517
2014-06-09,338480.659795719
2014-06-10,338301.2524209926
2014-06-11,336436.4786114669
2014-06-12,340730.135763734
2014-06-13,333958.22295215447
2014-06-14,333958.2229521545
2014-06-15,333958.2229521545
2014-06-16,332538.1026578459
2014-06-17,337044.17484870605
2014-06-18,334206.8542251208
2014-06-19,331736.08709767426
2014-06-20,330874.87830683205
2014-06-21,330874.87830683205
2014-06-22,330874.87830683205
2014-06-23,332625.095014919
2014-06-24,336074.2678939252
2014-06-25,336893.38684700266
2014-06-26,335189.83535343414
2014-06-27,337850.7072092431
2014-06-28,337850.7072092432
2014-06-29,337850.7072092432
2014-06-30,344128.2385289025
2014-07-01,345839.3311828992
2014-07-02,351289.53974783083
2014-07-03,350529.0037271422
2014-07-04,352189.358075836
2014-07-05,352189.35807583603
2014-07-06,352189.35807583603
2014-07-07,352747.02062088443
2014-07-08,343471.10804187454
2014-07-09,337497.0087215256
2014-07-10,339165.8636077934
2014-07-11,330065.1097118136
2014-07-12,330065.10971181357
2014-07-13,330065.10971181357
2014-07-14,328977.2869444322
2014-07-15,334545.77123334986
2014-07-16,342591.72263693623
2014-07-17,345957.88754032727
2014-07-18,345299.83423603524
2014-07-19,345299.8342360353
2014-07-20,345299.8342360353
2014-07-21,348261.87135578337
2014-07-22,347203.5550411809
2014-07-23,347387.4737763213
2014-07-24,346950.55217173556
2014-07-25,343337.2459363301
2014-07-26,343337.2459363302
2014-07-27,343337.2459363302
2014-07-28,341954.8993980505
2014-07-29,341954.8993980505
2014-07-30,340063.1403431618
2014-07-31,343447.4719886489
2014-08-01,342085.7284299587
2014-08-02,342085.7284299587
2014-08-03,342085.7284299587
2014-08-04,345082.53137714625
2014-08-05,348830.64185467234
2014-08-06,347845.95790981455
2014-08-07,347529.4529371881
2014-08-08,342228.3555906878
2014-08-09,342228.35559068783
2014-08-10,342228.35559068783
2014-08-11,342934.6772214463
2014-08-12,342970.83537523594
2014-08-13,335897.16102920606
2014-08-14,338395.1235913904
2014-08-15,338395.12359139044
2014-08-16,338395.12359139044
2014-08-17,338395.12359139044
2014-08-18,343535.3571049494
2014-08-19,347962.6334654386
2014-08-20,352020.74562455754
2014-08-21,354442.6631219229
2014-08-22,354134.80866540846
2014-08-23,354134.80866540846
2014-08-24,354134.80866540846
2014-08-25,351663.33157360996
2014-08-26,349042.7227021134
