Date,Capital
2017-01-01,100000.0
2017-01-02,100129.66791343092
2017-01-03,100473.22078019188
2017-01-04,100924.94188594143
2017-01-05,101318.54972605224
2017-01-06,101116.16895426562
2017-01-07,101116.16895426562
2017-01-08,101116.16895426562
2017-01-09,101150.68678592048
2017-01-10,101202.59528737792
2017-01-11,101962.45892728335
2017-01-12,101860.35793948919
2017-01-13,102333.47589648768
2017-01-14,102333.47589648768
2017-01-15,102333.47589648768
2017-01-16,102641.38525659016
2017-01-17,102693.95699759711
2017-01-18,103156.21385451537
2017-01-19,103436.04443924084
2017-01-20,102816.95978551311
2017-01-21,102816.95978551311
2017-01-22,102816.95978551311
2017-01-23,103276.03950162003
2017-01-24,103143.59676071683
2017-01-25,103610.84173050805
2017-01-26,103610.84173050805
2017-01-27,103611.76510711186
2017-01-28,103611.76510711186
2017-01-29,103611.76510711186
2017-01-30,103966.38075374122
2017-01-31,104768.3444037124
2017-02-01,105885.79229237275
2017-02-02,106372.16745872298
2017-02-03,107727.03811640781
2017-02-04,107727.03811640781
2017-02-05,107727.03811640781
2017-02-06,108560.03282055285
2017-02-07,107710.11842805526
2017-02-08,108149.06678911085
2017-02-09,108564.12305586861
2017-02-10,108205.14861306036
2017-02-11,108205.14861306036
2017-02-12,108205.14861306036
2017-02-13,107075.226130689
2017-02-14,106365.86993808173
2017-02-15,105056.81515442545
2017-02-16,106243.72842614722
2017-02-17,106536.08866629972
2017-02-18,106536.08866629972
2017-02-19,106536.08866629972
2017-02-20,107201.90368056876
2017-02-21,107297.88538101752
2017-02-22,106656.99492818298
2017-02-23,106985.23354332605
2017-02-24,106985.23354332605
2017-02-25,106985.23354332605
2017-02-26,106985.23354332605
2017-02-27,107135.40976196389
2017-02-28,107238.97371677414
2017-03-01,107916.38359725132
2017-03-02,106939.04963650052
2017-03-03,107028.46809296505
2017-03-04,107028.46809296505
2017-03-05,107028.46809296505
2017-03-06,106676.09288710944
2017-03-07,106863.79076066107
2017-03-08,106987.47777636177
2017-03-09,107162.95721881445
2017-03-10,106429.10952539826
2017-03-11,106429.10952539826
2017-03-12,106429.10952539826
2017-03-13,106429.10952539826
2017-03-14,106797.86006582149
2017-03-15,107295.28210461457
2017-03-16,107447.56200273489
2017-03-17,107053.93711327991
2017-03-18,107053.93711327991
2017-03-19,107053.93711327991
2017-03-20,106274.87200994097
2017-03-21,106511.41824501971
2017-03-22,105567.60757734303
2017-03-23,106011.93571553782
2017-03-24,106684.51430079335
2017-03-25,106684.51430079335
2017-03-26,106684.51430079335
2017-03-27,106629.77497706813
2017-03-28,106611.07859835525
2017-03-29,106620.44742444917
2017-03-30,106977.42289870029
2017-03-31,107478.21099334037
2017-04-01,107478.21099334037
2017-04-02,107478.21099334037
2017-04-03,107647.98689215601
2017-04-04,107647.98689215601
2017-04-05,108865.89665957089
2017-04-06,108796.98795442533
2017-04-07,108389.26145846811
2017-04-08,108389.26145846811
2017-04-09,108389.26145846811
2017-04-10,109142.21277031192
2017-04-11,109699.68497477971
2017-04-12,109026.75402708475
2017-04-13,109665.84501060068
2017-04-14,109665.84501060068
2017-04-15,109665.84501060068
2017-04-16,109665.84501060068
2017-04-17,108767.51988530048
2017-04-18,109335.35866439618
2017-04-19,110790.01334698487
2017-04-20,110707.91382709883
2017-04-21,111002.396778707
2017-04-22,111002.396778707
2017-04-23,111002.396778707
2017-04-24,112569.91421651156
2017-04-25,112695.93942721962
2017-04-26,111832.20096815539
2017-04-27,112001.38081163414
2017-04-28,112425.7756400888
2017-04-29,112425.7756400888
2017-04-30,112425.7756400888
2017-05-01,112425.7756400888
