Date,Capital
2014-07-01,450069.92761505116
2014-07-02,450561.99412925047
2014-07-03,450543.6389497474
2014-07-04,451076.9931276823
2014-07-05,451076.9931276823
2014-07-06,451076.9931276823
2014-07-07,451461.69882906467
2014-07-08,449187.84652727266
2014-07-09,448028.58826197934
2014-07-10,448422.3524284924
2014-07-11,446672.5236883768
2014-07-12,446672.5236883768
2014-07-13,446672.5236883768
2014-07-14,447198.9625785541
2014-07-15,447913.61629077833
2014-07-16,448824.8626875505
2014-07-17,449206.40178218135
2014-07-18,448736.5920003329
2014-07-19,448736.5920003329
2014-07-20,448736.5920003329
2014-07-21,448807.1616687048
2014-07-22,448810.5085221163
2014-07-23,448295.41945058684
2014-07-24,448418.9697157312
2014-07-25,447409.4502747582
2014-07-26,447409.4502747582
2014-07-27,447409.4502747582
2014-07-28,447716.983737323
2014-07-29,447716.983737323
2014-07-30,447644.85408017325
2014-07-31,447973.5620227274
2014-08-01,446738.139979371
2014-08-02,446738.139979371
2014-08-03,446738.139979371
2014-08-04,448542.02574133023
2014-08-05,449064.42131336266
2014-08-06,447486.93456812116
2014-08-07,447742.01390402217
2014-08-08,445878.25726091815
2014-08-09,445878.25726091815
2014-08-10,445878.25726091815
2014-08-11,446263.27727454575
2014-08-12,447128.254089454
2014-08-13,445532.9414505117
2014-08-14,446050.5467243626
2014-08-15,446050.5467243626
2014-08-16,446050.5467243626
2014-08-17,446050.5467243626
2014-08-18,447925.3873750045
2014-08-19,449386.06182630575
2014-08-20,450458.61521493085
2014-08-21,451359.28961321124
2014-08-22,452302.29077273235
2014-08-23,452302.29077273235
2014-08-24,452302.29077273235
2014-08-25,452115.372265849
2014-08-26,451111.70403073693
2014-08-27,450806.24185200763
2014-08-28,450064.0567107388
2014-08-29,450064.0567107388
2014-08-30,450064.0567107388
2014-08-31,450064.0567107388
2014-09-01,451256.50673467165
2014-09-02,452054.38875826716
2014-09-03,451353.7083023091
2014-09-04,450270.0428108487
2014-09-05,451296.9391357282
2014-09-06,451296.9391357282
2014-09-07,451296.9391357282
2014-09-08,453380.56595712085
2014-09-09,454841.03562006634
2014-09-10,455135.57068055955
2014-09-11,457038.3103573064
2014-09-12,457963.38597891515
2014-09-13,457963.38597891515
2014-09-14,457963.38597891515
2014-09-15,457747.0463336968
2014-09-16,452869.95674343006
2014-09-17,453610.859712586
2014-09-18,455839.48178763
2014-09-19,457116.09959734464
2014-09-20,457116.09959734464
2014-09-21,457116.09959734464
2014-09-22,459070.9709030756
2014-09-23,457690.71941027266
2014-09-24,455523.0841910871
2014-09-25,453298.99806877493
2014-09-26,453660.9986355072
2014-09-27,453660.9986355072
2014-09-28,453660.9986355072
2014-09-29,456899.48253821535
2014-09-30,456885.91614162014
2014-10-01,453236.70132850047
2014-10-02,453236.70132850047
2014-10-03,453236.70132850047
2014-10-04,453236.70132850047
2014-10-05,453236.70132850047
2014-10-06,453236.70132850047
2014-10-07,450336.1934321001
2014-10-08,451497.8569221406
2014-10-09,454211.94868313306
2014-10-10,454059.6225985658
2014-10-11,454059.6225985658
2014-10-12,454059.6225985658
2014-10-13,453295.9066002498
2014-10-14,453576.8689455355
2014-10-15,453576.8689455355
2014-10-16,449742.84041501884
2014-10-17,451493.25642430026
2014-10-18,451493.25642430026
2014-10-19,451493.25642430026
2014-10-20,451510.41537818394
2014-10-21,451010.6978706034
2014-10-22,453276.1236116594
2014-10-23,453276.1236116594
2014-10-24,453276.1236116594
2014-10-25,453276.1236116594
2014-10-26,453276.1236116594
2014-10-27,455111.54505204776
2014-10-28,455980.6042960517
2014-10-29,455361.2940200988
2014-10-30,454309.9689224833
2014-10-31,457786.20756818936
2014-11-01,457786.20756818936
2014-11-02,457786.20756818936
2014-11-03,462343.99197066645
2014-11-04,462343.99197066645
2014-11-05,464796.1626592264
2014-11-06,464796.1626592264
2014-11-07,468073.39471207815
2014-11-08,468073.39471207815
2014-11-09,468073.39471207815
2014-11-10,466809.9110716998
2014-11-11,468405.0468931302
2014-11-12,468207.0029736378
2014-11-13,472443.43985375954
2014-11-14,477545.96208035044
2014-11-15,477545.96208035044
2014-11-16,477545.96208035044
2014-11-17,485149.51670581277
2014-11-18,490884.62970353366
2014-11-19,488733.96630602627
2014-11-20,490369.0387759199
2014-11-21,486970.1340540597
2014-11-22,486970.1340540597
2014-11-23,486970.1340540597
2014-11-24,489591.21557955357
2014-11-25,482708.0056467837
2014-11-26,485146.2628671696
2014-11-27,486638.6882746531
2014-11-28,488376.29952581774
2014-11-29,488376.29952581774
2014-11-30,488376.29952581774
2014-12-01,484831.0263691523
2014-12-02,488710.3020609335
2014-12-03,492450.2754819681
2014-12-04,496475.91274338576
