Date,Capital
2018-01-01,99817.4451915074
2018-01-02,99182.90011475183
2018-01-03,99446.91194285757
2018-01-04,99584.34664404223
2018-01-05,100052.89799203599
2018-01-06,100052.89799203599
2018-01-07,100052.89799203599
2018-01-08,100019.59514103655
2018-01-09,99979.57855285777
2018-01-10,99594.83567817896
2018-01-11,99522.37833615713
2018-01-12,99323.82846950692
2018-01-13,99323.82846950692
2018-01-14,99323.82846950692
2018-01-15,99027.20477675465
2018-01-16,98650.73222360686
2018-01-17,98443.85822976608
2018-01-18,98085.68290497645
2018-01-19,98299.59662500999
2018-01-20,98299.59662500999
2018-01-21,98299.59662500999
2018-01-22,98512.85303157527
2018-01-23,98468.52360187954
2018-01-24,98089.49029866324
2018-01-25,97858.5723860464
2018-01-26,97858.5723860464
2018-01-27,97858.5723860464
2018-01-28,97858.5723860464
2018-01-29,97525.12660058256
2018-01-30,97144.07434976412
2018-01-31,97420.30328870274
2018-02-01,97427.00451331219
2018-02-02,96261.14452955686
2018-02-03,96261.14452955686
2018-02-04,96261.14452955686
2018-02-05,95622.12104116436
2018-02-06,95356.46448559704
2018-02-07,95157.56729046235
2018-02-08,95782.80285567106
2018-02-09,95823.75911592615
2018-02-10,95823.75911592615
2018-02-11,95823.75911592615
2018-02-12,97020.95444246879
2018-02-13,97020.95444246879
2018-02-14,96936.67183451066
2018-02-15,96831.40463096005
2018-02-16,96257.18553586907
2018-02-17,96257.18553586907
2018-02-18,96257.18553586907
2018-02-19,96127.03528402708
2018-02-20,96404.35239967633
2018-02-21,96339.61132837253
2018-02-22,96345.243640941
2018-02-23,96291.52118898595
2018-02-24,96291.52118898595
2018-02-25,96291.52118898595
2018-02-26,95954.17457131635
2018-02-27,96093.41399083342
2018-02-28,96221.84533179834
2018-03-01,96487.94472262851
2018-03-02,96487.94472262851
2018-03-03,96487.94472262851
2018-03-04,96487.94472262851
2018-03-05,95965.72130544855
2018-03-06,95840.08588083173
2018-03-07,95519.62476289127
2018-03-08,95627.51657915044
2018-03-09,95502.37483336759
2018-03-10,95502.37483336759
2018-03-11,95502.37483336759
