Date,Capital
2014-01-09,701257.2195013902
2014-01-10,700648.1080818415
2014-01-11,700648.1080818415
2014-01-12,700648.1080818415
2014-01-13,699014.709645296
2014-01-14,697064.0698221789
2014-01-15,699482.9770934458
2014-01-16,702908.5243169243
2014-01-17,707025.334344395
2014-01-18,707025.334344395
2014-01-19,707025.334344395
2014-01-20,704745.7800340173
2014-01-21,707625.1092407666
2014-01-22,707104.0476739294
2014-01-23,704616.2928833045
2014-01-24,704519.3908096451
2014-01-25,704519.3908096452
2014-01-26,704519.3908096452
2014-01-27,702220.0659289876
2014-01-28,705392.0504280176
2014-01-29,704208.9854680407
2014-01-30,699923.6770247812
2014-01-31,702421.8476203771
2014-02-01,702421.8476203772
2014-02-02,702421.8476203772
2014-02-03,697043.7790005724
2014-02-04,696796.314076192
2014-02-05,693439.3760673072
2014-02-06,692452.206982738
2014-02-07,695497.1671934453
2014-02-08,695497.1671934453
2014-02-09,695497.1671934453
2014-02-10,697941.2402335219
2014-02-11,700667.664499918
2014-02-12,696460.3625263305
2014-02-13,697823.0801668001
2014-02-14,698922.8647305494
2014-02-15,698922.8647305494
2014-02-16,698922.8647305494
2014-02-17,695915.7122853078
2014-02-18,699077.9155501192
2014-02-19,696804.612721221
2014-02-20,696610.1142351099
2014-02-21,695201.8125194022
2014-02-22,695201.8125194022
2014-02-23,695201.8125194022
2014-02-24,693179.8871983227
2014-02-25,690731.678089266
2014-02-26,691346.7881645894
2014-02-27,691346.7881645893
2014-02-28,688573.1337824422
2014-03-01,688573.1337824421
2014-03-02,688573.1337824421
2014-03-03,686134.9780485067
2014-03-04,685179.1411141477
2014-03-05,689578.5576704955
2014-03-06,699602.3837194706
2014-03-07,711013.2476065435
2014-03-08,711013.2476065435
2014-03-09,711013.2476065435
2014-03-10,704417.8384945578
2014-03-11,705484.673565998
2014-03-12,704212.7289351579
2014-03-13,707601.5298252505
2014-03-14,702427.623443535
2014-03-15,702427.623443535
2014-03-16,702427.623443535
2014-03-17,702427.623443535
2014-03-18,706222.1854092181
2014-03-19,709417.6926950483
2014-03-20,713709.599144663
2014-03-21,713359.6676986463
2014-03-22,713359.6676986463
2014-03-23,713359.6676986463
2014-03-24,712830.0764295392
2014-03-25,713031.3704341695
2014-03-26,712488.2521920138
2014-03-27,714250.8674153762
2014-03-28,713665.2677711485
2014-03-29,713665.2677711485
2014-03-30,713665.2677711485
2014-03-31,714040.287386607
2014-04-01,721085.5355507643
2014-04-02,723995.9374729976
2014-04-03,725641.6174560733
2014-04-04,721366.9661118881
2014-04-05,721366.966111888
2014-04-06,721366.966111888
2014-04-07,719392.6463737264
2014-04-08,719392.6463737263
2014-04-09,714913.0634352287
2014-04-10,707615.8994185745
2014-04-11,704334.1641647388
2014-04-12,704334.1641647391
2014-04-13,704334.1641647391
2014-04-14,704334.1641647391
2014-04-15,709809.6057372092
2014-04-16,714872.9958822329
2014-04-17,713636.6016754392
2014-04-18,713636.601675439
2014-04-19,713636.601675439
2014-04-20,713636.601675439
2014-04-21,713942.6518918843
2014-04-22,710621.8473717113
2014-04-23,708023.755252258
2014-04-24,708023.755252258
2014-04-25,708783.5727774173
2014-04-26,708783.5727774173
2014-04-27,708783.5727774173
2014-04-28,710739.7273884541
2014-04-29,707374.1160724546
2014-04-30,708821.1173789636
2014-05-01,708821.1173789635
2014-05-02,708942.683854277
2014-05-03,708942.6838542772
2014-05-04,708942.6838542772
2014-05-05,709875.2537006186
2014-05-06,706168.727790914
2014-05-07,709544.9331170369
2014-05-08,708128.6301195617
2014-05-09,715342.4804108507
2014-05-10,715342.4804108506
2014-05-11,715342.4804108506
2014-05-12,708645.6512524034
2014-05-13,711757.8319714541
2014-05-14,714811.6149438206
2014-05-15,712515.2815279359
2014-05-16,697215.1342095511
2014-05-17,697215.1342095511
2014-05-18,697215.1342095511
2014-05-19,670414.262459408
2014-05-20,663203.7299064053
2014-05-21,669564.4508109682
2014-05-22,662397.1088321354
2014-05-23,658453.5499613498
2014-05-24,658453.5499613499
2014-05-25,658453.5499613499
2014-05-26,668223.7448620637
2014-05-27,668706.6940602993
2014-05-28,666874.6336554529
2014-05-29,668564.7591555348
2014-05-30,668459.2232870496
2014-05-31,668459.2232870496
2014-06-01,668459.2232870496
2014-06-02,670834.9175028342
2014-06-03,673714.9175657323
2014-06-04,674971.3888577616
2014-06-05,672740.8009633942
2014-06-06,674362.123378142
2014-06-07,674362.123378142
2014-06-08,674362.123378142
2014-06-09,673756.9867737057
2014-06-10,677032.0386795569
2014-06-11,682147.9001098908
2014-06-12,679801.9585540046
2014-06-13,689870.9385165134
2014-06-14,689870.9385165134
2014-06-15,689870.9385165134
2014-06-16,691393.9127913741
2014-06-17,690349.177421598
2014-06-18,694057.1687201861
2014-06-19,689607.645984049
2014-06-20,693070.5722551337
2014-06-21,693070.5722551337
2014-06-22,693070.5722551337
2014-06-23,689336.249591623
2014-06-24,694089.1310597224
2014-06-25,695381.3640614335
2014-06-26,692654.524962367
2014-06-27,695484.5239897084
2014-06-28,695484.5239897085
2014-06-29,695484.5239897085
2014-06-30,693654.5324287438
2014-07-01,691262.2609501802
2014-07-02,693654.0995682845
2014-07-03,695433.4882611537
2014-07-04,697750.0718849166
2014-07-05,697750.0718849165
2014-07-06,697750.0718849165
2014-07-07,686470.4831293863
2014-07-08,691260.9394561849
2014-07-09,695859.966692256
2014-07-10,698949.2626138371
2014-07-11,694613.2899600355
2014-07-12,694613.2899600355
2014-07-13,694613.2899600355
2014-07-14,698021.1732176654
2014-07-15,696358.5860060779
2014-07-16,696979.8576461659
2014-07-17,693660.1511294985
2014-07-18,690342.1805962089
2014-07-19,690342.1805962089
2014-07-20,690342.1805962089
2014-07-21,687134.3803144863
2014-07-22,690289.1866176189
2014-07-23,693164.2029893505
2014-07-24,690500.0907476648
2014-07-25,694579.2153760009
2014-07-26,694579.2153760009
2014-07-27,694579.2153760009
2014-07-28,694573.4367194674
2014-07-29,694573.4367194674
2014-07-30,699802.6717745916
2014-07-31,702590.5519235642
2014-08-01,704600.9871232195
2014-08-02,704600.9871232196
2014-08-03,704600.9871232196
2014-08-04,705332.2429680931
2014-08-05,707800.4384960037
2014-08-06,707281.7981709467
2014-08-07,709285.3734733488
2014-08-08,711288.2653012478
2014-08-09,711288.2653012478
2014-08-10,711288.2653012478
2014-08-11,705932.4578764666
2014-08-12,701648.9503111901
2014-08-13,697926.76544842
2014-08-14,698288.0165597845
2014-08-15,698288.0165597844
2014-08-16,698288.0165597844
2014-08-17,698288.0165597844
2014-08-18,696002.3480557234
2014-08-19,698678.9306504397
2014-08-20,697012.8031431029
2014-08-21,689710.0570922297
2014-08-22,688748.8377195597
2014-08-23,688748.8377195598
2014-08-24,688748.8377195598
2014-08-25,686098.5900416014
2014-08-26,680988.9271625364
2014-08-27,680377.0243984775
2014-08-28,678166.0452802824
2014-08-29,678166.0452802824
2014-08-30,678166.0452802824
2014-08-31,678166.0452802824
2014-09-01,683694.7030987038
2014-09-02,682218.6383163616
2014-09-03,683565.938302805
2014-09-04,673449.0605705809
