Date,Capital
2014-11-01,400000.0
2014-11-02,400000.0
2014-11-03,401038.6099954604
2014-11-04,401038.6099954604
2014-11-05,400807.29766873
2014-11-06,400807.29766873
2014-11-07,400935.0016114692
2014-11-08,400935.0016114692
2014-11-09,400935.0016114692
2014-11-10,399590.5007691527
2014-11-11,400100.10336272157
2014-11-12,399308.33403379755
2014-11-13,399773.0969962112
2014-11-14,399853.8426873963
2014-11-15,399853.8426873963
2014-11-16,399853.8426873963
2014-11-17,399743.518748126
2014-11-18,399866.80746968946
2014-11-19,399531.11960896826
2014-11-20,399369.7179656776
2014-11-21,398933.11717283184
2014-11-22,398933.11717283184
2014-11-23,398933.11717283184
2014-11-24,398337.8817719782
2014-11-25,397516.1055090205
2014-11-26,396857.91380979074
2014-11-27,396109.1946303367
2014-11-28,395298.7776245761
2014-11-29,395298.7776245761
2014-11-30,395298.7776245761
2014-12-01,395341.0036931671
2014-12-02,393574.6771604382
2014-12-03,394159.5815513201
2014-12-04,391635.61678882275
2014-12-05,393991.6463344847
2014-12-06,393991.6463344847
2014-12-07,393991.6463344847
2014-12-08,394284.3363389261
2014-12-09,393945.9874770448
2014-12-10,393965.1542995393
2014-12-11,393083.57623448805
2014-12-12,393411.35988557414
2014-12-13,393411.35988557414
2014-12-14,393411.35988557414
2014-12-15,393768.3162440579
2014-12-16,395300.17098860396
2014-12-17,395144.1138957037
2014-12-18,391901.22708419006
2014-12-19,390870.05568856886
2014-12-20,390870.05568856886
2014-12-21,390870.05568856886
2014-12-22,392684.8586219719
2014-12-23,393364.2111510841
2014-12-24,393223.2941928362
2014-12-25,393223.2941928362
2014-12-26,393774.5301640302
2014-12-27,393774.5301640302
2014-12-28,393774.5301640302
2014-12-29,394470.4469978516
2014-12-30,391735.1362729367
2014-12-31,390110.3566648541
2015-01-01,392003.6231428021
2015-01-02,394161.52121837053
2015-01-03,394161.52121837053
2015-01-04,394161.52121837053
2015-01-05,395228.6981248143
2015-01-06,398021.9488107314
2015-01-07,393697.88576990366
2015-01-08,395157.1275335062
2015-01-09,393847.8381564582
