Date,Capital
2014-01-13,799357.2588803346
2014-01-14,798601.733353683
2014-01-15,798849.6374592456
2014-01-16,799400.1535019542
2014-01-17,800077.1530166257
2014-01-18,800077.1530166257
2014-01-19,800077.1530166257
2014-01-20,800463.6271372107
2014-01-21,801181.9158651388
2014-01-22,800817.7133998054
2014-01-23,800011.1052009091
2014-01-24,799467.2894009784
2014-01-25,799467.2894009784
2014-01-26,799467.2894009784
2014-01-27,797955.4105575447
2014-01-28,799998.4887492391
2014-01-29,799991.079094131
2014-01-30,798562.1201567999
2014-01-31,799099.8901297138
2014-02-01,799099.8901297138
2014-02-02,799099.8901297138
2014-02-03,795521.3701005899
2014-02-04,794547.4317502365
2014-02-05,793196.3011848964
2014-02-06,793464.030179335
2014-02-07,795007.1924289532
2014-02-08,795007.1924289532
2014-02-09,795007.1924289532
2014-02-10,795011.1677041413
2014-02-11,796681.4871146269
2014-02-12,795225.6670053217
2014-02-13,795264.5152860156
2014-02-14,796191.7979484568
2014-02-15,796191.7979484568
2014-02-16,796191.7979484568
2014-02-17,795781.978872644
2014-02-18,796347.3924942295
2014-02-19,796067.4621051579
2014-02-20,797490.0665050963
2014-02-21,796782.0199242942
2014-02-22,796782.0199242942
2014-02-23,796782.0199242942
2014-02-24,795678.3831448157
2014-02-25,794767.2049539689
2014-02-26,793845.4223967027
2014-02-27,793845.4223967027
2014-02-28,795299.3939532165
2014-03-01,795299.3939532165
2014-03-02,795299.3939532165
2014-03-03,794565.442429932
2014-03-04,795829.7309963729
2014-03-05,798623.1352296609
2014-03-06,802743.9724412098
2014-03-07,811964.9594170621
2014-03-08,811964.9594170621
2014-03-09,811964.9594170621
2014-03-10,808693.3100868087
2014-03-11,808728.4583049823
2014-03-12,811012.9627784792
2014-03-13,809999.3688532637
2014-03-14,809269.5969014608
2014-03-15,809269.5969014608
2014-03-16,809269.5969014608
2014-03-17,809269.5969014609
2014-03-18,806401.5912783479
2014-03-19,804308.5086549777
2014-03-20,801246.5148324224
2014-03-21,804329.3707526112
2014-03-22,804329.3707526112
2014-03-23,804329.3707526112
2014-03-24,803940.2257364895
2014-03-25,803140.4722077165
2014-03-26,804250.895324525
2014-03-27,806104.7992242593
2014-03-28,805519.2661785239
2014-03-29,805519.2661785239
2014-03-30,805519.2661785239
2014-03-31,807209.227635092
2014-04-01,809563.9853217299
2014-04-02,808938.8987970401
2014-04-03,811041.6143319828
2014-04-04,811981.4615529141
2014-04-05,811981.4615529141
2014-04-06,811981.4615529141
2014-04-07,811027.1945148357
2014-04-08,811027.1945148357
2014-04-09,809931.3028846625
2014-04-10,802339.9235216316
2014-04-11,803073.4522847959
2014-04-12,803073.4522847959
2014-04-13,803073.4522847959
2014-04-14,803073.4522847959
2014-04-15,806374.3618518459
2014-04-16,808507.4836951233
2014-04-17,806854.6689570781
2014-04-18,806854.6689570781
2014-04-19,806854.6689570781
2014-04-20,806854.6689570781
2014-04-21,806888.5713166696
2014-04-22,809955.4935673112
2014-04-23,809883.2607426905
2014-04-24,809883.2607426905
2014-04-25,809705.3036503282
2014-04-26,809705.3036503282
2014-04-27,809705.3036503282
2014-04-28,808866.8113207639
2014-04-29,807571.5818804017
2014-04-30,810726.432856616
2014-05-01,810726.432856616
2014-05-02,811769.3107148801
2014-05-03,811769.3107148801
2014-05-04,811769.3107148801
2014-05-05,810320.195783779
2014-05-06,808608.3648388603
2014-05-07,809577.8969104012
2014-05-08,808893.0140479086
2014-05-09,810357.1366538476
2014-05-10,810357.1366538476
2014-05-11,810357.1366538476
2014-05-12,809316.6163096256
2014-05-13,809438.0499562036
2014-05-14,807877.9772453154
2014-05-15,807745.1791205095
2014-05-16,802487.4425098959
2014-05-17,802487.4425098959
2014-05-18,802487.4425098959
2014-05-19,787010.5968458098
2014-05-20,785785.2590592692
2014-05-21,790165.957872861
2014-05-22,788972.532859883
2014-05-23,784583.7513832741
2014-05-24,784583.7513832741
2014-05-25,784583.7513832741
2014-05-26,791394.0388218432
2014-05-27,792596.6680895884
2014-05-28,789430.7387364539
2014-05-29,791377.6792002575
2014-05-30,793085.7094144434
2014-05-31,793085.7094144434
2014-06-01,793085.7094144434
2014-06-02,792094.6471326192
2014-06-03,788786.7266846214
2014-06-04,781503.917139202
2014-06-05,781825.5116041347
2014-06-06,781228.7910855243
2014-06-07,781228.7910855243
2014-06-08,781228.7910855243
2014-06-09,781390.9219817838
2014-06-10,782959.0782720004
2014-06-11,785342.5504910105
2014-06-12,786188.4863610845
2014-06-13,789589.8961937736
2014-06-14,789589.8961937736
2014-06-15,789589.8961937736
2014-06-16,788470.5559598434
2014-06-17,786207.1245561106
2014-06-18,788203.8607946669
2014-06-19,787663.7816185384
2014-06-20,791295.6730551722
2014-06-21,791295.6730551722
2014-06-22,791295.6730551722
2014-06-23,790844.7077309723
2014-06-24,788505.7159595808
2014-06-25,789143.6294880285
2014-06-26,791778.4557807805
2014-06-27,794555.9712679457
2014-06-28,794555.9712679457
2014-06-29,794555.9712679457
2014-06-30,790745.7071854867
2014-07-01,789474.4489995014
2014-07-02,788829.0112955784
2014-07-03,790729.51520495
2014-07-04,789840.3035470675
2014-07-05,789840.3035470675
2014-07-06,789840.3035470675
2014-07-07,783336.1762793411
2014-07-08,786713.9353100309
2014-07-09,793076.0593937739
2014-07-10,794092.5024264731
2014-07-11,797358.2550405394
2014-07-12,797358.2550405394
2014-07-13,797358.2550405394
2014-07-14,799323.5624248328
2014-07-15,798523.0198520711
2014-07-16,799866.7636837908
2014-07-17,796885.3408373336
2014-07-18,794820.578702296
2014-07-19,794820.578702296
2014-07-20,794820.578702296
2014-07-21,793831.9050676307
2014-07-22,794599.8036840487
2014-07-23,796223.7675737555
2014-07-24,796302.315436838
2014-07-25,796941.4760039363
2014-07-26,796941.4760039363
2014-07-27,796941.4760039363
2014-07-28,797441.7785450228
2014-07-29,797441.7785450228
2014-07-30,799063.4446458956
2014-07-31,799458.7240626425
2014-08-01,800476.1896467953
2014-08-02,800476.1896467953
2014-08-03,800476.1896467953
