Date,Capital
2014-11-01,450000.0
2014-11-02,450000.0
2014-11-03,451826.3313129609
2014-11-04,451826.3313129609
2014-11-05,451934.6975728644
2014-11-06,451934.6975728644
2014-11-07,451933.3768873602
2014-11-08,451933.3768873602
2014-11-09,451933.3768873602
2014-11-10,451330.95293627225
2014-11-11,452303.98813164735
2014-11-12,451449.7473842307
2014-11-13,451498.65549063514
2014-11-14,451695.907454434
2014-11-15,451695.907454434
2014-11-16,451695.907454434
2014-11-17,451695.53872872476
2014-11-18,451759.7481289409
2014-11-19,451187.20773940603
2014-11-20,450575.8362703368
2014-11-21,450156.5157331162
2014-11-22,450156.5157331162
2014-11-23,450156.5157331162
2014-11-24,450569.1659306937
2014-11-25,448879.1950131401
2014-11-26,449213.2137444202
2014-11-27,448882.4670239247
2014-11-28,448569.2347412024
2014-11-29,448569.2347412024
2014-11-30,448569.2347412024
2014-12-01,446772.0250432571
2014-12-02,447194.7412517355
2014-12-03,449989.7932538358
2014-12-04,450664.0119172607
2014-12-05,452177.072595354
2014-12-06,452177.072595354
2014-12-07,452177.072595354
2014-12-08,451010.8969289543
2014-12-09,449020.56303089735
2014-12-10,449751.6360887843
2014-12-11,447664.90407012927
2014-12-12,445639.1481652219
2014-12-13,445639.1481652219
2014-12-14,445639.1481652219
2014-12-15,444436.25268564513
2014-12-16,441190.59061201784
2014-12-17,439860.68290474254
2014-12-18,442567.13692676125
2014-12-19,441935.7337926066
2014-12-20,441935.7337926066
2014-12-21,441935.7337926066
2014-12-22,443115.6487959125
2014-12-23,441816.45077677385
2014-12-24,442662.5708372996
2014-12-25,442662.5708372996
2014-12-26,442997.04933396226
2014-12-27,442997.04933396226
2014-12-28,442997.04933396226
2014-12-29,443773.9469709039
2014-12-30,443124.8823571688
2014-12-31,443737.7091145601
2015-01-01,446538.1302059661
2015-01-02,449668.58241183555
2015-01-03,449668.58241183555
2015-01-04,449668.58241183555
2015-01-05,450901.37647074007
2015-01-06,448096.7816808822
2015-01-07,447255.8824704202
2015-01-08,451289.3101756809
2015-01-09,449948.93276856374
2015-01-10,449948.93276856374
2015-01-11,449948.93276856374
2015-01-12,448872.8210276878
2015-01-13,446928.1620041423
2015-01-14,444864.481584311
2015-01-15,447827.4955898863
2015-01-16,447406.27344047703
