Date,Capital
2014-02-17,399637.036891073
2014-02-18,400593.0877173771
2014-02-19,400568.5283032805
2014-02-20,400685.0388635435
2014-02-21,401126.3648057475
2014-02-22,401126.3648057475
2014-02-23,401126.3648057475
2014-02-24,401351.2374342027
2014-02-25,400223.5069897857
2014-02-26,399925.57203914615
2014-02-27,399925.57203914615
2014-02-28,400816.5410223705
2014-03-01,400816.5410223705
2014-03-02,400816.5410223705
2014-03-03,399848.35621918074
2014-03-04,402561.7276667936
2014-03-05,404975.6335389982
2014-03-06,408789.43582723255
2014-03-07,411894.1430790615
2014-03-08,411894.1430790615
2014-03-09,411894.1430790615
2014-03-10,414394.17469324055
2014-03-11,414022.3718089815
2014-03-12,415547.9680585598
2014-03-13,411998.23247807036
2014-03-14,412600.59326095245
2014-03-15,412600.59326095245
2014-03-16,412600.59326095245
2014-03-17,412600.59326095245
2014-03-18,412263.1280406415
2014-03-19,413698.07208128524
2014-03-20,411832.8318828022
2014-03-21,417735.2050019639
2014-03-22,417735.2050019639
2014-03-23,417735.2050019639
2014-03-24,418309.3198002805
2014-03-25,422139.53905195376
2014-03-26,422269.0609538392
2014-03-27,426316.732085202
2014-03-28,430743.9378164172
2014-03-29,430743.9378164172
2014-03-30,430743.9378164172
2014-03-31,441179.2802918077
2014-04-01,442890.3865851601
2014-04-02,450294.5966663901
2014-04-03,448534.09190201235
2014-04-04,455140.8157445954
2014-04-05,455140.8157445954
2014-04-06,455140.8157445954
2014-04-07,455141.3963318127
2014-04-08,455141.3963318127
2014-04-09,461903.6831933036
2014-04-10,464932.5534438522
2014-04-11,469955.6825341171
2014-04-12,469955.6825341171
2014-04-13,469955.6825341171
2014-04-14,469955.6825341171
2014-04-15,472627.7986518206
2014-04-16,462207.03214011743
2014-04-17,471092.3292763794
2014-04-18,471092.3292763794
2014-04-19,471092.3292763794
2014-04-20,471092.3292763794
2014-04-21,476669.501660689
2014-04-22,476188.6464890265
2014-04-23,474663.0126974065
2014-04-24,474663.0126974065
2014-04-25,474489.0246954545
2014-04-26,474489.0246954545
2014-04-27,474489.0246954545
2014-04-28,475265.5666444245
2014-04-29,474729.3141720384
2014-04-30,463502.95359844633
2014-05-01,463502.95359844633
2014-05-02,463000.090386153
2014-05-03,463000.090386153
2014-05-04,463000.090386153
2014-05-05,455491.3055048816
2014-05-06,459487.4408441253
2014-05-07,454032.91842875653
2014-05-08,453334.43257111975
2014-05-09,460178.58801070706
2014-05-10,460178.58801070706
2014-05-11,460178.58801070706
2014-05-12,461605.6659791637
2014-05-13,469098.3376736012
2014-05-14,472259.5930009115
2014-05-15,465440.1459987698
2014-05-16,462147.48914853495
2014-05-17,462147.48914853495
2014-05-18,462147.48914853495
2014-05-19,467850.9947770782
2014-05-20,478623.35755544744
2014-05-21,485020.1142440425
2014-05-22,497001.2293468857
2014-05-23,502003.97916025075
2014-05-24,502003.97916025075
2014-05-25,502003.97916025075
2014-05-26,491896.16643912665
2014-05-27,494323.5739305599
2014-05-28,499722.8051550278
2014-05-29,494257.8015230341
2014-05-30,496732.69548331416
2014-05-31,496732.69548331416
2014-06-01,496732.69548331416
2014-06-02,500122.8344277387
2014-06-03,502343.2035935917
2014-06-04,503684.99568678474
2014-06-05,513566.55552332534
2014-06-06,522292.8999915399
2014-06-07,522292.8999915399
2014-06-08,522292.8999915399
2014-06-09,529767.3727561405
2014-06-10,533506.3455603772
2014-06-11,527091.7167280818
2014-06-12,528973.4323865694
2014-06-13,513298.5052275446
2014-06-14,513298.5052275446
2014-06-15,513298.5052275446
2014-06-16,518815.4222808362
2014-06-17,525729.33347422
2014-06-18,519951.3803496407
2014-06-19,522883.41102404846
2014-06-20,523840.77522111766
2014-06-21,523840.77522111766
2014-06-22,523840.77522111766
2014-06-23,523527.9981114705
2014-06-24,529101.9243377777
2014-06-25,529496.850351283
2014-06-26,530929.8832435266
2014-06-27,537082.6423355881
2014-06-28,537082.6423355881
2014-06-29,537082.6423355881
2014-06-30,542010.8243975643
2014-07-01,548878.4653415619
2014-07-02,551698.6117491832
2014-07-03,553271.0459964011
2014-07-04,555627.8312838004
2014-07-05,555627.8312838004
2014-07-06,555627.8312838004
2014-07-07,554832.6334120932
2014-07-08,536278.6826890827
2014-07-09,528349.766145366
2014-07-10,527746.6838103753
2014-07-11,518603.4962195859
2014-07-12,518603.4962195859
2014-07-13,518603.4962195859
2014-07-14,516438.4536080754
2014-07-15,521026.6305034597
2014-07-16,529694.7158733088
2014-07-17,536692.9746926293
2014-07-18,536284.0449930187
2014-07-19,536284.0449930187
2014-07-20,536284.0449930187
2014-07-21,538348.4223015698
2014-07-22,540766.2890932416
2014-07-23,540214.459868867
2014-07-24,539996.6338255919
2014-07-25,533647.8220343307
2014-07-26,533647.8220343307
2014-07-27,533647.8220343307
2014-07-28,528765.7508890515
2014-07-29,528765.7508890515
2014-07-30,529760.2505778208
2014-07-31,530838.8717082842
2014-08-01,527212.2853487991
2014-08-02,527212.2853487991
2014-08-03,527212.2853487991
2014-08-04,536175.9452454047
2014-08-05,545045.2378107245
2014-08-06,538751.2963538119
2014-08-07,534854.0993532563
2014-08-08,521888.0653089852
2014-08-09,521888.0653089852
2014-08-10,521888.0653089852
2014-08-11,524918.177301566
2014-08-12,526767.0717268218
2014-08-13,504250.0890859674
2014-08-14,511798.270157534
2014-08-15,511798.270157534
2014-08-16,511798.270157534
2014-08-17,511798.270157534
2014-08-18,524608.5530241345
2014-08-19,533662.1900359768
2014-08-20,532818.3823006455
2014-08-21,526178.5743925605
2014-08-22,523633.59674842784
2014-08-23,523633.59674842784
2014-08-24,523633.59674842784
2014-08-25,514668.0519679738
2014-08-26,508445.845922244
2014-08-27,516038.1164548632
2014-08-28,510338.38774425286
2014-08-29,510338.38774425286
2014-08-30,510338.38774425286
2014-08-31,510338.38774425286
2014-09-01,526342.6451791836
2014-09-02,530541.8143034207
2014-09-03,532872.6694896196
2014-09-04,514518.095233598
2014-09-05,513383.9617240432
2014-09-06,513383.9617240432
2014-09-07,513383.9617240432
2014-09-08,521886.6752035422
2014-09-09,518007.04968948127
2014-09-10,523443.7582968223
2014-09-11,525350.4277420292
2014-09-12,521723.3655446952
2014-09-13,521723.3655446952
2014-09-14,521723.3655446952
2014-09-15,523847.43404741737
2014-09-16,504026.83435220463
2014-09-17,505076.38665276475
2014-09-18,522965.9644018195
2014-09-19,518782.98017882043
2014-09-20,518782.98017882043
2014-09-21,518782.98017882043
2014-09-22,520127.6356533722
2014-09-23,504437.3628776147
2014-09-24,487730.7804117443
2014-09-25,460023.3264721369
2014-09-26,474919.2487928239
2014-09-27,474919.2487928239
2014-09-28,474919.2487928239
2014-09-29,475894.9142453261
2014-09-30,467017.9148668564
2014-10-01,465760.01684044115
2014-10-02,465760.01684044115
2014-10-03,465760.01684044115
2014-10-04,465760.01684044115
2014-10-05,465760.01684044115
