Date,Capital
2014-10-01,1200095.2951685134
2014-10-02,1200095.2951685134
2014-10-03,1200095.2951685134
2014-10-04,1200095.2951685134
2014-10-05,1200095.2951685134
2014-10-06,1200095.2951685134
2014-10-07,1201227.7949786591
2014-10-08,1201028.2548509322
2014-10-09,1201485.9760026017
2014-10-10,1202075.7278525922
2014-10-11,1202075.7278525922
2014-10-12,1202075.7278525922
2014-10-13,1201887.322813496
2014-10-14,1201610.4991618476
2014-10-15,1201610.4991618476
2014-10-16,1201570.330370907
2014-10-17,1201235.8790140646
2014-10-18,1201235.8790140646
2014-10-19,1201235.8790140646
2014-10-20,1200475.528775276
2014-10-21,1200658.166954478
2014-10-22,1200801.0708831581
2014-10-23,1200801.0708831581
2014-10-24,1200801.0708831581
2014-10-25,1200801.0708831581
2014-10-26,1200801.0708831581
2014-10-27,1200167.5648254042
2014-10-28,1199968.136510273
2014-10-29,1198902.321803764
2014-10-30,1197797.0094910138
2014-10-31,1197457.0991899993
2014-11-01,1197457.0991899993
2014-11-02,1197457.0991899993
2014-11-03,1199818.1284638941
2014-11-04,1199818.1284638941
2014-11-05,1199383.2657360905
2014-11-06,1199383.2657360905
2014-11-07,1199396.563848878
2014-11-08,1199396.563848878
2014-11-09,1199396.563848878
2014-11-10,1196508.1108586532
2014-11-11,1197867.8651675454
2014-11-12,1196744.0852884455
2014-11-13,1197747.7161853025
2014-11-14,1197809.9845997673
2014-11-15,1197809.9845997673
2014-11-16,1197809.9845997673
2014-11-17,1197408.752062022
2014-11-18,1197485.1322455357
2014-11-19,1196465.7326162802
2014-11-20,1196145.8950827185
2014-11-21,1195193.418966878
2014-11-22,1195193.418966878
2014-11-23,1195193.418966878
2014-11-24,1193409.5721423842
2014-11-25,1191884.263021883
2014-11-26,1190256.792962186
2014-11-27,1189138.5459913663
2014-11-28,1187391.6195234235
2014-11-29,1187391.6195234235
2014-11-30,1187391.6195234235
2014-12-01,1187279.7967246585
2014-12-02,1184434.777679984
2014-12-03,1185509.48183545
2014-12-04,1181610.3249022332
2014-12-05,1185337.4876751453
2014-12-06,1185337.4876751453
2014-12-07,1185337.4876751453
2014-12-08,1186586.6712070808
2014-12-09,1185658.8147200174
2014-12-10,1185640.0672603792
2014-12-11,1183785.7964322763
2014-12-12,1183996.3673125298
2014-12-13,1183996.3673125298
2014-12-14,1183996.3673125298
2014-12-15,1184212.1589777274
2014-12-16,1186357.1381180175
2014-12-17,1186241.579279819
2014-12-18,1181250.7098893588
2014-12-19,1179373.330943665
2014-12-20,1179373.330943665
2014-12-21,1179373.330943665
2014-12-22,1182126.994621568
2014-12-23,1183033.1046410229
2014-12-24,1183813.9500981194
2014-12-25,1183813.9500981194
2014-12-26,1184415.402998365
2014-12-27,1184415.402998365
2014-12-28,1184415.402998365
2014-12-29,1185947.9151844592
2014-12-30,1182144.5732648359
2014-12-31,1179763.9566535247
2015-01-01,1181553.5919514033
2015-01-02,1184134.1321573816
2015-01-03,1184134.1321573816
2015-01-04,1184134.1321573816
2015-01-05,1184704.188749969
2015-01-06,1188366.4062811173
2015-01-07,1181916.335549924
2015-01-08,1183722.9492378086
2015-01-09,1182279.034076795
2015-01-10,1182279.034076795
2015-01-11,1182279.034076795
2015-01-12,1178325.230700767
2015-01-13,1173659.217982219
2015-01-14,1170287.5997079874
2015-01-15,1171908.4804113032
2015-01-16,1169947.769785824
2015-01-17,1169947.769785824
2015-01-18,1169947.769785824
2015-01-19,1170755.8040799114
2015-01-20,1171190.8868606833
