Date,Capital
2016-01-01,150311.37482858598
2016-01-02,150311.37482858598
2016-01-03,150311.37482858598
2016-01-04,149341.69212701
2016-01-05,149414.58715069084
2016-01-06,149503.65689720726
2016-01-07,148002.7306515134
2016-01-08,148425.7798124591
2016-01-09,148425.7798124591
2016-01-10,148425.7798124591
2016-01-11,147963.04850107786
2016-01-12,148045.45909096504
2016-01-13,146859.8183469749
2016-01-14,146118.41329819843
2016-01-15,144546.641965207
2016-01-16,144546.641965207
2016-01-17,144546.641965207
2016-01-18,141827.50109259557
2016-01-19,142311.04800139158
2016-01-20,141068.31634893885
2016-01-21,141776.06518039136
2016-01-22,143344.50184953053
2016-01-23,143344.50184953053
2016-01-24,143344.50184953053
2016-01-25,143929.0446580932
2016-01-26,143929.0446580932
2016-01-27,144266.52022883945
2016-01-28,144436.37511338305
2016-01-29,145089.9371596715
2016-01-30,145089.9371596715
2016-01-31,145089.9371596715
2016-02-01,145840.59886721292
2016-02-02,145461.6350865218
2016-02-03,144914.57304442118
2016-02-04,144486.61109487113
2016-02-05,145268.0301947044
2016-02-06,145268.0301947044
2016-02-07,145268.0301947044
2016-02-08,144672.19401715614
2016-02-09,144101.74833286493
2016-02-10,143135.33913955052
2016-02-11,139958.97726965504
2016-02-12,139398.47977042894
2016-02-13,139398.47977042894
2016-02-14,139398.47977042894
2016-02-15,141213.60594589042
2016-02-16,140280.95678116108
2016-02-17,140807.51912431128
2016-02-18,141327.98132712414
2016-02-19,141656.66310669977
2016-02-20,141656.66310669977
2016-02-21,141656.66310669977
2016-02-22,142408.95418610022
2016-02-23,141786.68924077885
2016-02-24,141049.31588932924
2016-02-25,140831.3386841218
2016-02-26,140381.26827258663
2016-02-27,140381.26827258663
2016-02-28,140381.26827258663
2016-02-29,140158.6378134086
2016-03-01,141886.0973179731
2016-03-02,142427.10226630684
2016-03-03,142966.39855487685
2016-03-04,143645.55600864723
2016-03-05,143645.55600864723
2016-03-06,143645.55600864723
2016-03-07,143645.55600864723
2016-03-08,143902.86918258696
2016-03-09,144433.84302890365
2016-03-10,144281.21728002714
2016-03-11,144527.2006473841
2016-03-12,144527.2006473841
2016-03-13,144527.2006473841
2016-03-14,144986.43352318543
2016-03-15,144575.75068072867
2016-03-16,144553.93160681514
2016-03-17,144475.01169073588
2016-03-18,144466.95637753588
2016-03-19,144466.95637753588
2016-03-20,144466.95637753588
2016-03-21,145267.42809607735
2016-03-22,145214.1422986498
2016-03-23,146186.9322524281
2016-03-24,146186.9322524281
2016-03-25,146186.9322524281
2016-03-26,146186.9322524281
2016-03-27,146186.9322524281
2016-03-28,145084.29194361973
2016-03-29,145337.33512055065
2016-03-30,146246.83148325907
2016-03-31,146299.1392483479
2016-04-01,146590.63335661605
2016-04-02,146590.63335661605
2016-04-03,146590.63335661605
2016-04-04,146309.01930895244
2016-04-05,145501.00036681723
2016-04-06,145572.3050947666
2016-04-07,145463.94791944895
2016-04-08,146074.25147927267
2016-04-09,146074.25147927267
2016-04-10,146074.25147927267
2016-04-11,146427.02159047168
2016-04-12,146814.9234038143
2016-04-13,147565.31686680514
2016-04-14,147565.31686680514
2016-04-15,147565.31686680514
2016-04-16,147565.31686680514
2016-04-17,147565.31686680514
2016-04-18,148197.3981215932
2016-04-19,148197.3981215932
