Date,Capital
2014-01-08,701110.1351059991
2014-01-09,702776.8112883762
2014-01-10,703022.0678028077
2014-01-11,703022.0678028077
2014-01-12,703022.0678028077
2014-01-13,702981.3402587324
2014-01-14,704900.2762824796
2014-01-15,706182.7801244867
2014-01-16,707112.8212128314
2014-01-17,711451.8794565767
2014-01-18,711451.8794565767
2014-01-19,711451.8794565767
2014-01-20,709733.2924276297
2014-01-21,710791.1291809354
2014-01-22,711499.5427941626
2014-01-23,709094.8719859228
2014-01-24,709177.9928928758
2014-01-25,709177.9928928758
2014-01-26,709177.9928928758
2014-01-27,709009.355650181
2014-01-28,711730.4186104902
2014-01-29,712097.049748369
2014-01-30,707342.3418742332
2014-01-31,709104.9585073673
2014-02-01,709104.9585073673
2014-02-02,709104.9585073673
2014-02-03,704889.5928711317
2014-02-04,704435.42280153
2014-02-05,707918.0526306914
2014-02-06,706937.4594959859
2014-02-07,710991.6567012218
2014-02-08,710991.6567012218
2014-02-09,710991.6567012218
2014-02-10,713553.4935193674
2014-02-11,710822.7558203578
2014-02-12,709280.5786071499
2014-02-13,709134.707678673
2014-02-14,710125.0860007228
2014-02-15,710125.0860007228
2014-02-16,710125.0860007228
2014-02-17,706991.7019081396
2014-02-18,705851.519108387
2014-02-19,704622.7983634144
2014-02-20,699647.414939399
2014-02-21,702975.076728988
2014-02-22,702975.076728988
2014-02-23,702975.076728988
2014-02-24,698862.4834268251
2014-02-25,698830.6307553211
2014-02-26,697604.7345847033
2014-02-27,697604.7345847033
2014-02-28,691657.7776318856
2014-03-01,691657.7776318856
2014-03-02,691657.7776318856
2014-03-03,693397.7701042935
2014-03-04,691110.9406799653
2014-03-05,694925.5701901674
2014-03-06,701391.8667447058
2014-03-07,705674.3788941919
2014-03-08,705674.3788941918
2014-03-09,705674.3788941918
2014-03-10,706388.8465390096
2014-03-11,708890.6855471358
2014-03-12,709671.0196873585
2014-03-13,712571.651826557
2014-03-14,710076.0336588882
2014-03-15,710076.0336588881
2014-03-16,710076.0336588881
2014-03-17,710076.0336588881
2014-03-18,709633.8989390058
2014-03-19,712421.1372716662
