Date,Capital
2014-06-01,200000.0
2014-06-02,200532.20712700428
2014-06-03,200977.5451692879
2014-06-04,201721.31074883224
2014-06-05,202670.25886340896
2014-06-06,203754.62315262802
2014-06-07,203754.62315262802
2014-06-08,203754.62315262802
2014-06-09,205210.86722506682
2014-06-10,206046.46123522904
2014-06-11,206385.7652168399
2014-06-12,207058.85539434155
2014-06-13,205463.13470407104
2014-06-14,205463.13470407104
2014-06-15,205463.13470407104
2014-06-16,205117.83030762023
2014-06-17,205983.930807065
2014-06-18,205581.1016389595
2014-06-19,205842.08142943025
2014-06-20,205688.5351471423
2014-06-21,205688.5351471423
2014-06-22,205688.5351471423
2014-06-23,205807.2004171592
2014-06-24,206632.64309148554
2014-06-25,207056.7004302889
2014-06-26,207253.0924163923
2014-06-27,207869.41289706365
2014-06-28,207869.41289706365
2014-06-29,207869.41289706365
2014-06-30,208526.97022442776
2014-07-01,209744.95413263084
2014-07-02,209437.63845905487
2014-07-03,208807.07822433236
2014-07-04,209665.6044512315
2014-07-05,209665.6044512315
2014-07-06,209665.6044512315
2014-07-07,210051.5518400592
2014-07-08,207713.4396893077
2014-07-09,205145.60773717842
2014-07-10,206160.91366095183
2014-07-11,203649.24417952038
2014-07-12,203649.24417952038
2014-07-13,203649.24417952038
2014-07-14,201799.41819091522
2014-07-15,202657.6342664812
2014-07-16,203683.4161126825
2014-07-17,204318.4514470803
2014-07-18,205507.11066595622
2014-07-19,205507.11066595622
2014-07-20,205507.11066595622
2014-07-21,205306.53553834255
2014-07-22,205431.38763121906
2014-07-23,206362.27907700394
2014-07-24,205782.86050328086
2014-07-25,204606.95954857158
2014-07-26,204606.95954857158
2014-07-27,204606.95954857158
2014-07-28,204035.78554763776
2014-07-29,204035.78554763776
2014-07-30,203919.6655639169
2014-07-31,204255.73933564473
2014-08-01,203091.5888897375
2014-08-02,203091.5888897375
2014-08-03,203091.5888897375
2014-08-04,204587.93472294015
2014-08-05,205570.78912506098
2014-08-06,206107.93380953095
2014-08-07,203350.11470750053
2014-08-08,199829.12872807356
2014-08-09,199829.12872807356
2014-08-10,199829.12872807356
2014-08-11,200158.87643985354
2014-08-12,200947.9254915249
2014-08-13,197772.9824127127
2014-08-14,197657.9242318974
2014-08-15,197657.9242318974
2014-08-16,197657.9242318974
2014-08-17,197657.9242318974
2014-08-18,200404.99020871305
2014-08-19,202392.2728622344
2014-08-20,204396.64787510468
2014-08-21,204050.8180872117
2014-08-22,205271.3256363473
2014-08-23,205271.3256363473
2014-08-24,205271.3256363473
2014-08-25,205175.83115341573
2014-08-26,202823.71549132044
2014-08-27,204243.9648044131
2014-08-28,204162.5382672522
2014-08-29,204162.5382672522
2014-08-30,204162.5382672522
2014-08-31,204162.5382672522
2014-09-01,208877.75934554337
2014-09-02,211966.04267420294
2014-09-03,213240.85972478226
2014-09-04,210085.65163132866
2014-09-05,212549.96028772191
2014-09-06,212549.96028772191
2014-09-07,212549.96028772191
2014-09-08,218327.85911006705
2014-09-09,218830.7525108836
2014-09-10,224262.812558357
2014-09-11,226441.68123163795
2014-09-12,223884.79465089814
2014-09-13,223884.79465089814
2014-09-14,223884.79465089814
2014-09-15,224708.75746551406
2014-09-16,217531.6184950227
2014-09-17,218896.39305218722
2014-09-18,222493.74932791112
2014-09-19,219632.17907472537
2014-09-20,219632.17907472537
2014-09-21,219632.17907472537
2014-09-22,218590.19507237227
2014-09-23,211762.21407365086
2014-09-24,208580.21993083594
2014-09-25,202639.35573918145
2014-09-26,202183.52560179582
2014-09-27,202183.52560179582
2014-09-28,202183.52560179582
2014-09-29,204922.84941436147
2014-09-30,203860.44365540385
2014-10-01,204090.53567159997
2014-10-02,204090.53567159997
2014-10-03,204090.53567159997
2014-10-04,204090.53567159997
2014-10-05,204090.53567159997
2014-10-06,204090.53567159997
2014-10-07,203624.14301346915
2014-10-08,202977.76506813196
2014-10-09,207181.86717846623
2014-10-10,205737.56808706623
2014-10-11,205737.56808706623
2014-10-12,205737.56808706623
2014-10-13,207136.86659402793
2014-10-14,204943.44654858118
2014-10-15,204943.44654858118
2014-10-16,198209.41277036007
2014-10-17,197651.18868060844
2014-10-18,197651.18868060844
2014-10-19,197651.18868060844
2014-10-20,198569.40316113102
2014-10-21,200633.0655616235
2014-10-22,203100.40722834342
2014-10-23,203189.09561359926
2014-10-24,203189.09561359926
2014-10-25,203189.09561359926
2014-10-26,203189.09561359926
2014-10-27,206345.65394533408
2014-10-28,205915.7358000457
2014-10-29,207474.9167828607
2014-10-30,209892.52604790783
2014-10-31,213726.20184231666
2014-11-01,213726.20184231666
2014-11-02,213726.20184231666
2014-11-03,223166.51446619566
2014-11-04,223166.51446619566
2014-11-05,224154.98815915475
2014-11-06,224154.98815915475
2014-11-07,222592.98895237118
2014-11-08,222592.98895237118
2014-11-09,222592.98895237118
2014-11-10,221089.07260863052
2014-11-11,224924.15628978738
2014-11-12,222688.19403602328
2014-11-13,221834.3320298327
2014-11-14,224005.00442676985
2014-11-15,224005.00442676985
2014-11-16,224005.00442676985
2014-11-17,223809.9697861443
2014-11-18,225747.12481418886
2014-11-19,221800.28343301525
2014-11-20,218351.01795259712
2014-11-21,216178.51853293186
2014-11-22,216178.51853293186
2014-11-23,216178.51853293186
2014-11-24,217027.56551965623
2014-11-25,209022.36796350213
2014-11-26,210176.74238715225
2014-11-27,209985.68913689116
2014-11-28,209506.61947282014
2014-11-29,209506.61947282014
2014-11-30,209506.61947282014
2014-12-01,206058.33021684084
2014-12-02,207241.90654644844
2014-12-03,215243.60087067538
2014-12-04,215460.10246405742
2014-12-05,214508.3276968042
2014-12-06,214508.3276968042
2014-12-07,214508.3276968042
2014-12-08,214473.06194755278
2014-12-09,210703.59310591398
2014-12-10,214264.55822687835
2014-12-11,209199.57039341977
2014-12-12,202148.13906187756
2014-12-13,202148.13906187756
2014-12-14,202148.13906187756
2014-12-15,198087.24391940926
2014-12-16,190467.9498409861
2014-12-17,187648.8142567982
2014-12-18,194073.884406899
2014-12-19,190996.24660857487
2014-12-20,190996.24660857487
2014-12-21,190996.24660857487
2014-12-22,194187.6205154091
2014-12-23,191067.02296911634
2014-12-24,195534.96966238614
2014-12-25,195534.96966238614
2014-12-26,196930.5834019081
2014-12-27,196930.5834019081
2014-12-28,196930.5834019081
2014-12-29,198448.2376036097
2014-12-30,198290.5936831909
2014-12-31,203149.01269200907
2015-01-01,207216.79983545828
2015-01-02,211242.8276871757
2015-01-03,211242.8276871757
2015-01-04,211242.8276871757
2015-01-05,212327.51312871248
2015-01-06,205887.85367837903
2015-01-07,206335.1211541658
2015-01-08,210331.8366817427
2015-01-09,210049.31270238583
2015-01-10,210049.31270238583
2015-01-11,210049.31270238583
2015-01-12,209920.6952353568
2015-01-13,207570.05028063603
2015-01-14,204567.23439283998
2015-01-15,208203.29372120558
2015-01-16,209241.6757738876
2015-01-17,209241.6757738876
2015-01-18,209241.6757738876
2015-01-19,213213.64533706917
2015-01-20,213226.34385617403
2015-01-21,210944.8363974514
2015-01-22,208564.95242673098
2015-01-23,206181.18082835813
2015-01-24,206181.18082835813
2015-01-25,206181.18082835813
2015-01-26,206181.18082835813
2015-01-27,205341.88793309432
2015-01-28,204213.49893369596
2015-01-29,205168.59656571073
2015-01-30,208086.46074103963
2015-01-31,208086.46074103963
2015-02-01,208086.4607410396
2015-02-02,209394.06167610252
2015-02-03,208704.583876099
2015-02-04,210394.38671065462
2015-02-05,205324.53062782256
2015-02-06,201830.08029248603
2015-02-07,201830.08029248603
2015-02-08,201830.08029248603
2015-02-09,197589.66625637887
2015-02-10,196844.77002111613
2015-02-11,200888.46867353062
2015-02-12,206183.47125089192
