Date,Capital
2014-02-10,350247.0211708829
2014-02-11,350233.04934947845
2014-02-12,349460.55618073547
2014-02-13,348084.8384130465
2014-02-14,347791.2539853793
2014-02-15,347791.2539853793
2014-02-16,347791.2539853793
2014-02-17,347544.3876258733
2014-02-18,347950.6289750174
2014-02-19,347896.58047685557
2014-02-20,348306.63783482363
2014-02-21,349945.33714058844
2014-02-22,349945.33714058844
2014-02-23,349945.33714058844
2014-02-24,348746.7375857858
2014-02-25,347278.62342619087
2014-02-26,346937.6579915701
2014-02-27,346937.6579915701
2014-02-28,347698.001284123
2014-03-01,347698.001284123
2014-03-02,347698.001284123
2014-03-03,345130.14894074877
2014-03-04,347265.7406008411
2014-03-05,350139.5622170805
2014-03-06,357175.2822932026
2014-03-07,360299.2461956993
2014-03-08,360299.2461956993
2014-03-09,360299.2461956993
2014-03-10,363378.11280210223
2014-03-11,362019.3903948398
2014-03-12,358990.10391080333
2014-03-13,356299.0849633147
2014-03-14,353250.23476997775
2014-03-15,353250.23476997775
2014-03-16,353250.23476997775
2014-03-17,353250.23476997775
2014-03-18,353709.8869310727
2014-03-19,356526.744958312
2014-03-20,354745.6651306951
2014-03-21,357753.16458647227
2014-03-22,357753.16458647227
2014-03-23,357753.16458647227
2014-03-24,359595.91465610574
2014-03-25,361083.23678746034
2014-03-26,360078.0932194979
2014-03-27,364217.5592863684
2014-03-28,370920.8326110397
2014-03-29,370920.8326110397
2014-03-30,370920.8326110397
2014-03-31,376326.4144047513
2014-04-01,378440.9459845688
2014-04-02,389757.2524681827
2014-04-03,388470.2491575609
2014-04-04,394159.37228967395
2014-04-05,394159.37228967395
2014-04-06,394159.37228967395
2014-04-07,394671.96123509697
2014-04-08,394671.96123509697
2014-04-09,404247.14277894027
2014-04-10,405511.4636965795
2014-04-11,414084.1758400437
2014-04-12,414084.1758400437
2014-04-13,414084.1758400437
2014-04-14,414084.1758400437
2014-04-15,412356.3538309925
2014-04-16,402065.70667125663
2014-04-17,407014.718109923
2014-04-18,407014.718109923
2014-04-19,407014.718109923
2014-04-20,407014.718109923
2014-04-21,413264.33720036893
2014-04-22,413759.9451953717
