Date,Capital
2014-01-11,200000.0
2014-01-12,200000.0
2014-01-13,199894.74980485605
2014-01-14,199471.34096435586
2014-01-15,198296.85221983588
2014-01-16,195773.6955311463
2014-01-17,189919.00443742322
2014-01-18,189919.00443742322
2014-01-19,189919.00443742322
2014-01-20,193705.29913200098
2014-01-21,194348.1628699621
2014-01-22,194953.73320184107
2014-01-23,195524.07130032213
2014-01-24,190679.94138700524
2014-01-25,190679.94138700524
2014-01-26,190679.94138700524
2014-01-27,185544.10058868502
2014-01-28,185475.7386060685
2014-01-29,185446.3193978166
2014-01-30,184103.82045495522
2014-01-31,184394.01288403422
2014-02-01,184394.01288403425
2014-02-02,184394.01288403425
2014-02-03,182975.5072259861
2014-02-04,183323.81835463282
2014-02-05,183545.19314723942
2014-02-06,182051.21319397088
2014-02-07,180823.02715724622
2014-02-08,180823.02715724625
2014-02-09,180823.02715724625
2014-02-10,180223.47072129225
2014-02-11,181910.24034221852
2014-02-12,183387.549789679
2014-02-13,178121.36548692835
2014-02-14,178392.44200328385
2014-02-15,178392.44200328385
2014-02-16,178392.44200328385
2014-02-17,178090.22058306812
2014-02-18,178777.01599251863
2014-02-19,179899.06030136155
2014-02-20,181637.1095308939
2014-02-21,182960.2501214748
2014-02-22,182960.25012147476
2014-02-23,182960.25012147476
2014-02-24,183669.48302832502
2014-02-25,182632.63803771825
2014-02-26,182769.61973513817
2014-02-27,182769.6197351382
2014-02-28,185427.66149754226
2014-03-01,185427.66149754226
2014-03-02,185427.66149754226
2014-03-03,185441.40703283675
2014-03-04,188386.33154443506
2014-03-05,188898.92809991474
2014-03-06,188382.6835823928
2014-03-07,189428.5062500391
2014-03-08,189428.5062500391
2014-03-09,189428.5062500391
2014-03-10,191314.2049222212
2014-03-11,190497.68003600964
2014-03-12,188767.13033513926
2014-03-13,185987.01111563234
2014-03-14,187338.39155739202
2014-03-15,187338.39155739202
2014-03-16,187338.39155739202
2014-03-17,187338.39155739202
2014-03-18,186884.50131299903
2014-03-19,186163.5825057635
2014-03-20,184941.1654574992
2014-03-21,185867.09421706398
2014-03-22,185867.094217064
2014-03-23,185867.094217064
2014-03-24,187956.22430978462
2014-03-25,190399.71656350204
2014-03-26,189995.01427308016
2014-03-27,190763.38607058657
2014-03-28,194074.4013758748
2014-03-29,194074.40137587476
2014-03-30,194074.40137587476
2014-03-31,197080.15754962963
2014-04-01,196027.30379446718
2014-04-02,199638.92091065395
2014-04-03,199610.4867749627
2014-04-04,200470.7246558385
2014-04-05,200470.7246558385
2014-04-06,200470.7246558385
