Date,Capital
2014-01-27,299947.78099109733
2014-01-28,299788.12615936983
2014-01-29,299535.37563295645
2014-01-30,299275.23197254696
2014-01-31,300022.9896168503
2014-02-01,300022.9896168503
2014-02-02,300022.9896168503
2014-02-03,300458.9139462102
2014-02-04,300269.3834168002
2014-02-05,300985.05331805086
2014-02-06,300574.47858683334
2014-02-07,300055.6977101121
2014-02-08,300055.6977101121
2014-02-09,300055.6977101121
2014-02-10,300597.91041946714
2014-02-11,301230.82301414787
2014-02-12,302046.30705304176
2014-02-13,299964.5017521343
2014-02-14,300404.8865819917
2014-02-15,300404.8865819917
2014-02-16,300404.8865819917
2014-02-17,299345.49536468135
2014-02-18,299871.6866223432
2014-02-19,301106.26580378634
2014-02-20,299971.34520576976
2014-02-21,302061.8706792079
2014-02-22,302061.8706792079
2014-02-23,302061.8706792079
2014-02-24,304082.0090630524
2014-02-25,305662.7263144288
2014-02-26,305856.8205250305
2014-02-27,305856.8205250305
2014-02-28,309242.3123510335
2014-03-01,309242.3123510335
2014-03-02,309242.3123510335
2014-03-03,307262.41281953367
2014-03-04,310957.0181799843
2014-03-05,313135.3307214195
2014-03-06,317523.4438611563
2014-03-07,313025.1487016544
2014-03-08,313025.1487016544
2014-03-09,313025.1487016544
2014-03-10,318136.32730485144
2014-03-11,318064.40122242615
2014-03-12,317660.0348508219
2014-03-13,315817.00273944944
2014-03-14,314814.8382676235
2014-03-15,314814.8382676235
2014-03-16,314814.8382676235
2014-03-17,314814.8382676235
2014-03-18,315506.9784101917
2014-03-19,316060.49673051346
2014-03-20,315185.29322872043
2014-03-21,318488.4858744535
2014-03-22,318488.4858744535
2014-03-23,318488.4858744535
2014-03-24,322461.6665691019
2014-03-25,325276.3323378751
2014-03-26,324879.24205369607
2014-03-27,327000.28641069896
2014-03-28,333751.8198259148
2014-03-29,333751.8198259148
2014-03-30,333751.8198259148
2014-03-31,336551.765053048
2014-04-01,335923.96269956126
2014-04-02,342507.0292929823
2014-04-03,342236.5162875227
2014-04-04,346825.0952867966
2014-04-05,346825.0952867966
2014-04-06,346825.0952867966
2014-04-07,345332.3878127448
2014-04-08,345332.3878127448
2014-04-09,351799.2425087662
2014-04-10,360233.1524957434
2014-04-11,363204.06938054075
2014-04-12,363204.06938054075
2014-04-13,363204.06938054075
2014-04-14,363204.06938054075
2014-04-15,357099.3360759945
2014-04-16,349715.4074810471
2014-04-17,355744.8890664428
2014-04-18,355744.8890664428
2014-04-19,355744.8890664428
2014-04-20,355744.8890664428
2014-04-21,362765.2810397875
2014-04-22,366879.6761667214
2014-04-23,366973.5304129065
2014-04-24,366973.5304129065
2014-04-25,364394.65840247273
2014-04-26,364394.65840247273
2014-04-27,364394.65840247273
2014-04-28,360753.47476565
2014-04-29,361808.6339068453
2014-04-30,352801.3145542724
2014-05-01,352801.3145542724
2014-05-02,354147.088896951
2014-05-03,354147.088896951
2014-05-04,354147.088896951
2014-05-05,352512.61709557555
2014-05-06,358010.5049536855
2014-05-07,357064.8772520031
2014-05-08,356700.9601652183
2014-05-09,366192.9072105129
2014-05-10,366192.9072105129
2014-05-11,366192.9072105129
2014-05-12,368399.7007281011
2014-05-13,378930.4627098375
2014-05-14,387151.57238874387
2014-05-15,381515.3887642871
2014-05-16,392102.431263318
2014-05-17,392102.431263318
2014-05-18,392102.431263318
2014-05-19,417537.7512069035
2014-05-20,430971.6073178094
2014-05-21,440473.29011782
2014-05-22,457748.00742957083
2014-05-23,467622.28021766676
2014-05-24,467622.28021766676
2014-05-25,467622.28021766676
2014-05-26,451326.0982772623
2014-05-27,451907.0282659404
2014-05-28,458301.50087206374
2014-05-29,455697.18559660984
2014-05-30,457328.0724988795
2014-05-31,457328.0724988795
2014-06-01,457328.0724988795
2014-06-02,467693.28345639654
2014-06-03,474482.0001002248
2014-06-04,488991.79211456294
2014-06-05,495822.6183021051
2014-06-06,500990.389267977
2014-06-07,500990.389267977
2014-06-08,500990.389267977
2014-06-09,520229.71518674016
2014-06-10,518962.29523242195
2014-06-11,513607.37006565253
2014-06-12,514883.371119084
2014-06-13,496102.18875635124
2014-06-14,496102.18875635124
2014-06-15,496102.18875635124
2014-06-16,493606.73668492923
2014-06-17,504014.1097211929
2014-06-18,497138.2452360512
2014-06-19,493073.7779966417
2014-06-20,488909.106177101
2014-06-21,488909.106177101
2014-06-22,488909.106177101
2014-06-23,491286.1780478528
2014-06-24,507573.82334761805
2014-06-25,510055.89480741683
2014-06-26,508094.5349140371
2014-06-27,507382.40400635876
2014-06-28,507382.40400635876
2014-06-29,507382.40400635876
2014-06-30,519601.16801785526
2014-07-01,526060.8841599289
2014-07-02,531045.4190335267
2014-07-03,520909.76790976216
2014-07-04,524666.143056277
2014-07-05,524666.143056277
2014-07-06,524666.143056277
2014-07-07,521314.56768944673
2014-07-08,497857.35975144117
2014-07-09,483235.028304893
2014-07-10,485416.1069858697
2014-07-11,464505.9246762023
2014-07-12,464505.9246762023
2014-07-13,464505.9246762023
2014-07-14,458555.1213230131
2014-07-15,463894.2255728852
2014-07-16,473910.43352875125
2014-07-17,484323.7947913498
2014-07-18,482719.56329797034
2014-07-19,482719.56329797034
2014-07-20,482719.56329797034
2014-07-21,486895.4354029974
2014-07-22,483938.46877987357
2014-07-23,478631.186880553
2014-07-24,478293.9833924161
2014-07-25,470398.33664528927
2014-07-26,470398.33664528927
2014-07-27,470398.33664528927
2014-07-28,465210.45195066003
2014-07-29,465210.45195066003
2014-07-30,468913.5851486537
2014-07-31,473111.7239738591
2014-08-01,464119.45044519805
2014-08-02,464119.45044519805
2014-08-03,464119.45044519805
2014-08-04,467958.2573619358
2014-08-05,474208.416423324
2014-08-06,472749.7641894116
2014-08-07,467188.3632822889
2014-08-08,456918.40577975963
2014-08-09,456918.40577975963
2014-08-10,456918.40577975963
2014-08-11,460460.1787917955
2014-08-12,460705.8087340329
2014-08-13,453143.0149556988
2014-08-14,459307.83253684064
2014-08-15,459307.83253684064
2014-08-16,459307.83253684064
2014-08-17,459307.83253684064
2014-08-18,470742.1540517185
2014-08-19,474382.20798174915
2014-08-20,477560.13359816815
2014-08-21,479796.63233886636
2014-08-22,479228.61941040587
2014-08-23,479228.61941040587
2014-08-24,479228.61941040587
2014-08-25,475821.834821118
2014-08-26,477481.7152572011
2014-08-27,479148.1215494956
2014-08-28,480393.52242296265
2014-08-29,480393.52242296265
2014-08-30,480393.52242296265
2014-08-31,480393.52242296265
2014-09-01,484255.64405323076
2014-09-02,488185.6625372876
2014-09-03,497139.0130308082
2014-09-04,499316.2575482462
2014-09-05,508772.9562356611
2014-09-06,508772.9562356611
2014-09-07,508772.9562356611
2014-09-08,514692.246256075
2014-09-09,514112.8121263489
2014-09-10,517140.0335645661
2014-09-11,523734.3389542572
2014-09-12,522232.20090192766
2014-09-13,522232.20090192766
2014-09-14,522232.20090192766
2014-09-15,525608.8771899479
2014-09-16,496765.31775769056
2014-09-17,497412.16443280515
2014-09-18,515426.02958356135
2014-09-19,519376.6782574217
2014-09-20,519376.6782574217
2014-09-21,519376.6782574217
2014-09-22,523661.47871263983
2014-09-23,504996.4593919665
2014-09-24,495586.9543813981
2014-09-25,482166.51190182916
2014-09-26,494080.2165250145
2014-09-27,494080.2165250145
