Date,Capital
2014-01-09,101943.04064442708
2014-01-10,102249.52370112487
2014-01-11,102249.52370112487
2014-01-12,102249.52370112487
2014-01-13,102150.44492840223
2014-01-14,100911.61709625597
2014-01-15,101098.70755972083
2014-01-16,101763.14950371697
2014-01-17,102042.27677935534
2014-01-18,102042.27677935534
2014-01-19,102042.27677935534
2014-01-20,103395.89629517788
2014-01-21,104150.15023683691
2014-01-22,103753.88991055652
2014-01-23,103980.24098994276
2014-01-24,105130.7714211866
2014-01-25,105130.7714211866
2014-01-26,105130.7714211866
2014-01-27,104764.5800926162
2014-01-28,105082.50696430424
2014-01-29,105669.88652283447
2014-01-30,105400.42380161685
2014-01-31,105599.17568325394
2014-02-01,105599.17568325394
2014-02-02,105599.17568325394
2014-02-03,105436.12370491236
2014-02-04,106392.20870191834
2014-02-05,106512.21564421928
2014-02-06,106932.53717485289
2014-02-07,106292.73212852258
2014-02-08,106292.73212852256
2014-02-09,106292.73212852256
2014-02-10,107572.88785009508
2014-02-11,108259.84039544621
2014-02-12,107020.68679517036
2014-02-13,107369.63766214822
2014-02-14,106465.96403651858
2014-02-15,106465.96403651858
2014-02-16,106465.96403651858
2014-02-17,105284.97569764413
2014-02-18,105186.48998588481
2014-02-19,104324.87962763465
2014-02-20,105212.43084484505
2014-02-21,105313.36558133813
2014-02-22,105313.36558133813
2014-02-23,105313.36558133813
2014-02-24,105219.1309804476
2014-02-25,105742.61642572882
2014-02-26,106077.35230809827
2014-02-27,106077.35230809827
2014-02-28,106379.07702066503
2014-03-01,106379.07702066503
2014-03-02,106379.07702066503
2014-03-03,106789.36850954156
2014-03-04,106545.6526241752
2014-03-05,106893.85030071733
2014-03-06,108366.74556551404
2014-03-07,109091.89186859803
2014-03-08,109091.89186859802
2014-03-09,109091.89186859802
2014-03-10,106878.00816612222
2014-03-11,107703.19775359271
2014-03-12,109009.91979164415
2014-03-13,110064.63765497682
2014-03-14,109353.42471482993
2014-03-15,109353.42471482993
2014-03-16,109353.42471482993
2014-03-17,109353.42471482993
2014-03-18,109163.8417072051
2014-03-19,110156.17433542554
2014-03-20,110812.0209539702
2014-03-21,110663.92402824573
2014-03-22,110663.92402824573
2014-03-23,110663.92402824573
2014-03-24,111982.49758438671
2014-03-25,111642.22190943567
2014-03-26,112329.02816299214
2014-03-27,113303.39668081631
2014-03-28,112227.00338448172
2014-03-29,112227.00338448172
2014-03-30,112227.00338448172
2014-03-31,112135.95229642537
2014-04-01,113779.76660921717
2014-04-02,113143.22460868892
2014-04-03,113249.60654419396
2014-04-04,111863.08013781627
2014-04-05,111863.08013781627
2014-04-06,111863.08013781627
2014-04-07,110440.79601018244
2014-04-08,110440.79601018244
2014-04-09,110612.62996033067
2014-04-10,110701.01639376846
2014-04-11,110324.65024799177
2014-04-12,110324.65024799177
2014-04-13,110324.65024799177
2014-04-14,110324.65024799177
2014-04-15,111220.05525709917
2014-04-16,112701.21286172676
2014-04-17,112211.55180862463
2014-04-18,112211.55180862463
2014-04-19,112211.55180862463
2014-04-20,112211.55180862463
2014-04-21,112239.09425388057
2014-04-22,112559.72402943818
2014-04-23,113139.59301653318
2014-04-24,113139.59301653318
2014-04-25,112253.84299928734
2014-04-26,112253.84299928734
2014-04-27,112253.84299928734
2014-04-28,113854.43107369667
2014-04-29,112461.57966702104
2014-04-30,114058.38484736897
2014-05-01,114058.38484736897
2014-05-02,114574.62960495397
2014-05-03,114574.62960495397
2014-05-04,114574.62960495397
2014-05-05,113466.43204085938
2014-05-06,113726.4631033314
2014-05-07,114704.44412523553
2014-05-08,114083.13796845649
2014-05-09,115829.65754963741
2014-05-10,115829.65754963741
2014-05-11,115829.65754963741
2014-05-12,114291.3842207444
2014-05-13,114123.58367935134
2014-05-14,113979.88189246414
2014-05-15,115294.08067371028
2014-05-16,113308.28912786403
2014-05-17,113308.28912786403
2014-05-18,113308.28912786403
2014-05-19,104424.80726703412
2014-05-20,104862.35621732114
2014-05-21,105778.36920662047
2014-05-22,105509.0999094431
2014-05-23,105342.52874535695
2014-05-24,105342.52874535695
2014-05-25,105342.52874535695
2014-05-26,107838.7620542827
2014-05-27,108790.52035554228
2014-05-28,108045.75344646718
2014-05-29,107880.30076270862
2014-05-30,107193.80437046518
2014-05-31,107193.80437046516
2014-06-01,107193.80437046516
2014-06-02,110206.65920312918
2014-06-03,111125.22715652711
2014-06-04,111040.60605913495
2014-06-05,110200.1956400455
2014-06-06,110199.51906725657
2014-06-07,110199.51906725657
2014-06-08,110199.51906725657
2014-06-09,109596.46106613924
2014-06-10,109426.76768816171
2014-06-11,110318.49969254868
2014-06-12,111537.5123750515
2014-06-13,112352.59942858646
2014-06-14,112352.59942858644
2014-06-15,112352.59942858644
2014-06-16,113075.87928316611
2014-06-17,115083.53155717153
2014-06-18,114321.1196044489
2014-06-19,113812.87483115021
2014-06-20,114221.49362287251
2014-06-21,114221.49362287251
2014-06-22,114221.49362287251
2014-06-23,114314.90639406303
2014-06-24,115830.45480170462
2014-06-25,116284.3861738455
2014-06-26,115915.37017000216
2014-06-27,116667.45537054089
2014-06-28,116667.45537054089
2014-06-29,116667.45537054089
2014-06-30,116435.25947423204
2014-07-01,117243.04292562741
2014-07-02,117313.2057627845
2014-07-03,116359.23782119264
