Date,Capital
2014-01-11,50000.0
2014-01-12,50000.0
2014-01-13,49608.3109966225
2014-01-14,48768.63679551238
2014-01-15,48841.88601444467
2014-01-16,48657.56884388446
2014-01-17,47935.51876968666
2014-01-18,47935.51876968667
2014-01-19,47935.51876968667
2014-01-20,47922.343707723776
2014-01-21,47511.62785482222
2014-01-22,47154.76753838192
2014-01-23,47197.64573479074
2014-01-24,47217.1694645591
2014-01-25,47217.16946455911
2014-01-26,47217.16946455911
2014-01-27,45760.73457551809
2014-01-28,45587.09334347228
2014-01-29,45785.863530360555
2014-01-30,45451.71452483341
2014-01-31,45479.66491449573
2014-02-01,45479.664914495734
2014-02-02,45479.664914495734
2014-02-03,44307.956262159394
2014-02-04,45548.58617588761
2014-02-05,46474.55959110904
2014-02-06,46517.92605275755
2014-02-07,46686.85302515244
2014-02-08,46686.85302515244
2014-02-09,46686.85302515244
2014-02-10,46598.16312780467
2014-02-11,46679.50661748771
2014-02-12,46069.08739044476
2014-02-13,45315.27080370463
2014-02-14,44572.41284715339
2014-02-15,44572.41284715339
2014-02-16,44572.41284715339
2014-02-17,44316.77480408424
2014-02-18,44460.20807205846
2014-02-19,44135.2650568404
2014-02-20,44208.18052598821
2014-02-21,44640.16865219602
2014-02-22,44640.168652196015
2014-02-23,44640.168652196015
2014-02-24,44607.66792925002
2014-02-25,44285.62137796526
2014-02-26,44365.36172054112
2014-02-27,44365.36172054112
2014-02-28,44439.52337343131
2014-03-01,44439.5233734313
2014-03-02,44439.5233734313
2014-03-03,44748.88882428112
2014-03-04,45059.02975467613
2014-03-05,44789.28556220114
2014-03-06,45537.32389626224
2014-03-07,45799.27529983573
2014-03-08,45799.27529983574
2014-03-09,45799.27529983574
2014-03-10,45091.81954802087
2014-03-11,45093.05532382986
2014-03-12,45449.90462236064
2014-03-13,45527.40188101773
2014-03-14,45908.65076755719
2014-03-15,45908.65076755719
2014-03-16,45908.65076755719
2014-03-17,45908.65076755719
2014-03-18,46315.81299722272
2014-03-19,45668.9970579084
2014-03-20,45811.697758825445
2014-03-21,46558.677220180674
2014-03-22,46558.67722018068
2014-03-23,46558.67722018068
2014-03-24,46169.101029155776
2014-03-25,46204.93422571754
2014-03-26,45590.44705446373
2014-03-27,46239.2805983054
2014-03-28,46617.14395979942
2014-03-29,46617.143959799425
2014-03-30,46617.143959799425
2014-03-31,46424.79855250855
2014-04-01,46739.27795128672
2014-04-02,46857.63867981404
2014-04-03,46935.57550090542
2014-04-04,46628.46409756701
2014-04-05,46628.46409756702
2014-04-06,46628.46409756702
2014-04-07,46114.58139885554
2014-04-08,46114.58139885554
2014-04-09,46177.31609577469
2014-04-10,46251.979952902235
2014-04-11,45939.47533561601
2014-04-12,45939.475335616
2014-04-13,45939.475335616
2014-04-14,45939.475335616
2014-04-15,45055.476795454626
2014-04-16,44971.93894352387
2014-04-17,45591.955983676744
2014-04-18,45591.95598367674
2014-04-19,45591.95598367674
2014-04-20,45591.95598367674
2014-04-21,46081.66019286612
2014-04-22,45731.356119042204
2014-04-23,45774.780136847556
2014-04-24,45774.780136847556
2014-04-25,45167.29497198096
2014-04-26,45167.29497198096
2014-04-27,45167.29497198096
2014-04-28,45353.33951039834
2014-04-29,45337.87327034193
2014-04-30,44320.17666573404
2014-05-01,44320.176665734034
2014-05-02,44966.18214357896
2014-05-03,44966.18214357897
2014-05-04,44966.18214357897
2014-05-05,44204.20911078753
2014-05-06,45187.04280504995
2014-05-07,44778.935785478425
2014-05-08,44352.3912474513
2014-05-09,45314.99522144959
2014-05-10,45314.99522144958
2014-05-11,45314.99522144958
2014-05-12,45462.29310322492
2014-05-13,46090.1806661382
2014-05-14,46083.30721650238
2014-05-15,45424.17096318176
2014-05-16,44072.19683296597
2014-05-17,44072.19683296597
2014-05-18,44072.19683296597
2014-05-19,42750.519299332496
2014-05-20,43952.84311876661
2014-05-21,44342.730229741945
2014-05-22,44341.82429479952
2014-05-23,44887.03663585964
2014-05-24,44887.03663585963
2014-05-25,44887.03663585963
2014-05-26,43912.970165332554
2014-05-27,44652.581192974714
2014-05-28,44598.92837661178
2014-05-29,43970.989970557006
2014-05-30,43727.45033482975
2014-05-31,43727.45033482975
2014-06-01,43727.45033482975
2014-06-02,45276.909017400045
2014-06-03,45842.84102071081
2014-06-04,46926.39326566152
2014-06-05,47141.12343832403
2014-06-06,47097.25955896241
2014-06-07,47097.2595589624
2014-06-08,47097.2595589624
2014-06-09,47631.65507232313
2014-06-10,47303.50047948284
2014-06-11,46817.12517622332
2014-06-12,46591.44698853797
2014-06-13,44909.946561095145
2014-06-14,44909.94656109514
2014-06-15,44909.94656109514
2014-06-16,45749.50757048444
2014-06-17,47209.87046631802
2014-06-18,46573.49026582282
2014-06-19,46085.13473274846
2014-06-20,45060.44698765544
2014-06-21,45060.44698765544
2014-06-22,45060.44698765544
2014-06-23,45706.23025109287
2014-06-24,47508.20377514362
2014-06-25,47297.62659258832
2014-06-26,47051.057198651026
2014-06-27,47245.719193506564
2014-06-28,47245.71919350655
2014-06-29,47245.71919350655
2014-06-30,47786.98317551964
2014-07-01,47916.20524415516
2014-07-02,48350.42514211898
2014-07-03,47153.29846864939
2014-07-04,47336.372914391046
2014-07-05,47336.37291439105
2014-07-06,47336.37291439105
2014-07-07,46856.56541338392
2014-07-08,44885.75583925519
2014-07-09,44864.141923195006
2014-07-10,45073.94254574615
2014-07-11,42643.86017204955
2014-07-12,42643.860172049535
2014-07-13,42643.860172049535
2014-07-14,43217.34909880048
2014-07-15,43773.89827336972
2014-07-16,44844.86141587248
2014-07-17,45452.8102342701
2014-07-18,45551.33522082863
2014-07-19,45551.33522082862
2014-07-20,45551.33522082862
2014-07-21,45918.89264898483
2014-07-22,46154.50588946621
2014-07-23,46536.47847373818
2014-07-24,46501.46238231741
2014-07-25,45738.4220125092
2014-07-26,45738.4220125092
2014-07-27,45738.4220125092
2014-07-28,44939.09428809848
2014-07-29,44939.09428809849
2014-07-30,44958.596020216
2014-07-31,45090.11258245311
2014-08-01,44402.0527107743
2014-08-02,44402.0527107743
2014-08-03,44402.0527107743
2014-08-04,44302.19859469952
2014-08-05,44579.1639407539
2014-08-06,44648.1098229278
2014-08-07,44314.04504078031
2014-08-08,42899.94404290241
2014-08-09,42899.94404290242
2014-08-10,42899.94404290242
2014-08-11,43041.59148636024
2014-08-12,43643.40732393723
2014-08-13,41678.68874093897
2014-08-14,42645.3649098374
2014-08-15,42645.36490983739
2014-08-16,42645.36490983739
2014-08-17,42645.36490983739
2014-08-18,43654.88618598777
2014-08-19,44453.92956460335
2014-08-20,44607.072457943825
2014-08-21,44294.63706709038
2014-08-22,44049.67069819748
2014-08-23,44049.67069819749
2014-08-24,44049.67069819749
2014-08-25,43319.807540905975
2014-08-26,43245.18022734486
2014-08-27,43052.15573436944
2014-08-28,43546.67225961518
2014-08-29,43546.67225961518
2014-08-30,43546.67225961518
2014-08-31,43546.67225961518
2014-09-01,44898.88688320579
2014-09-02,44492.987540233975
2014-09-03,44603.65612365032
2014-09-04,43009.558968036385
2014-09-05,42691.978248281994
2014-09-06,42691.97824828198
