Date,Capital
2014-01-11,700000.0
2014-01-12,700000.0
2014-01-13,700536.3453319715
2014-01-14,702502.187979235
2014-01-15,700954.0801057869
2014-01-16,697227.5396472684
2014-01-17,692212.6217918096
2014-01-18,692212.6217918096
2014-01-19,692212.6217918096
2014-01-20,693759.0533439596
2014-01-21,694426.5132234883
2014-01-22,696208.4411041422
2014-01-23,699497.2271937379
2014-01-24,695975.7490408291
2014-01-25,695975.7490408291
2014-01-26,695975.7490408291
2014-01-27,696816.5833381108
2014-01-28,699454.1981318891
2014-01-29,696231.8882800732
2014-01-30,696521.207769394
2014-01-31,694193.8421122807
2014-02-01,694193.8421122808
2014-02-02,694193.8421122808
2014-02-03,694497.0949012672
2014-02-04,689956.997811273
2014-02-05,690615.3651827051
2014-02-06,688052.4266419281
2014-02-07,684352.5818165326
2014-02-08,684352.5818165326
2014-02-09,684352.5818165326
2014-02-10,684912.6939907856
2014-02-11,683143.3208396463
2014-02-12,689450.7780531624
2014-02-13,688338.7459469555
2014-02-14,690586.9077139457
2014-02-15,690586.9077139458
2014-02-16,690586.9077139458
2014-02-17,691859.4643316553
2014-02-18,693131.5748678044
2014-02-19,696682.0918661307
2014-02-20,692695.4080793858
2014-02-21,691262.0008529137
2014-02-22,691262.0008529136
2014-02-23,691262.0008529136
2014-02-24,696302.9178402938
2014-02-25,702216.6927851723
2014-02-26,702671.4097233184
2014-02-27,702671.4097233183
2014-02-28,704030.9097687178
2014-03-01,704030.909768718
2014-03-02,704030.909768718
2014-03-03,700594.6209044757
2014-03-04,701592.6427647871
2014-03-05,697041.3483295771
2014-03-06,687931.767952529
2014-03-07,679757.8652626437
2014-03-08,679757.8652626438
2014-03-09,679757.8652626438
2014-03-10,685923.8594886009
2014-03-11,682752.1849555088
2014-03-12,682942.5267031011
2014-03-13,678460.8767219991
2014-03-14,680913.3249376651
2014-03-15,680913.3249376651
2014-03-16,680913.3249376651
2014-03-17,680913.3249376651
2014-03-18,679220.5919112745
2014-03-19,683613.05708929
2014-03-20,678954.787586763
2014-03-21,681079.7911009229
2014-03-22,681079.7911009227
2014-03-23,681079.7911009227
2014-03-24,679619.0571787944
2014-03-25,676145.9742807175
2014-03-26,677818.2424675983
2014-03-27,673246.7558981923
2014-03-28,675255.5508226115
2014-03-29,675255.5508226117
2014-03-30,675255.5508226117
2014-03-31,679178.9604470605
2014-04-01,677269.0192161987
2014-04-02,679086.4730657818
2014-04-03,677516.768296146
2014-04-04,680680.5326877285
2014-04-05,680680.5326877285
2014-04-06,680680.5326877285
2014-04-07,680726.3231330871
2014-04-08,680726.3231330873
2014-04-09,686087.0541990966
2014-04-10,690115.7787664637
2014-04-11,695123.0051781129
2014-04-12,695123.0051781129
2014-04-13,695123.0051781129
2014-04-14,695123.0051781129
2014-04-15,688326.2621832765
2014-04-16,679260.283341167
2014-04-17,684379.2349745126
2014-04-18,684379.2349745126
2014-04-19,684379.2349745126
2014-04-20,684379.2349745126
2014-04-21,687430.5091452553
2014-04-22,689038.4228473691
2014-04-23,689577.2932094142
2014-04-24,689577.2932094142
2014-04-25,687083.3397688123
2014-04-26,687083.3397688123
2014-04-27,687083.3397688123
2014-04-28,685346.6235219765
2014-04-29,688447.384713905
2014-04-30,684292.4093481811
2014-05-01,684292.4093481811
2014-05-02,680910.9844435535
2014-05-03,680910.9844435535
2014-05-04,680910.9844435535
2014-05-05,681487.5910281027
2014-05-06,684277.1181612734
2014-05-07,681065.9586560382
2014-05-08,681482.9114706868
2014-05-09,679048.179995916
2014-05-10,679048.179995916
2014-05-11,679048.179995916
2014-05-12,682187.2692480851
2014-05-13,678552.7885700779
2014-05-14,675858.2279854993
2014-05-15,673249.1656111284
2014-05-16,679951.7605011087
2014-05-17,679951.7605011087
2014-05-18,679951.7605011087
2014-05-19,703691.7402280852
2014-05-20,708661.914380662
2014-05-21,712153.19816034
2014-05-22,724020.2301074604
2014-05-23,724685.9822170156
2014-05-24,724685.9822170156
2014-05-25,724685.9822170156
2014-05-26,707147.8687875116
2014-05-27,697376.7124988084
2014-05-28,699311.3221637104
2014-05-29,696427.7567030236
2014-05-30,690579.4280860309
2014-05-31,690579.428086031
2014-06-01,690579.428086031
2014-06-02,687758.6195617054
2014-06-03,690604.2497179807
2014-06-04,689914.446686077
2014-06-05,694455.6531990817
2014-06-06,696996.7597769877
2014-06-07,696996.7597769877
2014-06-08,696996.7597769877
2014-06-09,697456.4418995857
2014-06-10,700388.0832442421
2014-06-11,695390.1666539471
2014-06-12,692679.2682299019
2014-06-13,682598.1433243403
2014-06-14,682598.1433243403
2014-06-15,682598.1433243403
2014-06-16,674642.940718259
2014-06-17,680718.145014017
2014-06-18,674154.7381155121
2014-06-19,673675.4778226448
2014-06-20,669992.1288628083
2014-06-21,669992.1288628083
2014-06-22,669992.1288628083
2014-06-23,669165.1926183178
2014-06-24,664635.277653447
2014-06-25,663613.31320851
2014-06-26,663019.0167999183
2014-06-27,660891.72227347
2014-06-28,660891.7222734699
2014-06-29,660891.7222734699
2014-06-30,658761.7028730052
2014-07-01,655564.7201702168
2014-07-02,655447.0793343508
2014-07-03,654041.4361063
2014-07-04,651279.7177977464
2014-07-05,651279.7177977466
2014-07-06,651279.7177977466
2014-07-07,657062.1896000985
2014-07-08,654966.3446120942
2014-07-09,653522.2107238759
2014-07-10,652607.1748897089
2014-07-11,655173.6176070934
2014-07-12,655173.6176070934
2014-07-13,655173.6176070934
2014-07-14,655503.9499320582
2014-07-15,659409.2244948328
2014-07-16,662030.1813279158
2014-07-17,663359.2012950336
2014-07-18,665046.2374652183
2014-07-19,665046.2374652183
2014-07-20,665046.2374652183
2014-07-21,664233.5433766132
2014-07-22,663640.4816776994
2014-07-23,658633.211663989
2014-07-24,661848.7658361772
2014-07-25,657962.2927487743
2014-07-26,657962.2927487743
2014-07-27,657962.2927487743
2014-07-28,662847.0261697557
2014-07-29,662847.0261697556
2014-07-30,662179.4741708889
2014-07-31,659035.5260191769
2014-08-01,656923.9201653217
2014-08-02,656923.9201653217
2014-08-03,656923.9201653217
2014-08-04,656325.8390971728
2014-08-05,659602.8718860071
2014-08-06,662532.9349976293
2014-08-07,657132.6541872572
2014-08-08,657316.0305942324
2014-08-09,657316.0305942323
2014-08-10,657316.0305942323
2014-08-11,660513.060000185
2014-08-12,659079.7351693037
2014-08-13,667572.3784828932
2014-08-14,666241.1705582701
2014-08-15,666241.1705582701
2014-08-16,666241.1705582701
2014-08-17,666241.1705582701
2014-08-18,665522.8478601333
2014-08-19,656076.319824769
2014-08-20,651824.9208286955
2014-08-21,650397.8145624943
2014-08-22,652399.5394314582
2014-08-23,652399.5394314583
2014-08-24,652399.5394314583
2014-08-25,653232.9565896624
2014-08-26,658057.7862352524
2014-08-27,663098.4142899633
2014-08-28,660185.4965902589
2014-08-29,660185.4965902588
2014-08-30,660185.4965902588
2014-08-31,660185.4965902588
2014-09-01,652192.773433593
2014-09-02,654678.3291823516
2014-09-03,653368.2278019495
2014-09-04,662500.7721689071
2014-09-05,669298.9374576872
2014-09-06,669298.9374576871
2014-09-07,669298.9374576871
2014-09-08,669070.7520707102
2014-09-09,669686.7772805956
2014-09-10,671187.4053058919
2014-09-11,670230.9350975095
2014-09-12,677423.7336433419
2014-09-13,677423.7336433419
2014-09-14,677423.7336433419
2014-09-15,683014.1809050026
2014-09-16,672057.8050971768
2014-09-17,676191.9424323839
2014-09-18,681595.1336049604
2014-09-19,683718.3862708154
2014-09-20,683718.3862708155
2014-09-21,683718.3862708155
2014-09-22,687499.3235829462
2014-09-23,686009.8252119585
2014-09-24,693831.8347655219
2014-09-25,695255.9861493667
2014-09-26,696392.1358868084
2014-09-27,696392.1358868084
2014-09-28,696392.1358868084
2014-09-29,696049.7930601364
2014-09-30,702677.3212729333
2014-10-01,700488.828827447
2014-10-02,700488.828827447
2014-10-03,700488.828827447
2014-10-04,700488.828827447
2014-10-05,700488.828827447
2014-10-06,700488.828827447
2014-10-07,698057.5112455505
2014-10-08,694119.709281392
2014-10-09,688740.2259638781
2014-10-10,688549.8247641837
2014-10-11,688549.8247641837
2014-10-12,688549.8247641837
2014-10-13,684867.7684439898
2014-10-14,685953.2343266204
2014-10-15,685953.2343266201
2014-10-16,680958.7219026192
2014-10-17,677730.991980026
2014-10-18,677730.9919800259
2014-10-19,677730.9919800259
2014-10-20,674853.5294354392
2014-10-21,669539.8957593541
2014-10-22,669154.0037668411
2014-10-23,669154.0037668411
2014-10-24,669154.0037668411
2014-10-25,669154.0037668411
2014-10-26,669154.0037668411
2014-10-27,674705.4579350809
2014-10-28,676804.067289632
2014-10-29,677772.1191315779
2014-10-30,672858.4001779258
2014-10-31,678005.7839125745
2014-11-01,678005.7839125744
2014-11-02,678005.7839125744
2014-11-03,671710.8858255573
2014-11-04,671710.8858255572
2014-11-05,666716.7738766755
2014-11-06,666716.7738766754
2014-11-07,660738.2436879586
2014-11-08,660738.2436879586
2014-11-09,660738.2436879586
2014-11-10,661547.680810117
2014-11-11,662392.2513205252
2014-11-12,658141.4432569199
2014-11-13,659215.339844737
2014-11-14,663808.7332158188
2014-11-15,663808.7332158189
2014-11-16,663808.7332158189
2014-11-17,672044.0731094995
2014-11-18,673108.5691856523
2014-11-19,673827.368622303
2014-11-20,675106.1997914487
2014-11-21,672230.6079612947
2014-11-22,672230.6079612947
2014-11-23,672230.6079612947
2014-11-24,676278.5128579041
2014-11-25,672374.3591836998
2014-11-26,670214.60035816
2014-11-27,669959.1233681281
2014-11-28,669952.4705537949
2014-11-29,669952.4705537949
2014-11-30,669952.4705537949
2014-12-01,670937.3230509944
2014-12-02,677465.2164893211
2014-12-03,678127.4398789784
2014-12-04,679370.882087852
2014-12-05,684288.8093833686
2014-12-06,684288.8093833687
2014-12-07,684288.8093833687
2014-12-08,686591.2729042926
2014-12-09,683025.3296568445
2014-12-10,687278.7492880386
2014-12-11,684803.6984342905
2014-12-12,679221.144532162
2014-12-13,679221.144532162
2014-12-14,679221.144532162
2014-12-15,679860.9090125279
2014-12-16,676811.5248023904
2014-12-17,670587.5484791787
2014-12-18,676931.075133021
2014-12-19,674394.1267403584
2014-12-20,674394.1267403584
2014-12-21,674394.1267403584
2014-12-22,674361.5417472719
2014-12-23,677358.890811415
2014-12-24,678323.0106294294
2014-12-25,678323.0106294292
2014-12-26,679444.7552930284
2014-12-27,679444.7552930284
2014-12-28,679444.7552930284
2014-12-29,675605.4494940594
2014-12-30,672889.8887871089
2014-12-31,671882.8935000588
2015-01-01,669770.8408322694
2015-01-02,663127.3357682513
2015-01-03,663127.3357682512
2015-01-04,663127.3357682512
2015-01-05,658711.1800869701
2015-01-06,655325.1104453818
2015-01-07,655931.6882401904
2015-01-08,659893.5634951283
2015-01-09,664037.9626337987
2015-01-10,664037.9626337986
2015-01-11,664037.9626337986
2015-01-12,658453.7226870683
2015-01-13,659459.6546348085
2015-01-14,659828.0213255668
2015-01-15,656074.4330697894
2015-01-16,656374.1133365786
2015-01-17,656374.1133365787
2015-01-18,656374.1133365787
2015-01-19,654118.328622895
2015-01-20,651354.4104669836
2015-01-21,644123.4929299467
2015-01-22,643921.9741505436
2015-01-23,648818.9516952949
2015-01-24,648818.9516952949
2015-01-25,648818.9516952949
2015-01-26,648818.9516952949
2015-01-27,653894.9249460123
2015-01-28,658797.1989333098
2015-01-29,660123.324343958
2015-01-30,658615.2362003673
2015-01-31,658615.2362003673
2015-02-01,658615.2362003673
2015-02-02,664922.1345693236
2015-02-03,662154.4229092696
2015-02-04,660745.5720207321
2015-02-05,655914.1419469807
2015-02-06,661044.6426593104
2015-02-07,661044.6426593104
2015-02-08,661044.6426593104
2015-02-09,658526.733089547
2015-02-10,660229.8446943652
2015-02-11,657243.9208947435
2015-02-12,662358.7913822401
2015-02-13,661147.7539072102
2015-02-14,661147.7539072102
2015-02-15,661147.7539072102
2015-02-16,660020.7000614356
2015-02-17,658810.4956095425
2015-02-18,659698.4402085608
2015-02-19,659325.1930312034
2015-02-20,658519.8233093516
2015-02-21,658519.8233093516
2015-02-22,658519.8233093516
2015-02-23,664116.5600479798
2015-02-24,666380.2578317192
2015-02-25,668629.1250474647
2015-02-26,664378.8641657163
2015-02-27,666174.598562603
2015-02-28,666174.598562603
2015-03-01,666174.598562603
2015-03-02,666277.86210957
2015-03-03,665223.5160243628
2015-03-04,660701.5192423298
2015-03-05,662489.1457421684
2015-03-06,662489.1457421684
2015-03-07,662489.1457421684
2015-03-08,662489.1457421684
2015-03-09,664553.101925536
2015-03-10,664634.2391106131
2015-03-11,661881.2363591857
2015-03-12,665948.7693532504
2015-03-13,669338.2357942893
2015-03-14,669338.2357942893
2015-03-15,669338.2357942893
2015-03-16,667658.4446278418
2015-03-17,664978.2542702237
2015-03-18,661635.9033810213
2015-03-19,659552.3599549324
2015-03-20,662650.77781721
2015-03-21,662650.77781721
2015-03-22,662650.77781721
2015-03-23,663254.5635741937
2015-03-24,664946.8418668703
2015-03-25,670598.1026269704
2015-03-26,667111.4556326764
2015-03-27,666420.3392365605
2015-03-28,666420.3392365605
2015-03-29,666420.3392365605
2015-03-30,669721.9264079845
2015-03-31,666143.3324861922
2015-04-01,660344.339467403
2015-04-02,660344.3394674031
2015-04-03,660344.3394674031
2015-04-04,660344.3394674031
2015-04-05,660344.3394674031
2015-04-06,650910.125728722
2015-04-07,644156.0727736134
2015-04-08,644189.8263932113
2015-04-09,644924.7513773654
2015-04-10,642424.362928987
2015-04-11,642424.362928987
2015-04-12,642424.362928987
2015-04-13,645334.5579770962
2015-04-14,645334.5579770963
2015-04-15,647498.042327908
2015-04-16,648196.2413341325
2015-04-17,642961.4202828354
2015-04-18,642961.4202828354
2015-04-19,642961.4202828354
2015-04-20,637595.2252732394
2015-04-21,637322.4584626732
2015-04-22,642455.5435196469
2015-04-23,646800.4056455469
2015-04-24,641776.7650036383
2015-04-25,641776.7650036383
2015-04-26,641776.7650036383
2015-04-27,639355.1734519561
2015-04-28,639573.4004554218
2015-04-29,640673.2698859884
2015-04-30,641726.3519360324
2015-05-01,641726.3519360324
2015-05-02,641726.3519360324
2015-05-03,641726.3519360324
2015-05-04,634906.5316649263
2015-05-05,635214.6150400563
2015-05-06,635772.2887263622
2015-05-07,642357.2810597771
2015-05-08,640131.4167872004
2015-05-09,640131.4167872004
2015-05-10,640131.4167872004
2015-05-11,637155.8051367791
2015-05-12,639919.9538907319
2015-05-13,639385.2949505523
2015-05-14,641382.8462098152
2015-05-15,640255.1790059791
2015-05-16,640255.179005979
2015-05-17,640255.179005979
2015-05-18,637997.6648154382
2015-05-19,639455.3400569073
2015-05-20,636908.5435838333
2015-05-21,635362.3543063416
2015-05-22,631134.6246370015
