Date,Capital
2014-06-01,1000000.0
2014-06-02,998132.9491100938
2014-06-03,998024.6336436619
2014-06-04,997191.4966078569
2014-06-05,996640.9265228825
2014-06-06,996437.1991704458
2014-06-07,996437.1991704458
2014-06-08,996437.1991704458
2014-06-09,994375.0066020967
2014-06-10,994320.8195795493
2014-06-11,995803.427413119
2014-06-12,996574.2943604985
2014-06-13,998098.4773643346
2014-06-14,998098.4773643346
2014-06-15,998098.4773643346
2014-06-16,998454.074954594
2014-06-17,997782.5836694597
2014-06-18,998158.0956295222
2014-06-19,999626.795002388
2014-06-20,1000280.4780518678
2014-06-21,1000280.4780518678
2014-06-22,1000280.4780518678
2014-06-23,1000092.8820235248
2014-06-24,999063.6617719197
2014-06-25,998362.958012734
2014-06-26,998937.7228629738
2014-06-27,999943.2617322672
2014-06-28,999943.2617322672
2014-06-29,999943.2617322672
2014-06-30,999389.4432941788
2014-07-01,999690.2676493549
2014-07-02,999162.7231239763
2014-07-03,999732.682966855
2014-07-04,997873.1185489639
2014-07-05,997873.1185489639
2014-07-06,997873.1185489639
2014-07-07,995108.010454845
2014-07-08,998416.5042679387
2014-07-09,1000410.7232781588
2014-07-10,999301.0334989788
2014-07-11,1002813.4697417235
2014-07-12,1002813.4697417235
2014-07-13,1002813.4697417235
2014-07-14,1003842.3128098289
2014-07-15,1001988.5056713851
2014-07-16,1000522.0553936213
2014-07-17,998266.265273077
2014-07-18,999286.4268306224
2014-07-19,999286.4268306224
2014-07-20,999286.4268306224
2014-07-21,996677.6079893137
2014-07-22,998209.008892121
2014-07-23,998081.259450694
2014-07-24,996185.2073331259
2014-07-25,999020.1961888751
2014-07-26,999020.1961888751
2014-07-27,999020.1961888751
2014-07-28,1001882.3146655958
2014-07-29,1001882.3146655958
2014-07-30,1000591.127446323
2014-07-31,998260.0568812008
2014-08-01,1000219.5081350836
2014-08-02,1000219.5081350836
2014-08-03,1000219.5081350836
2014-08-04,1001328.5882879079
2014-08-05,997803.186616387
2014-08-06,999192.6749580489
2014-08-07,1000001.731691073
2014-08-08,1002583.7996108674
2014-08-09,1002583.7996108674
2014-08-10,1002583.7996108674
2014-08-11,1001292.7245131475
2014-08-12,1001073.4678283617
2014-08-13,1006418.3740087796
2014-08-14,1003779.682112239
2014-08-15,1003779.682112239
2014-08-16,1003779.682112239
2014-08-17,1003779.682112239
2014-08-18,1000118.9975034371
2014-08-19,999241.8213494727
2014-08-20,998438.044349788
2014-08-21,999850.8370910379
2014-08-22,1001566.482401342
2014-08-23,1001566.482401342
2014-08-24,1001566.482401342
2014-08-25,1001292.5756642323
2014-08-26,1003749.9548457835
2014-08-27,1000816.904945429
2014-08-28,1000006.0873118638
2014-08-29,1000006.0873118638
2014-08-30,1000006.0873118638
2014-08-31,1000006.0873118638
2014-09-01,999915.449467932
2014-09-02,997505.531519338
2014-09-03,995737.0433257988
2014-09-04,998928.5258459102
2014-09-05,997562.0621411614
2014-09-06,997562.0621411614
2014-09-07,997562.0621411614
2014-09-08,997318.9650999121
2014-09-09,1000510.416661321
2014-09-10,997865.8810238342
2014-09-11,994010.5651038322
2014-09-12,992397.1746020083
2014-09-13,992397.1746020083
2014-09-14,992397.1746020083
2014-09-15,990462.8461080826
2014-09-16,999467.5213135665
2014-09-17,999377.4515540422
2014-09-18,994625.2921341077
2014-09-19,997072.1215996481
2014-09-20,997072.1215996481
2014-09-21,997072.1215996481
2014-09-22,996586.6788642162
