Date,Capital
2017-01-01,300000.0
2017-01-02,300807.39810176747
2017-01-03,300030.988087621
2017-01-04,300765.90304957534
2017-01-05,302811.28340252955
2017-01-06,302016.1336666019
2017-01-07,302016.1336666019
2017-01-08,302016.1336666019
2017-01-09,301820.79057596397
2017-01-10,300652.9880117849
2017-01-11,300094.17199122836
2017-01-12,299123.7387885164
2017-01-13,298548.60722781933
2017-01-14,298548.60722781933
2017-01-15,298548.60722781933
2017-01-16,298321.92773957865
2017-01-17,298398.776652689
2017-01-18,297934.58419055014
2017-01-19,298042.0094625085
2017-01-20,298023.0779355109
2017-01-21,298023.0779355109
2017-01-22,298023.0779355109
2017-01-23,298080.5013303945
2017-01-24,298209.3783577461
2017-01-25,298657.5578963059
2017-01-26,298657.5578963059
2017-01-27,299336.1213988274
2017-01-28,299336.1213988274
2017-01-29,299336.1213988274
2017-01-30,301681.74596158054
2017-01-31,304369.469348609
2017-02-01,306317.0082793882
2017-02-02,306264.3567591201
2017-02-03,309001.480949123
2017-02-04,309001.480949123
2017-02-05,309001.480949123
2017-02-06,310793.28683384275
2017-02-07,310128.0616244727
2017-02-08,310079.2444975407
2017-02-09,309941.96023962856
2017-02-10,308723.39827692404
2017-02-11,308723.39827692404
2017-02-12,308723.39827692404
2017-02-13,307547.9694636646
2017-02-14,307574.07414142665
2017-02-15,306064.61918637395
2017-02-16,308527.0174393599
2017-02-17,310589.7149152997
2017-02-18,310589.7149152997
2017-02-19,310589.7149152997
2017-02-20,312041.0678667269
2017-02-21,311125.6351304594
2017-02-22,311097.34473838675
2017-02-23,313478.3700431336
2017-02-24,313478.3700431336
2017-02-25,313478.3700431336
2017-02-26,313478.3700431336
2017-02-27,314835.59047241113
2017-02-28,315646.3997962
2017-03-01,316980.96947628283
2017-03-02,314498.15226524463
2017-03-03,315526.8080799257
2017-03-04,315526.8080799257
2017-03-05,315526.8080799257
2017-03-06,315317.499591369
2017-03-07,315032.58133752615
2017-03-08,314328.89516213833
2017-03-09,314279.8361259093
2017-03-10,313891.78497509676
2017-03-11,313891.78497509676
2017-03-12,313891.78497509676
2017-03-13,313891.78497509676
2017-03-14,312614.36917326314
2017-03-15,314266.75835319504
2017-03-16,314855.0897541214
2017-03-17,313543.19113923237
2017-03-18,313543.19113923237
2017-03-19,313543.19113923237
2017-03-20,311604.1564528683
2017-03-21,311394.0270297716
2017-03-22,310855.3944681493
2017-03-23,311026.23923247674
2017-03-24,310575.2442634216
2017-03-25,310575.2442634216
2017-03-26,310575.2442634216
2017-03-27,310116.70615776465
2017-03-28,310382.46712517424
2017-03-29,310363.0154262085
2017-03-30,310131.92993844533
2017-03-31,309118.98635342636
2017-04-01,309118.98635342636
2017-04-02,309118.98635342636
2017-04-03,308420.55201933347
2017-04-04,308420.55201933347
2017-04-05,310292.27700752753
2017-04-06,310185.30459006777
2017-04-07,309268.9079377903
2017-04-08,309268.9079377903
2017-04-09,309268.9079377903
2017-04-10,308879.11392212135
2017-04-11,309170.0027400948
2017-04-12,308150.39643869584
2017-04-13,307553.49746399187
2017-04-14,307553.49746399187
2017-04-15,307553.49746399187
2017-04-16,307553.49746399187
2017-04-17,306557.1335985325
2017-04-18,305929.98930046696
2017-04-19,305972.76734147477
2017-04-20,306271.12971580226
2017-04-21,306733.5364324224
2017-04-22,306733.5364324224
2017-04-23,306733.5364324224
2017-04-24,308889.68498185824
2017-04-25,307865.4057425643
2017-04-26,308699.471928579
2017-04-27,309146.6314984085
2017-04-28,309730.5163072448
2017-04-29,309730.5163072448
2017-04-30,309730.5163072448
2017-05-01,309730.5163072448
2017-05-02,309368.70346484013
2017-05-03,308156.2294581693
2017-05-04,309121.0963901449
2017-05-05,307573.80100544
2017-05-06,307573.80100544
2017-05-07,307573.80100544
2017-05-08,308507.2317333155
2017-05-09,308004.62582853436
2017-05-10,307921.8646957659
2017-05-11,306860.16614102316
2017-05-12,306545.841750639
2017-05-13,306545.841750639
2017-05-14,306545.841750639
2017-05-15,305215.7054730847
2017-05-16,306038.93698004435
2017-05-17,305619.5580915725
2017-05-18,305343.7683238485
2017-05-19,304399.0191045782
2017-05-20,304399.0191045782
2017-05-21,304399.0191045782
2017-05-22,303857.39667531184
2017-05-23,301258.1239027229
2017-05-24,299709.6763474797
2017-05-25,301195.58150773385
2017-05-26,301327.5452327743
2017-05-27,301327.5452327743
2017-05-28,301327.5452327743
2017-05-29,299033.50822835695
2017-05-30,299374.41445908276
2017-05-31,299519.0046489768
2017-06-01,299195.65445528086
2017-06-02,299835.919496011
2017-06-03,299835.919496011
2017-06-04,299835.919496011
2017-06-05,299109.00568933133
2017-06-06,298440.4064808432
2017-06-07,296760.61203132087
2017-06-08,295956.28079512354
2017-06-09,295622.28490518004
2017-06-10,295622.28490518004
2017-06-11,295622.28490518004
2017-06-12,295721.88346922613
2017-06-13,296724.53520856105
2017-06-14,297170.2529726706
2017-06-15,297756.35479861405
2017-06-16,297761.52831455815
2017-06-17,297761.52831455815
2017-06-18,297761.52831455815
2017-06-19,296756.6647328562
2017-06-20,297347.25863953866
2017-06-21,297779.0365141912
2017-06-22,298836.0991019897
2017-06-23,301039.80587686674
2017-06-24,301039.80587686674
2017-06-25,301039.80587686674
2017-06-26,301039.80587686674
2017-06-27,305826.91422585136
2017-06-28,306953.616885272
2017-06-29,310070.591910125
2017-06-30,310680.23383203545
2017-07-01,310680.23383203545
2017-07-02,310680.23383203545
2017-07-03,308291.07096001453
2017-07-04,306168.8046876445
2017-07-05,307750.9727903872
2017-07-06,307314.63619934954
2017-07-07,310499.19286627567
2017-07-08,310499.19286627567
2017-07-09,310499.19286627567
2017-07-10,311698.3240056983
2017-07-11,308786.547365236
2017-07-12,306659.0355192942
2017-07-13,305767.4961375267
2017-07-14,306667.03322796174
2017-07-15,306667.03322796174
2017-07-16,306667.03322796174
2017-07-17,309780.4131403731
2017-07-18,309751.5719786211
2017-07-19,310418.3087432972
2017-07-20,310738.5375138598
2017-07-21,314367.9939380723
2017-07-22,314367.9939380723
2017-07-23,314367.9939380723
2017-07-24,317704.3025280861
2017-07-25,321601.86875964905
2017-07-26,323085.5964706339
2017-07-27,321001.85499010916
2017-07-28,320885.72099143575
2017-07-29,320885.72099143575
2017-07-30,320885.72099143575
2017-07-31,319837.89562617405
2017-08-01,318143.2339799162
2017-08-02,313752.68362928473
2017-08-03,311161.9041838932
2017-08-04,313683.1473468245
2017-08-05,313683.1473468245
2017-08-06,313683.1473468245
2017-08-07,317914.83451855415
2017-08-08,314031.2205901443
2017-08-09,314152.80137952825
2017-08-10,312024.41102936363
2017-08-11,308532.8764202597
2017-08-12,308532.8764202597
2017-08-13,308532.8764202597
2017-08-14,308645.1564413152
2017-08-15,308645.1564413152
2017-08-16,309545.7850546827
2017-08-17,309266.67952889344
2017-08-18,308451.10830146214
2017-08-19,308451.10830146214
2017-08-20,308451.10830146214
2017-08-21,307657.6305884869
2017-08-22,306694.77039369615
2017-08-23,306785.0377938435
2017-08-24,308292.31643078837
2017-08-25,308292.31643078837
2017-08-26,308292.31643078837
2017-08-27,308292.31643078837
2017-08-28,307886.03740951023
2017-08-29,306382.4092847985
2017-08-30,308343.4486675483
2017-08-31,308398.6785612243
2017-09-01,309421.0022511806
2017-09-02,309421.0022511806
2017-09-03,309421.0022511806
2017-09-04,309688.7713806645
2017-09-05,309078.57743919484
2017-09-06,309265.9408677541
2017-09-07,309182.5177227572
2017-09-08,308272.77744606324
2017-09-09,308272.77744606324
2017-09-10,308272.77744606324
2017-09-11,306840.7574721139
2017-09-12,307159.18512922217
2017-09-13,307952.96863328555
2017-09-14,306653.37427669455
2017-09-15,304288.896007076
2017-09-16,304288.896007076
2017-09-17,304288.896007076
2017-09-18,300812.4562352338
2017-09-19,299854.25651597825
2017-09-20,301997.70320701646
2017-09-21,302772.1175634287
2017-09-22,302296.8374181218
2017-09-23,302296.8374181218
2017-09-24,302296.8374181218
2017-09-25,301061.52582733514
2017-09-26,299728.71910789405
2017-09-27,298222.3096785235
2017-09-28,298775.9855614397
2017-09-29,300160.13132606965
2017-09-30,300160.13132606965
2017-10-01,300160.13132606965
2017-10-02,300160.13132606965
2017-10-03,299500.74822221673
2017-10-04,299628.0852105809
2017-10-05,300149.285737601
2017-10-06,300670.265841911
2017-10-07,300670.265841911
2017-10-08,300670.265841911
2017-10-09,299908.59832135396
2017-10-10,299931.1912425456
2017-10-11,298812.6633825196
2017-10-12,299007.6038598581
2017-10-13,300290.0121618776
2017-10-14,300290.0121618776
2017-10-15,300290.0121618776
2017-10-16,301137.70465075056
2017-10-17,302315.020520439
2017-10-18,302135.8263738463
2017-10-19,301405.08427229
2017-10-20,301405.08427229
2017-10-21,301405.08427229
2017-10-22,301405.08427229
2017-10-23,301747.8251617382
2017-10-24,301174.3708750324
2017-10-25,303907.52302728745
2017-10-26,301992.2548086138
2017-10-27,301738.8735259868
2017-10-28,301738.8735259868
2017-10-29,301738.8735259868
2017-10-30,301824.23167419434
2017-10-31,301601.1983923769
2017-11-01,302463.75347184413
2017-11-02,303044.4026370545
2017-11-03,303458.56676903495
2017-11-04,303458.56676903495
2017-11-05,303458.56676903495
2017-11-06,302051.1826608151
2017-11-07,299871.41232622036
2017-11-08,299816.63911421434
2017-11-09,300622.3874639838
2017-11-10,303480.1532493464
2017-11-11,303480.1532493464
2017-11-12,303480.1532493464
2017-11-13,307654.5197916972
2017-11-14,306257.6722302672
2017-11-15,304075.61156825983
2017-11-16,304597.84795858717
2017-11-17,304881.4677001757
2017-11-18,304881.4677001757
2017-11-19,304881.4677001757
2017-11-20,305679.3657709043
2017-11-21,304984.91723665403
2017-11-22,305029.1362372701
2017-11-23,304138.9403769184
2017-11-24,304738.83332333906
2017-11-25,304738.83332333906
2017-11-26,304738.83332333906
2017-11-27,303968.90124893317
2017-11-28,304496.2069192218
2017-11-29,303628.2808105382
2017-11-30,303687.8436358123
2017-12-01,302492.24515683064
2017-12-02,302492.24515683064
2017-12-03,302492.24515683064
2017-12-04,301233.5263038244
2017-12-05,301160.5475838439
2017-12-06,300840.0858160496
2017-12-07,301281.91514388745
2017-12-08,304593.7784165456
2017-12-09,304593.7784165456
2017-12-10,304593.7784165456
2017-12-11,304911.44149026455
2017-12-12,304495.2357129367
2017-12-13,302529.3044894686
2017-12-14,301642.5928100402
2017-12-15,301517.29891714157
2017-12-16,301517.29891714157
2017-12-17,301517.29891714157
2017-12-18,301267.4674678112
2017-12-19,301368.29449008266
2017-12-20,302235.0337149256
2017-12-21,304236.13922432007
2017-12-22,301817.7923012531
2017-12-23,301817.7923012531
2017-12-24,301817.7923012531
2017-12-25,301817.7923012531
2017-12-26,304172.77347831114
2017-12-27,308051.9774915796
2017-12-28,314072.2675128895
2017-12-29,321194.8724666028
2017-12-30,321194.8724666028
2017-12-31,321194.8724666028
2018-01-01,323381.99461336253
2018-01-02,318766.0302634117
2018-01-03,319316.21554131294
2018-01-04,318155.19399481843
2018-01-05,321964.15744477976
2018-01-06,321964.15744477976
2018-01-07,321964.15744477976
2018-01-08,323226.0402227376
2018-01-09,320541.7272283839
2018-01-10,320352.2934944288
2018-01-11,319132.0537167595
2018-01-12,317981.41922090686
2018-01-13,317981.41922090686
2018-01-14,317981.41922090686
2018-01-15,315544.70338611916
2018-01-16,313792.42683748476
2018-01-17,315131.56779425446
2018-01-18,310800.8662224294
2018-01-19,309673.053048999
2018-01-20,309673.053048999
2018-01-21,309673.053048999
2018-01-22,308953.71285645163
2018-01-23,309583.73344276694
2018-01-24,308272.90584773757
2018-01-25,308707.060091425
2018-01-26,308707.060091425
2018-01-27,308707.060091425
2018-01-28,308707.060091425
2018-01-29,307442.5071958424
2018-01-30,306632.64618789963
2018-01-31,307363.0299249106
2018-02-01,306386.9960093946
2018-02-02,302671.8182401774
2018-02-03,302671.8182401774
2018-02-04,302671.8182401774
2018-02-05,304854.23269033217
2018-02-06,302463.3298844274
2018-02-07,301740.5065474225
2018-02-08,301344.0382158542
2018-02-09,301750.69238971773
2018-02-10,301750.69238971773
2018-02-11,301750.69238971773
2018-02-12,300759.01374366856
2018-02-13,300759.01374366856
2018-02-14,299317.5210238969
2018-02-15,297903.7064723888
2018-02-16,298657.9344062869
2018-02-17,298657.9344062869
2018-02-18,298657.9344062869
2018-02-19,298054.16980249266
2018-02-20,297141.61077655037
2018-02-21,296643.47311067674
2018-02-22,296534.0083565727
2018-02-23,299369.84417574364
2018-02-24,299369.84417574364
2018-02-25,299369.84417574364
2018-02-26,298477.41477110947
2018-02-27,297786.9759912623
2018-02-28,297267.5262310597
2018-03-01,297973.68351406907
2018-03-02,297973.68351406907
2018-03-03,297973.68351406907
2018-03-04,297973.68351406907
2018-03-05,295485.53738902754
2018-03-06,293756.12054201623
2018-03-07,291742.4620830074
2018-03-08,291377.3332782828
2018-03-09,289764.9339746412
2018-03-10,289764.9339746412
2018-03-11,289764.9339746412
2018-03-12,291208.14331157756
2018-03-13,291459.4227330166
2018-03-14,293322.4114665449
2018-03-15,295024.26157683384
2018-03-16,296559.9147202935
2018-03-17,296559.9147202935
2018-03-18,296559.9147202935
2018-03-19,295386.80171142804
2018-03-20,294807.3263994737
2018-03-21,294449.20766502334
2018-03-22,292207.6518765965
2018-03-23,291992.9119189999
2018-03-24,291992.9119189999
2018-03-25,291992.9119189999
2018-03-26,292904.15998947027
2018-03-27,292554.9994477733
2018-03-28,290123.9809600969
2018-03-29,290123.9809600969
2018-03-30,290123.9809600969
2018-03-31,290123.9809600969
2018-04-01,290123.9809600969
2018-04-02,291171.28440858546
2018-04-03,291875.01011672
2018-04-04,292670.28787455056
2018-04-05,292774.93512741337
2018-04-06,293249.39700321475
2018-04-07,293249.39700321475
2018-04-08,293249.39700321475
2018-04-09,291786.9927620041
2018-04-10,291421.81555671553
2018-04-11,292141.31484960596
2018-04-12,290865.4464096797
2018-04-13,290410.5086506922
2018-04-14,290410.5086506922
2018-04-15,290410.5086506922
2018-04-16,289476.0818611866
2018-04-17,289163.2262152828
2018-04-18,290212.94710967765
2018-04-19,289188.61602128565
2018-04-20,287581.2955936421
2018-04-21,287581.2955936421
2018-04-22,287581.2955936421
