Date,Capital
2014-01-04,200000.0
2014-01-05,200000.0
2014-01-06,199765.61955118168
2014-01-07,200206.84006927273
2014-01-08,202529.54891563446
2014-01-09,195921.9009048217
2014-01-10,190240.30982805556
2014-01-11,190240.30982805562
2014-01-12,190240.30982805562
2014-01-13,190951.1319592631
2014-01-14,191421.28658707862
2014-01-15,188949.8799481698
2014-01-16,186583.00442830502
2014-01-17,182006.22828925474
2014-01-18,182006.22828925477
2014-01-19,182006.22828925477
2014-01-20,183941.3000636705
2014-01-21,184126.3432284813
2014-01-22,183390.6939800288
2014-01-23,182583.923445943
2014-01-24,177639.528607789
2014-01-25,177639.528607789
2014-01-26,177639.528607789
2014-01-27,174248.15133355098
2014-01-28,172835.52659719766
2014-01-29,171469.41052939312
2014-01-30,168896.28473321596
2014-01-31,171731.36867419473
2014-02-01,171731.36867419473
2014-02-02,171731.36867419473
2014-02-03,170419.54105554378
2014-02-04,171800.65129728278
2014-02-05,173869.99348055653
2014-02-06,173056.48566471302
2014-02-07,172971.72837104838
2014-02-08,172971.72837104838
2014-02-09,172971.72837104838
2014-02-10,171745.11959196656
2014-02-11,170395.16436849916
2014-02-12,171507.51538413175
2014-02-13,168335.59473719564
2014-02-14,168035.93021643924
2014-02-15,168035.93021643924
2014-02-16,168035.93021643924
2014-02-17,168481.291720394
2014-02-18,169578.21054262965
2014-02-19,171145.27705953666
2014-02-20,170001.70989324967
2014-02-21,172158.27481096386
2014-02-22,172158.27481096386
2014-02-23,172158.27481096386
2014-02-24,172335.77626182357
2014-02-25,171575.60800086873
2014-02-26,171111.42683832004
2014-02-27,171111.42683832007
2014-02-28,171143.98982121813
2014-03-01,171143.98982121813
2014-03-02,171143.98982121813
2014-03-03,170546.0591631641
2014-03-04,174319.75655834962
2014-03-05,174050.31023796237
2014-03-06,171967.6637155467
2014-03-07,170626.94224082347
2014-03-08,170626.94224082347
2014-03-09,170626.94224082347
2014-03-10,175138.74523706557
2014-03-11,173962.44399346077
2014-03-12,172775.03269166686
2014-03-13,170004.55250255135
2014-03-14,171364.50541098003
2014-03-15,171364.50541098005
2014-03-16,171364.50541098005
2014-03-17,171364.50541098005
2014-03-18,172793.8635334327
2014-03-19,172233.94064552942
2014-03-20,170466.91735906276
2014-03-21,173797.9012747489
2014-03-22,173797.9012747489
2014-03-23,173797.9012747489
2014-03-24,171747.03472591052
2014-03-25,173436.6188639873
2014-03-26,173611.84797187505
2014-03-27,174095.0361647468
2014-03-28,177182.95292688836
2014-03-29,177182.95292688836
2014-03-30,177182.95292688836
2014-03-31,177821.8495261374
2014-04-01,176950.61977125393
2014-04-02,179770.2004255153
2014-04-03,179858.80155028016
2014-04-04,183703.4127053226
2014-04-05,183703.4127053226
2014-04-06,183703.4127053226
2014-04-07,186831.77056615287
2014-04-08,186831.77056615287
2014-04-09,189909.03921209893
2014-04-10,190890.79798093857
2014-04-11,193335.994626375
2014-04-12,193335.99462637503
2014-04-13,193335.99462637503
2014-04-14,193335.99462637503
2014-04-15,187463.11184340814
2014-04-16,182595.7190776584
2014-04-17,184973.58716408283
2014-04-18,184973.58716408283
2014-04-19,184973.58716408283
2014-04-20,184973.58716408283
2014-04-21,187626.60180192112
2014-04-22,186173.53936614183
2014-04-23,183680.15835350752
2014-04-24,183680.15835350752
2014-04-25,182428.58622133738
2014-04-26,182428.58622133738
2014-04-27,182428.58622133738
2014-04-28,181322.49173606018
2014-04-29,181270.23841017857
2014-04-30,175264.6854499827
2014-05-01,175264.6854499827
2014-05-02,175721.652076605
2014-05-03,175721.652076605
2014-05-04,175721.652076605
2014-05-05,174694.52141061466
