Date,Capital
2014-09-01,550401.9812980938
2014-09-02,551847.1768521125
2014-09-03,552282.2194785208
2014-09-04,551598.976297115
2014-09-05,552513.5894454439
2014-09-06,552513.5894454439
2014-09-07,552513.5894454439
2014-09-08,553318.5047473086
2014-09-09,552676.1899509376
2014-09-10,553642.2031057823
2014-09-11,554164.5388820978
2014-09-12,554121.358956428
2014-09-13,554121.358956428
2014-09-14,554121.358956428
2014-09-15,554595.539275766
2014-09-16,551909.774701996
2014-09-17,551887.7515326117
2014-09-18,553298.4076957155
2014-09-19,552714.2344342581
2014-09-20,552714.2344342581
2014-09-21,552714.2344342581
2014-09-22,552309.4779812024
2014-09-23,550447.5268759447
2014-09-24,549490.3257582331
2014-09-25,547691.4293854323
2014-09-26,548451.0918136208
2014-09-27,548451.0918136208
2014-09-28,548451.0918136208
2014-09-29,548746.348334295
2014-09-30,549293.7091053808
2014-10-01,548157.510670487
2014-10-02,548157.510670487
2014-10-03,548157.510670487
2014-10-04,548157.510670487
2014-10-05,548157.510670487
2014-10-06,548157.510670487
2014-10-07,546920.2556337793
2014-10-08,547851.5869740772
2014-10-09,549643.6315065847
2014-10-10,547882.4725639395
2014-10-11,547882.4725639395
2014-10-12,547882.4725639395
2014-10-13,548478.6521598481
2014-10-14,548776.2326914056
2014-10-15,548776.2326914056
2014-10-16,544713.5493751585
2014-10-17,544050.4046310001
2014-10-18,544050.4046310001
2014-10-19,544050.4046310001
2014-10-20,544256.3067562396
2014-10-21,546094.8669514837
2014-10-22,546552.2770351913
2014-10-23,546552.2770351913
2014-10-24,546552.2770351913
2014-10-25,546552.2770351913
2014-10-26,546552.2770351913
2014-10-27,546840.1112869999
2014-10-28,547080.1030572413
2014-10-29,549202.63250619
2014-10-30,550958.5374336789
2014-10-31,552578.1731294408
2014-11-01,552578.1731294408
2014-11-02,552578.1731294408
2014-11-03,555849.8928096893
2014-11-04,555849.8928096893
2014-11-05,556593.8253609783
2014-11-06,556593.8253609783
2014-11-07,555256.2728642573
2014-11-08,555256.2728642573
2014-11-09,555256.2728642573
2014-11-10,555658.1435920432
2014-11-11,556315.3620509494
2014-11-12,556287.9958181885
2014-11-13,554259.2642342048
2014-11-14,555505.8049509781
2014-11-15,555505.8049509781
2014-11-16,555505.8049509781
2014-11-17,555928.2824691533
2014-11-18,557397.0003808937
2014-11-19,555438.8566999857
2014-11-20,554319.1863751397
2014-11-21,553759.7043136786
2014-11-22,553759.7043136786
2014-11-23,553759.7043136786
2014-11-24,554022.4705458052
2014-11-25,550732.4728008877
2014-11-26,553083.5377273344
2014-11-27,554890.0242691479
2014-11-28,556808.1843660404
2014-11-29,556808.1843660404
2014-11-30,556808.1843660404
2014-12-01,551927.3526090039
2014-12-02,555276.8566242671
2014-12-03,559978.6662421942
2014-12-04,564470.9267838887
2014-12-05,563341.2655344909
2014-12-06,563341.2655344909
2014-12-07,563341.2655344909
2014-12-08,560330.0770133093
2014-12-09,556759.1422295575
2014-12-10,560254.308491597
2014-12-11,555631.6966104809
2014-12-12,552234.865703673
2014-12-13,552234.865703673
2014-12-14,552234.865703673
2014-12-15,552434.7415770825
2014-12-16,545606.4450598095
2014-12-17,541641.6790137875
2014-12-18,550737.1763169384
2014-12-19,554941.1509995267
2014-12-20,554941.1509995267
2014-12-21,554941.1509995267
2014-12-22,555585.8587687041
2014-12-23,553002.0546551012
2014-12-24,552396.2982658579
2014-12-25,552396.2982658579
2014-12-26,551588.9734944658
2014-12-27,551588.9734944658
2014-12-28,551588.9734944658
2014-12-29,550957.4503987276
2014-12-30,553740.1027455644
2014-12-31,557547.1531512232
2015-01-01,562326.7256858107
2015-01-02,565125.7701760374
2015-01-03,565125.7701760374
2015-01-04,565125.7701760374
2015-01-05,566784.8040680024
2015-01-06,557340.0141122219
2015-01-07,560883.513317226
2015-01-08,567313.0750429747
2015-01-09,566545.4247955193
2015-01-10,566545.4247955193
2015-01-11,566545.4247955193
2015-01-12,571087.0769227752
2015-01-13,571470.4288780788
2015-01-14,570624.931322094
2015-01-15,571388.7005524405
2015-01-16,572812.1272327539
2015-01-17,572812.1272327539
2015-01-18,572812.1272327539
2015-01-19,574369.2610760108
2015-01-20,578987.9034503624
2015-01-21,579275.4181593308
2015-01-22,581164.5118486944
2015-01-23,578189.052713905
2015-01-24,578189.052713905
2015-01-25,578189.052713905
2015-01-26,578189.052713905
2015-01-27,575118.5928627402
2015-01-28,574943.9968573714
2015-01-29,574467.1456625534
2015-01-30,575041.9388365613
2015-01-31,575041.9388365613
2015-02-01,575041.9388365613
2015-02-02,579153.7364043159
2015-02-03,577990.1236130693
2015-02-04,574233.4658193334
2015-02-05,572021.7665283335
2015-02-06,567345.2369160107
2015-02-07,567345.2369160107
2015-02-08,567345.2369160107
2015-02-09,558553.965327847
2015-02-10,562976.3634208041
2015-02-11,570193.423593529
2015-02-12,572446.4970695069
2015-02-13,573447.9036640988
2015-02-14,573447.9036640988
2015-02-15,573447.9036640988
2015-02-16,575735.131707554
2015-02-17,575735.131707554
2015-02-18,579217.107928267
2015-02-19,579953.740666992
2015-02-20,579451.6392987259
2015-02-21,579451.6392987259
2015-02-22,579451.6392987259
2015-02-23,578196.9792215684
2015-02-24,577497.6323596826
2015-02-25,578350.7907866956
2015-02-26,574355.1126201111
2015-02-27,579547.7462687098
2015-02-28,579547.7462687098
2015-03-01,579547.7462687098
2015-03-02,588958.5757960165
2015-03-03,593508.6138042591
2015-03-04,590369.0087837335
2015-03-05,597582.2849923309
2015-03-06,597582.2849923309
2015-03-07,597582.2849923309
2015-03-08,597582.2849923309
2015-03-09,592855.2705518352
2015-03-10,593907.7926020953
2015-03-11,589854.0676907538
2015-03-12,592985.195061304
2015-03-13,583928.6834088664
2015-03-14,583928.6834088664
2015-03-15,583928.6834088664
2015-03-16,579261.1833552967
2015-03-17,583023.505931651
2015-03-18,586564.6168579138
2015-03-19,582391.4171057285
2015-03-20,569857.8520962473
2015-03-21,569857.8520962473
2015-03-22,569857.8520962473
2015-03-23,566930.3039172498
2015-03-24,565077.4006190263
2015-03-25,560712.2289248022
2015-03-26,556934.8230784566
2015-03-27,557704.4846351333
