Date,Capital
2014-02-24,599123.7178508282
2014-02-25,598986.490924619
2014-02-26,599141.2279466944
2014-02-27,599141.2279466944
2014-02-28,599199.8214356985
2014-03-01,599199.8214356985
2014-03-02,599199.8214356985
2014-03-03,599045.2430174642
2014-03-04,598964.3146119195
2014-03-05,599027.231628895
2014-03-06,602403.0734904871
2014-03-07,606084.799262654
2014-03-08,606084.799262654
2014-03-09,606084.799262654
2014-03-10,606694.3421567584
2014-03-11,605878.7383980002
2014-03-12,604400.0220599968
2014-03-13,603858.5720978309
2014-03-14,602915.0205020282
2014-03-15,602915.0205020282
2014-03-16,602915.0205020282
2014-03-17,602915.0205020282
2014-03-18,603706.6805023212
2014-03-19,602665.1842563588
2014-03-20,601864.8913126392
2014-03-21,599857.7196877352
2014-03-22,599857.7196877352
2014-03-23,599857.7196877352
2014-03-24,599418.3747988933
2014-03-25,600299.8553967528
2014-03-26,600764.9224781564
2014-03-27,602352.5091872971
2014-03-28,607267.5018170956
2014-03-29,607267.5018170956
2014-03-30,607267.5018170956
2014-03-31,606326.4563899339
2014-04-01,607409.3818711425
2014-04-02,609322.6958648105
2014-04-03,609875.6797619624
2014-04-04,610334.9418028865
2014-04-05,610334.9418028865
2014-04-06,610334.9418028865
2014-04-07,611702.8334720342
2014-04-08,611702.8334720342
2014-04-09,608596.7153268418
2014-04-10,608582.3402332785
2014-04-11,613083.2922273637
2014-04-12,613083.2922273637
2014-04-13,613083.2922273637
2014-04-14,613083.2922273636
2014-04-15,618014.4840886336
2014-04-16,618226.8703978367
2014-04-17,614019.6109092494
2014-04-18,614019.6109092494
2014-04-19,614019.6109092494
2014-04-20,614019.6109092494
2014-04-21,609792.8481264467
2014-04-22,610030.9406622798
2014-04-23,605232.1353577623
2014-04-24,605232.1353577623
2014-04-25,605316.9955719316
2014-04-26,605316.9955719316
2014-04-27,605316.9955719316
2014-04-28,610395.4614388146
2014-04-29,609837.4306136715
2014-04-30,612876.3174958113
2014-05-01,612876.3174958113
2014-05-02,608699.7262002468
2014-05-03,608699.7262002468
2014-05-04,608699.7262002468
2014-05-05,609233.3488183365
2014-05-06,608395.5444980634
2014-05-07,608678.1273417568
