Date,Capital
2014-01-04,100000.0
2014-01-05,100000.0
2014-01-06,99526.61199077374
2014-01-07,99758.67539476126
2014-01-08,100592.26816362994
2014-01-09,102100.99925351632
2014-01-10,101645.0477208084
2014-01-11,101645.0477208084
2014-01-12,101645.0477208084
2014-01-13,101472.54466895797
2014-01-14,100295.19127532232
2014-01-15,99851.5355914089
2014-01-16,99977.31902819815
2014-01-17,99263.95147019485
2014-01-18,99263.95147019485
2014-01-19,99263.95147019485
2014-01-20,100737.3262902687
2014-01-21,101118.23746618658
2014-01-22,100691.5238159484
2014-01-23,100383.24215698495
2014-01-24,100829.27229325542
2014-01-25,100829.27229325542
2014-01-26,100829.27229325542
2014-01-27,99152.50019201456
2014-01-28,99143.1689229
2014-01-29,99539.81196611164
2014-01-30,100083.02640428409
2014-01-31,100090.57425670086
2014-02-01,100090.57425670086
2014-02-02,100090.57425670086
2014-02-03,99478.80267431817
2014-02-04,99262.81401021004
2014-02-05,99543.95222728417
2014-02-06,98954.41672733203
2014-02-07,98466.94678553124
2014-02-08,98466.94678553124
2014-02-09,98466.94678553124
2014-02-10,98058.46030236466
2014-02-11,97455.04354110321
2014-02-12,97534.08327300345
2014-02-13,97775.51671760791
2014-02-14,98086.24090818112
2014-02-15,98086.24090818112
2014-02-16,98086.24090818112
2014-02-17,98405.32025623217
2014-02-18,97983.59811098839
2014-02-19,98041.80435716151
2014-02-20,97746.37875760441
2014-02-21,97617.67639691941
2014-02-22,97617.67639691941
2014-02-23,97617.67639691941
2014-02-24,97844.64366754504
2014-02-25,98393.04570180683
2014-02-26,98416.6487990387
2014-02-27,98416.64879903871
2014-02-28,98283.27335080072
2014-03-01,98283.27335080072
2014-03-02,98283.27335080072
2014-03-03,98064.85247179569
2014-03-04,98182.92973596443
2014-03-05,97747.23798568315
2014-03-06,97205.02862128854
2014-03-07,96582.55872131407
2014-03-08,96582.55872131407
2014-03-09,96582.55872131407
2014-03-10,95901.26891455307
2014-03-11,96469.29998811254
2014-03-12,97405.32869749052
2014-03-13,98545.68882999348
2014-03-14,98768.93833791737
2014-03-15,98768.93833791737
2014-03-16,98768.93833791737
2014-03-17,98768.93833791737
2014-03-18,98846.08989671925
2014-03-19,98148.99699874688
2014-03-20,98925.54976377575
2014-03-21,98521.07997033073
2014-03-22,98521.07997033073
2014-03-23,98521.07997033073
2014-03-24,98275.96833910627
2014-03-25,97850.40153776946
2014-03-26,97612.11373233351
2014-03-27,97499.98924870817
2014-03-28,96829.61268646478
2014-03-29,96829.61268646478
2014-03-30,96829.61268646478
2014-03-31,98098.50075733836
2014-04-01,98019.42947731119
2014-04-02,98374.4903848104
2014-04-03,98490.2638833667
2014-04-04,97787.58691185492
2014-04-05,97787.58691185492
2014-04-06,97787.58691185492
2014-04-07,97728.36603014382
2014-04-08,97728.36603014382
2014-04-09,96520.38617799548
2014-04-10,95991.75677320044
2014-04-11,95540.55308044334
2014-04-12,95540.55308044334
2014-04-13,95540.55308044334
2014-04-14,95540.55308044334
2014-04-15,96130.45936563099
2014-04-16,96283.05590238306
2014-04-17,97125.8311358067
2014-04-18,97125.8311358067
2014-04-19,97125.8311358067
2014-04-20,97125.8311358067
2014-04-21,97406.52498043649
2014-04-22,97506.36796269579
2014-04-23,97528.122854031
2014-04-24,97528.122854031
2014-04-25,98246.58623146712
2014-04-26,98246.58623146712
2014-04-27,98246.58623146712
2014-04-28,99219.94515802505
2014-04-29,98855.64434547815
2014-04-30,98854.9207142963
2014-05-01,98854.9207142963
2014-05-02,98714.83147950351
2014-05-03,98714.83147950351
2014-05-04,98714.83147950351
2014-05-05,99617.3998822198
2014-05-06,99234.45536847378
2014-05-07,99348.59308025755
2014-05-08,99267.10818383058
2014-05-09,99498.02910468089
2014-05-10,99498.02910468089
2014-05-11,99498.02910468089
2014-05-12,98558.69707272122
2014-05-13,98073.91578612244
2014-05-14,98046.80269538019
2014-05-15,97138.11748557304
2014-05-16,97237.72870013287
2014-05-17,97237.72870013287
2014-05-18,97237.72870013287
2014-05-19,95699.70643047857
2014-05-20,95499.77186239754
2014-05-21,95527.93154994187
2014-05-22,95243.49654908873
2014-05-23,94558.02743740063
2014-05-24,94558.02743740063
2014-05-25,94558.02743740063
2014-05-26,95064.71424313943
2014-05-27,95003.57024324946
2014-05-28,96058.54581462078
2014-05-29,96069.91646751817
2014-05-30,96276.64595545497
2014-05-31,96276.64595545497
2014-06-01,96276.64595545497
2014-06-02,97453.26155502968
2014-06-03,98139.69726644958
2014-06-04,98275.6483925316
2014-06-05,97983.39030779398
2014-06-06,98800.01265295729
2014-06-07,98800.01265295729
2014-06-08,98800.01265295729
2014-06-09,99202.51796587229
2014-06-10,99067.80493438468
2014-06-11,98406.15577806094
2014-06-12,98273.71924414216
2014-06-13,98640.33977897682
2014-06-14,98640.33977897682
2014-06-15,98640.33977897682
2014-06-16,97587.60639789896
2014-06-17,99269.31050982619
2014-06-18,100298.38392227246
2014-06-19,100102.75404738546
2014-06-20,99885.41561147048
2014-06-21,99885.41561147048
2014-06-22,99885.41561147048
2014-06-23,100065.64230285546
2014-06-24,100361.18376691689
2014-06-25,101332.52327324498
2014-06-26,101142.9673516091
2014-06-27,100652.32082297545
2014-06-28,100652.32082297544
2014-06-29,100652.32082297544
2014-06-30,101724.16507749518
2014-07-01,100589.27366052686
2014-07-02,101064.07966312354
2014-07-03,101552.68842491617
2014-07-04,101097.09577865695
2014-07-05,101097.09577865695
2014-07-06,101097.09577865695
2014-07-07,101967.00349971904
2014-07-08,102683.91894835504
2014-07-09,103135.95051898398
2014-07-10,104565.99399004348
2014-07-11,105034.50708842445
2014-07-12,105034.50708842445
2014-07-13,105034.50708842445
2014-07-14,104941.12590440542
2014-07-15,106221.68330656963
2014-07-16,106481.94047173484
2014-07-17,106127.84360625478
2014-07-18,105642.37795721948
2014-07-19,105642.37795721948
2014-07-20,105642.37795721948
2014-07-21,107102.53509748513
2014-07-22,107277.92736319205
2014-07-23,106520.81458191079
2014-07-24,106270.0700405495
2014-07-25,105971.24627198208
2014-07-26,105971.24627198206
2014-07-27,105971.24627198206
2014-07-28,105631.91635791594
2014-07-29,105631.91635791594
2014-07-30,106192.93362345615
2014-07-31,105805.71301030276
2014-08-01,105613.9790254259
2014-08-02,105613.9790254259
2014-08-03,105613.9790254259
2014-08-04,105038.03945782833
2014-08-05,105150.32845540006
2014-08-06,105109.12253050714
2014-08-07,106657.27731155934
2014-08-08,106829.1548293579
2014-08-09,106829.1548293579
2014-08-10,106829.1548293579
