Date,Capital
2014-01-04,700000.0
2014-01-05,700000.0
2014-01-06,699526.6119907737
2014-01-07,698958.7396401209
2014-01-08,700616.8201420254
2014-01-09,703461.9404720908
2014-01-10,702025.6685045019
2014-01-11,702025.6685045019
2014-01-12,702025.6685045019
2014-01-13,702993.563108401
2014-01-14,700568.986870991
2014-01-15,701368.5949930116
2014-01-16,702608.5251952743
2014-01-17,704019.1699687572
2014-01-18,704019.1699687572
2014-01-19,704019.1699687572
2014-01-20,706447.7354100039
2014-01-21,708075.7384825221
2014-01-22,708350.4365095996
2014-01-23,707908.6709482294
2014-01-24,708051.1558011513
2014-01-25,708051.1558011513
2014-01-26,708051.1558011513
2014-01-27,703770.9260851988
2014-01-28,703162.4539497857
2014-01-29,703305.2125757461
2014-01-30,702616.5143802151
2014-01-31,704489.4323779644
2014-02-01,704489.4323779644
2014-02-02,704489.4323779644
2014-02-03,703723.0177838815
2014-02-04,703929.9732864978
2014-02-05,706430.5684503062
2014-02-06,707229.8102796269
2014-02-07,707790.6011801446
2014-02-08,707790.6011801446
2014-02-09,707790.6011801446
2014-02-10,707361.7591054833
2014-02-11,705431.3681094627
2014-02-12,706705.8949811679
2014-02-13,708191.2670565823
2014-02-14,708519.7860439429
2014-02-15,708519.7860439429
2014-02-16,708519.7860439429
2014-02-17,707600.4972043743
2014-02-18,706748.6086375422
2014-02-19,706766.0911744225
2014-02-20,706299.0860014262
2014-02-21,705739.1249063079
2014-02-22,705739.124906308
2014-02-23,705739.124906308
2014-02-24,707065.078748852
2014-02-25,705238.8045110622
2014-02-26,704927.6673661495
2014-02-27,704927.6673661496
2014-02-28,704822.9978150713
2014-03-01,704822.9978150713
2014-03-02,704822.9978150713
2014-03-03,705400.4275755637
2014-03-04,705208.1934661488
2014-03-05,703912.086108925
2014-03-06,704203.084834089
2014-03-07,703134.4193496961
2014-03-08,703134.4193496961
2014-03-09,703134.4193496961
2014-03-10,699551.8862070927
2014-03-11,702813.1196555966
2014-03-12,704029.4674199964
2014-03-13,706209.4914223116
2014-03-14,706456.2630089949
2014-03-15,706456.2630089949
2014-03-16,706456.2630089949
2014-03-17,706456.2630089949
2014-03-18,703691.5969746021
2014-03-19,704779.8102338096
2014-03-20,705881.2510877191
2014-03-21,708651.6107298154
2014-03-22,708651.6107298156
2014-03-23,708651.6107298156
2014-03-24,708270.3728168549
2014-03-25,706556.6157308856
2014-03-26,705775.3493329237
2014-03-27,705474.2959841839
2014-03-28,703120.118026837
2014-03-29,703120.118026837
2014-03-30,703120.118026837
2014-03-31,700547.7127424885
2014-04-01,703433.2996091014
2014-04-02,704340.2412503199
2014-04-03,705361.963006104
2014-04-04,703957.0852399375
2014-04-05,703957.0852399374
2014-04-06,703957.0852399374
2014-04-07,701659.5334222657
2014-04-08,701659.5334222658
2014-04-09,696289.4917149219
2014-04-10,694217.0119937762
2014-04-11,689861.0195061516
2014-04-12,689861.0195061518
2014-04-13,689861.0195061518
2014-04-14,689861.0195061518
2014-04-15,694450.4051331084
2014-04-16,697940.7413001801
2014-04-17,698204.1167796481
2014-04-18,698204.1167796482
2014-04-19,698204.1167796482
2014-04-20,698204.1167796482
2014-04-21,697892.1273347342
2014-04-22,697973.5832683607
2014-04-23,698842.4663206321
2014-04-24,698842.4663206323
2014-04-25,695899.3417299296
2014-04-26,695899.3417299296
2014-04-27,695899.3417299296
2014-04-28,694518.5000225333
2014-04-29,696348.2357242492
2014-04-30,695244.007197939
2014-05-01,695244.007197939
2014-05-02,694391.6281405559
2014-05-03,694391.6281405558
2014-05-04,694391.6281405558
2014-05-05,693805.0727484567
2014-05-06,693604.378868593
2014-05-07,692415.7081535581
2014-05-08,691654.6193724738
2014-05-09,694103.9779076613
2014-05-10,694103.9779076612
2014-05-11,694103.9779076612
2014-05-12,690666.2854427546
2014-05-13,690600.6196528662
2014-05-14,694921.4072179564
2014-05-15,692422.7823674902
2014-05-16,689635.3210367023
2014-05-17,689635.3210367023
2014-05-18,689635.3210367023
2014-05-19,680419.6070871938
2014-05-20,680061.4856921617
2014-05-21,681359.961541968
2014-05-22,676635.7733173398
2014-05-23,672845.97305562
2014-05-24,672845.97305562
2014-05-25,672845.97305562
2014-05-26,674012.5378084063
2014-05-27,678444.104056248
2014-05-28,676259.834623502
2014-05-29,678657.5711002569
2014-05-30,677448.2188614479
2014-05-31,677448.218861448
2014-06-01,677448.218861448
