Date,Capital
2014-09-01,1200282.707810839
2014-09-02,1199871.4178581086
2014-09-03,1199561.9765466617
2014-09-04,1199326.235442336
2014-09-05,1199049.8924925365
2014-09-06,1199049.8924925365
2014-09-07,1199049.8924925365
2014-09-08,1200030.4663959716
2014-09-09,1200777.474406565
2014-09-10,1201391.2358969247
2014-09-11,1200855.0847409328
2014-09-12,1200060.6595347398
2014-09-13,1200060.6595347398
2014-09-14,1200060.6595347398
2014-09-15,1199899.0616008302
2014-09-16,1200718.2209865581
2014-09-17,1200090.6377439552
2014-09-18,1199301.4907839247
2014-09-19,1199237.47274787
2014-09-20,1199237.47274787
2014-09-21,1199237.47274787
2014-09-22,1199949.5034298364
2014-09-23,1198843.4532270196
2014-09-24,1198484.1065759948
2014-09-25,1197351.764240734
2014-09-26,1197021.470291307
2014-09-27,1197021.470291307
2014-09-28,1197021.470291307
2014-09-29,1197996.3980737848
2014-09-30,1196892.3370053917
2014-10-01,1196444.7299654393
2014-10-02,1196424.2380836701
2014-10-03,1196424.2380836701
2014-10-04,1196424.2380836701
2014-10-05,1196424.2380836701
2014-10-06,1196424.2380836701
2014-10-07,1196907.7225423816
2014-10-08,1196603.3537891058
2014-10-09,1198024.7148152604
2014-10-10,1198118.4952296633
2014-10-11,1198118.4952296633
2014-10-12,1198118.4952296633
2014-10-13,1199065.8526356174
2014-10-14,1198572.3112693562
2014-10-15,1198572.3112693562
2014-10-16,1197867.3636646976
2014-10-17,1197093.4358854727
2014-10-18,1197093.4358854727
2014-10-19,1197093.4358854727
2014-10-20,1195767.5261440584
2014-10-21,1196948.4793143244
2014-10-22,1197255.2757836771
2014-10-23,1197255.2757836771
2014-10-24,1197255.2757836771
2014-10-25,1197255.2757836771
2014-10-26,1197255.2757836771
2014-10-27,1196729.3604592662
2014-10-28,1196746.7008524693
2014-10-29,1196139.7346980171
2014-10-30,1196180.7520006308
2014-10-31,1195594.2416866494
2014-11-01,1195594.2416866494
2014-11-02,1195594.2416866494
2014-11-03,1198868.5985070884
2014-11-04,1198868.5985070884
2014-11-05,1197010.9005463272
2014-11-06,1197010.9005463272
2014-11-07,1192188.302274115
2014-11-08,1192188.302274115
2014-11-09,1192188.302274115
2014-11-10,1191553.9832140473
2014-11-11,1194145.048966238
2014-11-12,1191167.7612196505
2014-11-13,1192261.0860282187
2014-11-14,1189980.9001063043
2014-11-15,1189980.9001063043
2014-11-16,1189980.9001063043
2014-11-17,1187848.1077284198
2014-11-18,1188923.8959119613
2014-11-19,1187105.783553126
2014-11-20,1184756.8245462365
2014-11-21,1184692.157831924
2014-11-22,1184692.157831924
2014-11-23,1184692.157831924
2014-11-24,1186010.9451770496
2014-11-25,1182824.1286312612
2014-11-26,1181506.5972729533
2014-11-27,1179798.3264144924
2014-11-28,1179234.9429247377
2014-11-29,1179234.9429247377
2014-11-30,1179234.9429247377
2014-12-01,1174769.2483562627
2014-12-02,1176519.3405438336
2014-12-03,1176188.8215159967
2014-12-04,1176243.9959955786
2014-12-05,1179697.402027922
2014-12-06,1179697.402027922
2014-12-07,1179697.402027922
2014-12-08,1179267.9228707887
2014-12-09,1179770.7397309307
2014-12-10,1181321.9180258343
2014-12-11,1177887.6544889659
2014-12-12,1175376.7494482822
2014-12-13,1175376.7494482822
2014-12-14,1175376.7494482822
2014-12-15,1173473.9874176206
