Date,Capital
2014-03-03,200161.34921985777
2014-03-04,200547.76363847067
2014-03-05,201442.75991893603
2014-03-06,203141.50455842155
2014-03-07,204766.04201046936
2014-03-08,204766.04201046936
2014-03-09,204766.04201046936
2014-03-10,205826.05244178022
2014-03-11,205483.8237297712
2014-03-12,205909.40624005877
2014-03-13,204575.00789053645
2014-03-14,203470.04318390886
2014-03-15,203470.04318390886
2014-03-16,203470.04318390886
2014-03-17,203470.04318390886
2014-03-18,203349.715811298
2014-03-19,202759.95095715259
2014-03-20,204254.25627865698
2014-03-21,204243.28664169012
2014-03-22,204243.28664169012
2014-03-23,204243.28664169012
2014-03-24,204038.23044496623
2014-03-25,203416.48718863365
2014-03-26,206481.706686927
2014-03-27,206208.00475892585
2014-03-28,207020.35379738075
2014-03-29,207020.35379738075
2014-03-30,207020.35379738075
2014-03-31,208143.67879233736
2014-04-01,208491.41446020722
2014-04-02,209504.71401651826
2014-04-03,209339.8687645112
2014-04-04,209582.77434156174
2014-04-05,209582.77434156174
2014-04-06,209582.77434156174
2014-04-07,209782.91072703607
2014-04-08,209782.91072703607
2014-04-09,210236.13267289498
2014-04-10,207064.43437076846
2014-04-11,208765.18093578826
2014-04-12,208765.18093578826
2014-04-13,208765.18093578826
2014-04-14,208765.18093578826
2014-04-15,209831.44000540208
2014-04-16,208699.12412934127
2014-04-17,207398.0493709462
2014-04-18,207398.0493709462
2014-04-19,207398.0493709462
2014-04-20,207398.0493709462
2014-04-21,207183.80834063207
2014-04-22,206131.6800018045
2014-04-23,206794.86430810142
2014-04-24,206794.86430810142
2014-04-25,207371.7329821575
2014-04-26,207371.7329821575
2014-04-27,207371.7329821575
2014-04-28,206942.21874926836
2014-04-29,207913.54706176752
2014-04-30,208802.60166348785
2014-05-01,208802.60166348785
2014-05-02,207253.32776154013
2014-05-03,207253.32776154013
2014-05-04,207253.32776154013
2014-05-05,204643.4080659711
2014-05-06,206089.53522259466
2014-05-07,204654.283187946
2014-05-08,203123.13539784006
2014-05-09,202696.17643303022
2014-05-10,202696.17643303022
2014-05-11,202696.17643303022
2014-05-12,200819.94510540826
2014-05-13,200599.2354094173
2014-05-14,201073.91958830826
2014-05-15,201800.35597051273
2014-05-16,198838.97876764715
2014-05-17,198838.97876764715
2014-05-18,198838.97876764715
2014-05-19,193709.02175494243
2014-05-20,194577.80184157868
2014-05-21,194355.26186641457
2014-05-22,196217.27944213495
2014-05-23,195709.76461912115
2014-05-24,195709.76461912115
2014-05-25,195709.76461912115
2014-05-26,196003.1213112927
2014-05-27,197779.91398050264
2014-05-28,197815.54675658204
2014-05-29,198766.45757136046
2014-05-30,199563.54677647905
2014-05-31,199563.54677647905
2014-06-01,199563.54677647905
2014-06-02,197894.30661753053
2014-06-03,197055.22999352994
2014-06-04,195633.4145777394
2014-06-05,196334.05964308293
2014-06-06,197110.803954599
2014-06-07,197110.803954599
2014-06-08,197110.803954599
2014-06-09,195673.90897625906
2014-06-10,198133.8766102654
2014-06-11,200128.73330736186
2014-06-12,199460.00233343753
2014-06-13,199591.67558089638
2014-06-14,199591.67558089638
2014-06-15,199591.67558089638
2014-06-16,200464.28294980444
2014-06-17,199349.18114403883
2014-06-18,198731.27181608416
2014-06-19,200059.17071786168
2014-06-20,200805.09727509506
2014-06-21,200805.09727509506
2014-06-22,200805.09727509506
2014-06-23,199681.02277152776
2014-06-24,198715.3425295106
2014-06-25,197687.56156700916
2014-06-26,199500.3193166699
2014-06-27,200301.17790037877
2014-06-28,200301.17790037877
2014-06-29,200301.17790037877
2014-06-30,199362.5359161439
2014-07-01,199427.26696075388
2014-07-02,201682.17723532568
2014-07-03,202175.19489757362
2014-07-04,200473.29897627846
2014-07-05,200473.29897627846
2014-07-06,200473.29897627846
2014-07-07,199815.30946057517
2014-07-08,200608.3435845415
