Date,Capital
2018-01-01,200582.73309410975
2018-01-02,201899.3403917611
2018-01-03,201743.56045953115
2018-01-04,202687.8698535962
2018-01-05,202459.24926626642
2018-01-06,202459.24926626642
2018-01-07,202459.24926626642
2018-01-08,202229.95880966543
2018-01-09,202475.58510211107
2018-01-10,202526.646650825
2018-01-11,202602.90965888597
2018-01-12,203093.4719284271
2018-01-13,203093.4719284271
2018-01-14,203093.4719284271
2018-01-15,202975.39448393846
2018-01-16,202282.3437509487
2018-01-17,201741.98983949187
2018-01-18,201435.60390081772
2018-01-19,200891.88508332035
2018-01-20,200891.88508332035
2018-01-21,200891.88508332035
2018-01-22,200667.42629941247
2018-01-23,200594.20115440345
2018-01-24,200885.18364212906
2018-01-25,201515.37674477743
2018-01-26,201515.37674477743
2018-01-27,201515.37674477743
2018-01-28,201515.37674477743
2018-01-29,201433.6123353368
2018-01-30,200909.48735507167
2018-01-31,200584.65266941336
2018-02-01,199092.135010059
2018-02-02,199206.38420472306
2018-02-03,199206.38420472306
2018-02-04,199206.38420472306
2018-02-05,199701.75800522638
2018-02-06,199295.1977089729
2018-02-07,199262.9739508892
2018-02-08,199733.49301534548
2018-02-09,199739.5294035413
2018-02-10,199739.5294035413
2018-02-11,199739.5294035413
2018-02-12,200373.56731558606
2018-02-13,200373.56731558606
2018-02-14,200463.82563066026
2018-02-15,199973.86350032635
2018-02-16,200616.79957933398
2018-02-17,200616.79957933398
2018-02-18,200616.79957933398
2018-02-19,200333.4079296086
2018-02-20,200102.99856949522
2018-02-21,199284.03827044333
2018-02-22,199276.73536670645
2018-02-23,199341.3884298369
2018-02-24,199341.3884298369
2018-02-25,199341.3884298369
2018-02-26,199045.23831111123
2018-02-27,198621.96813855
2018-02-28,198235.7758396266
2018-03-01,198272.16214379965
2018-03-02,198272.16214379965
2018-03-03,198272.16214379965
2018-03-04,198272.16214379965
2018-03-05,198080.84568470018
2018-03-06,197454.2872179441
2018-03-07,197456.25022791632
2018-03-08,197093.7266896526
2018-03-09,197513.14229992486
2018-03-10,197513.14229992486
2018-03-11,197513.14229992486
2018-03-12,197141.6790948392
2018-03-13,196863.26590465117
2018-03-14,196820.0205444865
2018-03-15,196806.09727611137
2018-03-16,196689.55549000832
2018-03-17,196689.55549000832
2018-03-18,196689.55549000832
2018-03-19,197438.10919483536
2018-03-20,197273.66171823663
2018-03-21,197159.10682862625
2018-03-22,197234.28928535024
2018-03-23,197348.76228904288
2018-03-24,197348.76228904288
2018-03-25,197348.76228904288
2018-03-26,196896.29949795664
2018-03-27,196955.9381131581
2018-03-28,196846.36098771848
2018-03-29,196846.36098771848
2018-03-30,196846.36098771848
2018-03-31,196846.36098771848
2018-04-01,196846.36098771848
2018-04-02,196065.09458354377
2018-04-03,196127.48507101779
2018-04-04,196089.31222140742
2018-04-05,196099.92082668666
2018-04-06,196256.69548408364
2018-04-07,196256.69548408364
2018-04-08,196256.69548408364
2018-04-09,195613.7631970231
2018-04-10,195659.38206242523
2018-04-11,196588.33092792172
2018-04-12,197222.35892082026
2018-04-13,197388.6954167162
2018-04-14,197388.6954167162
2018-04-15,197388.6954167162
2018-04-16,197068.02868495314
2018-04-17,196803.18709155178
2018-04-18,196978.13743488968
2018-04-19,197591.31812540058
2018-04-20,197755.65903131125
2018-04-21,197755.65903131125
2018-04-22,197755.65903131125
2018-04-23,197041.29073058185
2018-04-24,197086.03078054095
2018-04-25,197114.817918468
2018-04-26,196976.71865006612
2018-04-27,196862.1484329719
2018-04-28,196862.1484329719
2018-04-29,196862.1484329719
2018-04-30,196604.7290349548
2018-05-01,196604.7290349548
2018-05-02,196891.48908629318
2018-05-03,196891.27740259632
2018-05-04,196757.9789449621
2018-05-05,196757.9789449621
2018-05-06,196757.9789449621
2018-05-07,196190.37958484003
2018-05-08,195920.29635859834
2018-05-09,196625.38932997565
2018-05-10,196491.85055011936
2018-05-11,195567.15358770645
2018-05-12,195567.15358770645
2018-05-13,195567.15358770645
2018-05-14,195157.17982431577
2018-05-15,194958.60735685594
2018-05-16,195104.4051728989
2018-05-17,195113.31836189906
2018-05-18,194696.1070348441
2018-05-19,194696.1070348441
2018-05-20,194696.1070348441
2018-05-21,194680.0290511485
2018-05-22,194799.77594245822
2018-05-23,195785.24703239225
2018-05-24,195573.76528670825
2018-05-25,195069.58366881922
2018-05-26,195069.58366881922
2018-05-27,195069.58366881922
2018-05-28,195185.2186851165
2018-05-29,195780.18723439513
2018-05-30,195683.980473675
2018-05-31,195172.80976627563
2018-06-01,194886.6803826698
2018-06-02,194886.6803826698
2018-06-03,194886.6803826698
2018-06-04,194911.60467030108
