Date,Capital
2014-08-01,600352.6373214152
2014-08-02,600352.6373214152
2014-08-03,600352.6373214152
2014-08-04,600510.9389949922
2014-08-05,600244.3968916433
2014-08-06,600263.9148202008
2014-08-07,599738.8392513839
2014-08-08,598335.3638232496
2014-08-09,598335.3638232496
2014-08-10,598335.3638232496
2014-08-11,598388.7406743855
2014-08-12,598715.5153010369
2014-08-13,597811.2711180625
2014-08-14,597602.8754037168
2014-08-15,597602.8754037168
2014-08-16,597602.8754037168
2014-08-17,597602.8754037168
2014-08-18,598154.270640253
2014-08-19,599061.675019773
2014-08-20,599663.4734511452
2014-08-21,599888.8241608124
2014-08-22,599961.6646809592
2014-08-23,599961.6646809592
2014-08-24,599961.6646809592
2014-08-25,599189.7840364471
2014-08-26,598465.0798326188
2014-08-27,598244.4383300608
2014-08-28,598475.4541720087
2014-08-29,598475.4541720087
2014-08-30,598475.4541720087
2014-08-31,598475.4541720087
2014-09-01,599518.8417564323
2014-09-02,600845.4089368043
2014-09-03,601013.9461057046
2014-09-04,601151.0803032196
2014-09-05,602322.9598868036
2014-09-06,602322.9598868036
2014-09-07,602322.9598868036
2014-09-08,603764.4311858434
2014-09-09,605779.6019640999
2014-09-10,606866.7182131943
2014-09-11,606848.2539672499
2014-09-12,606495.5999584612
2014-09-13,606495.5999584612
2014-09-14,606495.5999584612
2014-09-15,604774.7234977181
2014-09-16,600920.6154222783
2014-09-17,601008.1889751265
2014-09-18,601790.3675981336
2014-09-19,601930.8987219593
2014-09-20,601930.8987219593
2014-09-21,601930.8987219593
2014-09-22,603128.6153072793
2014-09-23,600780.9566578217
2014-09-24,600254.7332758562
2014-09-25,598168.3803291256
2014-09-26,597866.7589214554
2014-09-27,597866.7589214554
2014-09-28,597866.7589214554
2014-09-29,599218.0203762144
2014-09-30,599027.1697214887
2014-10-01,598570.2967289878
2014-10-02,598552.1148414479
2014-10-03,598552.1148414479
2014-10-04,598552.1148414479
2014-10-05,598552.1148414479
2014-10-06,598552.1148414479
2014-10-07,598170.3009885482
2014-10-08,597939.4050173871
2014-10-09,601770.6268971544
2014-10-10,600164.431375219
2014-10-11,600164.431375219
2014-10-12,600164.431375219
2014-10-13,600926.0155584391
2014-10-14,599619.2188232094
2014-10-15,599619.2188232094
2014-10-16,593213.9281494879
2014-10-17,592487.4948933385
2014-10-18,592487.4948933385
2014-10-19,592487.4948933385
2014-10-20,592652.7569229167
2014-10-21,594214.0395690999
2014-10-22,595796.0590330258
2014-10-23,595796.0590330258
2014-10-24,595796.0590330258
2014-10-25,595796.0590330258
2014-10-26,595796.0590330258
2014-10-27,597196.3078657114
2014-10-28,596793.7200326271
2014-10-29,596756.8955845303
2014-10-30,597382.514022938
2014-10-31,598543.459187887
2014-11-01,598543.459187887
2014-11-02,598543.459187887
2014-11-03,603262.2295511044
2014-11-04,603262.2295511044
2014-11-05,601967.8042440771
2014-11-06,601967.8042440771
2014-11-07,601588.955466041
2014-11-08,601588.955466041
2014-11-09,601588.955466041
2014-11-10,599726.2499025621
2014-11-11,601661.1058257552
2014-11-12,600029.0911120236
2014-11-13,600795.6885945653
2014-11-14,600776.3322610442
2014-11-15,600776.3322610442
2014-11-16,600776.3322610442
2014-11-17,601020.9374403907
2014-11-18,603134.7967536339
2014-11-19,600986.0999769773
2014-11-20,600478.8061399157
2014-11-21,599511.2131109342
2014-11-22,599511.2131109342
2014-11-23,599511.2131109342
2014-11-24,599421.4755334666
2014-11-25,593585.8123749205
2014-11-26,594457.5517653672
2014-11-27,594195.9221585734
2014-11-28,594207.1219715504
2014-11-29,594207.1219715504
2014-11-30,594207.1219715504
2014-12-01,590489.4943908795
2014-12-02,594731.4156387912
2014-12-03,600079.7705496966
2014-12-04,601560.1640695825
2014-12-05,602542.2282753435
2014-12-06,602542.2282753435
2014-12-07,602542.2282753435
2014-12-08,600469.776418753
2014-12-09,595928.3543856761
2014-12-10,597015.708978209
2014-12-11,593575.8293454588
2014-12-12,590973.4067524571
2014-12-13,590973.4067524571
2014-12-14,590973.4067524571
2014-12-15,589893.3496239666
2014-12-16,580514.9385167977
2014-12-17,579069.3953240563
2014-12-18,585324.4763141576
2014-12-19,584357.9700897664
2014-12-20,584357.9700897664
2014-12-21,584357.9700897664
2014-12-22,585775.0694939008
2014-12-23,583497.7745685072
2014-12-24,584214.6930880952
2014-12-25,584214.6930880952
2014-12-26,585360.6988274696
2014-12-27,585360.6988274696
2014-12-28,585360.6988274696
2014-12-29,587108.9858081844
2014-12-30,586784.9914209365
2014-12-31,588600.5421428609
2015-01-01,592176.2324717772
2015-01-02,597067.7637805853
2015-01-03,597067.7637805853
2015-01-04,597067.7637805853
2015-01-05,598498.5164843253
2015-01-06,592320.7315986787
2015-01-07,592379.510438591
2015-01-08,598824.8929475427
2015-01-09,597889.3286419096
2015-01-10,597889.3286419096
2015-01-11,597889.3286419096
2015-01-12,598558.4483706974
2015-01-13,596511.4958318482
2015-01-14,592685.3204705007
2015-01-15,595612.1221771217
2015-01-16,594660.3587389276
2015-01-17,594660.3587389276
2015-01-18,594660.3587389276
2015-01-19,596754.9698403795
2015-01-20,598397.4456669497
2015-01-21,594992.6800688684
2015-01-22,594736.667274713
2015-01-23,595700.2570466303
2015-01-24,595700.2570466303
2015-01-25,595700.2570466303
2015-01-26,595700.2570466303
2015-01-27,594575.0167689631
2015-01-28,589897.5397085735
2015-01-29,591829.5736575886
2015-01-30,593420.3998653912
2015-01-31,593420.3998653912
2015-02-01,593420.3998653912
2015-02-02,594635.9419386681
2015-02-03,591405.486967979
2015-02-04,591633.4427967394
2015-02-05,584892.7214952798
2015-02-06,580841.0497825241
2015-02-07,580841.0497825241
2015-02-08,580841.0497825241
2015-02-09,573197.4463754706
2015-02-10,572594.5449839557
2015-02-11,580132.9028868403
2015-02-12,582402.3432801098
2015-02-13,584128.9833082184
2015-02-14,584128.9833082184
2015-02-15,584128.9833082184
2015-02-16,581516.1853014774
2015-02-17,582087.625949313
2015-02-18,588525.8604292657
2015-02-19,595057.7528633421
2015-02-20,594991.215047256
2015-02-21,594991.215047256
2015-02-22,594991.215047256
2015-02-23,592893.8043149384
2015-02-24,588366.5413763118
2015-02-25,587321.7117758688
2015-02-26,583487.1004989542
2015-02-27,588326.0151150643
2015-02-28,588326.0151150643
2015-03-01,588326.0151150643
