Date,Capital
2014-01-20,350179.1787381952
2014-01-21,351209.2424404293
2014-01-22,350741.39140361565
2014-01-23,350555.77342951426
2014-01-24,348928.16237517074
2014-01-25,348928.16237517074
2014-01-26,348928.16237517074
2014-01-27,346675.1537735286
2014-01-28,346618.5850704012
2014-01-29,346568.1024470144
2014-01-30,345161.6167786402
2014-01-31,347011.58257224545
2014-02-01,347011.58257224545
2014-02-02,347011.58257224545
2014-02-03,344948.9276735425
2014-02-04,345824.417954666
2014-02-05,347427.5029769227
2014-02-06,348540.8986369954
2014-02-07,350330.11230868706
2014-02-08,350330.11230868706
2014-02-09,350330.11230868706
2014-02-10,349117.53086234914
2014-02-11,349296.63428606605
2014-02-12,348357.96684977453
2014-02-13,345621.1755517707
2014-02-14,344628.38152424037
2014-02-15,344628.38152424037
2014-02-16,344628.38152424037
2014-02-17,343364.9734709568
2014-02-18,345808.62181192
2014-02-19,349572.44145786477
2014-02-20,347968.2630080101
2014-02-21,350316.74063514615
2014-02-22,350316.74063514615
2014-02-23,350316.74063514615
2014-02-24,351405.3620499017
2014-02-25,352285.2917432122
2014-02-26,350945.5284693078
2014-02-27,350945.5284693078
2014-02-28,352484.39338358195
2014-03-01,352484.39338358195
2014-03-02,352484.39338358195
2014-03-03,351995.82116711943
2014-03-04,355755.8376085713
2014-03-05,360018.5414318781
2014-03-06,366382.66462929436
2014-03-07,370094.7876205423
2014-03-08,370094.7876205423
2014-03-09,370094.7876205423
2014-03-10,374278.74543361505
2014-03-11,374205.013600202
2014-03-12,374707.13500735187
2014-03-13,373505.88977813657
2014-03-14,372186.1318782609
2014-03-15,372186.1318782609
2014-03-16,372186.1318782609
2014-03-17,372186.13187826093
2014-03-18,373935.350986313
2014-03-19,373690.99876148475
2014-03-20,372738.4323491462
2014-03-21,375879.7460523508
2014-03-22,375879.7460523508
2014-03-23,375879.7460523508
2014-03-24,378467.9493347497
2014-03-25,378626.36862090795
2014-03-26,380668.773704041
2014-03-27,383592.8229892191
2014-03-28,388875.2115899679
2014-03-29,388875.2115899679
2014-03-30,388875.2115899679
2014-03-31,393930.8519138792
2014-04-01,399615.5230872569
2014-04-02,407216.034174857
2014-04-03,407810.31390945485
2014-04-04,409814.67511054606
2014-04-05,409814.67511054606
2014-04-06,409814.67511054606
2014-04-07,410064.0830022086
2014-04-08,410064.0830022086
2014-04-09,415023.885939591
2014-04-10,417492.27081884525
2014-04-11,419378.6011185961
2014-04-12,419378.6011185961
2014-04-13,419378.6011185961
2014-04-14,419378.6011185961
2014-04-15,417866.51414505404
2014-04-16,413656.7836642789
2014-04-17,418168.0062424697
2014-04-18,418168.0062424697
2014-04-19,418168.0062424697
2014-04-20,418168.0062424697
2014-04-21,423658.7434679705
2014-04-22,423999.40601194464
2014-04-23,424072.96726767224
2014-04-24,424072.96726767224
2014-04-25,422037.1116749246
