Date,Capital
2014-04-01,1099993.6807780268
2014-04-02,1100395.4884052428
2014-04-03,1100583.2302479264
2014-04-04,1101861.0164634816
2014-04-05,1101861.0164634816
2014-04-06,1101861.0164634816
2014-04-07,1102772.6450882477
2014-04-08,1102772.6450882477
2014-04-09,1102372.7876722405
2014-04-10,1101473.2795709525
2014-04-11,1103184.862655454
2014-04-12,1103184.862655454
2014-04-13,1103184.862655454
2014-04-14,1103184.862655454
2014-04-15,1103887.831486722
2014-04-16,1103391.6950630117
2014-04-17,1103475.0890648116
2014-04-18,1103475.0890648116
2014-04-19,1103475.0890648116
2014-04-20,1103475.0890648116
2014-04-21,1104031.2811025018
2014-04-22,1103313.239664365
2014-04-23,1101897.7998026689
2014-04-24,1101897.7998026689
2014-04-25,1101716.3651684003
2014-04-26,1101716.3651684003
2014-04-27,1101716.3651684003
2014-04-28,1102122.7052453416
2014-04-29,1101843.482550417
2014-04-30,1101404.5494084219
2014-05-01,1101404.5494084219
2014-05-02,1101686.8843588633
2014-05-03,1101686.8843588633
2014-05-04,1101686.8843588633
2014-05-05,1100447.407577369
2014-05-06,1100212.2315962547
2014-05-07,1099682.4865720228
2014-05-08,1099669.1459784047
2014-05-09,1099177.6657108048
2014-05-10,1099177.6657108048
2014-05-11,1099177.6657108048
2014-05-12,1098454.1597549096
2014-05-13,1097485.804084678
2014-05-14,1097029.154594212
2014-05-15,1095326.5640393337
2014-05-16,1093436.4239274177
2014-05-17,1093436.4239274177
2014-05-18,1093436.4239274177
2014-05-19,1088243.4219461393
2014-05-20,1089900.479348041
2014-05-21,1088229.0764271817
2014-05-22,1086832.793881652
2014-05-23,1086313.8590341888
2014-05-24,1086313.8590341888
2014-05-25,1086313.8590341888
2014-05-26,1088016.4991725557
2014-05-27,1088159.7825587518
2014-05-28,1087940.9016639604
2014-05-29,1089376.558069552
2014-05-30,1089543.003798318
2014-05-31,1089543.003798318
2014-06-01,1089543.003798318
2014-06-02,1088363.861751992
2014-06-03,1087744.0004273471
2014-06-04,1085424.379950306
2014-06-05,1084651.5815882701
2014-06-06,1084495.6233944169
2014-06-07,1084495.6233944169
2014-06-08,1084495.6233944169
2014-06-09,1083577.5406043364
2014-06-10,1087281.1762949538
2014-06-11,1088921.72587545
2014-06-12,1089753.8567684523
2014-06-13,1091471.9055723473
2014-06-14,1091471.9055723473
2014-06-15,1091471.9055723473
2014-06-16,1089900.943609084
2014-06-17,1087632.9446775785
2014-06-18,1087749.90134951
2014-06-19,1090121.7959474141
2014-06-20,1091760.8093904133
2014-06-21,1091760.8093904133
2014-06-22,1091760.8093904133
2014-06-23,1091618.3448593603
2014-06-24,1089162.4355359715
2014-06-25,1088819.4786093635
2014-06-26,1089737.5147235526
2014-06-27,1090180.2860461692
2014-06-28,1090180.2860461692
2014-06-29,1090180.2860461692
2014-06-30,1088202.4961427606
2014-07-01,1089968.5890020733
2014-07-02,1089354.2176724905
2014-07-03,1089670.9338337814
2014-07-04,1090740.5039270727
2014-07-05,1090740.5039270727
2014-07-06,1090740.5039270727
2014-07-07,1092275.1536245244
2014-07-08,1095357.6078047748
2014-07-09,1095805.7744453177
2014-07-10,1092043.8175219009
2014-07-11,1096933.6299842326
2014-07-12,1096933.6299842326
2014-07-13,1096933.6299842326
2014-07-14,1097712.580933488
2014-07-15,1094757.0636113156
2014-07-16,1093883.6932455155
2014-07-17,1091682.607480407
2014-07-18,1090888.3376878863
2014-07-19,1090888.3376878863
2014-07-20,1090888.3376878863
2014-07-21,1091532.0440459657
2014-07-22,1092821.1890155063
2014-07-23,1094309.6205576211
2014-07-24,1093376.155189183
2014-07-25,1096984.3477585784
2014-07-26,1096984.3477585784
2014-07-27,1096984.3477585784
2014-07-28,1096646.9564964927
2014-07-29,1096646.9564964927
2014-07-30,1096402.6523411588
2014-07-31,1095403.7171728327
2014-08-01,1096661.4978830782
2014-08-02,1096661.4978830782
2014-08-03,1096661.4978830782
2014-08-04,1099091.5889798915
2014-08-05,1098149.1084146565
2014-08-06,1098853.1653154688
2014-08-07,1099750.1158294051
2014-08-08,1102516.3568562623
2014-08-09,1102516.3568562623
2014-08-10,1102516.3568562623
2014-08-11,1101701.424296481
2014-08-12,1102025.306681833
2014-08-13,1105840.7317483604
2014-08-14,1102954.7496390766
2014-08-15,1102954.7496390766
2014-08-16,1102954.7496390766
2014-08-17,1102954.7496390766
2014-08-18,1098612.9102202842
2014-08-19,1095556.5731151204
