Date,Capital
2014-01-09,698826.0512680872
2014-01-10,699631.2527846568
2014-01-11,699631.2527846568
2014-01-12,699631.2527846568
2014-01-13,697570.1619222095
2014-01-14,697390.3772795007
2014-01-15,694089.1944500771
2014-01-16,693261.4817819112
2014-01-17,691893.687837167
2014-01-18,691893.687837167
2014-01-19,691893.687837167
2014-01-20,692875.9392801132
2014-01-21,691928.6145470084
2014-01-22,690681.4738886401
2014-01-23,691615.0695067137
2014-01-24,691544.8382129665
2014-01-25,691544.8382129665
2014-01-26,691544.8382129665
2014-01-27,693104.4863361777
2014-01-28,689150.0994363633
2014-01-29,687097.6617347267
2014-01-30,688653.1442759798
2014-01-31,687211.7003087025
2014-02-01,687211.7003087025
2014-02-02,687211.7003087025
2014-02-03,689075.0482561204
2014-02-04,688198.9142305397
2014-02-05,684999.7608854144
2014-02-06,682431.4970445455
2014-02-07,682243.6310985268
2014-02-08,682243.6310985268
2014-02-09,682243.6310985268
2014-02-10,680879.3417606272
2014-02-11,683140.8164025589
2014-02-12,682563.3390570965
2014-02-13,680254.9799829775
2014-02-14,684043.714206598
2014-02-15,684043.714206598
2014-02-16,684043.714206598
2014-02-17,683472.6228621885
2014-02-18,683119.0687199626
2014-02-19,682066.8761166644
2014-02-20,683763.0946769209
2014-02-21,684716.1258146913
2014-02-22,684716.1258146913
2014-02-23,684716.1258146913
2014-02-24,679564.3805452486
2014-02-25,681808.5796936075
2014-02-26,682917.8522891186
2014-02-27,682917.8522891186
2014-02-28,685187.4773095392
2014-03-01,685187.4773095392
2014-03-02,685187.4773095392
2014-03-03,684208.0243294784
2014-03-04,687280.3985978307
2014-03-05,683697.5700524752
2014-03-06,682295.7062873832
2014-03-07,680952.2347234765
2014-03-08,680952.2347234765
2014-03-09,680952.2347234765
2014-03-10,680064.2864155549
2014-03-11,679486.0535522575
2014-03-12,675244.4469664581
2014-03-13,673692.4578404177
2014-03-14,672559.0018217776
2014-03-15,672559.0018217776
2014-03-16,672559.0018217776
2014-03-17,672559.0018217776
2014-03-18,673628.4668398226
2014-03-19,675632.2179105454
2014-03-20,676029.7590436469
2014-03-21,674709.6897612385
2014-03-22,674709.6897612384
2014-03-23,674709.6897612384
2014-03-24,677308.7469508309
2014-03-25,680201.8944625647
2014-03-26,678549.5438047425
2014-03-27,676357.5658158973
2014-03-28,678558.2328697861
2014-03-29,678558.2328697861
2014-03-30,678558.2328697861
2014-03-31,680773.7381507437
2014-04-01,676131.7866586369
2014-04-02,673705.4182080496
2014-04-03,670034.4846802732
2014-04-04,669544.858372605
2014-04-05,669544.858372605
2014-04-06,669544.858372605
2014-04-07,671197.6416770825
2014-04-08,671197.6416770825
2014-04-09,676370.4562608176
2014-04-10,680918.6177587775
2014-04-11,685332.7300201403
2014-04-12,685332.7300201403
2014-04-13,685332.7300201403
2014-04-14,685332.7300201403
2014-04-15,681978.8882207307
2014-04-16,674381.6109499775
2014-04-17,677959.3735666311
2014-04-18,677959.3735666311
2014-04-19,677959.3735666311
2014-04-20,677959.3735666311
2014-04-21,681829.242735419
2014-04-22,682483.8923896934
2014-04-23,683128.2274478996
2014-04-24,683128.2274478995
2014-04-25,685739.388983604
2014-04-26,685739.388983604
2014-04-27,685739.388983604
2014-04-28,688066.3014900958
2014-04-29,686093.1064719348
2014-04-30,685002.8598125668
2014-05-01,685002.8598125668
2014-05-02,685457.666545547
2014-05-03,685457.6665455471
2014-05-04,685457.6665455471
2014-05-05,689201.5493105152
2014-05-06,693683.0207662075
2014-05-07,693836.3817579029
2014-05-08,696132.373704379
2014-05-09,695035.9130663609
2014-05-10,695035.9130663608
2014-05-11,695035.9130663608
2014-05-12,695727.3762779972
2014-05-13,694367.8359500312
2014-05-14,689523.3716334166
2014-05-15,691773.0940191308
2014-05-16,699843.4191796457
2014-05-17,699843.4191796457
2014-05-18,699843.4191796457
2014-05-19,724484.5891892638
2014-05-20,723172.6959431318
2014-05-21,718339.8678623851
2014-05-22,723805.117651872
2014-05-23,728306.840315352
2014-05-24,728306.8403153518
2014-05-25,728306.8403153518
2014-05-26,721261.5955555094
2014-05-27,713881.2151371698
2014-05-28,709755.3595598299
2014-05-29,705131.7698087363
2014-05-30,702419.5740694276
2014-05-31,702419.5740694276
2014-06-01,702419.5740694276
2014-06-02,703889.7682308044
2014-06-03,701088.8791814571
2014-06-04,702430.9644353227
2014-06-05,706092.8885974392
2014-06-06,707092.5178226521
2014-06-07,707092.5178226521
2014-06-08,707092.5178226521
2014-06-09,708544.9365965072
2014-06-10,709395.6464131933
2014-06-11,710232.1746752711
2014-06-12,709491.0822179428
2014-06-13,699693.827650503
2014-06-14,699693.8276505029
2014-06-15,699693.8276505029
2014-06-16,693476.1204145309
2014-06-17,686109.8114162765
2014-06-18,684706.9932085352
2014-06-19,684397.2936039511
2014-06-20,684850.4969167105
2014-06-21,684850.4969167105
2014-06-22,684850.4969167105
2014-06-23,684276.9975109814
2014-06-24,682106.8863064776
2014-06-25,681681.581827248
2014-06-26,686149.3538071763
2014-06-27,686074.5498250673
2014-06-28,686074.5498250672
2014-06-29,686074.5498250672
2014-06-30,685268.3520371261
2014-07-01,682341.5786122959
2014-07-02,672559.7150273946
2014-07-03,671300.476901417
2014-07-04,669830.7592051213
2014-07-05,669830.7592051213
2014-07-06,669830.7592051213
2014-07-07,669514.8066313232
2014-07-08,665899.9193079224
2014-07-09,668884.8854746651
2014-07-10,662351.5518315359
2014-07-11,664952.3026797575
2014-07-12,664952.3026797575
2014-07-13,664952.3026797575
2014-07-14,663838.7336344874
2014-07-15,659248.2926276763
2014-07-16,654354.3654705943
2014-07-17,656305.551006047
2014-07-18,655634.4425404397
2014-07-19,655634.4425404397
2014-07-20,655634.4425404397
2014-07-21,654020.7623358845
2014-07-22,655477.309961647
2014-07-23,654626.8521816264
2014-07-24,655537.9285647792
2014-07-25,654988.5563237052
2014-07-26,654988.5563237051
2014-07-27,654988.5563237051
2014-07-28,657667.4705731274
2014-07-29,657667.4705731274
2014-07-30,656532.6865401953
2014-07-31,656715.0706638511
2014-08-01,659649.7385403562
2014-08-02,659649.7385403562
2014-08-03,659649.7385403562
2014-08-04,657802.7446794847
2014-08-05,658792.5193228332
2014-08-06,659221.2981360124
2014-08-07,659106.5574491669
2014-08-08,660400.1569217318
2014-08-09,660400.1569217318
2014-08-10,660400.1569217318
2014-08-11,663725.2820518786
2014-08-12,663075.9396975513
2014-08-13,664083.0644515363
2014-08-14,666598.6730947682
2014-08-15,666598.6730947681
2014-08-16,666598.6730947681
2014-08-17,666598.6730947681
2014-08-18,671273.4304564884
2014-08-19,667797.1438105415
2014-08-20,666008.2992226973
2014-08-21,667670.5716746014
2014-08-22,666707.5777980754
2014-08-23,666707.5777980753
2014-08-24,666707.5777980753
2014-08-25,668081.6138264904
2014-08-26,670934.774923879
2014-08-27,671123.0446529841
2014-08-28,669475.4366859202
2014-08-29,669475.4366859202
2014-08-30,669475.4366859202
2014-08-31,669475.4366859202
2014-09-01,665610.1888730051
2014-09-02,664943.5692043283
2014-09-03,663005.5497952626
2014-09-04,664870.8230996543
2014-09-05,663085.5201860876
2014-09-06,663085.5201860876
2014-09-07,663085.5201860876
2014-09-08,662781.5771064054
2014-09-09,662581.9824815124
2014-09-10,660302.5807871303
2014-09-11,661288.5474339518
2014-09-12,662734.0335828265
2014-09-13,662734.0335828265
2014-09-14,662734.0335828265
2014-09-15,662407.8763383287
2014-09-16,657425.1278316978
2014-09-17,660641.9562573134
2014-09-18,659095.5456373518
2014-09-19,658836.5774685852
2014-09-20,658836.5774685852
2014-09-21,658836.5774685852
2014-09-22,660521.7435850949
2014-09-23,661263.4897300571
2014-09-24,663261.6793496646
2014-09-25,666157.8761197154
2014-09-26,664644.9923590545
2014-09-27,664644.9923590544
2014-09-28,664644.9923590544
2014-09-29,664874.6980155316
2014-09-30,669180.5998239138
2014-10-01,668494.2485421806
2014-10-02,668494.2485421808
2014-10-03,668494.2485421808
2014-10-04,668494.2485421808
2014-10-05,668494.2485421808
2014-10-06,668494.2485421808
2014-10-07,667142.4579169109
2014-10-08,663525.2101180439
2014-10-09,662027.7598940396
2014-10-10,661703.0506393589
2014-10-11,661703.050639359
2014-10-12,661703.050639359
2014-10-13,652177.0742427052
2014-10-14,654120.6042760737
2014-10-15,654120.6042760737
2014-10-16,648622.2798623467
2014-10-17,651595.3307153764
2014-10-18,651595.3307153764
2014-10-19,651595.3307153764
2014-10-20,650775.1936959279
2014-10-21,647999.7854202779
2014-10-22,642178.1383407568
2014-10-23,642178.1383407568
2014-10-24,642178.1383407568
2014-10-25,642178.1383407568
2014-10-26,642178.1383407568
2014-10-27,639406.4321125873
2014-10-28,638314.4142478158
2014-10-29,637635.684565564
2014-10-30,637248.9255922129
2014-10-31,638032.7988562075
2014-11-01,638032.7988562075
2014-11-02,638032.7988562075
2014-11-03,634836.5177496246
2014-11-04,634836.5177496246
2014-11-05,637400.7428115102
2014-11-06,637400.7428115102
