Date,Capital
2014-02-17,199711.24980964125
2014-02-18,200238.8013024637
2014-02-19,201594.5385374159
2014-02-20,200926.48074737345
2014-02-21,200597.12274273572
2014-02-22,200597.12274273572
2014-02-23,200597.12274273572
2014-02-24,200688.03569505725
2014-02-25,199928.39879205124
2014-02-26,197978.68697902915
2014-02-27,197978.68697902915
2014-02-28,197704.2191084457
2014-03-01,197704.2191084457
2014-03-02,197704.2191084457
2014-03-03,197279.65929693053
2014-03-04,198458.54162257354
2014-03-05,199738.02197248017
2014-03-06,201996.54549066245
2014-03-07,204074.28900715098
2014-03-08,204074.28900715098
2014-03-09,204074.28900715098
2014-03-10,204328.7080451756
2014-03-11,205161.86079804733
2014-03-12,204693.36875925548
2014-03-13,203789.64271000185
2014-03-14,202206.46085787087
2014-03-15,202206.46085787087
2014-03-16,202206.46085787087
2014-03-17,202206.46085787087
2014-03-18,200612.2718846829
2014-03-19,199451.16410797398
2014-03-20,201753.7513713737
2014-03-21,202099.27495385194
2014-03-22,202099.27495385194
2014-03-23,202099.27495385194
2014-03-24,200073.3363695162
2014-03-25,199257.1949097417
2014-03-26,199344.12618755462
2014-03-27,198544.6382226153
2014-03-28,198951.6243063134
2014-03-29,198951.6243063134
2014-03-30,198951.6243063134
2014-03-31,198695.66542150587
2014-04-01,200565.77244956535
2014-04-02,201177.58256191667
2014-04-03,201493.968362107
2014-04-04,203495.43888832594
2014-04-05,203495.43888832594
2014-04-06,203495.43888832594
2014-04-07,203516.7619216862
2014-04-08,203516.7619216862
2014-04-09,202069.136802588
2014-04-10,198376.82688654686
2014-04-11,198784.7578876947
2014-04-12,198784.7578876947
2014-04-13,198784.7578876947
2014-04-14,198784.75788769466
2014-04-15,199674.45620456053
2014-04-16,199666.2008939993
2014-04-17,200019.20780113013
2014-04-18,200019.20780113013
2014-04-19,200019.20780113013
2014-04-20,200019.20780113013
2014-04-21,198932.67933487732
2014-04-22,199550.06867465208
2014-04-23,199554.27391717242
2014-04-24,199554.27391717242
2014-04-25,199455.30434019654
2014-04-26,199455.30434019654
2014-04-27,199455.30434019654
2014-04-28,199193.21779852163
2014-04-29,199939.82459610293
2014-04-30,200562.9970598744
2014-05-01,200562.9970598744
2014-05-02,199423.10855893942
2014-05-03,199423.10855893942
2014-05-04,199423.10855893942
2014-05-05,196928.49057665182
2014-05-06,198016.8343211563
2014-05-07,197579.22546192096
2014-05-08,197329.97132879175
2014-05-09,197711.08496336086
2014-05-10,197711.08496336086
2014-05-11,197711.08496336086
2014-05-12,196138.60637204343
2014-05-13,195826.280640608
2014-05-14,195259.698579018
2014-05-15,196258.97859649896
2014-05-16,196381.89209852586
2014-05-17,196381.89209852586
2014-05-18,196381.89209852586
2014-05-19,193980.82286921568
2014-05-20,194089.3911091039
2014-05-21,194034.97208329794
2014-05-22,195306.029244877
2014-05-23,194214.38583190567
2014-05-24,194214.38583190567
2014-05-25,194214.38583190567
2014-05-26,194505.07893442284
2014-05-27,196192.0780509279
2014-05-28,197767.81411205023
2014-05-29,198391.69687866652
2014-05-30,199761.6285646308
2014-05-31,199761.6285646308
2014-06-01,199761.6285646308
2014-06-02,197416.18587426585
2014-06-03,196231.3568333818
2014-06-04,195871.3317436748
2014-06-05,196893.6633872451
2014-06-06,196718.62743655988
2014-06-07,196718.62743655988
2014-06-08,196718.62743655988
2014-06-09,196076.31730148254
2014-06-10,198211.35820137255
2014-06-11,200509.9098752406
2014-06-12,200840.78484002582
2014-06-13,201674.9053816774
2014-06-14,201674.9053816774
2014-06-15,201674.9053816774
2014-06-16,201363.8868718766
2014-06-17,200077.68211629253
2014-06-18,199653.22729962473
2014-06-19,200873.77149313054
2014-06-20,201742.65422625566
2014-06-21,201742.65422625566
2014-06-22,201742.65422625566
2014-06-23,200605.43776948034
2014-06-24,199046.10890051333
2014-06-25,197558.3570237837
2014-06-26,198601.59230711166
2014-06-27,198207.76190608542
2014-06-28,198207.76190608542
2014-06-29,198207.76190608542
2014-06-30,196312.4412161573
2014-07-01,196219.7484020484
2014-07-02,198793.60574214335
2014-07-03,199862.5385332683
2014-07-04,197907.65693113866
2014-07-05,197907.65693113866
