Date,Capital
2017-01-01,100000.0
2017-01-02,99640.33824449105
2017-01-03,99188.28094864148
2017-01-04,99740.91326105088
2017-01-05,100200.3629185541
2017-01-06,99792.13297289575
2017-01-07,99792.13297289575
2017-01-08,99792.13297289575
2017-01-09,100129.67281892161
2017-01-10,99711.82537498508
2017-01-11,99676.39462257516
2017-01-12,99747.45145943036
2017-01-13,99772.04579220669
2017-01-14,99772.04579220669
2017-01-15,99772.04579220669
2017-01-16,99190.75965993373
2017-01-17,98951.45673294573
2017-01-18,99169.71894233409
2017-01-19,98596.7404816959
2017-01-20,99428.11250038144
2017-01-21,99428.11250038144
2017-01-22,99428.11250038144
2017-01-23,99006.01724860416
2017-01-24,98338.04480074625
2017-01-25,98113.47161570746
2017-01-26,98113.47161570746
2017-01-27,97715.16440103856
2017-01-28,97715.16440103856
2017-01-29,97715.16440103856
2017-01-30,98327.4983985223
2017-01-31,99578.29466940154
2017-02-01,100393.99525806402
2017-02-02,100209.57298561376
2017-02-03,101885.34476962134
2017-02-04,101885.34476962134
2017-02-05,101885.34476962134
2017-02-06,103936.01549520336
2017-02-07,101622.40400361909
2017-02-08,101822.3574547841
2017-02-09,101833.05389534454
2017-02-10,102088.56369742824
2017-02-11,102088.56369742824
2017-02-12,102088.56369742824
2017-02-13,101120.46628082536
2017-02-14,101397.84890025883
2017-02-15,100761.10520574119
2017-02-16,101169.12606170196
2017-02-17,103168.89230354938
2017-02-18,103168.89230354938
2017-02-19,103168.89230354938
2017-02-20,104241.22953662483
2017-02-21,103907.23084800846
2017-02-22,103181.00143937451
2017-02-23,103611.4808039795
2017-02-24,103611.4808039795
2017-02-25,103611.4808039795
2017-02-26,103611.4808039795
2017-02-27,104206.93920871385
2017-02-28,104807.20695667843
2017-03-01,106347.41741033108
2017-03-02,105397.10221392482
2017-03-03,105315.85412883098
2017-03-04,105315.85412883098
2017-03-05,105315.85412883098
2017-03-06,105360.26507927054
2017-03-07,105602.30797535875
2017-03-08,105458.68337075271
2017-03-09,104902.59209384091
2017-03-10,104073.43321698799
2017-03-11,104073.43321698799
2017-03-12,104073.43321698799
