Date,Capital
2014-01-08,299358.4775638385
2014-01-09,298699.4834273199
2014-01-10,297954.8695712674
2014-01-11,297954.8695712674
2014-01-12,297954.8695712674
2014-01-13,296225.39235774777
2014-01-14,295731.4376162438
2014-01-15,295586.53832139267
2014-01-16,293622.35542142414
2014-01-17,288971.5165522246
2014-01-18,288971.5165522246
2014-01-19,288971.5165522246
2014-01-20,291652.3442284028
2014-01-21,290905.31032539933
2014-01-22,291287.44420658366
2014-01-23,291776.57191992004
2014-01-24,286935.48965466383
2014-01-25,286935.4896546638
2014-01-26,286935.4896546638
2014-01-27,280066.31780364225
2014-01-28,278904.24329796305
2014-01-29,278509.21321573143
2014-01-30,276396.2144409662
2014-01-31,278459.9771798068
2014-02-01,278459.9771798068
2014-02-02,278459.9771798068
2014-02-03,278251.564195806
2014-02-04,277936.9838815451
2014-02-05,278256.60470922594
2014-02-06,277291.87097979785
2014-02-07,278202.0990643941
2014-02-08,278202.0990643941
2014-02-09,278202.0990643941
2014-02-10,277614.8675243761
2014-02-11,278204.6551582513
2014-02-12,277807.1433606731
2014-02-13,273889.5334276749
2014-02-14,273175.3610987702
2014-02-15,273175.3610987702
2014-02-16,273175.3610987702
2014-02-17,273641.8666513009
2014-02-18,275197.2618705426
2014-02-19,276329.1772688688
2014-02-20,276455.2518929757
2014-02-21,280580.2967684929
2014-02-22,280580.2967684929
2014-02-23,280580.2967684929
2014-02-24,281047.1648818855
2014-02-25,282079.8470973292
2014-02-26,282604.5174452381
2014-02-27,282604.51744523813
2014-02-28,283769.1344029383
2014-03-01,283769.1344029383
2014-03-02,283769.1344029383
2014-03-03,281712.02064529055
2014-03-04,287988.5225283355
2014-03-05,288330.9181223491
2014-03-06,291022.9551042228
2014-03-07,293054.58090491756
2014-03-08,293054.58090491756
2014-03-09,293054.58090491756
2014-03-10,294452.44091675186
2014-03-11,293450.9564415035
2014-03-12,292052.5808112465
2014-03-13,289834.5247015709
2014-03-14,288637.9516135047
2014-03-15,288637.9516135047
2014-03-16,288637.9516135047
2014-03-17,288637.9516135047
2014-03-18,290141.6093241289
2014-03-19,289663.32683468424
2014-03-20,288937.60681462183
2014-03-21,290388.22242937353
2014-03-22,290388.2224293736
2014-03-23,290388.2224293736
2014-03-24,291783.1624100654
2014-03-25,294330.42038608936
2014-03-26,295295.5342965389
2014-03-27,296863.95139531017
2014-03-28,302594.5273084659
2014-03-29,302594.5273084659
2014-03-30,302594.5273084659
2014-03-31,307829.67569284973
2014-04-01,308181.90138558263
2014-04-02,312289.0197208562
2014-04-03,310085.4693907884
2014-04-04,311882.01072270307
2014-04-05,311882.01072270307
2014-04-06,311882.01072270307
2014-04-07,311570.9061044745
2014-04-08,311570.9061044745
2014-04-09,320029.2816705492
2014-04-10,323349.4494082035
2014-04-11,328456.89453787915
2014-04-12,328456.8945378792
2014-04-13,328456.8945378792
2014-04-14,328456.8945378792
2014-04-15,324426.7249951097
2014-04-16,317160.96785349393
2014-04-17,322264.59262407693
2014-04-18,322264.59262407693
2014-04-19,322264.59262407693
2014-04-20,322264.59262407693
2014-04-21,327915.2148824524
2014-04-22,327323.323417424
2014-04-23,329998.7215278812
2014-04-24,329998.7215278813
2014-04-25,330780.06495679007
2014-04-26,330780.06495679007
2014-04-27,330780.06495679007
2014-04-28,332001.43908555916
2014-04-29,328878.7277258877
2014-04-30,323441.78322911664
2014-05-01,323441.78322911664
2014-05-02,323963.5966646817
2014-05-03,323963.5966646817
2014-05-04,323963.5966646817
2014-05-05,326002.467579944
2014-05-06,329563.39623866347
2014-05-07,328527.1361266507
2014-05-08,329767.70155506826
2014-05-09,335228.36043826595
2014-05-10,335228.3604382659
2014-05-11,335228.3604382659
2014-05-12,338883.2212881166
2014-05-13,344200.9864853399
2014-05-14,346282.8174861523
2014-05-15,342081.5062753279
2014-05-16,348042.201160394
2014-05-17,348042.20116039406
2014-05-18,348042.20116039406
2014-05-19,375994.8287912414
2014-05-20,385245.199318142
2014-05-21,385838.3515973158
2014-05-22,395107.894298108
2014-05-23,401517.9436451019
2014-05-24,401517.943645102
2014-05-25,401517.943645102
2014-05-26,391238.0027957995
2014-05-27,389216.346576605
2014-05-28,393692.9848570477
2014-05-29,390743.2299571858
2014-05-30,393806.28088268155
2014-05-31,393806.2808826816
2014-06-01,393806.2808826816
2014-06-02,400679.91129402554
2014-06-03,402350.25538994034
2014-06-04,408229.328459844
2014-06-05,415836.5101305992
2014-06-06,420401.6584955619
2014-06-07,420401.658495562
2014-06-08,420401.658495562
2014-06-09,430353.587672234
2014-06-10,431571.54183424363
2014-06-11,435505.68140200875
2014-06-12,435238.42085586354
2014-06-13,416845.08367051627
2014-06-14,416845.0836705163
2014-06-15,416845.0836705163
2014-06-16,409523.6323420033
2014-06-17,409578.55705358775
2014-06-18,405113.2413240182
2014-06-19,404461.0707103843
2014-06-20,402960.38951367966
2014-06-21,402960.38951367966
2014-06-22,402960.38951367966
2014-06-23,403942.0166786134
2014-06-24,409675.8185006089
2014-06-25,410596.17049081123
2014-06-26,411638.7481858311
2014-06-27,412186.8319846281
2014-06-28,412186.83198462805
2014-06-29,412186.83198462805
2014-06-30,417870.1931144748
2014-07-01,421340.88714031875
2014-07-02,420126.7067334594
2014-07-03,417451.1945144553
2014-07-04,420315.69256723416
2014-07-05,420315.69256723416
2014-07-06,420315.69256723416
2014-07-07,421136.9535670122
2014-07-08,403045.21677190677
2014-07-09,396284.4053207465
2014-07-10,394968.62433688086
2014-07-11,387970.41491508693
2014-07-12,387970.414915087
2014-07-13,387970.414915087
2014-07-14,385026.64064075437
2014-07-15,386647.9988123714
2014-07-16,390479.229358973
2014-07-17,398404.90403313085
2014-07-18,397527.63764658966
2014-07-19,397527.63764658966
2014-07-20,397527.63764658966
2014-07-21,396831.55020778533
2014-07-22,397146.3270946608
2014-07-23,394828.98703906895
2014-07-24,395225.7446881051
2014-07-25,390254.7156970403
2014-07-26,390254.7156970403
2014-07-27,390254.7156970403
2014-07-28,389101.7036344472
2014-07-29,389101.7036344472
2014-07-30,390040.1847722281
2014-07-31,390596.02573759435
2014-08-01,389025.69333855034
2014-08-02,389025.69333855034
2014-08-03,389025.69333855034
2014-08-04,391592.93577691517
2014-08-05,393974.8637492212
2014-08-06,392563.9786912956
2014-08-07,389056.6641691348
2014-08-08,384564.83531950193
2014-08-09,384564.8353195019
2014-08-10,384564.8353195019
2014-08-11,388478.64675853046
2014-08-12,389212.4430013124
2014-08-13,389070.19376843696
2014-08-14,391020.33463895286
2014-08-15,391020.3346389528
2014-08-16,391020.3346389528
2014-08-17,391020.3346389528
2014-08-18,400684.86136423395
2014-08-19,404328.41958652134
2014-08-20,405856.33214571996
2014-08-21,407762.254377566
2014-08-22,405258.9966033439
2014-08-23,405258.99660334387
2014-08-24,405258.99660334387
2014-08-25,404127.90224786685
2014-08-26,402614.5963491929
2014-08-27,404638.0156931807
