Date,Capital
2015-02-01,50000.0
2015-02-02,50688.94363195824
2015-02-03,50270.419204976875
2015-02-04,49543.01855771929
2015-02-05,49314.26349908596
2015-02-06,48426.782818563246
2015-02-07,48426.782818563246
2015-02-08,48426.782818563246
2015-02-09,47722.43298206537
2015-02-10,47829.55538334414
2015-02-11,48952.88271348452
2015-02-12,49609.4888490339
2015-02-13,49877.562627205974
2015-02-14,49877.562627205974
2015-02-15,49877.562627205974
2015-02-16,49888.04997002502
2015-02-17,49907.28516643176
2015-02-18,50403.18793680081
2015-02-19,50154.21673314253
2015-02-20,49809.19907232991
2015-02-21,49809.19907232991
2015-02-22,49809.19907232991
2015-02-23,49461.19347831625
2015-02-24,49421.564172107814
2015-02-25,49379.43486337787
2015-02-26,48521.34291493225
2015-02-27,49436.42139396717
2015-02-28,49436.42139396717
2015-03-01,49436.42139396717
2015-03-02,50000.9505492917
2015-03-03,49812.7139584534
2015-03-04,49563.41297177674
2015-03-05,50051.77671587707
2015-03-06,50051.77671587707
2015-03-07,50051.77671587707
2015-03-08,50051.77671587707
2015-03-09,49337.61208499184
2015-03-10,48915.64220190144
2015-03-11,49312.741390258045
2015-03-12,49935.94691958476
2015-03-13,49145.651167232914
2015-03-14,49145.651167232914
2015-03-15,49145.651167232914
2015-03-16,48870.60717442834
2015-03-17,49604.95877297187
2015-03-18,49684.88414709228
2015-03-19,49852.52851800308
2015-03-20,49394.04689554628
2015-03-21,49394.04689554628
2015-03-22,49394.04689554628
2015-03-23,48985.82973011043
2015-03-24,48850.986990404825
2015-03-25,48378.674220431785
2015-03-26,47658.943089441345
2015-03-27,47629.94169398429
2015-03-28,47629.94169398429
2015-03-29,47629.94169398429
2015-03-30,48525.80409342605
2015-03-31,48441.85802385065
2015-04-01,49233.39178226118
2015-04-02,49233.39178226118
2015-04-03,49233.39178226118
2015-04-04,49233.39178226118
2015-04-05,49233.39178226118
2015-04-06,49927.14294704201
2015-04-07,50407.3168548463
2015-04-08,51257.26110692949
2015-04-09,51373.46542638782
2015-04-10,51213.69999833654
2015-04-11,51213.69999833654
2015-04-12,51213.69999833654
2015-04-13,51008.96826671407
2015-04-14,51008.96826671407
2015-04-15,50744.29064356262
2015-04-16,50331.862758512165
2015-04-17,49971.94834185796
2015-04-18,49971.94834185796
2015-04-19,49971.94834185796
2015-04-20,48954.07791216914
2015-04-21,48181.30048464208
2015-04-22,47853.47667487241
2015-04-23,47779.06447093987
2015-04-24,46395.56477197398
2015-04-25,46395.56477197398
2015-04-26,46395.56477197398
2015-04-27,44650.852879222475
2015-04-28,45958.18581285815
2015-04-29,46401.243606887605
2015-04-30,46391.90514927593
2015-05-01,46391.905149275924
2015-05-02,46391.905149275924
2015-05-03,46391.905149275924
2015-05-04,46278.96352054877
2015-05-05,47118.12071857373
2015-05-06,45782.14058252527
2015-05-07,44725.06050212981
2015-05-08,45618.14659701952
2015-05-09,45618.14659701952
2015-05-10,45618.14659701952
2015-05-11,46428.37483717455
2015-05-12,45609.47950357182
2015-05-13,46166.092307232015
2015-05-14,46552.43483110803
2015-05-15,46900.299409646555
2015-05-16,46900.299409646555
2015-05-17,46900.299409646555
2015-05-18,47249.92284538422
2015-05-19,47482.96758447854
2015-05-20,47588.452642368946
2015-05-21,47386.79243944808
2015-05-22,47723.3439065494
2015-05-23,47723.3439065494
2015-05-24,47723.3439065494
2015-05-25,47918.87225008477
2015-05-26,47752.12558341027
2015-05-27,47596.065499651675
2015-05-28,47656.39860881641
2015-05-29,47630.97965573791
2015-05-30,47630.97965573791
2015-05-31,47630.97965573791
2015-06-01,47677.99460521007
2015-06-02,46521.791532067524
2015-06-03,45986.51341549502
2015-06-04,46199.58304491496
2015-06-05,46824.53537246948
2015-06-06,46824.53537246948
2015-06-07,46824.53537246948
2015-06-08,46267.41821390458
2015-06-09,46164.7419427073
2015-06-10,46371.727904571366
2015-06-11,45423.449720309436
2015-06-12,45402.66084049346
2015-06-13,45402.66084049346
2015-06-14,45402.66084049346
2015-06-15,45580.97014053014
2015-06-16,45886.42376729561
2015-06-17,46490.74135958202
2015-06-18,47056.761895457494
2015-06-19,47547.65202354595
2015-06-20,47547.65202354595
2015-06-21,47547.65202354595
2015-06-22,48473.00887671572
2015-06-23,48305.91907315244
2015-06-24,48068.94600565289
2015-06-25,48398.89153565585
2015-06-26,48464.45035790122
2015-06-27,48464.45035790122
2015-06-28,48464.45035790122
2015-06-29,47941.25402276676
2015-06-30,48469.92744926475
2015-07-01,48704.24645817412
2015-07-02,48941.298294163615
2015-07-03,48706.40932341082
2015-07-04,48706.40932341082
2015-07-05,48706.40932341082
2015-07-06,49282.62988610931
2015-07-07,49173.93502994528
2015-07-08,48636.75016314061
2015-07-09,48341.691658587464
2015-07-10,48548.709173688156
2015-07-11,48548.709173688156
2015-07-12,48548.709173688156
2015-07-13,49038.601360995664
2015-07-14,48904.60962721816
2015-07-15,49063.403202003115
2015-07-16,49537.94646078885
2015-07-17,49785.727544094
2015-07-18,49785.727544094
2015-07-19,49785.727544094
2015-07-20,49925.75908576261
2015-07-21,49321.48338405433
2015-07-22,49482.34482853647
2015-07-23,49205.612105434026
2015-07-24,49235.359271842484
2015-07-25,49235.359271842484
2015-07-26,49235.359271842484
2015-07-27,48986.63531123129
2015-07-28,49372.35284896943
2015-07-29,49754.33790548563
2015-07-30,50180.8002560766
2015-07-31,50613.672672018365
2015-08-01,50613.672672018365
2015-08-02,50613.672672018365
2015-08-03,50910.810402960466
2015-08-04,51956.48847203735
2015-08-05,52146.36993374169
2015-08-06,51858.24124870529
2015-08-07,51806.912428871074
2015-08-08,51806.912428871074
2015-08-09,51806.912428871074
2015-08-10,51908.65366653104
2015-08-11,51945.451823971416
2015-08-12,51048.91377797087
2015-08-13,51271.22437133175
2015-08-14,51772.07033777158
2015-08-15,51772.07033777158
2015-08-16,51772.07033777158
2015-08-17,51819.333165382064
2015-08-18,52610.45584875774
2015-08-19,52601.397957175446
2015-08-20,51958.258208270105
2015-08-21,51849.5540698469
2015-08-22,51849.5540698469
2015-08-23,51849.5540698469
2015-08-24,46957.54866499425
2015-08-25,47358.03957647637
2015-08-26,47704.13755611701
2015-08-27,48405.65206815546
2015-08-28,48702.42801867175
2015-08-29,48702.42801867175
2015-08-30,48702.42801867175
2015-08-31,48636.71131945461
2015-09-01,47958.28759553765
2015-09-02,48159.01286683492
2015-09-03,48783.134499145104
2015-09-04,47305.656659136686
2015-09-05,47305.656659136686
2015-09-06,47305.656659136686
2015-09-07,46125.746606041605
2015-09-08,46193.95188840341
2015-09-09,47375.97110723885
2015-09-10,46762.96461100333
2015-09-11,47134.72372176162
2015-09-12,47134.72372176162
2015-09-13,47134.72372176162
2015-09-14,47875.37570895063
2015-09-15,48008.73411054407
2015-09-16,47611.85146022897
2015-09-17,47611.85146022897
2015-09-18,48221.55566338174
2015-09-19,48221.55566338174
2015-09-20,48221.55566338174
2015-09-21,48414.415221509844
2015-09-22,47867.24442510309
2015-09-23,48203.03330636433
2015-09-24,48591.40882847847
2015-09-25,48591.40882847847
2015-09-26,48591.40882847847
2015-09-27,48591.40882847847
2015-09-28,48690.176976097755
2015-09-29,49087.83609895886
2015-09-30,50160.41622202042
2015-10-01,49823.1533408093
2015-10-02,49823.1533408093
2015-10-03,49823.1533408093
2015-10-04,49823.1533408093
2015-10-05,50346.5598244782
2015-10-06,51021.09712444088
2015-10-07,50996.38732023574
2015-10-08,50884.46700700621
2015-10-09,50525.347131001654
2015-10-10,50525.347131001654
2015-10-11,50525.347131001654
2015-10-12,49901.344018489835
2015-10-13,50070.3459871776
2015-10-14,50310.05485962198
2015-10-15,50675.280525599126
2015-10-16,50710.807437049305
2015-10-17,50710.807437049305
2015-10-18,50710.807437049305
2015-10-19,51606.359135746956
2015-10-20,51713.0264547368
2015-10-21,51695.022013385824
2015-10-22,51695.022013385824
2015-10-23,51718.89829733539
2015-10-24,51718.89829733539
2015-10-25,51718.89829733539
2015-10-26,51590.32035695123
2015-10-27,51686.61253074007
2015-10-28,51380.288687408414
2015-10-29,51570.68431751266
2015-10-30,50736.29856532534
2015-10-31,50736.29856532534
2015-11-01,50736.29856532534
2015-11-02,50092.08994640788
2015-11-03,50163.90531127206
2015-11-04,50056.838753008895
2015-11-05,49001.78037029955
2015-11-06,48712.80858947005
2015-11-07,48712.80858947005
2015-11-08,48712.80858947005
2015-11-09,49055.72950572994
2015-11-10,48637.493619819375
2015-11-11,48637.493619819375
2015-11-12,48637.493619819375
2015-11-13,48855.723116575835
2015-11-14,48855.723116575835
2015-11-15,48855.723116575835
2015-11-16,48452.45510002233
2015-11-17,48590.39897426703
2015-11-18,48571.616622343674
2015-11-19,49098.26006076549
2015-11-20,49227.85885482839
2015-11-21,49227.85885482839
2015-11-22,49227.85885482839
2015-11-23,49676.04854830687
2015-11-24,49696.52034974968
2015-11-25,49696.52034974968
2015-11-26,49554.82293414318
2015-11-27,49662.81561671266
2015-11-28,49662.81561671266
2015-11-29,49662.81561671266
2015-11-30,49154.446357186396
2015-12-01,48862.798725763125
2015-12-02,48830.68665140633
2015-12-03,48459.283998843865
2015-12-04,48085.8758426894
2015-12-05,48085.8758426894
2015-12-06,48085.8758426894
2015-12-07,48130.87354632145
2015-12-08,47507.83026252718
2015-12-09,46341.71314290469
2015-12-10,47193.415231802675
2015-12-11,46643.45770662683
2015-12-12,46643.45770662683
2015-12-13,46643.45770662683
2015-12-14,46864.0722895671
2015-12-15,46830.772484517336
2015-12-16,46900.02881365146
2015-12-17,47831.52690341164
2015-12-18,47805.06027341125
2015-12-19,47805.06027341125
2015-12-20,47805.06027341125
2015-12-21,47904.24378602072
2015-12-22,48163.1079371247
2015-12-23,48361.49410390989
2015-12-24,48262.784089010725
2015-12-25,48262.784089010725
2015-12-26,48262.784089010725
2015-12-27,48262.784089010725
2015-12-28,48650.59683443333
2015-12-29,49126.857704885675
2015-12-30,49235.50277299515
2015-12-31,48964.438877920315
2016-01-01,49325.444184283595
2016-01-02,49325.444184283595
2016-01-03,49325.444184283595
2016-01-04,48411.95764774519
2016-01-05,48765.358012471814
2016-01-06,48657.13499450308
2016-01-07,47143.355374297775
2016-01-08,47333.39052241606
2016-01-09,47333.39052241606
2016-01-10,47333.39052241606
2016-01-11,46831.34852190134
2016-01-12,46765.56657690939
2016-01-13,45701.58069182198
2016-01-14,44924.949463723715
2016-01-15,43853.54491463602
2016-01-16,43853.54491463602
2016-01-17,43853.54491463602
2016-01-18,41666.966084138265
2016-01-19,42427.686534928405
