Date,Capital
2014-02-03,400914.2574649474
2014-02-04,400779.07123779866
2014-02-05,400718.0352831575
2014-02-06,400213.80103640584
2014-02-07,400216.3310065065
2014-02-08,400216.3310065065
2014-02-09,400216.3310065065
2014-02-10,400795.04177509516
2014-02-11,401500.3781015754
2014-02-12,401855.0589151644
2014-02-13,401292.7896547556
2014-02-14,401545.31539212837
2014-02-15,401545.31539212837
2014-02-16,401545.31539212837
2014-02-17,400554.1684628838
2014-02-18,402121.2584389156
2014-02-19,403091.4766668979
2014-02-20,402996.03170572047
2014-02-21,403885.1298531799
2014-02-22,403885.1298531799
2014-02-23,403885.1298531799
2014-02-24,405360.4577301671
2014-02-25,406547.5905762033
2014-02-26,407456.1512899613
2014-02-27,407456.1512899613
2014-02-28,409469.4020104433
2014-03-01,409469.4020104433
2014-03-02,409469.4020104433
2014-03-03,410356.46028006525
2014-03-04,413138.99034513696
2014-03-05,412443.66690385056
2014-03-06,413387.3452143108
2014-03-07,410941.8432773409
2014-03-08,410941.8432773409
2014-03-09,410941.8432773409
2014-03-10,410214.36868555535
2014-03-11,412274.0387747408
2014-03-12,411616.0293682532
2014-03-13,411625.5803861907
2014-03-14,410515.0001554314
2014-03-15,410515.0001554314
2014-03-16,410515.0001554314
2014-03-17,410515.0001554314
2014-03-18,413936.1780773081
2014-03-19,414705.4852357296
2014-03-20,413242.7327890229
2014-03-21,414608.4570100888
2014-03-22,414608.4570100888
2014-03-23,414608.4570100888
2014-03-24,416512.4746965357
2014-03-25,420886.35049763415
2014-03-26,420356.389840298
2014-03-27,421106.36079969537
2014-03-28,427405.65510592406
2014-03-29,427405.65510592406
2014-03-30,427405.65510592406
2014-03-31,432138.1365287452
2014-04-01,433747.83612615307
2014-04-02,437432.04473215074
2014-04-03,435930.26008465287
2014-04-04,436432.0482639136
2014-04-05,436432.0482639136
2014-04-06,436432.0482639136
2014-04-07,436494.09391559707
2014-04-08,436494.09391559707
2014-04-09,441110.9548918305
2014-04-10,442015.7391606472
2014-04-11,443991.63339569356
2014-04-12,443991.63339569356
2014-04-13,443991.63339569356
2014-04-14,443991.6333956936
2014-04-15,441099.16037559626
2014-04-16,436211.30639293336
2014-04-17,442823.72072127345
2014-04-18,442823.72072127345
2014-04-19,442823.72072127345
2014-04-20,442823.72072127345
2014-04-21,448664.7100795942
2014-04-22,450099.20613349247
2014-04-23,453033.65768208506
2014-04-24,453033.65768208506
2014-04-25,448666.63889720384
2014-04-26,448666.63889720384
2014-04-27,448666.63889720384
2014-04-28,449421.60533852276
2014-04-29,447296.4552049823
2014-04-30,443782.9594407814
2014-05-01,443782.9594407814
2014-05-02,447084.26119341655
2014-05-03,447084.26119341655
2014-05-04,447084.26119341655
2014-05-05,448371.63926706463
2014-05-06,450727.46318681486
2014-05-07,451799.95954214106
2014-05-08,453728.7111095214
2014-05-09,459541.16891560156
2014-05-10,459541.16891560156
2014-05-11,459541.16891560156
2014-05-12,464655.5098600302
2014-05-13,473186.49663960893
2014-05-14,478876.6872685785
2014-05-15,473112.555978706
2014-05-16,483290.50714601827
2014-05-17,483290.50714601827
2014-05-18,483290.50714601827
2014-05-19,508821.72282888053
2014-05-20,520395.2458235016
2014-05-21,530614.2150110207
2014-05-22,543747.5838876354
2014-05-23,553431.5452685404
2014-05-24,553431.5452685404
2014-05-25,553431.5452685404
2014-05-26,542247.7530827415
2014-05-27,539788.1051551808
2014-05-28,539756.3008783157
2014-05-29,537619.0035505552
2014-05-30,540027.5977008931
2014-05-31,540027.5977008931
2014-06-01,540027.5977008931
2014-06-02,556320.0767268515
2014-06-03,562709.2809008942
2014-06-04,571704.2008637602
2014-06-05,578286.2988709455
2014-06-06,586693.7962177023
2014-06-07,586693.7962177023
2014-06-08,586693.7962177023
2014-06-09,592933.8092294929
2014-06-10,590932.5864234325
2014-06-11,584537.722394109
2014-06-12,587020.3830872236
2014-06-13,570537.6818200311
2014-06-14,570537.6818200311
2014-06-15,570537.6818200311
2014-06-16,569823.1333635664
2014-06-17,577535.4110392333
2014-06-18,576259.8606786664
2014-06-19,574883.251880657
2014-06-20,572225.2221517544
2014-06-21,572225.2221517544
2014-06-22,572225.2221517544
2014-06-23,575651.9400789664
2014-06-24,585402.4448366329
2014-06-25,588365.3681278136
2014-06-26,585641.32293412
2014-06-27,588978.5988942047
2014-06-28,588978.5988942047
2014-06-29,588978.5988942047
2014-06-30,600166.3679225259
2014-07-01,605578.0351608846
2014-07-02,610797.71316258
2014-07-03,609794.9182056617
2014-07-04,616307.0629998163
2014-07-05,616307.0629998163
2014-07-06,616307.0629998163
2014-07-07,616546.4761266296
2014-07-08,594440.8936422423
2014-07-09,585646.2254612079
2014-07-10,591104.457867805
2014-07-11,575578.0850566481
2014-07-12,575578.0850566481
2014-07-13,575578.0850566481
2014-07-14,574742.6290216895
2014-07-15,582163.7827822092
2014-07-16,591945.7255656319
2014-07-17,600510.6920792565
2014-07-18,598575.7171283186
2014-07-19,598575.7171283186
2014-07-20,598575.7171283186
2014-07-21,599899.4061299176
2014-07-22,601223.5889064666
2014-07-23,600414.7057060454
2014-07-24,597821.4907662857
2014-07-25,594282.1363812702
2014-07-26,594282.1363812702
2014-07-27,594282.1363812702
2014-07-28,590051.588992561
2014-07-29,590051.588992561
2014-07-30,590314.0815901299
2014-07-31,594312.3563760069
2014-08-01,589238.3456171288
2014-08-02,589238.3456171288
2014-08-03,589238.3456171288
2014-08-04,591785.711503818
2014-08-05,597734.6641323143
2014-08-06,600469.0565103543
2014-08-07,595089.8818108665
2014-08-08,585492.0858960835
2014-08-09,585492.0858960835
2014-08-10,585492.0858960835
2014-08-11,586560.4578623782
2014-08-12,586320.1067259324
2014-08-13,580243.2151591011
2014-08-14,586361.3888734012
2014-08-15,586361.3888734012
2014-08-16,586361.3888734012
2014-08-17,586361.3888734012
2014-08-18,593617.9447021877
2014-08-19,600744.1706343113
2014-08-20,605805.7918561469
2014-08-21,607211.3420902926
2014-08-22,606701.1993166658
2014-08-23,606701.1993166658
2014-08-24,606701.1993166658
2014-08-25,605646.1209924606
2014-08-26,608449.7690784399
2014-08-27,614175.7050800091
2014-08-28,614144.2197595204
2014-08-29,614144.2197595204
2014-08-30,614144.2197595204
2014-08-31,614144.2197595204
2014-09-01,616528.4037441406
2014-09-02,623511.1393202199
2014-09-03,630611.3062442729
2014-09-04,629973.9187766234
2014-09-05,633877.0315543088
2014-09-06,633877.0315543088
2014-09-07,633877.0315543088
2014-09-08,641403.7485525428
2014-09-09,645816.5891307399
2014-09-10,643125.3973317246
2014-09-11,648294.815095517
2014-09-12,651450.8412934062
2014-09-13,651450.8412934062
2014-09-14,651450.8412934062
2014-09-15,655838.9136478114
2014-09-16,636796.6314551298
2014-09-17,639308.6801992306
2014-09-18,651240.9281455536
2014-09-19,656179.5793772755
2014-09-20,656179.5793772755
2014-09-21,656179.5793772755
2014-09-22,657250.0367856288
2014-09-23,642756.780002282
2014-09-24,636782.1821611966
2014-09-25,631465.6081741855
2014-09-26,636075.616236463
2014-09-27,636075.616236463
2014-09-28,636075.616236463
2014-09-29,642559.2864029931
2014-09-30,647487.0558546237
2014-10-01,645972.1792387924
2014-10-02,645972.1792387924
2014-10-03,645972.1792387924
2014-10-04,645972.1792387924
2014-10-05,645972.1792387924
2014-10-06,645972.1792387924
