Date,Capital
2017-01-01,100000.0
2017-01-02,100466.34981728521
2017-01-03,101397.27074036883
2017-01-04,101609.95729562988
2017-01-05,102352.29627969721
2017-01-06,101899.23623180776
2017-01-07,101899.23623180776
2017-01-08,101899.23623180776
2017-01-09,101751.3364743467
2017-01-10,102700.14609362278
2017-01-11,103027.0493000496
2017-01-12,103090.67361185756
2017-01-13,102720.5437997838
2017-01-14,102720.5437997838
2017-01-15,102720.5437997838
2017-01-16,103187.3434827486
2017-01-17,103381.12909790527
2017-01-18,103402.49101521636
2017-01-19,104114.99021037915
2017-01-20,102556.9132887506
2017-01-21,102556.9132887506
2017-01-22,102556.9132887506
2017-01-23,103077.08686919246
2017-01-24,103999.2198402021
2017-01-25,104542.3964482063
2017-01-26,104542.3964482063
2017-01-27,104897.61254175317
2017-01-28,104897.61254175317
2017-01-29,104897.61254175317
2017-01-30,104532.06746703331
2017-01-31,104064.40337401889
2017-02-01,105284.11685426005
2017-02-02,106017.33562562006
2017-02-03,105965.86228014997
2017-02-04,105965.86228014997
2017-02-05,105965.86228014997
2017-02-06,106681.7312662875
2017-02-07,107408.08322672598
2017-02-08,107643.06867795752
2017-02-09,107410.26163935274
2017-02-10,107335.05593966573
2017-02-11,107335.05593966573
2017-02-12,107335.05593966573
2017-02-13,107591.87322351555
2017-02-14,106357.2233443209
2017-02-15,105438.23290720466
2017-02-16,106158.17398757051
2017-02-17,106306.86492610043
2017-02-18,106306.86492610043
2017-02-19,106306.86492610043
2017-02-20,106507.71715147444
2017-02-21,106709.85150135186
2017-02-22,106507.17483131886
2017-02-23,106491.85107909073
2017-02-24,106491.85107909073
2017-02-25,106491.85107909073
2017-02-26,106491.85107909073
2017-02-27,106126.40370920138
2017-02-28,105795.31354966603
2017-03-01,105882.7424258388
2017-03-02,105314.00348560013
2017-03-03,105489.6434229263
2017-03-04,105489.6434229263
2017-03-05,105489.6434229263
2017-03-06,105459.63972283239
2017-03-07,105412.5698124181
2017-03-08,104953.08529870081
2017-03-09,105142.75371143222
2017-03-10,105577.48402879329
2017-03-11,105577.48402879329
2017-03-12,105577.48402879329
2017-03-13,105577.48402879329
2017-03-14,106475.89784967064
2017-03-15,106631.56667261418
2017-03-16,106914.28536687481
2017-03-17,107172.07830453195
2017-03-18,107172.07830453195
2017-03-19,107172.07830453195
2017-03-20,107318.11876979916
2017-03-21,107214.3318761638
2017-03-22,106414.52869867973
2017-03-23,106817.57269375023
2017-03-24,106800.00928740532
2017-03-25,106800.00928740532
2017-03-26,106800.00928740532
2017-03-27,106601.52194367273
2017-03-28,106408.47251153084
2017-03-29,106773.11602265178
2017-03-30,107242.74159663497
2017-03-31,108053.34121832409
2017-04-01,108053.34121832409
2017-04-02,108053.34121832409
2017-04-03,108520.7695035262
2017-04-04,108520.7695035262
2017-04-05,109405.02196259418
2017-04-06,109374.59466259982
2017-04-07,109872.92508581505
2017-04-08,109872.92508581505
2017-04-09,109872.92508581505
2017-04-10,110594.88530992284
2017-04-11,111187.31548878523
2017-04-12,111470.81396054097
2017-04-13,111399.10648784635
2017-04-14,111399.10648784635
2017-04-15,111399.10648784635
2017-04-16,111399.10648784635
2017-04-17,111795.6815038436
2017-04-18,111663.01915011088
2017-04-19,112502.52912401283
2017-04-20,113399.92417786499
2017-04-21,113436.96987207115
2017-04-22,113436.96987207115
2017-04-23,113436.96987207115
2017-04-24,113883.02767071346
2017-04-25,114392.26227594053
2017-04-26,113964.19630867848
2017-04-27,114387.11156687816
2017-04-28,114402.39458828841
2017-04-29,114402.39458828841
2017-04-30,114402.39458828841
2017-05-01,114402.39458828841
2017-05-02,113384.13649421872
2017-05-03,113698.9270474255
2017-05-04,113632.67260275688
2017-05-05,112924.3504404161
2017-05-06,112924.3504404161
2017-05-07,112924.3504404161
2017-05-08,113546.340538604
2017-05-09,113464.36857992856
2017-05-10,113867.13784598385
2017-05-11,113602.2947399052
2017-05-12,112988.5448579552
2017-05-13,112988.5448579552
2017-05-14,112988.5448579552
2017-05-15,113595.47151181678
2017-05-16,113813.53352995441
2017-05-17,113856.06721589358
2017-05-18,112655.07010916332
2017-05-19,112092.53827153904
2017-05-20,112092.53827153904
2017-05-21,112092.53827153904
2017-05-22,111462.81583837012
2017-05-23,110397.54510439342
2017-05-24,109983.08983909208
2017-05-25,111396.28520140333
2017-05-26,113136.11060974648
2017-05-27,113136.11060974648
2017-05-28,113136.11060974648
2017-05-29,112065.63908776239
2017-05-30,112059.26907342108
2017-05-31,112470.09309199717
2017-06-01,112728.43992963384
2017-06-02,112823.63291758794
2017-06-03,112823.63291758794
2017-06-04,112823.63291758794
2017-06-05,113522.94773322591
2017-06-06,113280.72131908408
2017-06-07,114271.75743085053
2017-06-08,114151.75539653325
2017-06-09,114429.39909638379
2017-06-10,114429.39909638379
2017-06-11,114429.39909638379
2017-06-12,113955.41549436131
2017-06-13,114142.18783524603
2017-06-14,114508.02202906391
2017-06-15,113911.00971379198
2017-06-16,114053.59402470817
2017-06-17,114053.59402470817
2017-06-18,114053.59402470817
2017-06-19,114334.1904894573
2017-06-20,113940.68945373633
2017-06-21,113787.31065479624
2017-06-22,113325.14478213723
2017-06-23,112068.95237487744
2017-06-24,112068.95237487744
2017-06-25,112068.95237487744
2017-06-26,112068.95237487744
2017-06-27,111245.11203323814
2017-06-28,110829.9370684647
2017-06-29,111816.44405680228
2017-06-30,112707.33309895449
2017-07-01,112707.33309895449
2017-07-02,112707.33309895449
2017-07-03,112889.54787635276
2017-07-04,112620.63823365516
2017-07-05,113075.21142437102
2017-07-06,113012.50954464887
2017-07-07,112866.48928057798
2017-07-08,112866.48928057798
2017-07-09,112866.48928057798
2017-07-10,113216.69274112528
2017-07-11,113408.98823373251
2017-07-12,114298.8055584625
2017-07-13,114836.64059250373
2017-07-14,114962.26374343943
2017-07-15,114962.26374343943
2017-07-16,114962.26374343943
2017-07-17,114756.34050402118
2017-07-18,114378.24628827327
2017-07-19,115230.8621155803
2017-07-20,114498.09245767175
2017-07-21,114687.77312398455
2017-07-22,114687.77312398455
2017-07-23,114687.77312398455
2017-07-24,114268.97315094473
2017-07-25,114690.60662158515
2017-07-26,115249.90689903633
2017-07-27,114887.4499838171
2017-07-28,115236.38970950915
2017-07-29,115236.38970950915
2017-07-30,115236.38970950915
2017-07-31,115335.95311028406
2017-08-01,115740.12073365602
2017-08-02,115517.36917697999
2017-08-03,115459.33204254677
2017-08-04,116649.8409359759
2017-08-05,116649.8409359759
2017-08-06,116649.8409359759
2017-08-07,117556.7132817566
2017-08-08,117012.47829343849
2017-08-09,115818.31987759491
2017-08-10,112682.94521835359
2017-08-11,113380.43287630263
2017-08-12,113380.43287630263
2017-08-13,113380.43287630263
2017-08-14,114879.78031089054
2017-08-15,114879.78031089054
2017-08-16,115491.19361619832
2017-08-17,115725.63475932066
2017-08-18,115782.35511465056
2017-08-19,115782.35511465056
2017-08-20,115782.35511465056
2017-08-21,115166.45625660743
2017-08-22,115392.40067734515
2017-08-23,116246.00160095288
2017-08-24,116471.67445607904
2017-08-25,116471.67445607904
2017-08-26,116471.67445607904
2017-08-27,116471.67445607904
2017-08-28,117332.74083816717
2017-08-29,117196.1687875091
2017-08-30,118654.33974043257
2017-08-31,119297.68949294691
2017-09-01,119768.38466196958
2017-09-02,119768.38466196958
2017-09-03,119768.38466196958
2017-09-04,118903.150336512
2017-09-05,119440.5990642306
2017-09-06,118998.34512203457
2017-09-07,119517.91632475673
2017-09-08,119748.38977111416
2017-09-09,119748.38977111416
2017-09-10,119748.38977111416
2017-09-11,120619.06913410223
2017-09-12,122009.09912685346
2017-09-13,120664.1832955079
2017-09-14,120676.38612213804
2017-09-15,120880.23048138396
2017-09-16,120880.23048138396
2017-09-17,120880.23048138396
2017-09-18,121001.06178703267
2017-09-19,121070.80161133208
2017-09-20,120491.7462394183
2017-09-21,120189.59044976899
2017-09-22,118076.39045582671
2017-09-23,118076.39045582671
2017-09-24,118076.39045582671
2017-09-25,117109.36215175585
2017-09-26,116618.45698749104
2017-09-27,115628.09015849482
2017-09-28,115625.68256739092
2017-09-29,116949.5046258793
2017-09-30,116949.5046258793
2017-10-01,116949.5046258793
2017-10-02,116949.5046258793
2017-10-03,117383.5137217861
2017-10-04,117645.84456468586
2017-10-05,117763.304661135
2017-10-06,119004.94035204225
2017-10-07,119004.94035204225
2017-10-08,119004.94035204225
2017-10-09,118480.62603214553
2017-10-10,119008.1748607206
2017-10-11,119208.27663629105
2017-10-12,120271.1811094531
2017-10-13,119798.96360476699
2017-10-14,119798.96360476699
2017-10-15,119798.96360476699
2017-10-16,120282.49440021714
2017-10-17,121557.80417328309
2017-10-18,121615.26792075159
2017-10-19,121569.83033407919
2017-10-20,121569.83033407919
2017-10-21,121569.83033407919
2017-10-22,121569.83033407919
2017-10-23,121624.11855554846
2017-10-24,121827.23327398118
2017-10-25,120732.64824185919
2017-10-26,122145.69714579704
2017-10-27,121292.45734314685
2017-10-28,121292.45734314685
2017-10-29,121292.45734314685
2017-10-30,122516.24299864453
2017-10-31,123364.70500246614
2017-11-01,122669.71144594219
2017-11-02,122123.42257675788
2017-11-03,121561.60680967476
2017-11-04,121561.60680967476
2017-11-05,121561.60680967476
2017-11-06,120819.6440270528
2017-11-07,120941.87557356927
2017-11-08,120085.84962335492
2017-11-09,120109.30913519346
2017-11-10,120404.55361157615
2017-11-11,120404.55361157615
2017-11-12,120404.55361157615
2017-11-13,119256.42298758522
2017-11-14,118852.30942312743
2017-11-15,118209.88738677876
2017-11-16,118603.98453483678
2017-11-17,118874.60935446346
2017-11-18,118874.60935446346
2017-11-19,118874.60935446346
2017-11-20,119258.03155517051
2017-11-21,119953.41475995045
2017-11-22,119706.4050877662
2017-11-23,120030.20154110249
2017-11-24,120317.45154462477
2017-11-25,120317.45154462477
2017-11-26,120317.45154462477
2017-11-27,120534.86545977528
2017-11-28,120610.28204028773
2017-11-29,120338.3007506097
2017-11-30,120797.06633217221
2017-12-01,120425.67196279672
2017-12-02,120425.67196279672
2017-12-03,120425.67196279672
2017-12-04,120257.37302764042
2017-12-05,120396.46618150726
2017-12-06,119773.82848622702
2017-12-07,120719.57939111957
2017-12-08,121806.33796984436
2017-12-09,121806.33796984436
2017-12-10,121806.33796984436
2017-12-11,122080.73142557302
2017-12-12,121079.67507844369
2017-12-13,121239.78298508344
2017-12-14,120832.70510101822
2017-12-15,122220.45716184487
2017-12-16,122220.45716184487
2017-12-17,122220.45716184487
2017-12-18,121923.53469418336
2017-12-19,122241.51635976628
2017-12-20,122565.65896468126
2017-12-21,122411.78896395779
2017-12-22,122759.518957363
2017-12-23,122759.518957363
2017-12-24,122759.518957363
2017-12-25,122759.518957363
2017-12-26,123013.18066300955
2017-12-27,122496.60551028282
2017-12-28,122818.06336800074
2017-12-29,123063.9370995367
2017-12-30,123063.9370995367
2017-12-31,123063.9370995367
2018-01-01,122593.4172425362
2018-01-02,121094.69849391306
2018-01-03,121742.03558486799
2018-01-04,123270.84286287011
2018-01-05,124892.67090771384
2018-01-06,124892.67090771384
2018-01-07,124892.67090771384
2018-01-08,126248.22417154933
2018-01-09,126551.70979092103
2018-01-10,126665.43607284167
2018-01-11,126437.16760522341
2018-01-12,126186.66759442615
2018-01-13,126186.66759442615
2018-01-14,126186.66759442615
2018-01-15,125668.27313546702
2018-01-16,123609.30949521408
2018-01-17,123365.66548592795
2018-01-18,121772.83558080325
2018-01-19,122094.75943711282
2018-01-20,122094.75943711282
2018-01-21,122094.75943711282
2018-01-22,122787.50889099856
2018-01-23,122217.08907225118
2018-01-24,122347.82490373711
2018-01-25,121140.09128911931
2018-01-26,121140.09128911931
2018-01-27,121140.09128911931
2018-01-28,121140.09128911931
2018-01-29,119942.72664366446
2018-01-30,119404.18686234225
2018-01-31,119720.31369363664
2018-02-01,121534.48802259004
2018-02-02,115591.85391751604
2018-02-03,115591.85391751604
2018-02-04,115591.85391751604
2018-02-05,114481.42667642656
2018-02-06,112106.8927296316
2018-02-07,114724.13123989236
2018-02-08,116441.97844924321
2018-02-09,115856.72632558437
2018-02-10,115856.72632558437
2018-02-11,115856.72632558437
2018-02-12,117002.62542815018
2018-02-13,117002.62542815018
2018-02-14,116400.1124072069
2018-02-15,116974.38907469387
2018-02-16,115414.96694926044
2018-02-17,115414.96694926044
2018-02-18,115414.96694926044
2018-02-19,113652.36049336047
2018-02-20,114381.6691715171
2018-02-21,114223.8708267936
2018-02-22,113181.30598259786
2018-02-23,113934.44625539833
2018-02-24,113934.44625539833
2018-02-25,113934.44625539833
2018-02-26,115197.3548311327
2018-02-27,114338.56955631281
2018-02-28,114738.88069495003
2018-03-01,115650.12354085967
2018-03-02,115650.12354085967
2018-03-03,115650.12354085967
2018-03-04,115650.12354085967
2018-03-05,113761.14442819374
2018-03-06,113846.4294743945
2018-03-07,112029.64032699869
2018-03-08,112244.7429075102
2018-03-09,112434.65811155665
2018-03-10,112434.65811155665
2018-03-11,112434.65811155665
2018-03-12,114328.05487345393
2018-03-13,116354.50638436619
2018-03-14,115784.7611638802
2018-03-15,115384.15913305513
2018-03-16,113485.7100781434
2018-03-17,113485.7100781434
2018-03-18,113485.7100781434
2018-03-19,110655.35175243374
2018-03-20,110259.83120254296
