Date,Capital
2014-02-03,397969.7391397848
2014-02-04,398396.5685309766
2014-02-05,398526.09216559335
2014-02-06,399314.2291035097
2014-02-07,399942.17342726915
2014-02-08,399942.17342726915
2014-02-09,399942.17342726915
2014-02-10,399716.5299409469
2014-02-11,399032.4425433561
2014-02-12,398016.28626134124
2014-02-13,396725.8793995179
2014-02-14,396513.7793088398
2014-02-15,396513.7793088398
2014-02-16,396513.7793088398
2014-02-17,396569.3794365137
2014-02-18,397438.69128425943
2014-02-19,400536.24690536974
2014-02-20,398178.9184389672
2014-02-21,398850.2392628483
2014-02-22,398850.2392628483
2014-02-23,398850.2392628483
2014-02-24,397897.90750187193
2014-02-25,396513.9111316591
2014-02-26,394163.73608603975
2014-02-27,394163.73608603975
2014-02-28,395012.76312569185
2014-03-01,395012.76312569185
2014-03-02,395012.76312569185
2014-03-03,393741.0744458615
2014-03-04,394636.58539213304
2014-03-05,397213.21076908906
2014-03-06,402052.0923789215
2014-03-07,405746.42000011855
2014-03-08,405746.42000011855
2014-03-09,405746.42000011855
2014-03-10,406719.2237704363
2014-03-11,404590.795235247
2014-03-12,404628.70765761
2014-03-13,404170.1285068926
2014-03-14,403013.78977910965
2014-03-15,403013.78977910965
2014-03-16,403013.78977910965
2014-03-17,403013.78977910965
2014-03-18,401272.2684243261
2014-03-19,401144.92964882834
2014-03-20,403696.0876723776
2014-03-21,404790.26944789645
2014-03-22,404790.26944789645
2014-03-23,404790.26944789645
2014-03-24,403362.1120995297
2014-03-25,401364.66924249777
2014-03-26,401866.13545829384
2014-03-27,400188.52840366046
2014-03-28,399552.42699054035
2014-03-29,399552.42699054035
2014-03-30,399552.42699054035
2014-03-31,397921.30178867164
2014-04-01,400081.65081071254
2014-04-02,402266.9998708592
2014-04-03,404209.4383344137
2014-04-04,406581.163362233
2014-04-05,406581.163362233
2014-04-06,406581.163362233
2014-04-07,404833.14894000656
2014-04-08,404833.14894000656
2014-04-09,404151.4154088606
2014-04-10,400539.0676464195
2014-04-11,400794.7970569769
2014-04-12,400794.7970569769
2014-04-13,400794.7970569769
2014-04-14,400794.7970569769
2014-04-15,402311.92822559725
2014-04-16,401770.9451697933
2014-04-17,401227.58460246667
2014-04-18,401227.58460246667
2014-04-19,401227.58460246667
2014-04-20,401227.58460246667
2014-04-21,399444.967950154
2014-04-22,399802.3516052972
2014-04-23,398646.1686907318
2014-04-24,398646.1686907318
2014-04-25,399313.3412337942
2014-04-26,399313.3412337942
2014-04-27,399313.3412337942
2014-04-28,398486.50473941234
2014-04-29,399065.4429255206
2014-04-30,399865.9211269947
2014-05-01,399865.9211269947
2014-05-02,397982.3962060339
2014-05-03,397982.3962060339
2014-05-04,397982.3962060339
2014-05-05,395533.152731407
2014-05-06,395489.3320056683
2014-05-07,394356.0442647313
2014-05-08,394904.9049322818
2014-05-09,397279.69794114603
2014-05-10,397279.69794114603
2014-05-11,397279.69794114603
2014-05-12,396784.0982387027
2014-05-13,396397.87962999207
2014-05-14,396895.45441564615
2014-05-15,398284.06972685165
2014-05-16,395831.1735561211
2014-05-17,395831.1735561211
2014-05-18,395831.1735561211
2014-05-19,397404.45282037585
2014-05-20,397928.8820821517
2014-05-21,397773.85585771996
2014-05-22,398599.8260760076
2014-05-23,399686.6317853879
2014-05-24,399686.6317853879
2014-05-25,399686.6317853879
2014-05-26,396267.6545790626
2014-05-27,391714.42219424655
2014-05-28,396677.7502977668
2014-05-29,394548.1471594244
2014-05-30,392879.1445756799
2014-05-31,392879.1445756799
2014-06-01,392879.1445756799
2014-06-02,390250.3154295859
2014-06-03,390660.16779198556
2014-06-04,392227.7582439313
2014-06-05,393836.25214706
2014-06-06,393106.1158347627
2014-06-07,393106.1158347627
2014-06-08,393106.1158347627
2014-06-09,394625.6889637784
2014-06-10,399925.42894479947
2014-06-11,402313.8928814065
2014-06-12,404383.24677281966
2014-06-13,406626.6887711223
2014-06-14,406626.6887711223
2014-06-15,406626.6887711223
2014-06-16,408046.1541438012
2014-06-17,407059.83234953764
2014-06-18,406661.5424644102
2014-06-19,408963.85907991696
2014-06-20,410934.39291765273
2014-06-21,410934.39291765273
2014-06-22,410934.39291765273
2014-06-23,409045.93232231936
2014-06-24,408016.5012387425
2014-06-25,407134.0139074467
2014-06-26,406327.2672224252
2014-06-27,406764.879010697
2014-06-28,406764.879010697
2014-06-29,406764.879010697
2014-06-30,406214.79149782273
2014-07-01,404381.25317053363
2014-07-02,408419.2627402205
2014-07-03,408887.09315216716
2014-07-04,406566.8028642313
2014-07-05,406566.8028642313
2014-07-06,406566.8028642313
2014-07-07,409021.7542062163
2014-07-08,408578.49632202124
2014-07-09,408349.6340885105
2014-07-10,409232.4194172631
2014-07-11,410261.2441919984
2014-07-12,410261.2441919984
2014-07-13,410261.2441919984
2014-07-14,410026.61200036894
2014-07-15,411327.7674296103
2014-07-16,410572.5751020609
2014-07-17,409475.3393757051
2014-07-18,409000.5568888799
2014-07-19,409000.5568888799
2014-07-20,409000.5568888799
2014-07-21,410007.2706177733
2014-07-22,412727.13724655274
2014-07-23,412071.8513742925
2014-07-24,413572.5409528743
2014-07-25,411096.9564069126
2014-07-26,411096.9564069126
2014-07-27,411096.9564069126
2014-07-28,411027.238871887
2014-07-29,411027.238871887
2014-07-30,411000.2096826872
2014-07-31,410015.5541526422
2014-08-01,411113.7010293383
2014-08-02,411113.7010293383
2014-08-03,411113.7010293383
2014-08-04,412726.35619503807
2014-08-05,413671.73155985924
2014-08-06,412078.56093319494
2014-08-07,410577.38406085304
2014-08-08,408701.1825310124
2014-08-09,408701.1825310124
2014-08-10,408701.1825310124
2014-08-11,407984.89459885337
2014-08-12,409028.8063018145
2014-08-13,404662.28972256347
2014-08-14,402444.6869598075
2014-08-15,402444.6869598075
2014-08-16,402444.6869598075
2014-08-17,402444.6869598075
2014-08-18,404417.0858043924
2014-08-19,406213.42926456337
2014-08-20,406583.03232854995
2014-08-21,407643.7141295555
2014-08-22,406765.16060036083
2014-08-23,406765.16060036083
2014-08-24,406765.16060036083
2014-08-25,403575.3064207132
2014-08-26,398858.4553826115
2014-08-27,396883.776686092
2014-08-28,395864.46496153926
2014-08-29,395864.46496153926
2014-08-30,395864.46496153926
2014-08-31,395864.46496153926
2014-09-01,398938.110552203
2014-09-02,398160.3881183374
2014-09-03,395770.72154365043
2014-09-04,391720.0455332073
2014-09-05,391207.39749545825
2014-09-06,391207.39749545825
2014-09-07,391207.39749545825
2014-09-08,391906.74767731625
2014-09-09,392116.2699189054
2014-09-10,396200.1976206978
2014-09-11,398617.7411566167
2014-09-12,398313.1993745537
2014-09-13,398313.1993745537
2014-09-14,398313.1993745537
2014-09-15,396032.33205224964
2014-09-16,396231.30417189363
2014-09-17,393628.3911646905
2014-09-18,393424.23553078057
2014-09-19,393389.9874235828
2014-09-20,393389.9874235828
2014-09-21,393389.9874235828
2014-09-22,393699.44959153864
2014-09-23,392305.5683134127
2014-09-24,388570.40356798435
2014-09-25,381487.3009248817
2014-09-26,382041.52413607715
2014-09-27,382041.52413607715
2014-09-28,382041.52413607715
2014-09-29,380847.25238529604
2014-09-30,379526.2386333085
2014-10-01,380195.58346560557
2014-10-02,380264.75302476116
2014-10-03,380264.75302476116
2014-10-04,380264.75302476116
2014-10-05,380264.75302476116
2014-10-06,380264.75302476116
2014-10-07,381524.06492923875
2014-10-08,382994.8672426795
2014-10-09,384446.0247084772
2014-10-10,384751.6586250854
2014-10-11,384751.6586250854
2014-10-12,384751.6586250854
2014-10-13,385526.47852999484
2014-10-14,383966.3226318199
2014-10-15,383966.3226318199
2014-10-16,383973.4850375932
2014-10-17,384130.81950500654
2014-10-18,384130.81950500654
2014-10-19,384130.81950500654
2014-10-20,383053.41772113816
2014-10-21,384915.35690139694
2014-10-22,387614.4719738939
2014-10-23,387614.4719738939
2014-10-24,387614.4719738939
2014-10-25,387614.4719738939
2014-10-26,387614.4719738939
2014-10-27,387748.4690674944
2014-10-28,389168.02753320476
2014-10-29,390325.3462743594
2014-10-30,390812.146388824
2014-10-31,393018.4649907213
2014-11-01,393018.4649907213
2014-11-02,393018.4649907213
2014-11-03,395857.9545747894
2014-11-04,395857.9545747894
2014-11-05,395121.37943672115
2014-11-06,395121.37943672115
2014-11-07,392517.5737440707
