Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-07-08,38.0,38.599998474121094,34.0,35.79999923706055,66000,0,0
2021-07-09,32.0,32.95000076293945,30.850000381469727,32.95000076293945,9000,0,0
2021-07-12,29.649999618530273,35.70000076293945,29.350000381469727,35.0,24000,0,0
2021-07-13,34.599998474121094,34.599998474121094,34.599998474121094,34.599998474121094,3000,0,0
2021-07-14,31.149999618530273,31.149999618530273,31.149999618530273,31.149999618530273,6000,0,0
2021-07-15,31.100000381469727,33.25,31.100000381469727,33.25,9000,0,0
2021-07-16,33.25,33.70000076293945,33.25,33.25,9000,0,0
2021-07-19,30.200000762939453,30.600000381469727,30.200000762939453,30.600000381469727,6000,0,0
2021-07-20,30.600000381469727,30.600000381469727,30.600000381469727,30.600000381469727,0,0,0
2021-07-21,30.600000381469727,30.600000381469727,30.600000381469727,30.600000381469727,0,0,0
2021-07-22,30.600000381469727,30.600000381469727,30.600000381469727,30.600000381469727,0,0,0
2021-07-23,27.549999237060547,29.299999237060547,27.549999237060547,27.600000381469727,21000,0,0
2021-07-26,25.649999618530273,25.649999618530273,25.5,25.5,6000,0,0
2021-07-27,25.200000762939453,25.200000762939453,25.0,25.0,9000,0,0
2021-07-28,25.0,25.0,25.0,25.0,3000,0,0
2021-07-29,25.0,25.0,25.0,25.0,0,0,0
2021-07-30,26.25,26.25,26.25,26.25,3000,0,0
2021-08-02,26.5,26.5,26.5,26.5,3000,0,0
2021-08-03,26.5,26.5,26.5,26.5,6000,0,0
2021-08-04,26.5,26.5,26.5,26.5,0,0,0
2021-08-05,26.5,26.5,26.5,26.5,0,0,0
2021-08-06,26.5,26.5,26.5,26.5,0,0,0
2021-08-09,26.5,26.5,26.5,26.5,0,0,0
2021-08-10,25.25,25.299999237060547,25.200000762939453,25.200000762939453,15000,0,0
2021-08-11,26.450000762939453,26.450000762939453,26.450000762939453,26.450000762939453,6000,0,0
2021-08-12,25.149999618530273,25.149999618530273,25.149999618530273,25.149999618530273,3000,0,0
2021-08-13,25.149999618530273,25.149999618530273,25.149999618530273,25.149999618530273,0,0,0
2021-08-16,27.0,27.100000381469727,27.0,27.100000381469727,42000,0,0
2021-08-17,25.75,25.75,25.75,25.75,3000,0,0
2021-08-18,24.5,24.5,24.5,24.5,12000,0,0
2021-08-20,23.299999237060547,23.299999237060547,23.299999237060547,23.299999237060547,3000,0,0
2021-08-23,24.450000762939453,24.450000762939453,23.350000381469727,23.350000381469727,6000,0,0
2021-08-24,23.350000381469727,23.350000381469727,23.350000381469727,23.350000381469727,3000,0,0
2021-08-25,23.299999237060547,23.299999237060547,23.299999237060547,23.299999237060547,6000,0,0
2021-08-26,23.299999237060547,23.299999237060547,23.299999237060547,23.299999237060547,0,0,0
2021-08-27,22.149999618530273,22.200000762939453,22.149999618530273,22.149999618530273,9000,0,0
2021-08-30,21.049999237060547,21.049999237060547,21.049999237060547,21.049999237060547,6000,0,0
2021-08-31,20.0,22.100000381469727,20.0,22.100000381469727,9000,0,0
2021-09-01,22.100000381469727,22.100000381469727,22.100000381469727,22.100000381469727,0,0,0
2021-09-02,23.200000762939453,23.200000762939453,23.200000762939453,23.200000762939453,3000,0,0
2021-09-03,24.350000381469727,24.350000381469727,24.350000381469727,24.350000381469727,21000,0,0
2021-09-07,26.799999237060547,26.799999237060547,26.799999237060547,26.799999237060547,9000,0,0
2021-09-08,28.100000381469727,28.100000381469727,28.100000381469727,28.100000381469727,3000,0,0
2021-09-09,28.100000381469727,28.850000381469727,26.799999237060547,28.850000381469727,33000,0,0
2021-09-13,30.25,30.25,30.25,30.25,3000,0,0
2021-09-14,31.5,31.5,31.5,31.5,9000,0,0
2021-09-15,29.950000762939453,29.950000762939453,29.950000762939453,29.950000762939453,3000,0,0
2021-09-16,28.5,28.5,28.5,28.5,9000,0,0
2021-09-17,27.100000381469727,29.799999237060547,27.100000381469727,29.799999237060547,9000,0,0
2021-09-20,28.350000381469727,29.799999237060547,28.350000381469727,29.799999237060547,6000,0,0
2021-09-21,28.350000381469727,28.350000381469727,28.350000381469727,28.350000381469727,9000,0,0
2021-09-22,28.0,29.600000381469727,26.950000762939453,29.600000381469727,30000,0,0
2021-09-23,28.149999618530273,28.149999618530273,28.149999618530273,28.149999618530273,6000,0,0
2021-09-24,28.149999618530273,28.149999618530273,28.149999618530273,28.149999618530273,0,0,0
2021-09-27,26.75,26.75,26.75,26.75,3000,0,0
2021-09-28,26.75,26.75,26.75,26.75,0,0,0
2021-09-29,26.75,26.75,26.75,26.75,0,0,0
2021-09-30,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,6000,0,0
2021-10-01,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,0,0,0
2021-10-04,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,0,0,0
2021-10-05,23.600000381469727,23.600000381469727,23.600000381469727,23.600000381469727,3000,0,0
2021-10-06,23.600000381469727,23.600000381469727,23.600000381469727,23.600000381469727,0,0,0
2021-10-07,24.75,24.75,23.649999618530273,23.649999618530273,6000,0,0
2021-10-08,24.75,24.799999237060547,24.75,24.799999237060547,9000,0,0
2021-10-11,26.0,26.0,26.0,26.0,12000,0,0
2021-10-12,26.0,27.25,26.0,27.25,6000,0,0
2021-10-13,27.25,27.25,27.25,27.25,0,0,0
2021-10-14,27.5,27.5,26.0,26.0,6000,0,0
2021-10-18,26.0,26.0,26.0,26.0,3000,0,0
2021-10-19,26.0,26.0,26.0,26.0,0,0,0
