Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Outstanding Shares
2021-03-24,519.3321585880626,548.2449899931171,501.604955097797,526.1234130859375,16135816,0.0,0,100247000
2021-03-25,510.84304996160864,518.1336619437058,490.3693793375364,494.1145629882813,2119014,0.0,0,100247000
2021-03-26,501.35525082715134,509.3449759399346,490.3693787970743,495.0633544921875,925705,0.0,0,100247000
2021-03-30,496.36166870096014,503.8021123446715,474.38992481480096,479.68310546875,529986,0.0,0,100247000
2021-03-31,477.286178041584,496.8610098520338,473.39119330625937,488.521728515625,527647,0.0,0,100247000
2021-04-01,494.4641285466368,519.1323870209455,492.2170183153408,516.2860717773438,695372,0.0,0,100247000
2021-04-05,524.3257220387175,557.3831860359758,514.8878468506673,540.2552490234375,1583749,0.0,0,100247000
2021-04-06,544.7993704346618,560.1796153575943,544.7993704346618,551.390869140625,918972,0.0,0,100247000
2021-04-07,558.0323236654555,563.0259015058623,544.4498163222534,556.68408203125,758597,0.0,0,100247000
2021-04-08,560.0298192314684,561.6777244910937,547.8953993005449,551.9402465820312,386096,0.0,0,100247000
2021-04-09,554.4869416431766,558.0822936041781,548.3947395978345,554.536865234375,229741,0.0,0,100247000
2021-04-12,547.2961968258853,585.2473929561475,515.6868209294204,552.93896484375,1187225,0.0,0,100247000
2021-04-13,558.3819094116079,584.2486697722665,551.1912053182862,579.6546020507812,659160,0.0,0,100247000
2021-04-15,581.1526102175602,600.1781294923604,563.4753325694683,593.9361572265625,671215,0.0,0,100247000
2021-04-16,593.2370815061112,606.2203846367163,572.6135794582519,579.2051391601562,465893,0.0,0,100247000
2021-04-19,566.2718156878652,568.6687578089346,549.2936483744725,551.3410034179688,206642,0.0,0,100247000
2021-04-20,562.2769334699784,569.9171328811854,548.0951584806253,555.835205078125,205041,0.0,0,100247000
2021-04-22,560.1795783438788,560.1795783438788,548.2948388744608,553.6879272460938,202740,0.0,0,100247000
2021-04-23,558.2820047669492,599.1794196330894,553.4382586252891,589.2421875,946298,0.0,0,100247000
2021-04-26,598.430389193228,609.1166581167566,590.3907409458869,601.7760620117188,784396,0.0,0,100247000
2021-04-27,609.2165193169103,636.1818406637244,602.4252653912876,628.7913208007812,1399747,0.0,0,100247000
2021-04-28,639.1780395507812,661.6491425037384,634.1844611167908,639.1780395507812,1017198,0.0,0,100247000
2021-04-29,653.1600510331905,657.1549137306412,621.2011494535848,631.3880615234375,494639,0.0,0,100247000
2021-04-30,623.1985632759311,639.1280900253789,617.5557954917681,623.4482421875,396130,0.0,0,100247000
2021-05-03,623.598045274946,640.6760576591488,611.2139474472316,628.7413940429688,396478,0.0,0,100247000
2021-05-04,634.2343484304952,646.0191806692468,622.1998372843262,635.732421875,427112,0.0,0,100247000
2021-05-05,641.8246408135839,688.1150870938684,632.2369339403933,681.9729614257812,1272598,0.0,0,100247000
2021-05-06,689.0138927333712,715.8793048600438,675.6310797785566,702.9959106445312,1124629,0.0,0,100247000
2021-05-07,708.9882015652887,725.0674977244068,701.1482478326421,720.1737670898438,580306,0.0,0,100247000
2021-05-10,726.2660118089659,750.9342998399159,724.2685805668933,735.2045288085938,807643,0.0,0,100247000
2021-05-11,730.9600167714999,738.0508735828915,713.1329056460806,728.9625854492188,615711,0.0,0,100247000
2021-05-12,729.0624044885682,740.8472366437429,709.6373734378967,727.5643310546875,473991,0.0,0,100247000
2021-05-14,732.0585639980757,742.8446807169263,717.1277529912094,733.5067138671875,562187,0.0,0,100247000
2021-05-17,735.4542404961824,763.068692074672,734.1558613655496,754.8792114257812,417606,0.0,0,100247000
2021-05-18,763.0187324466785,774.8534881418436,759.0238699731357,766.763916015625,519560,0.0,0,100247000
2021-05-19,778.998176935657,797.9238499641003,765.0161583752734,770.5090942382812,522542,0.0,0,100247000
2021-05-20,788.9853987892644,788.9853987892644,765.265901040853,770.55908203125,309875,0.0,0,100247000
2021-05-21,778.9981651376146,778.9981651376146,762.2197553106186,768.4118041992188,314708,0.0,0,100247000
2021-05-24,771.3080950776772,771.4080032181322,751.084102882678,767.313232421875,287173,0.0,0,100247000
2021-05-25,773.0058919090233,773.0058919090233,758.0251575697012,761.0712280273438,131738,0.0,0,100247000
2021-05-26,765.0161547189008,781.9443964435242,761.0212922921703,771.407958984375,303709,0.0,0,100247000
2021-05-27,772.9559393188654,772.9559393188654,763.0187070552619,766.3643798828125,94218,0.0,0,100247000
2021-05-28,770.009771395888,770.608976407264,754.1301680699978,760.52197265625,96321,0.0,0,100247000
2021-05-31,758.9740026735107,769.9598752905299,745.0419065723918,753.2813110351562,111701,0.0,0,100247000
2021-06-01,753.930468875478,753.930468875478,719.4747789364125,725.9664306640625,235935,0.0,0,100247000
2021-06-02,723.0701394804089,736.3530455971902,722.6706288327961,732.8076171875,95426,0.0,0,100247000
2021-06-03,738.9497402673862,782.8432447025837,738.9497402673862,773.9547119140625,447534,0.0,0,100247000
2021-06-04,781.4949443768788,787.7868403638963,763.0686296631579,768.261962890625,136135,0.0,0,100247000
2021-06-07,788.9853618289351,788.9853618289351,767.0136175754711,771.9073486328125,140131,0.0,0,100247000
2021-06-08,771.0085102689701,777.899672891128,757.0764142456837,759.9227905273438,116016,0.0,0,100247000
2021-06-09,765.9649629952191,767.512960027083,740.5975616643184,748.6871948242188,119709,0.0,0,100247000
