Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-01-01,186.9499969482422,188.0,185.0,185.60000610351562,101841,0,0
2014-01-02,188.8000030517578,188.89999389648438,151.9499969482422,159.10000610351562,23430,0,0
2014-01-03,159.10000610351562,189.1999969482422,154.9499969482422,187.14999389648438,395721,0,0
2014-01-06,184.0,200.0,180.1999969482422,188.0500030517578,18074,0,0
2014-01-07,187.9499969482422,193.5,182.5,186.4499969482422,9524,0,0
2014-01-08,186.5,189.89999389648438,183.0,184.10000610351562,2934,0,0
2014-01-09,182.39999389648438,187.89999389648438,182.14999389648438,184.60000610351562,4471,0,0
2014-01-10,182.0,191.85000610351562,179.0,184.75,2930,0,0
2014-01-13,189.5500030517578,189.60000610351562,184.0,184.85000610351562,1277,0,0
2014-01-14,184.14999389648438,186.8000030517578,181.5,185.0500030517578,71829,0,0
2014-01-15,183.25,187.0,183.25,186.0,1332,0,0
2014-01-16,186.39999389648438,186.39999389648438,183.6999969482422,185.0,26329,0,0
2014-01-17,189.0,189.0,183.3000030517578,183.8000030517578,28128,0,0
2014-01-20,184.75,184.75,178.5500030517578,183.14999389648438,243096,0,0
2014-01-21,191.75,192.5500030517578,182.25,183.9499969482422,1595,0,0
2014-01-22,185.0,185.0,181.6999969482422,182.5,585,0,0
2014-01-23,180.0,190.0,180.0,187.1999969482422,109599,0,0
2014-01-24,183.0500030517578,187.0,183.0,185.0500030517578,4162,0,0
2014-01-27,182.0,186.0,177.0500030517578,184.60000610351562,53374,0,0
2014-01-28,187.0,191.0,181.5,185.10000610351562,7362,0,0
2014-01-29,182.0,188.9499969482422,181.5,186.25,3208,0,0
2014-01-30,186.5,195.0,177.1999969482422,191.64999389648438,58530,0,0
2014-01-31,191.0,196.1999969482422,186.0,187.5500030517578,2217,0,0
2014-02-03,185.3000030517578,200.75,185.1999969482422,191.6999969482422,30062,0,0
2014-02-04,195.5,201.0,189.0,195.8000030517578,29918,0,0
2014-02-05,198.0,199.0,192.1999969482422,196.9499969482422,2626,0,0
2014-02-06,198.0,200.75,193.0,197.89999389648438,1194,0,0
2014-02-07,195.10000610351562,200.0,194.8000030517578,199.60000610351562,6664,0,0
2014-02-10,198.0,202.0,197.0,200.0500030517578,34745,0,0
2014-02-11,202.9499969482422,203.0,197.0,198.35000610351562,140065,0,0
2014-02-12,197.0,201.4499969482422,192.0,199.4499969482422,478,0,0
2014-02-13,199.0,200.9499969482422,197.14999389648438,199.35000610351562,14899,0,0
2014-02-14,195.14999389648438,202.0,195.0,200.39999389648438,58311,0,0
2014-02-17,196.0500030517578,200.39999389648438,196.0,196.25,240,0,0
2014-02-18,196.85000610351562,202.0,193.64999389648438,199.0500030517578,69445,0,0
2014-02-19,199.9499969482422,200.0,195.25,197.0,1229,0,0
2014-02-20,196.89999389648438,200.0,195.0,199.9499969482422,2037,0,0
2014-02-21,199.39999389648438,200.0,196.0,199.1999969482422,6498,0,0
2014-02-24,197.0,200.0,195.0500030517578,199.0,2865,0,0
2014-02-25,196.25,200.0,194.0,199.0500030517578,2680,0,0
2014-02-26,197.0,199.9499969482422,194.8000030517578,199.10000610351562,76460,0,0
2014-02-28,197.9499969482422,199.89999389648438,188.6999969482422,195.75,4430,0,0
2014-03-03,191.5,197.9499969482422,191.4499969482422,194.39999389648438,1823,0,0
2014-03-04,199.9499969482422,199.9499969482422,192.8000030517578,198.14999389648438,16875,0,0
2014-03-05,201.89999389648438,205.0,193.5,197.25,2743,0,0
2014-03-06,197.64999389648438,199.0,195.0,195.6999969482422,769,0,0
2014-03-07,193.0,200.0,193.0,197.85000610351562,57427,0,0
2014-03-10,197.85000610351562,198.75,195.0,195.9499969482422,115405,0,0
2014-03-11,195.9499969482422,207.0,193.0500030517578,197.8000030517578,83251,0,0
2014-03-12,194.0500030517578,200.0,194.0500030517578,199.6999969482422,37435,0,0
2014-03-13,199.8000030517578,200.0,196.5,199.60000610351562,19319,0,0
2014-03-14,197.0,199.0,196.64999389648438,196.9499969482422,679,0,0
2014-03-18,194.5,201.0,194.0,199.60000610351562,213402,0,0
2014-03-19,199.8000030517578,200.0,194.10000610351562,197.4499969482422,86162,0,0
2014-03-20,194.25,200.0,193.0,195.25,37013,0,0
2014-03-21,198.10000610351562,205.0500030517578,194.6999969482422,202.9499969482422,10240,0,0
2014-03-24,201.4499969482422,220.0,198.0,213.35000610351562,165894,0,0
2014-03-25,214.6999969482422,223.39999389648438,213.6999969482422,218.8000030517578,13927,0,0
2014-03-26,221.0,227.89999389648438,217.5,219.0500030517578,207689,0,0
2014-03-27,215.25,222.89999389648438,175.25,181.10000610351562,214131,0,0
2014-03-28,184.0,209.75,181.10000610351562,198.1999969482422,436468,0,0
2014-03-31,207.0,219.0,200.0,217.75,193675,0,0
2014-04-01,211.0,212.0500030517578,205.3000030517578,206.5,19018,0,0
2014-04-02,206.10000610351562,209.89999389648438,202.14999389648438,204.5,16415,0,0
2014-04-03,204.5,212.85000610351562,195.0,196.0500030517578,26832,0,0
2014-04-04,192.75,202.0,192.0,197.9499969482422,21402,0,0
2014-04-07,196.75,203.0,194.0,195.1999969482422,4539,0,0
2014-04-09,196.75,197.60000610351562,194.0,194.14999389648438,40095,0,0
2014-04-10,194.75,197.0,193.0,193.6999969482422,2165,0,0
2014-04-11,192.0,195.0,188.0500030517578,190.5500030517578,28644,0,0
2014-04-15,194.0,194.0,188.0500030517578,190.4499969482422,36363,0,0
2014-04-16,191.60000610351562,196.8000030517578,187.3000030517578,187.85000610351562,4915,0,0
2014-04-17,189.89999389648438,190.0,188.5,189.5500030517578,27071,0,0
2014-04-21,187.0500030517578,190.5500030517578,186.0,187.3000030517578,3107,0,0
2014-04-22,183.0,189.9499969482422,183.0,186.3000030517578,4551,0,0
2014-04-23,188.85000610351562,189.89999389648438,185.10000610351562,185.89999389648438,2370,0,0
2014-04-24,185.89999389648438,185.89999389648438,185.89999389648438,185.89999389648438,0,0,0
2014-04-25,187.9499969482422,189.60000610351562,186.0,186.5,1561,0,0
2014-04-28,191.5,191.64999389648438,180.3000030517578,182.85000610351562,5628,0,0
2014-04-29,184.0,184.0,180.0,181.3000030517578,5876,0,0
2014-04-30,182.0,184.14999389648438,176.5,178.3000030517578,4957,0,0
2014-05-02,179.6999969482422,181.39999389648438,175.39999389648438,176.14999389648438,5822,0,0
2014-05-05,174.39999389648438,180.0,171.64999389648438,179.5,2823,0,0
2014-05-06,177.6999969482422,182.85000610351562,177.0500030517578,178.10000610351562,1997,0,0
2014-05-07,177.0,180.9499969482422,176.3000030517578,179.14999389648438,1765,0,0
2014-05-08,180.0500030517578,180.0500030517578,177.5,178.39999389648438,1651,0,0
2014-05-09,180.0500030517578,180.0500030517578,176.64999389648438,178.14999389648438,2840,0,0
2014-05-12,178.0500030517578,180.0,174.0,179.14999389648438,3658,0,0
2014-05-13,180.0,181.75,177.0,178.8000030517578,5242,0,0
2014-05-14,166.0,196.25,161.0,179.75,3979,0,0
2014-05-15,179.9499969482422,181.0,177.0500030517578,178.5500030517578,2875,0,0
2014-05-16,184.9499969482422,185.0,178.0,178.25,2770,0,0
2014-05-19,183.89999389648438,183.9499969482422,170.3000030517578,182.9499969482422,8959,0,0
2014-05-20,180.39999389648438,186.89999389648438,178.75,184.64999389648438,5313,0,0
2014-05-21,186.9499969482422,194.0,183.5,191.39999389648438,10024,0,0
2014-05-22,196.0,204.0,190.1999969482422,198.8000030517578,325008,0,0
2014-05-23,208.0,210.0,194.0,197.1999969482422,112178,0,0
2014-05-26,204.8000030517578,208.85000610351562,190.0,193.5,20309,0,0
2014-05-27,195.0,195.0,186.0,186.75,4546,0,0
2014-05-28,189.39999389648438,191.89999389648438,167.0,176.0,94348,0,0
2014-05-29,180.0,183.9499969482422,175.10000610351562,178.0,43029,0,0
2014-05-30,178.0,185.0500030517578,175.0,176.75,30421,0,0
2014-06-02,179.8000030517578,182.0500030517578,176.85000610351562,179.0,30762,0,0
2014-06-03,177.10000610351562,184.0,177.10000610351562,180.4499969482422,42271,0,0
2014-06-04,182.9499969482422,189.75,169.1999969482422,172.5500030517578,167288,0,0
2014-06-05,180.0,180.0,175.0500030517578,177.10000610351562,38563,0,0
2014-06-06,184.0500030517578,184.89999389648438,175.1999969482422,178.0,80896,0,0
2014-06-09,178.60000610351562,180.0,178.0,179.0500030517578,41060,0,0
2014-06-10,177.35000610351562,183.75,177.35000610351562,181.64999389648438,22854,0,0
2014-06-11,182.0,184.75,176.64999389648438,178.0,16018,0,0
2014-06-12,178.10000610351562,182.4499969482422,176.0500030517578,176.75,8506,0,0
2014-06-13,175.0500030517578,180.5,172.0500030517578,172.8000030517578,21883,0,0
2014-06-16,167.0,176.0,167.0,169.9499969482422,25389,0,0
2014-06-17,174.39999389648438,174.39999389648438,169.10000610351562,169.75,10748,0,0
2014-06-18,172.85000610351562,172.85000610351562,167.0,167.64999389648438,20269,0,0
2014-06-19,169.5,176.35000610351562,167.39999389648438,173.0,242999,0,0
2014-06-20,179.8000030517578,179.8000030517578,165.35000610351562,166.9499969482422,43784,0,0
2014-06-23,166.9499969482422,169.85000610351562,166.0,166.89999389648438,10360,0,0
2014-06-24,166.89999389648438,169.89999389648438,166.0,167.10000610351562,53833,0,0
2014-06-25,168.5,173.0,167.5,169.75,18751,0,0
2014-06-26,168.5500030517578,170.0,164.25,165.85000610351562,15360,0,0
2014-06-27,167.35000610351562,168.5,164.25,166.35000610351562,10231,0,0
2014-06-30,167.0,170.0,167.0,167.64999389648438,7908,0,0
2014-07-01,166.0,169.0,166.0,166.75,12744,0,0
2014-07-02,166.75,168.0500030517578,166.60000610351562,166.89999389648438,18405,0,0
2014-07-03,167.0,168.0,164.3000030517578,164.75,18249,0,0
2014-07-04,165.8000030517578,165.89999389648438,161.89999389648438,162.5,28773,0,0
2014-07-07,162.5,162.5500030517578,159.0,160.0500030517578,26085,0,0
2014-07-08,161.25,161.3000030517578,153.5,155.3000030517578,33798,0,0
2014-07-09,150.5500030517578,158.89999389648438,150.5500030517578,155.35000610351562,22392,0,0
2014-07-10,155.25,169.0,152.5500030517578,163.25,52763,0,0
2014-07-11,168.0,168.0,159.0,160.5,10581,0,0
2014-07-14,159.0,161.0,154.1999969482422,157.85000610351562,7856,0,0
2014-07-15,158.9499969482422,162.25,158.9499969482422,161.5500030517578,4975,0,0
2014-07-16,161.10000610351562,164.5,153.60000610351562,157.64999389648438,9660,0,0
2014-07-17,157.64999389648438,160.5,157.0,158.10000610351562,7624,0,0
2014-07-18,156.10000610351562,158.75,155.25,156.5500030517578,5963,0,0
2014-07-21,156.5,162.0,156.5,159.75,12744,0,0
2014-07-22,159.75,162.10000610351562,157.9499969482422,158.25,8464,0,0
2014-07-23,160.10000610351562,163.0,159.9499969482422,162.10000610351562,15838,0,0
2014-07-24,160.0500030517578,164.0,160.0500030517578,162.0500030517578,5569,0,0
2014-07-25,160.10000610351562,163.89999389648438,159.10000610351562,160.10000610351562,8337,0,0
2014-07-28,160.25,162.8000030517578,160.0,160.0500030517578,4223,0,0
2014-07-30,160.0500030517578,163.60000610351562,159.25,159.9499969482422,3704,0,0
2014-07-31,160.0,162.5500030517578,159.10000610351562,160.0500030517578,4095,0,0
2014-08-01,160.0,162.0,160.0,161.14999389648438,9170,0,0
2014-08-04,161.14999389648438,161.75,160.0,160.14999389648438,2402,0,0
2014-08-05,160.9499969482422,163.25,159.5,160.0,7124,0,0
2014-08-06,160.4499969482422,160.85000610351562,131.0,158.0,13968,0,0
2014-08-07,158.6999969482422,158.89999389648438,157.0,157.3000030517578,4675,0,0
2014-08-08,158.10000610351562,158.10000610351562,149.0,152.8000030517578,18689,0,0
2014-08-11,152.3000030517578,155.0,150.5,151.64999389648438,6529,0,0
2014-08-12,151.5,159.5,143.6999969482422,155.85000610351562,12592,0,0
2014-08-13,154.0500030517578,161.60000610351562,148.10000610351562,159.9499969482422,19512,0,0
2014-08-14,158.0,166.6999969482422,155.0,165.10000610351562,27432,0,0
2014-08-18,163.89999389648438,170.6999969482422,161.5500030517578,169.35000610351562,18751,0,0
2014-08-19,166.14999389648438,171.25,165.6999969482422,169.35000610351562,7839,0,0
2014-08-20,168.9499969482422,170.89999389648438,165.5500030517578,169.89999389648438,6459,0,0
2014-08-21,168.5500030517578,171.35000610351562,167.9499969482422,169.60000610351562,5308,0,0
2014-08-22,168.3000030517578,171.89999389648438,161.6999969482422,170.10000610351562,7768,0,0
2014-08-25,169.25,171.39999389648438,165.0,169.3000030517578,5436,0,0
2014-08-26,167.25,171.0,163.0,168.39999389648438,11064,0,0
2014-08-27,168.0,168.5,164.5,166.6999969482422,9743,0,0
2014-08-28,166.0500030517578,168.0,163.0,164.0,6786,0,0
2014-09-01,164.5,166.5,164.5,165.10000610351562,2312,0,0
2014-09-02,165.0500030517578,168.64999389648438,165.0,165.75,72571,0,0
2014-09-03,167.0,167.0,161.4499969482422,162.14999389648438,6814,0,0
2014-09-04,162.14999389648438,164.10000610351562,158.0,162.3000030517578,8235,0,0
2014-09-05,158.0,164.0,157.1999969482422,160.0,4953,0,0
2014-09-08,159.0500030517578,162.4499969482422,156.5,157.4499969482422,5342,0,0
2014-09-09,157.5500030517578,159.85000610351562,156.5,159.25,4852,0,0
2014-09-10,158.0500030517578,161.0,153.64999389648438,157.3000030517578,4253,0,0
2014-09-11,164.0,164.0,157.5,161.35000610351562,9389,0,0
2014-09-12,161.35000610351562,167.0,160.0,161.25,5937,0,0
2014-09-15,159.5,161.10000610351562,158.0,158.89999389648438,1578,0,0
2014-09-16,160.0,161.64999389648438,157.0,159.39999389648438,1487,0,0
2014-09-17,159.4499969482422,159.4499969482422,155.10000610351562,156.35000610351562,2875,0,0
2014-09-18,157.89999389648438,159.9499969482422,155.10000610351562,156.64999389648438,3154,0,0
2014-09-19,155.10000610351562,160.14999389648438,154.0,156.0500030517578,58585,0,0
2014-09-22,154.5,164.0,154.5,156.1999969482422,172497,0,0
2014-09-23,155.5,163.35000610351562,154.75,156.35000610351562,41070,0,0
2014-09-24,154.8000030517578,163.0,154.10000610351562,161.5500030517578,6349,0,0
2014-09-25,161.0,162.0,152.0,153.5,6151,0,0
2014-09-26,153.5500030517578,155.0,151.14999389648438,151.85000610351562,6375,0,0
2014-09-29,154.0,155.89999389648438,138.0500030517578,144.4499969482422,71026,0,0
2014-09-30,145.5,150.5500030517578,139.5,149.5500030517578,27240,0,0
2014-10-01,147.89999389648438,153.5,143.5,145.8000030517578,46797,0,0
2014-10-07,148.5,150.0,145.0,145.5500030517578,3162,0,0
2014-10-08,148.0,148.0,144.10000610351562,144.60000610351562,1040,0,0
2014-10-09,145.0,147.0,145.0,145.85000610351562,2143,0,0
2014-10-10,145.10000610351562,147.0,144.39999389648438,144.5500030517578,487,0,0
2014-10-13,145.0,146.0,142.5,143.64999389648438,4349,0,0
2014-10-14,144.0,146.0,138.10000610351562,140.0,6289,0,0
2014-10-15,140.0,140.0,140.0,140.0,0,0,0
2014-10-16,138.60000610351562,156.5,137.4499969482422,149.10000610351562,19125,0,0
2014-10-17,142.0,147.60000610351562,142.0,143.6999969482422,2580,0,0
2014-10-20,143.6999969482422,149.0,142.89999389648438,147.75,25075,0,0
2014-10-21,146.0,147.0,142.60000610351562,146.10000610351562,11679,0,0
2014-10-22,145.5,147.0,144.64999389648438,146.35000610351562,8997,0,0
2014-10-27,142.0,148.25,142.0,143.5,656,0,0
2014-10-28,143.0,146.39999389648438,143.0,143.0500030517578,685,0,0
2014-10-29,144.0,147.0,143.0,143.85000610351562,1329,0,0
2014-10-30,145.0,147.0,141.10000610351562,142.9499969482422,18777,0,0
2014-10-31,144.14999389648438,145.0,141.64999389648438,142.89999389648438,10610,0,0
2014-11-03,144.0,144.89999389648438,140.5,142.3000030517578,68780,0,0
2014-11-05,142.75,145.89999389648438,141.5,142.5,72513,0,0
2014-11-07,143.0,146.5,142.0,142.5500030517578,3265,0,0
2014-11-10,143.0,143.85000610351562,141.5,142.10000610351562,1863,0,0
2014-11-11,141.75,147.5,141.6999969482422,143.5500030517578,3748,0,0
2014-11-12,143.60000610351562,143.60000610351562,139.10000610351562,141.0500030517578,4228,0,0
2014-11-13,143.0,144.9499969482422,140.0,141.75,18366,0,0
2014-11-14,140.3000030517578,143.89999389648438,138.0,139.3000030517578,6766,0,0
2014-11-17,144.0,144.0,137.10000610351562,138.1999969482422,2033,0,0
2014-11-18,139.0,140.0,130.3000030517578,133.64999389648438,10503,0,0
2014-11-19,134.0,139.0,129.35000610351562,135.39999389648438,53825,0,0
2014-11-20,137.89999389648438,142.0,132.0,138.64999389648438,12085,0,0
2014-11-21,141.0,141.0,137.0,138.1999969482422,2012,0,0
2014-11-24,137.0,143.0500030517578,135.10000610351562,136.25,2338,0,0
2014-11-25,137.0,138.9499969482422,131.5,132.75,3197,0,0
2014-11-26,132.0500030517578,135.89999389648438,132.0500030517578,132.85000610351562,1797,0,0
2014-11-27,132.0,135.89999389648438,131.5,133.4499969482422,2730,0,0
2014-11-28,132.3000030517578,136.3000030517578,132.10000610351562,134.35000610351562,5907,0,0
2014-12-01,131.10000610351562,137.9499969482422,131.10000610351562,136.0,2319,0,0
2014-12-02,136.0,137.75,135.0,135.6999969482422,2570,0,0
2014-12-03,135.10000610351562,138.0,133.5,137.10000610351562,1629,0,0
2014-12-04,137.10000610351562,137.10000610351562,137.10000610351562,137.10000610351562,0,0,0
2014-12-05,138.8000030517578,139.0,134.0,136.75,4460,0,0
2014-12-08,135.39999389648438,138.10000610351562,132.64999389648438,133.25,2316,0,0
2014-12-09,133.25,133.25,133.25,133.25,0,0,0
2014-12-10,131.0,133.0,130.85000610351562,131.14999389648438,1546,0,0
2014-12-11,130.10000610351562,132.75,128.0500030517578,128.9499969482422,3565,0,0
2014-12-12,130.0,130.0,121.0,123.5,8919,0,0
2014-12-15,121.5,123.0,117.0,117.80000305175781,2868,0,0
2014-12-16,117.80000305175781,119.05000305175781,114.19999694824219,115.30000305175781,9993,0,0
2014-12-17,115.4000015258789,121.0,103.6500015258789,113.75,12714,0,0
2014-12-18,114.9000015258789,119.94999694824219,114.9000015258789,117.1500015258789,5868,0,0
2014-12-19,120.0,124.0,118.30000305175781,122.44999694824219,5113,0,0
2014-12-22,123.69999694824219,128.25,123.6500015258789,124.1500015258789,2516,0,0
2014-12-23,125.4000015258789,127.25,125.4000015258789,125.80000305175781,1239,0,0
2014-12-24,127.05000305175781,129.89999389648438,120.5,128.0500030517578,2246,0,0
2014-12-26,128.0500030517578,128.0500030517578,124.05000305175781,127.55000305175781,679,0,0
2014-12-29,127.5,136.14999389648438,125.5999984741211,131.60000610351562,2188,0,0
2014-12-30,133.5,133.5,128.0,131.1999969482422,1496,0,0
2014-12-31,128.0,139.0,127.5,135.0500030517578,5004,0,0
2015-01-01,135.10000610351562,135.89999389648438,129.60000610351562,133.85000610351562,2370,0,0
2015-01-02,134.6999969482422,135.25,130.10000610351562,131.10000610351562,1433,0,0
