Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Outstanding Shares
2014-01-01,557.4795601713248,557.8233154624235,550.3754861905869,556.41015625,29081,0.0,0,29646500
2014-01-02,554.576999767667,558.3964005925131,547.7020782829437,549.6499633789062,10037,0.0,0,29646500
2014-01-03,546.1742805233239,552.2471367433616,543.9208248663864,547.6256713867188,5022,0.0,0,29646500
2014-01-06,556.1046426627055,556.8685226663631,549.4970619816535,553.7366333007812,11566,0.0,0,29646500
2014-01-07,550.7575521622151,558.3963531630781,547.0145210223758,549.4971313476562,9687,0.0,0,29646500
2014-01-08,549.5353504359792,557.8234306882648,549.5353504359792,557.5560913085938,11051,0.0,0,29646500
2014-01-09,552.514515244618,557.8234917278461,552.514515244618,557.479736328125,13026,0.0,0,29646500
2014-01-10,557.6323658682602,559.1601257747486,548.6185917446852,550.7574462890625,11731,0.0,0,29646500
2014-01-13,549.38256323756,557.8234288026421,549.38256323756,556.1428833007812,5372,0.0,0,29646500
2014-01-14,557.823461490362,557.823461490362,534.7160877004496,541.3236694335938,9292,0.0,0,29646500
2014-01-15,546.1743075293986,546.2124922122093,540.0632663262725,543.76806640625,3862,0.0,0,29646500
2014-01-16,549.9936630118,549.9936630118,540.8271019616034,547.1672973632812,5311,0.0,0,29646500
2014-01-17,550.2227509852315,554.1185669332253,546.1741963370902,547.510986328125,9233,0.0,0,29646500
2014-01-20,548.4659083585473,578.2572320716159,542.3548675968921,551.2540893554688,35357,0.0,0,29646500
2014-01-21,546.2505791664819,557.6324100204226,543.9971704248171,554.7296752929688,93329,0.0,0,29646500
2014-01-22,553.8131216208263,553.8131216208263,544.646559607792,546.6326293945312,2801,0.0,0,29646500
2014-01-23,544.6848673259157,554.5771270575066,544.6848673259157,548.0459594726562,6438,0.0,0,29646500
2014-01-24,547.0144362825026,548.3894575484817,541.8200617313024,545.104736328125,6136,0.0,0,29646500
2014-01-27,540.8270619148448,545.9832521237787,534.7542063440596,537.313232421875,3981,0.0,0,29646500
2014-01-28,544.4555900633179,548.3131755892854,537.7716385893733,540.216064453125,3441,0.0,0,29646500
2014-01-29,538.5355061670336,546.174307672949,538.5355061670336,541.7056274414062,13819,0.0,0,29646500
2014-01-30,543.1307598678491,543.1307598678491,526.9909073157277,533.8089599609375,19374,6.0,0,29646500
2014-01-31,528.4932566265028,546.9057956003232,528.4932566265028,539.4329223632812,4651,0.0,0,29646500
2014-02-03,540.0492117712538,540.0492117712538,526.7598410108342,533.7704467773438,15052,0.0,0,29646500
2014-02-04,528.6471554931194,567.8218778367414,523.8706781410893,555.1873779296875,40540,0.0,0,29646500
2014-02-05,549.2937997719035,573.1761388924211,547.9841137061829,567.9759521484375,43864,0.0,0,29646500
2014-02-06,566.2427352365476,566.2427352365476,558.5387524442136,561.1195678710938,55905,0.0,0,29646500
2014-02-07,562.3905643857759,562.3905643857759,556.2273801185345,558.53857421875,39356,0.0,0,29646500
2014-02-10,570.094599585239,585.4255407339842,549.2938506814534,551.1813354492188,70260,0.0,0,29646500
2014-02-11,553.1458989680573,603.5684697754788,553.1458989680573,583.3070068359375,96145,0.0,0,29646500
2014-02-12,586.2731492096805,598.5995229118552,571.7126014654331,588.9695434570312,157727,0.0,0,29646500
2014-02-13,594.7474184058573,624.5233280452187,576.2578613569706,614.3155517578125,337969,0.0,0,29646500
2014-02-14,616.3185444279508,620.1705353306255,590.9339149750499,600.8720703125,44858,0.0,0,29646500
2014-02-17,604.3004652142805,610.771782934404,599.9476958674917,605.5715942382812,50014,0.0,0,29646500
2014-02-18,608.4219771404655,645.8248002656868,601.6809929049745,641.74169921875,278403,0.0,0,29646500
2014-02-19,644.5537474655491,656.9186306028912,628.7605825370026,651.679931640625,149412,0.0,0,29646500
2014-02-20,661.0402127067624,673.0969641952713,646.3641353664249,654.1066284179688,219928,0.0,0,29646500
2014-02-21,656.4563604752199,674.0985000273446,656.3793394551972,662.041748046875,308196,0.0,0,29646500
2014-02-24,654.0681941710301,654.0681941710301,586.273139887107,606.5346069335938,1244703,0.0,0,29646500
2014-02-25,605.5331746581747,607.8058594635233,585.5413257088846,588.5458984375,333325,0.0,0,29646500
2014-02-26,590.8955071372393,591.0881067158368,560.8499728760238,568.0917358398438,161638,0.0,0,29646500
2014-02-28,573.5230990904311,573.5230990904311,558.924039985633,562.544921875,134193,0.0,0,29646500
2014-03-03,562.5448606633261,589.7399118581246,554.6867884230564,574.1778564453125,179611,0.0,0,29646500
2014-03-04,574.716956127696,582.9217143233202,570.8649658051243,575.7955322265625,178828,0.0,0,29646500
2014-03-05,578.5689503583772,580.7260555493149,567.012979312604,568.1300659179688,51857,0.0,0,29646500
2014-03-06,563.2381097919997,574.6400408618258,563.2381097919997,569.2472534179688,45761,0.0,0,29646500
2014-03-07,563.6233168489752,573.137763043444,560.8499020758317,561.6203002929688,31129,0.0,0,29646500
2014-03-10,556.3432059799097,581.1114855529389,556.3432059799097,562.005615234375,51258,0.0,0,29646500
2014-03-11,563.1610319699938,570.0946151269432,559.4631303572282,563.7388305664062,30539,0.0,0,29646500
2014-03-12,561.0811267709679,573.7926999508271,561.0811267709679,568.05322265625,55399,0.0,0,29646500
2014-03-13,567.7835369874537,579.1854222201035,561.6973717172995,565.8190307617188,77824,0.0,0,29646500
2014-03-14,561.6588982541325,569.3243711124949,557.7683960560843,562.2752075195312,24544,0.0,0,29646500
2014-03-18,563.9315688583877,570.9807322776702,556.689805859577,560.8499755859375,33112,0.0,0,29646500
2014-03-19,563.9315143488753,566.2812195877202,556.2275319124153,557.074951171875,83004,0.0,0,29646500
2014-03-20,554.9177768377021,562.2750697499778,552.375472352488,553.569580078125,93298,0.0,0,29646500
2014-03-21,551.6821863213682,574.2548934124369,551.6821863213682,561.0810546875,90419,0.0,0,29646500
2014-03-24,559.3093062091999,565.4724941564087,558.5389077157988,562.1597900390625,60087,0.0,0,29646500
2014-03-25,557.3446654686402,595.5178922354736,557.3446654686402,587.8909301757812,1538595,0.0,0,29646500
2014-03-26,591.5887876478433,602.7595613790189,576.45044443808,591.0494995117188,230653,0.0,0,29646500
