Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Outstanding Shares
2014-01-01,593.3070531595615,595.8970370159287,585.9940762973814,592.3929443359375,123440,0.0,0.0,135992992
2014-01-02,592.0010544425228,602.8834267668338,578.9422076533496,582.9468994140625,233590,0.0,0.0,135992992
2014-01-03,585.0364509656804,592.4364655984308,579.8999489659572,589.3676147460938,125030,0.0,0.0,135992992
2014-01-06,593.4376493223367,597.22469427777,584.4923165025333,588.3011474609375,334994,0.0,0.0,135992992
2014-01-07,592.0447146334615,597.2247357236903,581.0753019666445,583.7305908203125,118508,0.0,0.0,135992992
2014-01-08,584.1657903710055,591.1087231822554,578.9422512618759,581.7281494140625,207262,0.0,0.0,135992992
2014-01-09,580.6616337255143,583.861093877202,570.8674980854579,574.5675048828125,243328,0.0,0.0,135992992
2014-01-10,572.4564759868983,578.9423824780703,570.2364819896783,575.6558837890625,95766,0.0,0.0,135992992
2014-01-13,574.6328933939608,581.1187992337008,571.4552719168117,575.4817504882812,57602,0.0,0.0,135992992
2014-01-14,575.8953415151565,579.8347829063899,571.5423910879822,573.3923950195312,41586,0.0,0.0,135992992
2014-01-15,574.0233874935487,575.3292722484168,564.6210278858158,571.1504516601562,271458,0.0,0.0,135992992
2014-01-16,571.7817775768407,574.502371370007,563.7070339440837,570.8240966796875,70740,0.0,0.0,135992992
2014-01-17,565.8835755644469,579.8130174244948,565.8835755644469,574.6329956054688,157640,0.0,0.0,135992992
2014-01-20,570.4540840448569,579.6170648333709,570.4540840448569,576.33056640625,75712,0.0,0.0,135992992
2014-01-21,577.0923519919642,585.4499948204825,567.8205471450727,570.3670654296875,215078,0.0,0.0,135992992
2014-01-22,574.5892353632125,577.113966894441,560.7904090716224,574.6980590820312,196008,0.0,0.0,135992992
2014-01-23,570.715169503888,578.8116445378018,570.715169503888,575.0899047851562,173002,0.0,0.0,135992992
2014-01-24,574.5892353632125,578.9421841159641,564.2945009356387,574.6980590820312,177180,0.0,0.0,135992992
2014-01-27,565.926946896318,572.6522856729264,561.530478582794,569.5834350585938,206322,0.0,0.0,135992992
2014-01-28,564.2075465360205,570.1493330883113,564.2075465360205,569.3004760742188,92808,0.0,0.0,135992992
2014-01-29,566.0575979106338,572.8046700445091,566.0575979106338,571.8252563476562,99340,0.0,0.0,135992992
2014-01-30,562.4012658416476,572.4130530818627,556.3071344780384,563.4024658203125,272312,0.0,0.0,135992992
2014-01-31,564.1421229715132,568.1032954607415,557.1774054039637,565.7962646484375,179454,0.0,0.0,135992992
2014-02-03,549.3423016565536,582.8600173677696,549.3423016565536,571.0852661132812,171620,0.0,0.0,135992992
2014-02-04,568.0600505634623,578.8989081325686,562.0529575097589,574.4371337890625,118886,0.0,0.0,135992992
2014-02-05,572.1516640209998,576.7657796307279,569.866365648878,575.0899047851562,41324,0.0,0.0,135992992
2014-02-06,572.8915989635727,578.1804425492735,569.3657209519668,575.96044921875,120520,0.0,0.0,135992992
2014-02-07,576.7222578910822,582.1634444642553,562.0963590097105,568.1251831054688,339234,0.0,0.0,135992992
2014-02-10,565.8834388291313,571.1722831347371,563.4022788519784,570.2799072265625,97644,0.0,0.0,135992992
2014-02-11,566.9716206091986,574.5022438112718,566.7539731540703,573.7839965820312,55138,0.0,0.0,135992992
2014-02-12,578.9206825588878,578.9206825588878,569.4094954883067,576.8748168945312,128552,0.0,0.0,135992992
2014-02-13,573.1312562307304,579.051258469552,568.1035769905045,571.5859375,100768,0.0,0.0,135992992
