Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Outstanding Shares
2014-01-01,83.66118254815389,84.62188267967653,83.10077515609608,84.18156433105469,69873,0.0,0,120593000
2014-01-02,84.74197899131562,85.34241815201175,80.7390512533415,81.45957946777344,108199,0.0,0,120593000
2014-01-03,81.25943798798424,83.26090197783607,81.25943798798424,82.26016998291016,23223,0.0,0,120593000
2014-01-06,81.8598730111513,83.1007830647825,81.8598730111513,82.42028045654297,19561,0.0,0,120593000
2014-01-07,82.86062070362348,84.06149926454557,81.85988856952176,82.78056335449219,41550,0.0,0,120593000
2014-01-08,82.4603071344512,83.90136348873177,82.22012903941021,82.70048522949219,26251,0.0,0,120593000
2014-01-09,82.4603124644357,83.26089802234284,81.41954879596318,81.73978424072266,27075,0.0,0,120593000
2014-01-10,81.73978318783503,82.66045778916568,81.09931841454896,81.45957946777344,23900,0.0,0,120593000
2014-01-13,81.29948043836424,82.4603272624576,80.45886300851444,80.77909851074219,19296,0.0,0,120593000
2014-01-14,80.85915585930307,81.97997706310807,79.97851280916493,80.77909851074219,11947,0.0,0,120593000
2014-01-15,80.93920150519659,82.7805507957848,80.93920150519659,81.97996520996094,16016,0.0,0,120593000
2014-01-16,82.42029612142504,83.18085620813288,81.9799776472108,82.78056335449219,24224,0.0,0,120593000
2014-01-17,82.8205748922983,82.86060661404908,80.49888162234916,80.69902801513672,23865,0.0,0,120593000
2014-01-20,81.2193989870151,81.9799588997959,80.85913794431771,81.57966613769531,12530,0.0,0,120593000
2014-01-21,81.6197069792529,81.93994247028547,80.13862470470917,80.5389175415039,36997,0.0,0,120593000
2014-01-22,80.45885137529893,83.6611937185944,80.29873670132747,81.97996520996094,168318,0.0,0,120593000
2014-01-23,81.37953121445315,82.5403779447928,80.89918105389825,82.10005950927734,60144,0.0,0,120593000
2014-01-24,82.30020657171286,82.30020657171286,80.85914997062702,81.37953186035156,82970,0.0,0,120593000
