Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Outstanding Shares
2014-01-01,272.84610520998206,272.84610520998206,266.3407447555305,268.64605712890625,52398,0.0,0.0,340859989.3333333
2014-01-02,268.10908099856374,270.61963728209105,263.6879750481043,264.7300720214844,89655,0.0,0.0,340859989.3333333
2014-01-03,264.8249232468499,264.8249232468499,258.3195628914117,260.15118408203125,640746,0.0,0.0,340859989.3333333
2014-01-06,262.3933328018069,264.0038654101512,260.15119270110296,262.4091186523437,841992,0.0,0.0,340859989.3333333
2014-01-07,262.3932162220742,262.3932162220742,255.16153626851815,256.9457702636719,205449,0.0,0.0,340859989.3333333
2014-01-08,257.45109977958094,264.4617219212998,257.45109977958094,262.20379638671875,583959,0.0,0.0,340859989.3333333
2014-01-09,260.54591177353444,263.49858846145884,256.4721795510867,257.7669372558594,161406,0.0,0.0,340859989.3333333
2014-01-10,258.31950297181373,261.4774528610273,254.9247364755108,256.314208984375,470646,0.0,0.0,340859989.3333333
2014-01-13,255.7932476819389,258.03538795327205,253.1089879146711,253.5984649658203,121686,0.0,0.0,340859989.3333333
2014-01-14,252.63524209849524,256.724788728146,249.79309551646787,251.0720672607422,305868,0.0,0.0,340859989.3333333
2014-01-15,250.7404491010597,252.6352132728859,243.47719607966167,249.2720184326172,400320,0.0,0.0,340859989.3333333
2014-01-16,247.0140657033973,251.07201081223957,237.47708805829723,239.5297393798828,555051,0.0,0.0,340859989.3333333
2014-01-17,238.108711342865,246.7614809307653,236.84553994844148,243.33511352539065,824325,0.0,0.0,340859989.3333333
2014-01-20,245.514112619642,246.88782849338853,241.6140680868494,245.90887451171875,146697,0.0,0.0,340859989.3333333
2014-01-21,244.7404431888377,247.0772983846234,240.7930120225961,241.4561767578125,479673,0.0,0.0,340859989.3333333
2014-01-22,239.40348585853835,244.64567426040568,237.47714970689404,242.3719482421875,383631,0.0,0.0,340859989.3333333
2014-01-23,242.21409182360105,242.21409182360105,230.8455036460538,232.0139312744141,885504,0.0,0.0,340859989.3333333
2014-01-24,232.1086245521052,232.1086245521052,221.71900715157577,222.6505889892578,689100,0.0,0.0,340859989.3333333
