Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Outstanding Shares
2014-01-01,79.5999984741211,79.8499984741211,78.0999984741211,78.8499984741211,15775,0,0,40518800
2014-01-02,78.94999694824219,80.0,75.0999984741211,76.4000015258789,25543,0,0,40518800
2014-01-03,75.6500015258789,76.0,73.5,75.0999984741211,12846,0,0,40518800
2014-01-06,77.0,77.19999694824219,74.69999694824219,76.25,14689,0,0,40518800
2014-01-07,77.94999694824219,78.0,74.5999984741211,75.19999694824219,15169,0,0,40518800
2014-01-08,77.80000305175781,77.80000305175781,74.6500015258789,75.0999984741211,4681,0,0,40518800
2014-01-09,75.3499984741211,76.5999984741211,72.6500015258789,74.6500015258789,17099,0,0,40518800
2014-01-10,76.4000015258789,76.4000015258789,73.5,74.0999984741211,21632,0,0,40518800
2014-01-13,75.5999984741211,75.5999984741211,72.9000015258789,73.0,5080,0,0,40518800
2014-01-14,73.0,73.80000305175781,71.5,72.05000305175781,5265,0,0,40518800
2014-01-15,73.0,76.0,72.1500015258789,73.05000305175781,23583,0,0,40518800
2014-01-16,73.55000305175781,74.5999984741211,73.05000305175781,73.25,8676,0,0,40518800
2014-01-17,73.0,73.0,70.25,70.6500015258789,6401,0,0,40518800
2014-01-20,73.69999694824219,73.69999694824219,70.0999984741211,71.30000305175781,3461,0,0,40518800
2014-01-21,71.69999694824219,74.75,71.30000305175781,72.6500015258789,9999,0,0,40518800
2014-01-22,72.4000015258789,74.4000015258789,72.0,73.0999984741211,9018,0,0,40518800
2014-01-23,74.25,74.25,72.0,72.1500015258789,6194,0,0,40518800
2014-01-24,73.3499984741211,73.3499984741211,70.0,70.1500015258789,8169,0,0,40518800
2014-01-27,69.69999694824219,69.69999694824219,67.8499984741211,68.0999984741211,8925,0,0,40518800
2014-01-28,69.75,70.0,66.55000305175781,69.44999694824219,6580,0,0,40518800
2014-01-29,69.44999694824219,71.94999694824219,69.19999694824219,69.44999694824219,6764,0,0,40518800
2014-01-30,69.0,69.0,66.55000305175781,66.8499984741211,6741,0,0,40518800
2014-01-31,67.8499984741211,70.0,60.25,67.19999694824219,213672,0,0,40518800
2014-02-03,68.0,69.80000305175781,66.5999984741211,67.55000305175781,5998,0,0,40518800
2014-02-04,67.0,72.9000015258789,66.25,72.05000305175781,32570,0,0,40518800
2014-02-05,71.69999694824219,82.0,70.5999984741211,79.94999694824219,80746,0,0,40518800
2014-02-06,82.0,82.5,75.0,75.94999694824219,228800,0,0,40518800
2014-02-07,76.0,77.80000305175781,74.0999984741211,74.8499984741211,24106,0,0,40518800
2014-02-10,75.0,75.5999984741211,73.19999694824219,73.69999694824219,11055,0,0,40518800
2014-02-11,73.5,73.94999694824219,71.0999984741211,72.19999694824219,12952,0,0,40518800
2014-02-12,71.69999694824219,74.5,70.5999984741211,73.0999984741211,22377,0,0,40518800
2014-02-13,72.5,74.0999984741211,71.0,73.0999984741211,22429,0,0,40518800
2014-02-14,73.0,76.25,72.6500015258789,75.19999694824219,25102,0,0,40518800
2014-02-17,78.0,78.0,73.69999694824219,74.80000305175781,90165,0,0,40518800
2014-02-18,74.69999694824219,75.0,73.5,74.19999694824219,2149,0,0,40518800
2014-02-19,75.0,75.0,73.0,73.69999694824219,11671,0,0,40518800
2014-02-20,73.1500015258789,74.9000015258789,72.05000305175781,73.30000305175781,9360,0,0,40518800
2014-02-21,73.75,73.94999694824219,72.05000305175781,72.19999694824219,9609,0,0,40518800
2014-02-24,72.25,74.9000015258789,72.25,72.69999694824219,13248,0,0,40518800
2014-02-25,74.0,74.0,72.19999694824219,72.69999694824219,7871,0,0,40518800
2014-02-26,72.5,77.8499984741211,72.25,74.25,37852,0,0,40518800
2014-02-28,73.8499984741211,75.0,73.1500015258789,73.44999694824219,11894,0,0,40518800
2014-03-03,73.0,74.75,72.80000305175781,74.25,18818,0,0,40518800
2014-03-04,74.69999694824219,74.9000015258789,72.44999694824219,73.55000305175781,29483,0,0,40518800
2014-03-05,73.5999984741211,74.6500015258789,73.25,73.6500015258789,10101,0,0,40518800
2014-03-06,74.69999694824219,76.80000305175781,73.94999694824219,75.5,75521,0,0,40518800
2014-03-07,76.9000015258789,78.9000015258789,76.05000305175781,76.3499984741211,60217,0,0,40518800
2014-03-10,76.0,76.8499984741211,75.0,75.5999984741211,9065,0,0,40518800
2014-03-11,75.5,76.5,75.0999984741211,76.25,12484,0,0,40518800
2014-03-12,76.5,77.5,76.0,76.55000305175781,12021,0,0,40518800
2014-03-13,76.05000305175781,77.5999984741211,76.05000305175781,76.5999984741211,8771,0,0,40518800
2014-03-14,76.0999984741211,76.69999694824219,76.0,76.5,10256,0,0,40518800
2014-03-18,76.5,77.5,75.5,77.0,26586,0,0,40518800
2014-03-19,78.30000305175781,78.30000305175781,74.4000015258789,75.5999984741211,12632,0,0,40518800
2014-03-20,75.1500015258789,77.69999694824219,75.0999984741211,77.25,23150,0,0,40518800
2014-03-21,79.9000015258789,88.4000015258789,79.0,82.5999984741211,437160,0,0,40518800
2014-03-24,81.05000305175781,82.5,78.80000305175781,80.44999694824219,24187,0,0,40518800
2014-03-25,81.94999694824219,83.25,80.55000305175781,81.19999694824219,65972,0,0,40518800
2014-03-26,81.5,82.9000015258789,78.0,78.30000305175781,35105,0,0,40518800
2014-03-27,78.5,79.94999694824219,77.55000305175781,77.80000305175781,10260,0,0,40518800
2014-03-28,77.5,79.19999694824219,77.0999984741211,78.9000015258789,14032,0,0,40518800
2014-03-31,79.0999984741211,80.5,78.4000015258789,79.19999694824219,23263,0,0,40518800
2014-04-01,78.5999984741211,83.75,77.80000305175781,82.30000305175781,109238,0,0,40518800
2014-04-02,82.5999984741211,84.9000015258789,82.55000305175781,83.6500015258789,27007,0,0,40518800
2014-04-03,83.0999984741211,84.4000015258789,81.5999984741211,82.4000015258789,11982,0,0,40518800
2014-04-04,83.9000015258789,84.4000015258789,81.0,83.6500015258789,14226,0,0,40518800
2014-04-07,83.0,83.0,81.0,81.5,7702,0,0,40518800
2014-04-09,81.0,85.9000015258789,81.0,84.75,21193,0,0,40518800
2014-04-10,85.0,85.0,82.5,83.05000305175781,19062,0,0,40518800
2014-04-11,85.0,87.44999694824219,85.0,86.4000015258789,77128,0,0,40518800
2014-04-15,84.0999984741211,87.05000305175781,83.0,83.44999694824219,23000,0,0,40518800
2014-04-16,83.0,85.94999694824219,81.5,82.69999694824219,12977,0,0,40518800
2014-04-17,81.9000015258789,85.4000015258789,81.5,83.9000015258789,18260,0,0,40518800
2014-04-21,85.75,89.80000305175781,85.5,88.05000305175781,93819,0,0,40518800
2014-04-22,87.5,91.9499969482422,86.0,88.55000305175781,37227,0,0,40518800
2014-04-23,88.5999984741211,91.0,82.8499984741211,86.1500015258789,19425,0,0,40518800
2014-04-24,86.1500015258789,86.1500015258789,86.1500015258789,86.1500015258789,0,0,0,40518800
2014-04-25,85.6500015258789,86.5,84.0,84.05000305175781,9185,0,0,40518800
2014-04-28,84.5,84.5,82.30000305175781,83.4000015258789,17559,0,0,40518800
2014-04-29,82.5999984741211,88.5,82.55000305175781,87.3499984741211,27747,0,0,40518800
2014-04-30,86.5,89.8499984741211,85.5,87.9000015258789,85351,0,0,40518800
2014-05-02,89.0,90.5,87.44999694824219,88.69999694824219,365838,0,0,40518800
2014-05-05,88.9000015258789,90.4000015258789,86.25,87.19999694824219,26279,0,0,40518800
2014-05-06,87.05000305175781,91.6999969482422,87.05000305175781,88.5,52096,0,0,40518800
2014-05-07,90.5,91.5999984741211,87.75,88.5,49336,0,0,40518800
2014-05-08,88.94999694824219,89.9000015258789,86.19999694824219,87.0,19784,0,0,40518800
2014-05-09,87.69999694824219,88.0,84.5999984741211,85.55000305175781,24808,0,0,40518800
2014-05-12,85.05000305175781,88.0,85.05000305175781,86.75,24052,0,0,40518800
2014-05-13,86.5,89.9000015258789,86.0,87.75,81085,0,0,40518800
2014-05-14,88.05000305175781,89.0,86.6500015258789,87.05000305175781,18456,0,0,40518800
